Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,1.92,2.22,1.91,2.14,111859155,1486335955,
2020-4-2,2.00,2.03,1.89,1.92,88198795,1336199969,
2020-3-2,1.91,2.10,1.87,2.00,112154610,1391386055,
2020-2-2,1.74,1.98,1.70,1.91,83037458,1326090827,
2020-1-2,1.66,1.74,1.65,1.74,37226254,1209947862,
2020-31-1,1.68,1.72,1.65,1.66,49262411,1151165578,
2020-30-1,1.57,1.70,1.56,1.68,54565714,1164729726,
2020-29-1,1.55,1.68,1.54,1.57,51375642,1088132652,
2020-28-1,1.53,1.57,1.50,1.55,47120502,1076031418,
2020-27-1,1.52,1.54,1.49,1.53,44520219,1059238633,
2020-26-1,1.50,1.53,1.47,1.52,43363397,1057063607,
2020-25-1,1.52,1.52,1.47,1.50,44078895,1038410748,
2020-24-1,1.56,1.57,1.50,1.52,48576603,1053322115,
2020-23-1,1.59,1.62,1.50,1.55,65348600,1078286026,
2020-22-1,1.54,1.64,1.53,1.59,47055144,1105004314,
2020-21-1,1.59,1.61,1.50,1.53,51586798,1065444584,
2020-20-1,1.42,1.59,1.41,1.59,60224151,1102454966,
2020-19-1,1.49,1.52,1.37,1.42,46261834,987050590,
2020-18-1,1.47,1.54,1.42,1.49,49645136,1033489226,
2020-17-1,1.49,1.53,1.44,1.48,63542861,1024091459,
2020-16-1,1.34,1.52,1.30,1.49,67302241,1037213520,
2020-15-1,1.33,1.40,1.30,1.34,59355419,932175745,
2020-14-1,1.28,1.36,1.27,1.33,53074477,924801443,
2020-13-1,1.31,1.31,1.27,1.28,36870088,888218070,
2020-12-1,1.31,1.32,1.30,1.31,30492207,909993423,
2020-11-1,1.31,1.35,1.30,1.31,39100862,906142415,
2020-10-1,1.29,1.33,1.26,1.31,41884562,906795252,
2020-9-1,1.33,1.37,1.27,1.29,47676368,895458247,
2020-8-1,1.30,1.40,1.27,1.33,49431499,925780956,
2020-7-1,1.31,1.33,1.26,1.30,49139469,901265968,
2020-6-1,1.26,1.34,1.26,1.31,43088423,906258204,
2020-5-1,1.26,1.30,1.25,1.26,36629230,877159747,
2020-4-1,1.28,1.30,1.23,1.26,38156086,876029669,
2020-3-1,1.24,1.31,1.24,1.28,43721354,890109980,
2020-2-1,1.37,1.38,1.23,1.24,37676355,861516905,
2020-1-1,1.35,1.37,1.32,1.37,35642475,951188893,
2019-31-12,1.33,1.40,1.31,1.35,42638601,938725945,
2019-30-12,1.31,1.36,1.30,1.33,41116951,924752288,
