Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.055985,0.059851,0.055675,0.059231,138149931,1535683141,
2020-4-2,0.056966,0.057663,0.054237,0.055996,108933031,1451818140,
2020-3-2,0.055724,0.057712,0.055380,0.056979,106658349,1477304250,
2020-2-2,0.056110,0.058450,0.054925,0.055768,161454527,1445896375,
2020-1-2,0.053836,0.057148,0.053281,0.056092,110646744,1454290893,
2020-31-1,0.056034,0.056567,0.052270,0.053793,130754832,1394699437,
2020-30-1,0.053469,0.056880,0.052368,0.056070,153009928,1453721298,
2020-29-1,0.052897,0.057302,0.052550,0.053514,187136958,1387454346,
2020-28-1,0.047839,0.054328,0.047483,0.052857,207996791,1370415129,
2020-27-1,0.044627,0.048798,0.044230,0.047912,97006750,1242217391,
2020-26-1,0.043247,0.044633,0.042995,0.044581,62759585,1155846119,
2020-25-1,0.044968,0.045185,0.043071,0.043248,57389976,1121299567,
2020-24-1,0.043380,0.045243,0.041448,0.045004,77503651,1166815356,
2020-23-1,0.045659,0.045814,0.042231,0.043334,75034253,1123513004,
2020-22-1,0.045939,0.046335,0.045313,0.045654,67145740,1183664601,
2020-21-1,0.043811,0.046548,0.043469,0.045989,95915865,1192372176,
2020-20-1,0.041920,0.044296,0.041920,0.043873,70100648,1137486373,
2020-19-1,0.044851,0.045765,0.041412,0.041979,91187159,1088389472,
2020-18-1,0.044985,0.045544,0.043239,0.044851,89192476,1162863289,
2020-17-1,0.041435,0.045679,0.041106,0.044978,106282894,1166155737,
2020-16-1,0.042572,0.043091,0.040224,0.041391,76686221,1073150540,
2020-15-1,0.041580,0.042958,0.040407,0.042553,111350540,1103270947,
2020-14-1,0.037041,0.042219,0.036969,0.041660,125280206,1080110770,
2020-13-1,0.037696,0.037944,0.036776,0.036966,56296775,958419140,
2020-12-1,0.036821,0.037748,0.036580,0.037690,56546260,977200922,
2020-11-1,0.036854,0.037579,0.036522,0.036825,63485488,954771091,
2020-10-1,0.036335,0.036980,0.034807,0.036874,47483943,956027830,
2020-9-1,0.036445,0.036445,0.035673,0.036359,26562776,942675508,
2020-8-1,0.037055,0.038551,0.036015,0.036435,49193345,944645770,
2020-7-1,0.037291,0.037807,0.036653,0.037047,51562680,960513017,
2020-6-1,0.034751,0.037299,0.034674,0.037272,37988444,966352558,
2020-5-1,0.034574,0.035356,0.034545,0.034721,21479178,900224706,
2020-4-1,0.034191,0.034685,0.033872,0.034595,29535781,896939967,
2020-3-1,0.032748,0.034427,0.032491,0.034180,30162644,886177804,
2020-2-1,0.033474,0.033507,0.032448,0.032751,20843934,849142417,
2020-1-1,0.032832,0.033813,0.032704,0.033458,22948374,867464516,
2019-31-12,0.033607,0.033898,0.032794,0.032845,25320349,851576357,
2019-30-12,0.034278,0.034595,0.033493,0.033594,21940559,871003591,
2019-29-12,0.033637,0.034690,0.033390,0.034284,23696263,888882224,
2019-28-12,0.033095,0.034211,0.033079,0.033632,23018616,871982592,
2019-27-12,0.034279,0.034427,0.032226,0.033100,42498574,858176174,
2019-26-12,0.033745,0.034768,0.033544,0.034281,28317661,888809775,
2019-25-12,0.034185,0.034409,0.033251,0.033728,19588981,874464722,
2019-24-12,0.033195,0.035050,0.032905,0.034162,30932186,885711476,
2019-23-12,0.034441,0.034584,0.033160,0.033200,36538150,860781223,
2019-22-12,0.033265,0.034495,0.033212,0.034466,24856106,893609680,
2019-21-12,0.034000,0.034074,0.032940,0.033262,25280467,862385606,
2019-20-12,0.033264,0.034009,0.032871,0.034004,32935799,881632550,
2019-19-12,0.034456,0.034793,0.033067,0.033251,43861871,862099887,
2019-18-12,0.031794,0.034662,0.030885,0.034462,61099755,893501578,
2019-17-12,0.034269,0.034285,0.031296,0.031800,54217973,824492977,
2019-16-12,0.036662,0.036716,0.033589,0.034269,41961581,888497640,
2019-15-12,0.036449,0.036803,0.034808,0.036653,28289227,950315361,
2019-14-12,0.037160,0.037527,0.036087,0.036427,39951085,944448824,
2019-13-12,0.036719,0.037372,0.036628,0.037108,42557714,962105881,
2019-12-12,0.036652,0.036931,0.036249,0.036723,41806143,952124839,
2019-11-12,0.036602,0.037326,0.036322,0.036655,46812214,950360040,
2019-10-12,0.037474,0.037556,0.036295,0.036606,32469759,949093013,
2019-9-12,0.038932,0.038974,0.037422,0.037483,31176739,971820730,
2019-8-12,0.038753,0.039241,0.038386,0.038948,25653004,1009798192,
2019-7-12,0.038312,0.039249,0.038195,0.038757,30151245,1004866554,
2019-6-12,0.037879,0.038323,0.037478,0.038317,30049656,993455158,
2019-5-12,0.037402,0.038979,0.036969,0.037871,39975672,981893636,
2019-4-12,0.037906,0.038533,0.036550,0.037405,51692274,969802335,
2019-3-12,0.038047,0.038761,0.037226,0.037917,34356883,983080974,
2019-2-12,0.039612,0.039769,0.037580,0.038056,43069274,986684920,
2019-1-12,0.040426,0.040426,0.038467,0.039587,59641355,1026365437,
2019-30-11,0.041416,0.042268,0.040068,0.040425,64184926,1048107282,
2019-29-11,0.039227,0.042040,0.039194,0.041423,99506198,1073986624,
2019-28-11,0.039129,0.039990,0.038641,0.039190,60743403,1016079672,
2019-27-11,0.036955,0.039800,0.035783,0.039049,76841561,1012420887,
2019-26-11,0.036046,0.037074,0.035705,0.036993,57431470,959117573,
2019-25-11,0.035543,0.037184,0.033336,0.036048,96694224,934626616,
2019-24-11,0.038371,0.038916,0.035556,0.035588,62998664,922680695,
2019-23-11,0.037159,0.038423,0.036701,0.038343,58979321,994122170,
2019-22-11,0.038447,0.038685,0.034611,0.037148,93310136,963130806,
2019-21-11,0.041169,0.041249,0.037727,0.038406,67101708,995755250,
2019-20-11,0.042588,0.042794,0.040809,0.041178,69854304,1067634701,
2019-19-11,0.043697,0.044451,0.041383,0.042542,91311583,1102995485,
2019-18-11,0.045403,0.046652,0.043543,0.043802,106595679,1135647864,
2019-17-11,0.044153,0.046423,0.043670,0.045421,74834540,1177627885,
2019-16-11,0.043978,0.044655,0.043511,0.044172,61781146,1145239519,
2019-15-11,0.043130,0.044432,0.042329,0.043974,81592975,1140128777,
2019-14-11,0.043489,0.043550,0.042399,0.043119,53295194,1117958882,
2019-13-11,0.043722,0.044044,0.043320,0.043492,42332678,1127632602,
2019-12-11,0.043257,0.044631,0.043227,0.043767,79520150,1134751210,
2019-11-11,0.043971,0.044122,0.042499,0.043194,57846910,1119896696,
2019-10-11,0.042438,0.044227,0.042388,0.043958,71691725,1139696016,
