Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,380.72,442.10,379.16,442.01,5289083000,8072301019,
2020-4-2,383.76,387.16,374.66,380.60,3143637424,6950078912,
2020-3-2,377.94,389.45,375.86,383.88,3410323023,7009236233,
2020-2-2,380.25,388.39,370.81,378.27,3246254490,6906342984,
2020-1-2,375.07,387.39,374.60,381.01,3218496040,6955699068,
2020-31-1,392.83,393.80,366.60,375.39,3667538280,6852328297,
2020-30-1,380.86,395.56,373.53,392.97,4055518921,7172561949,
2020-29-1,379.10,393.78,378.30,381.52,3987047015,6962894993,
2020-28-1,362.65,382.78,360.50,378.86,3916343793,6913563554,
2020-27-1,346.89,374.86,346.53,362.65,4123924761,6617085453,
2020-26-1,311.00,347.74,308.55,347.00,3192088890,6330863260,
2020-25-1,319.38,319.40,305.49,311.36,2169791084,5680063566,
2020-24-1,325.17,327.38,299.96,319.52,3346887042,5828372705,
2020-23-1,347.50,348.39,319.29,324.87,2722405196,5925291827,
2020-22-1,343.37,352.01,339.62,347.23,2468426687,6332561910,
2020-21-1,343.51,346.54,334.70,343.42,2658918440,6262472148,
2020-20-1,338.12,351.84,325.28,343.81,3361586387,6268932728,
2020-19-1,338.40,362.15,323.11,338.31,4458226713,6167961887,
2020-18-1,367.41,398.89,334.84,339.12,6041778648,6182276116,
2020-17-1,326.38,379.68,320.62,366.98,5128628377,6689508806,
2020-16-1,339.68,341.24,311.56,325.98,3652947113,5941556881,
2020-15-1,348.72,358.82,319.01,339.40,5240635087,6185484056,
2020-14-1,267.64,364.16,267.53,350.26,6618289058,6382913206,
2020-13-1,268.41,270.77,261.87,267.52,1884541173,4874569980,
2020-12-1,261.10,269.07,259.28,268.24,2168514332,4887148233,
2020-11-1,270.20,276.63,259.81,260.68,2487051623,4748986487,
2020-10-1,239.55,271.77,232.64,270.73,2986773814,4931494248,
2020-9-1,241.00,243.05,232.35,239.22,1908677851,4357194742,
2020-8-1,243.08,251.30,234.39,241.06,2424659797,4390124757,
2020-7-1,244.71,245.84,234.18,243.26,2234914578,4429804165,
2020-6-1,224.35,245.11,223.69,244.56,2328224536,4453007524,
2020-5-1,225.78,228.22,222.35,224.10,1681830248,4080035773,
2020-4-1,222.54,227.46,220.28,226.02,1861485049,4114630710,
