Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,64.32,72.61,63.56,71.12,574372016,629289694,
4/2/2020,65.71,66.22,62.86,64.32,376233504,568235451,
3/2/2020,66.46,68.26,64.95,65.63,399151849,578893748,
2/2/2020,65.89,68.13,63.86,66.55,501422482,586050416,
1/2/2020,66.61,68.98,64.86,66.02,379849513,580407459,
31/1/2020,66.91,69.27,62.47,66.53,511822741,583965288,
30/1/2020,61.92,70.16,59.92,66.60,628351159,583558392,
29/1/2020,57.12,64.16,56.48,62.02,457723478,542579083,
28/1/2020,55.34,57.08,53.85,56.81,415795137,496214701,
27/1/2020,53.87,58.03,53.58,55.24,361876390,481663612,
26/1/2020,49.09,54.45,48.43,53.65,294192757,467008065,
25/1/2020,49.06,49.60,47.92,49.07,214070612,426500467,
24/1/2020,49.47,50.82,46.42,49.02,315848834,425349834,
23/1/2020,52.15,52.32,48.22,49.22,293241636,426334798,
22/1/2020,53.25,53.89,51.64,52.19,254609928,451320143,
21/1/2020,53.67,53.99,51.28,53.39,289545481,460920665,
20/1/2020,51.79,55.54,49.17,53.77,354369528,463477475,
19/1/2020,51.48,54.58,48.62,51.49,449218325,443092850,
18/1/2020,61.73,62.01,51.31,51.31,538492799,440784873,
17/1/2020,50.86,65.53,49.18,61.66,707027969,528828484,
16/1/2020,54.81,55.88,48.22,50.93,453996707,436053587,
15/1/2020,43.93,58.09,43.33,54.82,740886171,468554470,
14/1/2020,38.41,45.39,38.12,43.98,609735603,375309144,
13/1/2020,35.64,38.43,34.72,38.37,263135594,326842522,
12/1/2020,34.96,36.27,34.70,35.71,203779998,303689792,
11/1/2020,33.69,36.41,33.33,34.97,247632127,296888383,
10/1/2020,31.05,34.23,30.07,33.65,214184771,285237275,
9/1/2020,31.12,32.23,30.18,31.10,159352054,263180429,
8/1/2020,32.31,33.01,30.24,30.98,203134823,261662631,
7/1/2020,32.94,33.07,31.04,32.49,204009747,273952855,
6/1/2020,30.95,33.33,30.71,32.89,197134595,276914115,
5/1/2020,30.24,32.23,29.96,31.02,151498329,260715783,
4/1/2020,28.55,30.67,28.13,30.24,114198262,253702335,
3/1/2020,27.13,28.84,26.84,28.62,155103806,239704888,
2/1/2020,28.02,28.13,26.69,27.12,100451732,226745213,
1/1/2020,27.63,28.44,27.32,28.05,90796167,234134910,
31/12/2019,28.56,28.58,27.47,27.63,106072185,230201115,
30/12/2019,29.30,29.36,28.38,28.55,129714672,237465389,
29/12/2019,28.19,29.77,28.06,29.25,133941089,242906674,
28/12/2019,27.78,28.62,27.75,28.20,107531382,233771221,
27/12/2019,27.72,28.09,27.40,27.80,106945867,230091980,
26/12/2019,27.73,28.36,27.30,27.74,117325374,229190604,
25/12/2019,28.30,28.33,27.47,27.70,100934889,228471381,
24/12/2019,28.34,29.08,28.04,28.26,101144066,232603261,
23/12/2019,29.20,29.94,28.26,28.40,152011522,233358762,
22/12/2019,28.48,29.41,28.37,29.22,127744241,239740856,
21/12/2019,28.56,28.78,27.96,28.51,97117376,233450199,
20/12/2019,28.79,28.83,28.14,28.51,111597901,233027908,
19/12/2019,29.34,29.75,28.09,28.77,167854817,234762748,
18/12/2019,27.74,29.73,27.04,29.33,275387539,238969717,
17/12/2019,29.67,29.73,26.64,27.75,207968372,225676017,
16/12/2019,33.06,33.14,29.39,29.71,200280913,241194314,
15/12/2019,32.33,33.64,31.52,33.07,147549975,267996021,
14/12/2019,33.41,33.41,31.21,32.32,135000935,261428865,
13/12/2019,31.99,33.60,30.97,33.42,167283005,269877551,
12/12/2019,31.41,32.06,30.51,31.99,160118295,257838050,
11/12/2019,30.22,32.19,30.19,31.40,142285798,252621849,
10/12/2019,31.14,31.15,29.69,30.22,131370089,242930847,
9/12/2019,29.49,32.10,29.07,31.19,171713136,250510156,
8/12/2019,29.75,30.03,29.22,29.48,97224008,236563463,
7/12/2019,29.24,30.25,29.22,29.75,94214716,238536538,
6/12/2019,30.48,30.61,28.61,29.28,127582080,234506293,
5/12/2019,26.91,30.87,26.83,30.43,152175049,243537538,
4/12/2019,27.41,28.02,26.69,26.95,132620590,215439044,
3/12/2019,27.80,27.95,26.96,27.46,83826460,219327974,
2/12/2019,28.03,28.36,27.43,27.79,109683583,221783758,
1/12/2019,29.05,29.08,27.50,28.03,164940527,223505482,
30/11/2019,29.48,29.78,28.58,29.06,144417980,231480730,
29/11/2019,28.70,29.72,28.60,29.46,155403315,234497449,
28/11/2019,28.57,29.61,28.36,28.68,141558443,228071086,
27/11/2019,28.38,29.25,27.29,28.55,198036983,226855662,
26/11/2019,27.32,28.52,27.31,28.50,131920569,226246993,
25/11/2019,27.71,28.27,25.45,27.35,212184123,216945492,
24/11/2019,29.96,30.10,27.68,27.68,134036795,219360877,
23/11/2019,29.18,30.21,28.75,29.92,153809024,236901344,
22/11/2019,31.36,31.85,28.27,29.19,256123891,230869738,
21/11/2019,33.97,34.03,31.01,31.36,170605774,247794348,
20/11/2019,34.30,34.85,33.77,33.91,132504069,267750993,
19/11/2019,35.19,35.66,33.44,34.31,138673501,270672791,
18/11/2019,36.06,36.43,34.58,35.13,156582391,276877280,
17/11/2019,36.14,36.86,35.78,36.12,123108414,284419931,
16/11/2019,36.23,36.51,35.94,36.16,98670928,284427019,
15/11/2019,36.62,36.68,35.46,36.21,166508831,284596876,
14/11/2019,36.93,37.13,36.39,36.65,126154914,287753094,
13/11/2019,36.89,37.30,36.49,36.98,133887356,290140187,
12/11/2019,36.73,37.56,36.64,36.88,134613061,289033631,
11/11/2019,37.67,37.92,36.50,36.75,126188199,287746775,
10/11/2019,36.82,38.10,36.49,37.69,149144534,294871842,
9/11/2019,36.60,37.30,36.45,36.81,105057991,287681344,
8/11/2019,38.85,38.98,36.21,36.52,169317431,285220481,
7/11/2019,39.03,39.48,38.48,38.77,154593631,302481968,
6/11/2019,38.77,39.68,38.40,39.02,178154835,304163401,
5/11/2019,37.93,39.38,37.47,38.77,191309010,301890004,
4/11/2019,37.18,38.17,36.97,37.93,158752649,295084727,
3/11/2019,37.82,37.97,36.80,37.21,123559744,289228932,
2/11/2019,37.92,38.12,37.55,37.85,113739417,293964410,
1/11/2019,37.92,38.00,37.22,37.82,154573283,293438511,
31/10/2019,38.75,39.46,37.26,37.90,181759900,293827402,
30/10/2019,39.21,39.73,37.51,38.69,241965931,299655471,
29/10/2019,37.91,39.64,37.87,39.20,266397065,303282496,
28/10/2019,37.53,42.20,37.41,38.04,311558075,294097803,
27/10/2019,36.16,38.91,35.49,37.46,303902205,289345937,
26/10/2019,37.15,38.78,35.65,36.08,423461696,278368091,
25/10/2019,33.51,37.37,33.39,37.22,317475649,286927272,
24/10/2019,33.01,33.53,32.50,33.44,137313296,257559357,
23/10/2019,35.93,36.15,32.33,33.05,227666791,254292647,
22/10/2019,36.87,37.02,35.94,35.94,111292135,276314063,
21/10/2019,36.39,37.04,36.16,36.89,116123301,283328586,
20/10/2019,36.05,36.80,35.80,36.42,122959412,279412810,
19/10/2019,35.99,36.60,35.77,36.05,124023314,276344480,
