Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,0.048417,0.059263,0.045743,0.059263,52706548,533366086,
4/2/2020,0.049268,0.049796,0.042653,0.048210,32471576,433886870,
3/2/2020,0.047634,0.049579,0.046665,0.049100,31309382,441898282,
2/2/2020,0.049433,0.049832,0.046317,0.047674,36653976,429069572,
1/2/2020,0.045003,0.051228,0.043628,0.049428,45484238,444856329,
31/1/2020,0.041747,0.046736,0.040223,0.045019,29446903,405175326,
30/1/2020,0.041118,0.043165,0.039529,0.041765,25269564,375885799,
29/1/2020,0.041259,0.042341,0.039520,0.041200,28332247,370798977,
28/1/2020,0.040158,0.043249,0.038778,0.041233,11852753,371099962,
27/1/2020,0.039919,0.042527,0.037515,0.040609,31891184,365481138,
26/1/2020,0.038551,0.040747,0.038339,0.039927,17525509,359341230,
25/1/2020,0.039478,0.039584,0.037972,0.038563,8014899,347067673,
24/1/2020,0.039522,0.042219,0.036961,0.039497,9063070,355474755,
23/1/2020,0.043292,0.043900,0.037768,0.039472,39933616,355248003,
22/1/2020,0.038219,0.043179,0.034989,0.043179,12816970,388614935,
21/1/2020,0.037496,0.038298,0.036960,0.038229,12403298,344062166,
20/1/2020,0.037292,0.037910,0.035929,0.037477,7296349,337294225,
19/1/2020,0.039076,0.040129,0.036243,0.037313,8808545,335815876,
18/1/2020,0.039934,0.041036,0.036157,0.039074,11819837,351670318,
17/1/2020,0.036663,0.044793,0.034818,0.040014,25359520,360125741,
16/1/2020,0.037187,0.037693,0.033835,0.036608,26614815,329475464,
15/1/2020,0.036058,0.037932,0.033840,0.037188,30115105,334695698,
14/1/2020,0.033031,0.036409,0.032049,0.036067,28580822,324599984,
13/1/2020,0.033455,0.033579,0.032570,0.033052,8788517,297464002,
12/1/2020,0.033026,0.033660,0.032819,0.033437,3587554,300930243,
11/1/2020,0.032341,0.033494,0.032320,0.033166,4282803,298495037,
10/1/2020,0.033039,0.033343,0.031725,0.032461,6260413,292146931,
9/1/2020,0.033344,0.034097,0.032633,0.033065,5280555,297586555,
8/1/2020,0.033785,0.034884,0.033046,0.033345,5280186,300103079,
7/1/2020,0.033307,0.034736,0.033223,0.033782,6022339,304039991,
6/1/2020,0.032368,0.034864,0.031981,0.033314,7007130,299821804,
5/1/2020,0.032064,0.033270,0.031906,0.032363,4489886,291262977,
4/1/2020,0.032123,0.032933,0.031690,0.032090,8757789,288809226,
3/1/2020,0.032019,0.032618,0.031297,0.032123,5138719,289104002,
2/1/2020,0.032690,0.033163,0.031370,0.031912,5253256,287209412,
1/1/2020,0.032147,0.033047,0.031893,0.032648,5041453,293831443,
31/12/2019,0.031986,0.034853,0.030000,0.032117,5854418,289055161,
30/12/2019,0.032385,0.034395,0.029695,0.031994,26214730,287942338,
29/12/2019,0.032768,0.033308,0.032118,0.032368,5046634,291312899,
28/12/2019,0.032487,0.033290,0.032447,0.032815,4610484,295331029,
27/12/2019,0.031869,0.032815,0.031650,0.032484,5532353,292356797,
26/12/2019,0.032250,0.032704,0.031770,0.031876,16922124,286883465,
25/12/2019,0.032292,0.034390,0.030675,0.032255,5102332,290292695,
24/12/2019,0.033789,0.033964,0.030772,0.032249,6716314,290243022,
23/12/2019,0.033294,0.034273,0.032546,0.033723,5487331,303507174,
22/12/2019,0.032058,0.034421,0.031289,0.033232,4054097,299091665,
21/12/2019,0.032929,0.034576,0.029982,0.032058,18489462,288524413,
20/12/2019,0.032316,0.035269,0.030216,0.032923,23133656,296309682,
19/12/2019,0.033615,0.036741,0.029682,0.032319,32332405,290874781,
18/12/2019,0.031043,0.035595,0.029599,0.033601,23395276,302409285,
17/12/2019,0.033942,0.035943,0.030515,0.031043,58546625,279386773,
16/12/2019,0.035620,0.035748,0.033747,0.033951,7529043,305562074,
15/12/2019,0.035324,0.036624,0.032483,0.035380,7313284,318419594,
14/12/2019,0.035971,0.037232,0.031385,0.035291,14163711,317620054,
13/12/2019,0.035394,0.036676,0.035153,0.035967,18326053,323700071,
12/12/2019,0.035281,0.036010,0.034966,0.035401,27431380,318609386,
11/12/2019,0.034753,0.036324,0.034691,0.035277,29132207,317489127,
