Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,3.29,3.55,3.28,3.51,125481834,140252213,
4/2/2020,3.28,3.31,3.23,3.29,85498320,131458949,
3/2/2020,3.25,3.33,3.24,3.28,87857996,131193043,
2/2/2020,3.25,3.31,3.20,3.25,93843209,129971981,
1/2/2020,3.18,3.30,3.18,3.26,93372485,130279446,
31/1/2020,3.21,3.27,3.13,3.18,92970171,127261774,
30/1/2020,3.13,3.22,3.07,3.21,106275034,128549694,
29/1/2020,3.05,3.18,3.04,3.13,104235601,125246167,
28/1/2020,2.95,3.06,2.95,3.04,113058716,121784891,
27/1/2020,2.86,2.99,2.86,2.95,100903126,117958851,
26/1/2020,2.81,2.88,2.79,2.86,83146773,114450953,
25/1/2020,2.88,2.88,2.79,2.81,79901861,112489128,
24/1/2020,2.77,2.89,2.77,2.88,93923954,115344499,
23/1/2020,2.93,2.93,2.71,2.77,90852574,110802166,
22/1/2020,2.96,2.98,2.91,2.93,79562420,117009844,
21/1/2020,2.93,2.98,2.90,2.96,84463277,118204416,
20/1/2020,2.96,2.98,2.91,2.93,85059617,117337906,
19/1/2020,2.93,3.17,2.89,2.96,124115850,118354628,
18/1/2020,3.08,3.17,2.92,2.93,134944257,117335880,
17/1/2020,3.08,3.19,3.05,3.09,131827260,123523658,
16/1/2020,3.16,3.18,2.96,3.08,113162561,123275258,
15/1/2020,3.06,3.41,3.03,3.16,150726009,126385954,
14/1/2020,2.89,3.13,2.89,3.06,114295242,122252593,
13/1/2020,2.91,2.93,2.86,2.90,76161685,115809813,
12/1/2020,2.90,2.93,2.88,2.90,72846303,116185648,
11/1/2020,2.89,2.94,2.83,2.90,82413533,116062129,
10/1/2020,2.85,2.89,2.78,2.89,82270829,115609653,
9/1/2020,2.81,2.88,2.76,2.85,83425799,114071508,
8/1/2020,2.89,2.96,2.79,2.81,92723546,112418777,
7/1/2020,2.80,2.93,2.80,2.89,93381436,115607271,
6/1/2020,2.68,2.81,2.68,2.80,78076040,112119658,
5/1/2020,2.67,2.72,2.67,2.68,62760189,107211336,
4/1/2020,2.65,2.67,2.61,2.66,62868631,106513592,
3/1/2020,2.56,2.66,2.53,2.65,70789968,105834379,
2/1/2020,2.62,2.63,2.55,2.55,64119546,101944698,
1/1/2020,2.62,2.64,2.61,2.62,64067312,104866183,
31/12/2019,2.69,2.70,2.61,2.62,65594414,104654779,
30/12/2019,2.64,2.73,2.64,2.69,76957312,107644239,
29/12/2019,2.62,2.68,2.61,2.64,60463229,105762790,
28/12/2019,2.62,2.66,2.62,2.62,55362704,104627714,
27/12/2019,2.59,2.66,2.58,2.62,73578928,104926974,
26/12/2019,2.62,2.65,2.59,2.60,74877335,51915808,
25/12/2019,2.63,2.64,2.56,2.62,72518452,52368926,
24/12/2019,2.57,2.64,2.54,2.63,72192442,52578566,
23/12/2019,2.57,2.65,2.55,2.57,82327772,51428524,
22/12/2019,2.54,2.58,2.51,2.56,73073980,51291020,
21/12/2019,2.53,2.56,2.50,2.54,70830660,50776198,
20/12/2019,2.49,2.58,2.46,2.53,87712466,50686170,
19/12/2019,2.54,2.57,2.43,2.49,86380402,49877471,
18/12/2019,2.31,2.57,2.29,2.54,115428062,50879324,
17/12/2019,2.53,2.55,2.30,2.31,87818017,46154578,
16/12/2019,2.59,2.62,2.52,2.53,98733043,50623289,
15/12/2019,2.54,2.64,2.52,2.59,94348370,51821759,
14/12/2019,2.63,2.63,2.53,2.54,85229288,50831723,
13/12/2019,2.65,2.68,2.59,2.63,86469900,52572611,
12/12/2019,2.56,2.66,2.51,2.66,101703526,53109070,
11/12/2019,2.63,2.64,2.53,2.56,87657276,51176718,
10/12/2019,2.68,2.72,2.57,2.63,94983941,52695905,
9/12/2019,2.72,2.76,2.68,2.69,102447700,53714339,
8/12/2019,2.69,2.76,2.59,2.72,95533169,54364402,
7/12/2019,2.60,2.73,2.59,2.69,104407900,53713075,
6/12/2019,2.56,2.61,2.55,2.61,92403360,52127821,
5/12/2019,2.59,2.68,2.51,2.56,95434133,51252747,
4/12/2019,2.65,2.67,2.48,2.59,114770988,51717832,
3/12/2019,2.56,2.67,2.54,2.65,103505253,52996795,
2/12/2019,2.50,2.56,2.41,2.56,103544568,51119858,
1/12/2019,2.44,2.55,2.37,2.50,92547948,50001608,
30/11/2019,2.35,2.45,2.34,2.43,64680442,48672206,
29/11/2019,2.31,2.41,2.30,2.35,61214182,46909346,
28/11/2019,2.25,2.44,2.24,2.31,71526946,46215007,
27/11/2019,2.17,2.28,2.08,2.25,68012191,44932073,
26/11/2019,2.08,2.23,2.06,2.17,72720466,43455063,
25/11/2019,1.97,2.12,1.73,2.08,106317351,41545877,
24/11/2019,2.23,2.23,1.97,1.97,77690313,39393164,
23/11/2019,2.12,2.25,2.02,2.24,78372041,44709888,
22/11/2019,2.47,2.48,1.95,2.12,97444834,42415681,
21/11/2019,2.55,2.56,2.41,2.47,79412154,49311947,
20/11/2019,2.61,2.71,2.53,2.55,90800794,50991178,
19/11/2019,2.76,2.83,2.51,2.61,115076016,52137226,
18/11/2019,2.90,2.99,2.74,2.76,102109216,55118768,
17/11/2019,2.93,2.96,2.83,2.90,91588337,57977641,
16/11/2019,3.00,3.09,2.83,2.93,100819913,58666292,
15/11/2019,3.32,3.32,2.97,3.00,100222353,59956545,
14/11/2019,3.30,3.35,3.24,3.32,98600666,66370571,
13/11/2019,3.18,3.35,3.16,3.30,97006263,66043374,
12/11/2019,3.18,3.24,3.09,3.18,88930599,63595440,
11/11/2019,3.24,3.26,3.04,3.18,102818003,63657554,
10/11/2019,3.10,3.26,3.09,3.24,90578537,64826994,
9/11/2019,2.97,3.16,2.97,3.10,79389877,62092679,
