Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,380.72,442.10,379.16,442.01,5289083000,8072301019,
4/2/2020,383.76,387.16,374.66,380.60,3143637424,6950078912,
3/2/2020,377.94,389.45,375.86,383.88,3410323023,7009236233,
2/2/2020,380.25,388.39,370.81,378.27,3246254490,6906342984,
1/2/2020,375.07,387.39,374.60,381.01,3218496040,6955699068,
31/1/2020,392.83,393.80,366.60,375.39,3667538280,6852328297,
30/1/2020,380.86,395.56,373.53,392.97,4055518921,7172561949,
29/1/2020,379.10,393.78,378.30,381.52,3987047015,6962894993,
28/1/2020,362.65,382.78,360.50,378.86,3916343793,6913563554,
27/1/2020,346.89,374.86,346.53,362.65,4123924761,6617085453,
26/1/2020,311.00,347.74,308.55,347.00,3192088890,6330863260,
25/1/2020,319.38,319.40,305.49,311.36,2169791084,5680063566,
24/1/2020,325.17,327.38,299.96,319.52,3346887042,5828372705,
23/1/2020,347.50,348.39,319.29,324.87,2722405196,5925291827,
22/1/2020,343.37,352.01,339.62,347.23,2468426687,6332561910,
21/1/2020,343.51,346.54,334.70,343.42,2658918440,6262472148,
20/1/2020,338.12,351.84,325.28,343.81,3361586387,6268932728,
19/1/2020,338.40,362.15,323.11,338.31,4458226713,6167961887,
18/1/2020,367.41,398.89,334.84,339.12,6041778648,6182276116,
17/1/2020,326.38,379.68,320.62,366.98,5128628377,6689508806,
16/1/2020,339.68,341.24,311.56,325.98,3652947113,5941556881,
15/1/2020,348.72,358.82,319.01,339.40,5240635087,6185484056,
14/1/2020,267.64,364.16,267.53,350.26,6618289058,6382913206,
13/1/2020,268.41,270.77,261.87,267.52,1884541173,4874569980,
12/1/2020,261.10,269.07,259.28,268.24,2168514332,4887148233,
11/1/2020,270.20,276.63,259.81,260.68,2487051623,4748986487,
10/1/2020,239.55,271.77,232.64,270.73,2986773814,4931494248,
9/1/2020,241.00,243.05,232.35,239.22,1908677851,4357194742,
8/1/2020,243.08,251.30,234.39,241.06,2424659797,4390124757,
7/1/2020,244.71,245.84,234.18,243.26,2234914578,4429804165,
6/1/2020,224.35,245.11,223.69,244.56,2328224536,4453007524,
5/1/2020,225.78,228.22,222.35,224.10,1681830248,4080035773,
4/1/2020,222.54,227.46,220.28,226.02,1861485049,4114630710,
3/1/2020,196.01,224.95,192.98,222.41,2644279656,4048583336,
2/1/2020,204.35,205.14,194.07,195.70,1432801807,3561934035,
1/1/2020,204.67,208.08,203.21,204.40,1456113692,3719917644,
31/12/2019,209.30,214.24,202.04,204.62,1713535483,3723637897,
30/12/2019,212.88,215.99,207.41,209.40,1804979491,3810326526,
29/12/2019,206.25,215.50,205.04,212.96,1856273467,3874556156,
28/12/2019,203.29,209.94,203.11,206.41,1909698747,3755092935,
27/12/2019,188.32,204.71,187.18,203.33,2017127633,3698638472,
26/12/2019,187.27,193.00,185.53,188.56,1309782083,3429665196,
25/12/2019,189.72,190.30,185.49,187.18,1671819392,3404158932,
24/12/2019,190.74,194.13,187.34,189.50,1514958689,3446007698,
23/12/2019,196.29,197.61,189.91,190.52,1744349961,3464242250,
22/12/2019,187.44,197.68,187.07,196.66,1549039085,3575561679,
21/12/2019,188.22,189.26,186.35,187.74,1267951911,3413070441,
20/12/2019,187.68,190.81,185.91,188.17,1409786653,3420569948,
19/12/2019,189.40,191.99,183.21,187.63,2025407707,3410445083,
18/12/2019,177.26,190.68,172.95,189.73,2471323830,3448296898,
17/12/2019,197.12,198.11,175.25,177.41,1772467634,3223944929,
16/12/2019,207.54,208.40,195.69,197.15,1613646363,3582271933,
15/12/2019,207.46,209.97,200.81,207.36,1364339247,3767572455,
14/12/2019,211.24,213.23,206.42,207.50,1248149986,3769578548,
13/12/2019,207.72,212.82,206.49,211.09,1255832120,3834519012,
12/12/2019,207.42,208.80,205.33,207.71,1276162238,3772777656,
11/12/2019,208.10,209.95,206.46,207.18,1091099892,3762750935,
10/12/2019,209.83,210.09,206.17,208.30,1171037352,3782704326,
9/12/2019,214.06,215.43,208.24,209.85,1168994670,3810511823,
8/12/2019,212.93,216.95,210.96,214.36,1048971273,3891948419,
7/12/2019,213.78,215.81,212.41,212.65,1042909181,3860575905,
6/12/2019,213.38,215.27,210.40,213.22,1119431926,3870472225,
5/12/2019,209.22,221.66,206.93,213.29,1198480068,3871392399,
4/12/2019,212.68,216.60,205.89,209.29,1441054845,3798514529,
3/12/2019,215.50,217.16,211.62,212.86,1072206668,3862794370,
2/12/2019,216.38,218.92,212.36,215.66,1164376888,3913199174,
1/12/2019,218.99,219.26,212.50,216.17,1260404762,3922144119,
30/11/2019,224.98,226.76,217.43,218.91,1309092627,3971434832,
29/11/2019,218.89,225.69,218.44,224.81,1475684082,4078066144,
28/11/2019,220.12,226.24,218.58,218.74,1391327826,3967553739,
27/11/2019,212.36,224.12,206.61,220.41,1963457159,3997547767,
26/11/2019,208.78,214.93,208.35,212.93,1808857014,3861504453,
25/11/2019,205.24,215.30,194.76,209.24,2401604928,3794036862,
24/11/2019,217.29,217.91,205.14,205.15,2128845957,3719555398,
23/11/2019,209.10,217.36,202.89,217.34,2407778555,3940197869,
22/11/2019,226.70,229.26,198.15,208.93,3382940612,3787329094,
21/11/2019,244.20,246.82,222.46,226.60,2401952813,4107271775,
20/11/2019,244.34,248.62,241.52,244.24,1805761006,4426589668,
19/11/2019,250.17,253.92,236.83,244.41,2131441345,4429141571,
18/11/2019,268.47,269.80,246.33,250.18,2115048013,4533460759,
17/11/2019,267.71,274.04,264.40,268.74,1565942482,4869324517,
16/11/2019,264.96,269.50,263.40,267.70,1481946683,4849880730,
15/11/2019,280.07,280.27,264.04,264.71,1918658721,4795268314,
14/11/2019,286.24,287.01,277.44,279.56,1835340820,5063764909,
13/11/2019,289.04,289.66,284.09,286.49,1555824951,5188837230,
12/11/2019,287.18,291.64,284.55,289.24,1840497856,5238065361,
11/11/2019,293.57,297.01,284.39,287.16,1873466817,5199842645,
10/11/2019,282.73,296.04,281.32,293.48,2125907737,5313685658,
9/11/2019,277.90,284.10,277.88,282.74,1689515654,5118863818,
8/11/2019,293.83,294.61,274.30,277.98,2226108792,5032069448,
7/11/2019,306.29,306.67,289.45,293.50,2183103768,5312581525,
6/11/2019,293.46,307.36,292.64,306.23,2418826077,5542406467,
5/11/2019,291.78,295.80,287.93,293.71,2269171137,5315239099,
4/11/2019,292.80,293.98,286.84,291.85,2478124574,5281034076,
3/11/2019,290.73,303.13,283.73,292.71,2598715593,5296136970,
2/11/2019,279.22,295.23,278.98,290.72,2353771063,5259529632,
1/11/2019,284.49,284.49,274.11,279.14,2375427805,5049556631,
31/10/2019,290.40,296.56,274.43,284.48,2933178100,5145642139,
30/10/2019,289.19,303.61,285.74,290.63,3583344209,5256428279,
29/10/2019,265.38,295.47,264.28,288.96,4123613696,5225681741,
28/10/2019,261.15,274.81,260.11,265.41,3107818242,4799371733,
27/10/2019,252.56,265.96,246.34,261.25,3228198618,4723673729,
26/10/2019,259.53,277.12,244.46,252.51,3875753112,4565115347,
25/10/2019,214.21,265.03,213.81,259.17,3309084358,4685079701,
24/10/2019,210.30,218.43,208.06,214.05,1752820854,3869035864,
23/10/2019,228.01,228.58,203.07,210.38,1844311891,3802291993,
22/10/2019,233.36,234.58,227.44,228.04,1475891269,4121197132,
21/10/2019,224.93,236.73,224.11,233.26,1658436725,4214958979,
20/10/2019,214.14,227.04,212.81,224.93,1366308264,4063978004,
19/10/2019,212.62,216.08,211.59,213.98,1162614339,3865829058,
18/10/2019,221.28,221.28,211.04,212.65,1320439938,3841388167,
17/10/2019,218.21,221.43,215.58,221.43,1192766014,3999716237,
16/10/2019,222.86,225.76,215.23,218.20,1422464232,3940974652,
15/10/2019,228.54,229.14,221.08,222.83,1329643411,4024099898,
14/10/2019,223.96,229.09,223.83,228.59,1181648353,4127724343,
13/10/2019,225.04,228.90,223.07,224.12,1113479953,4046676734,
12/10/2019,222.73,228.10,222.73,225.10,1276328578,4063979952,
11/10/2019,230.18,233.99,221.38,222.59,1430107191,4018292195,
10/10/2019,239.42,240.12,229.73,230.11,1559031120,4153494466,
9/10/2019,232.55,240.37,229.74,239.44,1466835870,4321609717,
8/10/2019,234.22,239.05,229.17,232.36,1430440347,4193283875,
7/10/2019,223.26,238.35,221.60,234.24,1574411233,4226747948,
6/10/2019,223.22,224.13,220.42,223.41,1104864272,4031015785,
5/10/2019,223.13,224.19,219.34,223.17,1049368204,4026164980,
4/10/2019,222.66,225.71,220.70,223.25,1186189217,4027305028,
3/10/2019,225.76,225.98,219.38,222.58,1111283911,4014761921,
2/10/2019,224.79,226.56,221.79,225.89,1372176230,4074135489,
1/10/2019,228.26,236.08,221.17,224.76,1778003922,4053313929,
30/9/2019,220.45,230.26,215.06,228.12,1646589372,4113583441,
29/9/2019,228.87,229.21,215.17,220.43,1523703377,3974487247,
28/9/2019,222.62,231.85,220.86,228.83,1675667458,4125600089,
27/9/2019,216.02,223.97,211.43,222.56,1903875542,4012039010,
26/9/2019,229.27,229.27,208.17,216.20,2113715407,3897028541,
25/9/2019,222.25,235.14,219.03,229.41,2601638827,4134747962,
24/9/2019,293.12,294.06,216.06,222.35,2916790532,4007054982,
23/9/2019,308.22,308.47,293.07,293.07,1433579087,5280913480,
22/9/2019,312.23,312.68,304.21,308.30,1324458033,5554995552,
21/9/2019,315.74,318.10,311.16,312.48,1448816845,5629674071,
20/9/2019,323.82,325.07,312.26,315.37,1569334925,5681164930,
19/9/2019,324.63,324.63,309.92,323.70,1818328805,5830692746,
