Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,4.24,4.57,4.20,4.52,3717109097,4298039991,
4/2/2020,4.20,4.27,4.08,4.25,2817365160,4040806634,
3/2/2020,4.22,4.35,4.16,4.20,2957930221,3998552517,
2/2/2020,4.16,4.34,4.07,4.22,3141767219,4017311929,
1/2/2020,4.15,4.25,4.09,4.16,2870748186,3955723016,
31/1/2020,4.34,4.36,4.04,4.14,3713840781,3936220904,
30/1/2020,3.97,4.39,3.91,4.34,4566252853,4126427254,
29/1/2020,4.05,4.11,3.98,3.98,3423336508,3782949471,
28/1/2020,3.96,4.10,3.90,4.05,3925809248,3851064835,
27/1/2020,3.65,4.04,3.65,3.96,3757546389,3767795940,
26/1/2020,3.52,3.67,3.46,3.65,2433244477,3469183865,
25/1/2020,3.64,3.65,3.52,3.53,2049669643,3354544383,
24/1/2020,3.57,3.70,3.38,3.64,3096790654,3460887409,
23/1/2020,3.65,3.65,3.51,3.57,2743868030,3395646928,
22/1/2020,3.66,3.72,3.61,3.65,2301041589,3467325837,
21/1/2020,3.61,3.68,3.57,3.66,2203424938,3478981376,
20/1/2020,3.61,3.68,3.50,3.61,2591073497,3428417470,
19/1/2020,3.82,3.92,3.49,3.62,3788848657,3432470109,
18/1/2020,3.92,3.99,3.75,3.82,4128192850,3623635638,
17/1/2020,3.83,4.05,3.77,3.92,5243775637,3723425926,
16/1/2020,3.77,3.88,3.56,3.83,4318641349,3636545244,
15/1/2020,3.82,3.91,3.61,3.77,5464624786,3576523316,
14/1/2020,3.11,3.98,3.11,3.83,5879519788,3634155842,
13/1/2020,3.19,3.20,3.07,3.11,2064806455,2950326757,
12/1/2020,2.99,3.21,2.95,3.19,2568583191,3027171393,
11/1/2020,2.97,3.11,2.94,2.99,2568512720,2834147693,
10/1/2020,2.76,2.97,2.67,2.97,2700372562,2814060882,
9/1/2020,2.79,2.80,2.71,2.76,1870288711,2619967392,
8/1/2020,2.85,2.93,2.75,2.79,2680039142,2643949107,
7/1/2020,2.85,2.88,2.78,2.85,2436150896,2704276005,
6/1/2020,2.70,2.86,2.70,2.86,2350209737,2706667583,
5/1/2020,2.67,2.78,2.67,2.70,1993836540,2559643918,
4/1/2020,2.64,2.67,2.62,2.67,1568801391,2527254005,
3/1/2020,2.47,2.66,2.45,2.64,2170632578,2498294605,
2/1/2020,2.60,2.61,2.45,2.46,1572601949,2331925311,
1/1/2020,2.58,2.63,2.57,2.60,1430406509,2459275340,
31/12/2019,2.65,2.65,2.56,2.58,1560847337,2443242002,
30/12/2019,2.69,2.73,2.63,2.65,1739057482,2504275654,
29/12/2019,2.63,2.72,2.62,2.69,1728744339,2548344836,
28/12/2019,2.58,2.68,2.58,2.63,1873103250,2489324041,
27/12/2019,2.53,2.62,2.52,2.58,1782578088,2441898594,
26/12/2019,2.51,2.60,2.49,2.53,1837516290,2389810424,
25/12/2019,2.56,2.57,2.49,2.51,1646588723,2370916962,
24/12/2019,2.53,2.61,2.51,2.56,1943439153,2420431322,
23/12/2019,2.54,2.60,2.51,2.53,2129028878,2388687459,
22/12/2019,2.46,2.56,2.46,2.54,1641276178,2402901554,
21/12/2019,2.50,2.50,2.44,2.46,1281737213,2326664826,
20/12/2019,2.47,2.54,2.45,2.50,1647892058,2363147250,
19/12/2019,2.46,2.49,2.39,2.47,1963309883,2334660770,
18/12/2019,2.21,2.49,2.19,2.46,2701425260,2326734947,
17/12/2019,2.38,2.39,2.17,2.21,2236011064,2083465418,
16/12/2019,2.57,2.58,2.34,2.38,1984518165,2252257533,
15/12/2019,2.58,2.59,2.48,2.57,1201756312,2430995703,
14/12/2019,2.63,2.64,2.58,2.58,1274737529,2439344380,
13/12/2019,2.60,2.64,2.58,2.63,1282446517,2480230194,
12/12/2019,2.58,2.62,2.54,2.60,1684872253,2451824283,
11/12/2019,2.62,2.64,2.57,2.58,1405569463,2435591047,
10/12/2019,2.67,2.68,2.60,2.62,1317976157,2477084349,
9/12/2019,2.76,2.76,2.65,2.67,1408997919,2522871267,
8/12/2019,2.74,2.78,2.72,2.76,1081418816,2603139258,
7/12/2019,2.74,2.76,2.72,2.74,1086278336,2585068284,
6/12/2019,2.71,2.74,2.68,2.74,1372074449,2580162276,
5/12/2019,2.65,2.82,2.64,2.70,1407996874,2550045015,
4/12/2019,2.70,2.74,2.60,2.65,1991656646,2497719668,
3/12/2019,2.69,2.74,2.65,2.70,1391933885,2549066942,
2/12/2019,2.78,2.80,2.66,2.69,1641895350,2531453856,
1/12/2019,2.76,2.84,2.68,2.78,1792147034,2618290742,
30/11/2019,2.80,2.83,2.74,2.76,1537950803,2598670742,
