Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,18.20,19.41,18.17,19.22,301486499,2988645526,
4/2/2020,18.47,18.60,17.90,18.18,213533737,2827247893,
3/2/2020,18.45,18.79,18.23,18.46,227749150,2871636149,
2/2/2020,18.20,18.77,17.90,18.45,256209045,2869369978,
1/2/2020,18.20,18.57,18.07,18.22,238461925,2833617693,
31/1/2020,18.59,18.84,17.85,18.21,245035922,2832476037,
30/1/2020,17.92,18.70,17.73,18.59,264686498,2891490938,
29/1/2020,18.07,18.43,17.88,17.91,221674739,2786094248,
28/1/2020,17.68,18.12,17.50,18.12,257579475,2817568636,
27/1/2020,17.44,17.90,17.28,17.69,227584506,2751653009,
26/1/2020,16.97,17.49,16.87,17.44,248646036,2712347641,
25/1/2020,17.05,17.11,16.60,16.98,208315919,2640407667,
24/1/2020,17.03,17.40,16.49,17.05,213341615,2651498156,
23/1/2020,17.81,17.82,16.79,17.02,221009513,2647453375,
22/1/2020,18.12,18.35,17.60,17.80,237634401,2768298455,
21/1/2020,17.33,18.15,17.17,18.13,295922233,2819517646,
20/1/2020,17.39,17.55,16.86,17.33,245125919,2694716492,
19/1/2020,17.83,18.44,16.84,17.37,266285621,2701556607,
18/1/2020,18.13,18.31,17.56,17.82,257317647,2772273817,
17/1/2020,17.11,18.36,17.09,18.14,347229168,2820689255,
16/1/2020,17.65,17.66,16.44,17.08,260423404,2656091975,
15/1/2020,16.60,18.10,16.39,17.65,380806616,2745971388,
14/1/2020,15.22,16.79,15.19,16.63,299316969,2585972299,
13/1/2020,15.32,15.36,14.99,15.23,211785744,2368399884,
12/1/2020,14.95,15.47,14.87,15.32,231150158,2383146449,
11/1/2020,15.02,15.25,14.78,14.95,201663503,2324702656,
10/1/2020,14.48,15.03,14.18,15.03,200173072,2337067557,
9/1/2020,14.59,14.61,14.31,14.50,169699829,2255020118,
8/1/2020,15.02,15.24,14.34,14.60,183632222,2271292397,
7/1/2020,14.97,15.14,14.57,15.01,191948560,2334489402,
6/1/2020,14.11,15.00,14.11,14.96,224800409,2326488219,
5/1/2020,13.89,14.41,13.89,14.11,202552703,2194781443,
4/1/2020,13.67,13.92,13.56,13.89,182230374,2160640037,
3/1/2020,13.04,13.76,13.01,13.66,173683857,2124701780,
2/1/2020,13.70,13.72,12.99,13.03,156376427,2026178426,
1/1/2020,13.73,13.87,13.65,13.69,172980718,2129155037,
31/12/2019,13.95,14.10,13.65,13.73,166278254,2135152371,
30/12/2019,14.16,14.47,13.92,13.95,187275635,2169339286,
29/12/2019,13.70,14.23,13.65,14.15,225354585,2200851434,
28/12/2019,13.35,13.79,13.33,13.71,197525901,2131695468,
27/12/2019,13.21,13.44,13.12,13.36,164413385,2078393489,
26/12/2019,13.18,13.52,13.16,13.21,157660620,2054427896,
25/12/2019,13.46,13.48,13.07,13.17,152718120,2049171218,
24/12/2019,13.38,13.77,13.33,13.44,177372409,2091124420,
23/12/2019,13.81,14.00,13.31,13.37,159105887,2079375570,
22/12/2019,13.39,13.85,13.37,13.84,204111890,2151987387,
21/12/2019,13.57,13.58,13.33,13.38,192827533,2081183680,
20/12/2019,13.46,13.59,13.23,13.57,203861105,2110754367,
19/12/2019,13.57,13.78,12.97,13.45,174965245,2091312286,
18/12/2019,12.38,13.61,12.29,13.54,234697405,2105229821,
17/12/2019,13.56,13.58,12.18,12.39,186995962,1926624068,
16/12/2019,14.49,14.53,13.46,13.56,178952097,2108889027,
15/12/2019,14.51,14.57,14.19,14.49,167670329,2253796378,
14/12/2019,14.88,15.01,14.37,14.51,173092733,2256062410,
13/12/2019,14.82,15.00,14.74,14.88,177476227,2314190903,
12/12/2019,14.82,14.90,14.56,14.82,165964330,2304769038,
11/12/2019,14.95,15.12,14.71,14.82,170909631,2305761910,
10/12/2019,15.44,15.47,14.78,14.96,192615787,2326653545,
9/12/2019,15.67,15.85,15.35,15.45,209955476,2402814942,
8/12/2019,15.66,15.85,15.51,15.67,223721643,2437963813,
7/12/2019,15.70,15.85,15.63,15.67,242693199,2436807070,
6/12/2019,15.77,15.86,15.45,15.71,236694082,2443683754,
5/12/2019,15.26,16.08,14.95,15.76,255410908,2451700222,
4/12/2019,15.35,15.69,15.01,15.28,237605471,2376597490,
3/12/2019,15.19,15.55,15.05,15.31,219927266,2381198047,
2/12/2019,15.51,15.71,15.15,15.19,200809249,2362891697,
1/12/2019,15.74,15.74,15.05,15.50,203268417,2410249227,
30/11/2019,16.26,16.37,15.54,15.72,213428131,2444407390,
29/11/2019,15.68,16.34,15.65,16.27,250074235,2531096195,
28/11/2019,16.10,16.23,15.65,15.68,194516396,2439314462,
27/11/2019,15.49,16.20,14.94,16.10,255021618,2503874750,
26/11/2019,15.27,15.86,15.23,15.53,205893351,2415058208,
25/11/2019,15.29,15.74,14.20,15.27,242510343,2374635550,
24/11/2019,16.40,16.49,15.28,15.28,232363837,2376408889,
23/11/2019,15.58,16.47,15.15,16.42,255961052,2553835169,
22/11/2019,16.84,17.27,14.69,15.58,341456274,2423526845,
21/11/2019,18.16,18.19,16.62,16.84,228429806,2619271948,
20/11/2019,18.71,18.93,17.85,18.17,210091849,2826455734,
19/11/2019,19.31,19.63,18.38,18.70,206923366,2909049614,
18/11/2019,20.34,20.43,18.94,19.32,224380017,3004482390,
17/11/2019,20.28,20.62,20.03,20.26,224982344,3151297091,
16/11/2019,20.32,20.63,20.09,20.28,211016746,3154697160,
15/11/2019,21.24,21.29,20.18,20.32,225530775,3159918981,
14/11/2019,21.28,21.51,20.97,21.26,237992230,3307441359,
13/11/2019,20.87,21.64,20.71,21.25,252296146,3305222292,
12/11/2019,20.14,20.86,20.09,20.86,227650068,3244098617,
11/11/2019,20.48,20.64,19.92,20.13,209454454,3131442373,
10/11/2019,19.73,20.63,19.73,20.48,239714468,3185665329,
9/11/2019,19.68,19.98,19.60,19.74,176812608,3069586392,
8/11/2019,20.69,20.69,19.47,19.69,184596047,3062638047,
7/11/2019,20.81,20.96,20.25,20.65,222003636,3211356528,
6/11/2019,20.72,20.92,20.28,20.82,241489968,3237951225,
5/11/2019,20.74,20.92,20.45,20.72,263685442,3223447634,
4/11/2019,20.23,20.92,20.18,20.74,296502530,3225517472,
3/11/2019,20.27,20.43,19.89,20.21,257571666,3142781986,
2/11/2019,20.02,20.40,19.86,20.27,273890078,3152261627,
1/11/2019,19.99,20.06,19.78,20.02,198377285,3114078497,
31/10/2019,20.10,20.40,19.54,20.00,250225840,3110770519,
30/10/2019,20.49,20.58,19.23,20.09,250293832,3124258265,
29/10/2019,19.81,20.92,19.70,20.48,317609149,3184941705,
28/10/2019,19.34,20.90,19.31,19.76,337867337,3073144009,
27/10/2019,18.89,19.59,18.57,19.35,292948855,3008958175,
26/10/2019,18.63,19.78,18.18,18.89,292124012,2938042518,
25/10/2019,17.07,18.91,16.48,18.62,344418868,2895480470,
24/10/2019,16.71,17.16,16.49,16.89,200253301,2627259624,
23/10/2019,18.20,18.30,16.42,16.71,201092098,2599201125,
22/10/2019,18.30,18.80,18.17,18.20,234929207,2830084058,
21/10/2019,18.46,18.51,18.06,18.31,188130463,2847185142,
20/10/2019,18.29,18.57,17.88,18.44,225458859,2867774149,
19/10/2019,18.25,18.51,17.97,18.29,211728668,2844540342,
18/10/2019,18.58,18.75,17.81,18.25,208244557,2839196964,
17/10/2019,17.84,18.76,17.71,18.57,250474298,2888358527,
16/10/2019,18.52,18.60,17.52,17.84,229668087,2774782680,
15/10/2019,18.43,19.15,18.20,18.54,325479444,2884374240,
14/10/2019,18.31,18.62,17.95,18.46,246674814,2871126616,
13/10/2019,17.26,18.76,17.18,18.31,275090600,2847569964,
12/10/2019,16.71,17.51,16.69,17.28,228500831,2687348920,
11/10/2019,17.57,17.63,16.71,16.71,194750430,2598945538,
10/10/2019,17.80,17.95,17.13,17.57,236960467,2732959386,
9/10/2019,16.11,17.97,16.01,17.81,295619363,2769576934,
8/10/2019,16.14,16.35,15.89,16.11,135346905,2505415410,
7/10/2019,15.34,16.19,15.19,16.13,147393768,2509483159,
6/10/2019,15.72,15.75,15.26,15.35,116659103,2387329910,
5/10/2019,15.75,15.80,15.47,15.72,123665932,2445593918,
4/10/2019,15.72,15.90,15.50,15.76,121510968,2450498699,
3/10/2019,15.95,16.01,15.43,15.73,117720712,2446088605,
2/10/2019,15.91,15.97,15.67,15.95,106103588,2480818020,
1/10/2019,15.88,16.29,15.78,15.90,125165661,2473533188,
30/9/2019,15.31,15.87,14.87,15.86,124329060,2467228254,
29/9/2019,15.85,15.92,15.14,15.31,109712932,2380504960,
28/9/2019,15.79,15.96,15.56,15.85,123900187,2465477590,
27/9/2019,15.46,15.82,14.93,15.79,139548410,2455965666,
26/9/2019,16.26,16.59,14.84,15.46,157594803,2404567795,
25/9/2019,16.06,16.60,15.20,16.26,179697117,2528773872,
24/9/2019,19.48,19.63,15.98,16.07,229488109,2499115713,
23/9/2019,20.53,20.53,19.47,19.49,146934616,3030706995,
22/9/2019,21.09,21.09,20.26,20.53,153747684,3192478010,
21/9/2019,21.38,21.54,20.99,21.08,175114438,3279053001,
20/9/2019,21.63,21.64,21.09,21.37,198988737,3324048452,
19/9/2019,22.24,22.49,20.63,21.61,249524458,3361863927,
18/9/2019,21.01,22.90,21.01,22.26,369440814,3461538669,
17/9/2019,20.40,21.36,20.28,21.01,209209108,3267105838,
16/9/2019,20.60,20.97,20.20,20.40,143466438,3172717473,
15/9/2019,21.07,21.13,20.60,20.60,151856190,3203891493,
14/9/2019,20.90,21.20,20.88,21.07,163028906,3277404969,
13/9/2019,20.93,21.31,20.64,20.89,171327680,3248767822,
12/9/2019,20.89,21.03,19.96,20.92,202313591,3254182239,
11/9/2019,21.91,22.04,20.77,20.90,147044919,3250611594,
10/9/2019,22.29,22.41,21.63,21.91,139754246,3407987322,
9/9/2019,22.57,22.65,21.98,22.29,155543678,3466507440,
8/9/2019,22.57,22.83,22.38,22.56,175027324,3509171073,
7/9/2019,22.14,22.67,22.07,22.55,203280778,3507193557,
6/9/2019,22.76,23.42,21.82,22.15,240129733,3445627920,
5/9/2019,21.82,23.54,21.57,22.76,259054353,3540186403,
4/9/2019,22.53,22.67,21.67,21.80,148909991,3390126221,
3/9/2019,22.76,22.93,22.37,22.51,181166381,3501837462,
2/9/2019,21.57,22.89,21.20,22.77,237417710,3541124996,
1/9/2019,21.26,21.78,21.17,21.57,173772205,3354720068,
31/8/2019,22.21,22.44,21.19,21.27,167589166,3307630392,
30/8/2019,21.89,22.62,21.64,22.22,196253457,3455847937,
29/8/2019,23.69,23.69,21.82,21.89,200824073,3404637328,
28/8/2019,25.70,26.02,23.69,23.70,206092745,3686666048,
27/8/2019,26.12,26.15,25.10,25.69,196715449,3995579226,
26/8/2019,26.14,27.08,25.86,26.11,277691463,4060803662,
25/8/2019,26.49,26.53,25.87,26.13,165296408,4064461677,
24/8/2019,27.16,27.16,26.23,26.50,164452279,4121048295,
23/8/2019,27.09,27.39,26.85,27.17,195437616,4226014866,
22/8/2019,26.99,27.45,26.43,27.09,193368566,4213363666,
21/8/2019,28.17,28.17,26.59,26.99,198468093,4198513863,
20/8/2019,28.81,28.81,28.06,28.17,209875661,4381078784,
19/8/2019,27.95,29.06,27.82,28.81,259250527,4480857766,
18/8/2019,27.49,28.10,27.18,27.93,229491438,4344520680,
17/8/2019,27.65,27.94,27.14,27.48,196083314,4274230064,
16/8/2019,28.06,28.08,26.90,27.64,203654965,4299745921,
15/8/2019,27.10,28.18,26.70,28.04,248072109,4361785696,
14/8/2019,29.46,29.47,27.10,27.11,227534067,4215913076,
13/8/2019,30.17,30.36,29.27,29.47,241841209,4583088148,
12/8/2019,30.08,30.48,29.85,30.17,278357603,4692057690,
11/8/2019,29.68,30.29,29.51,30.06,263951565,4675006646,
10/8/2019,29.94,30.05,29.17,29.68,248736115,4616618693,
9/8/2019,30.87,31.18,29.91,29.96,222912268,4660109133,
8/8/2019,29.37,31.30,29.03,30.83,404379079,4795639295,
7/8/2019,27.64,29.61,27.44,29.35,314659493,4565682087,
6/8/2019,28.04,28.43,27.35,27.64,192614971,4298737322,
5/8/2019,27.54,28.33,27.50,28.01,183750146,4356875572,
4/8/2019,27.88,28.07,27.36,27.56,136844756,4285994667,
3/8/2019,28.08,28.43,27.74,27.89,153702445,4337897094,
2/8/2019,28.78,28.78,27.82,28.04,197026849,4361013466,
1/8/2019,27.62,28.82,27.57,28.77,287326494,4475300389,
31/7/2019,26.96,27.76,26.94,27.64,202950576,4299743458,
30/7/2019,27.22,27.23,26.59,26.94,148410035,4190517356,
29/7/2019,27.81,27.88,27.04,27.20,146207597,4231107382,
28/7/2019,27.90,27.93,26.97,27.84,163990878,4329390810,
27/7/2019,28.98,29.36,27.58,27.89,191655093,4337238486,
26/7/2019,28.99,29.15,28.54,28.98,231263489,4507327768,
25/7/2019,29.13,29.55,28.70,29.00,248126220,4510942714,
24/7/2019,29.58,29.63,28.21,29.16,265315497,4536028908,
23/7/2019,30.64,30.76,29.26,29.59,324109274,4601584124,
22/7/2019,30.54,32.11,29.81,30.63,416965642,4764802878,
21/7/2019,30.92,31.31,29.64,30.52,285097790,4746909287,
20/7/2019,29.09,31.19,29.07,30.87,367891866,4801767338,
19/7/2019,28.92,29.78,28.42,29.08,483963124,4522757866,
18/7/2019,27.26,29.16,26.94,28.92,711895799,4498559027,
17/7/2019,25.52,27.95,24.90,27.22,572389805,2971713195,
16/7/2019,28.38,29.30,25.50,25.53,439515318,2786705508,
15/7/2019,28.93,29.01,27.25,28.39,384045964,3099868490,
14/7/2019,31.55,31.65,28.85,28.92,299523499,4083399701,
13/7/2019,31.71,32.39,30.51,31.51,273938894,4448006685,
12/7/2019,29.65,32.21,29.34,31.69,417842730,4474462557,
11/7/2019,31.50,31.80,28.91,29.64,251161946,4184719947,
10/7/2019,32.70,32.97,30.96,31.48,270511687,4443834091,
9/7/2019,33.47,33.95,32.53,32.71,210904382,4617518454,
8/7/2019,33.26,34.25,33.10,33.47,257698795,4725098655,
7/7/2019,32.52,33.49,32.45,33.24,198859381,4692823028,
6/7/2019,32.71,33.32,32.48,32.53,187247411,4592571450,
5/7/2019,33.00,33.64,32.45,32.71,232575484,4618296905,
4/7/2019,32.69,34.31,32.38,32.89,348186707,4643731176,
3/7/2019,32.03,33.09,31.80,32.67,248895676,4611850530,
2/7/2019,32.92,33.46,30.88,32.01,348029977,4518919331,
1/7/2019,32.44,33.93,31.69,32.92,290190904,4647821414,
30/6/2019,35.40,35.40,32.44,32.44,286632252,4580083462,
29/6/2019,34.59,35.53,33.28,35.36,369705514,4991980477,
28/6/2019,33.87,34.77,33.38,34.55,337534352,4877576207,
27/6/2019,35.73,35.83,32.76,33.82,375392572,4775062009,
26/6/2019,36.01,37.73,34.35,35.70,444226052,5039726760,
25/6/2019,37.39,37.39,35.77,36.01,293163090,5083488020,
24/6/2019,37.13,37.63,35.94,37.43,329001838,5284712263,
23/6/2019,37.83,38.34,37.03,37.13,369969675,5242513179,
22/6/2019,38.81,39.57,37.54,37.80,428828573,5336399154,
21/6/2019,36.69,38.89,36.34,38.82,438604247,5479856278,
20/6/2019,35.30,36.99,34.51,36.73,636578809,5184819736,
19/6/2019,34.36,35.68,34.36,35.29,509791358,4981687236,
18/6/2019,33.93,35.11,33.88,34.34,484975596,4847896840,
17/6/2019,32.39,34.20,32.38,33.92,439337220,4788373010,
16/6/2019,32.83,33.38,32.12,32.40,389404410,4574470640,
15/6/2019,33.06,33.96,32.37,32.83,489033316,4634207332,
14/6/2019,35.13,35.27,30.94,33.08,737850145,4669574216,
13/6/2019,34.60,36.00,34.35,35.14,512885462,4961350437,
12/6/2019,32.29,34.77,32.19,34.69,547786335,4896867645,
11/6/2019,32.07,32.32,31.40,32.26,393897651,4554696452,
10/6/2019,30.55,32.13,30.19,32.06,459590416,4526753535,
9/6/2019,32.06,32.15,30.49,30.56,336574887,4314081087,
8/6/2019,31.61,32.29,31.43,32.07,428041268,4526978557,
7/6/2019,31.47,32.18,31.34,31.59,342881981,4459378459,
6/6/2019,30.99,32.12,30.22,31.48,416584078,4444219166,
5/6/2019,29.42,31.18,29.26,31.01,464095694,4377324479,
4/6/2019,31.38,31.42,29.18,29.38,421064886,4147823994,
3/6/2019,33.19,33.20,31.20,31.39,417996141,4431774967,
2/6/2019,33.01,33.76,32.63,33.17,461362658,4683362944,
1/6/2019,32.75,33.76,32.54,33.01,572703757,4660718181,
31/5/2019,32.29,32.75,31.38,32.75,503989734,4623238353,
30/5/2019,33.78,35.50,31.48,32.29,517229671,4558706819,
