Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,1.00,1.01,0.993603,1.00,46504757742,4655543935,
2020-4-2,0.999364,1.01,0.996329,1.00,36950713371,4650469195,
2020-3-2,1.00,1.01,0.994314,0.998913,39849489336,4637320450,
2020-2-2,1.00,1.01,0.996096,1.00,40560625161,4644893208,
2020-1-2,1.00,1.00,0.997052,1.00,34763069931,4648011884,
2020-31-1,1.00,1.01,0.997409,1.00,40496855325,4645374934,
2020-30-1,1.00,1.01,0.997548,1.00,43624728074,4649109251,
2020-29-1,1.00,1.01,0.993174,1.00,42323320108,4653027307,
2020-28-1,1.00,1.01,0.991067,1.00,44123906993,4645895399,
2020-27-1,1.00,1.01,0.993230,1.00,37771545362,4651188602,
2020-26-1,1.00,1.01,0.997359,1.00,29121614731,4644708262,
2020-25-1,1.00,1.01,0.996539,1.00,26340299495,4652175067,
2020-24-1,0.999104,1.01,0.992917,1.00,33356108238,4656155507,
2020-23-1,1.00,1.01,0.996345,0.998409,33631459310,4634979849,
2020-22-1,1.00,1.00,0.997179,1.00,29749248330,4645128570,
2020-21-1,1.00,1.01,0.995219,1.00,31080893275,4648951979,
2020-20-1,0.998641,1.01,0.995383,1.00,33079894466,4640395834,
2020-19-1,1.00,1.03,0.993084,0.998535,42680566067,4630413451,
2020-18-1,1.00,1.01,0.993985,1.00,43805026250,4649919502,
2020-17-1,0.999287,1.01,0.989280,1.00,47263851458,4650379638,
2020-16-1,1.00,1.01,0.993361,0.999231,40752742739,4633460370,
2020-15-1,1.00,1.02,0.991055,0.999656,49045902728,4631431380,
2020-14-1,1.00,1.02,0.991961,1.00,57687160761,4635105703,
2020-13-1,1.00,1.01,0.998427,1.00,26468468000,4642166645,
2020-12-1,0.999443,1.01,0.994446,1.00,27250055613,4637604060,
2020-11-1,1.00,1.01,0.993385,1.00,31049760361,4626484305,
2020-10-1,1.00,1.01,0.994826,1.00,34207037022,4632826679,
2020-9-1,1.00,1.01,0.993994,1.01,28026673217,4641371711,
2020-8-1,1.00,1.02,0.990067,1.00,35175740304,4630671670,
2020-7-1,1.00,1.01,0.998249,1.00,32765511976,4633564969,
2020-6-1,1.01,1.01,0.999115,1.00,29460474864,4639019503,
2020-5-1,1.01,1.02,1.00,1.01,24090142146,4133500728,
2020-4-1,1.00,1.01,0.999160,1.01,21585629320,4138741037,
2020-3-1,1.00,1.02,0.988027,1.00,32420287856,4125267218,
2020-2-1,0.999788,1.01,0.986515,1.00,24212314977,4114474717,
2020-1-1,0.999571,1.01,0.994924,0.999836,21503143454,4107371140,
2019-31-12,1.01,1.01,0.997790,0.999679,24214120056,4106723975,
2019-30-12,1.00,1.01,1.00,1.01,27104097511,4133411934,
2019-29-12,1.01,1.03,0.999667,1.00,26657374932,4125339509,
2019-28-12,1.01,1.01,0.999761,1.00,25847515455,4109307163,
2019-27-12,1.00,1.02,0.994478,1.01,26617288047,4131884754,
2019-26-12,1.00,1.02,0.993212,1.00,27081119738,4124425332,
2019-25-12,1.01,1.04,0.991506,1.00,24502862889,4127192621,
2019-24-12,1.01,1.03,0.998950,1.01,27906575904,4143319248,
2019-23-12,1.00,1.01,0.993842,1.01,31988935316,4157901176,
2019-22-12,1.01,1.01,0.999044,1.00,26913344236,4124011171,
2019-21-12,1.01,1.01,0.987017,1.01,22141256341,4131700084,
2019-20-12,1.01,1.01,0.997677,1.01,27492020303,4132042361,
2019-19-12,1.01,1.02,0.992406,1.01,30032554753,4143245799,
2019-18-12,0.998285,1.03,0.991518,1.01,36156312247,4133220482,
2019-17-12,1.00,1.02,0.992619,0.993339,28074801122,4080682163,
2019-16-12,1.00,1.02,0.993509,1.00,23894286942,4124418769,
2019-15-12,1.01,1.02,0.983907,1.00,19575469230,4127007370,
2019-14-12,1.00,1.01,0.997095,1.01,19018920700,4133054794,
2019-13-12,1.01,1.01,0.996657,1.00,19588662449,4115239097,
2019-12-12,1.01,1.01,0.999792,1.01,21128996533,4132023198,
2019-11-12,1.01,1.04,0.979262,1.01,19625934979,4157024797,
2019-10-12,1.00,1.01,0.999571,1.01,19145357481,4132097335,
2019-9-12,1.01,1.01,0.997568,1.00,19283208376,4125515159,
2019-8-12,1.01,1.01,1.00,1.01,16556799286,4134238975,
2019-7-12,1.00,1.01,1.00,1.01,16402700924,4138492576,
2019-6-12,1.01,1.02,0.997518,1.00,19022188750,4122124904,
2019-5-12,1.01,1.02,0.997193,1.01,21171449599,4149419251,
2019-4-12,1.00,1.02,0.981153,1.01,24761899935,4140656482,
2019-3-12,1.00,1.01,0.991071,1.00,16691088420,4120924295,
2019-2-12,1.00,1.02,0.991988,1.00,19093390526,4114951368,
2019-1-12,1.00,1.02,0.995080,1.00,21027847332,4118235661,
2019-30-11,1.00,1.02,0.998375,1.00,19145198648,4115041871,
2019-29-11,1.00,1.01,0.992586,1.00,22304763156,4126616332,
2019-28-11,1.00,1.02,1.00,1.00,21502793846,4124805294,
2019-27-11,1.00,1.03,0.981392,1.01,27416693309,4128694013,
2019-26-11,1.00,1.02,0.995267,1.01,23545460689,4148191320,
2019-25-11,1.01,1.02,0.993995,1.00,33648447519,4120837393,
2019-24-11,1.01,1.03,1.00,1.02,25990545761,4180011937,
2019-23-11,1.00,1.03,0.998878,1.01,24605070720,4161983862,
2019-22-11,1.00,1.02,0.991656,1.00,39068899485,4120554484,
2019-21-11,1.01,1.02,0.998885,1.00,26004738831,4109731631,
2019-20-11,1.01,1.02,1.00,1.01,22255938426,4130393647,
2019-19-11,1.01,1.03,1.00,1.01,23104090327,4144883422,
2019-18-11,1.01,1.02,1.00,1.01,24102161964,4157375252,
2019-17-11,1.01,1.02,1.00,1.01,20418489157,4142844476,
2019-16-11,1.00,1.01,1.00,1.01,18225904912,4135759004,
2019-15-11,1.01,1.02,0.995398,1.00,25291395573,4113666666,
2019-14-11,1.00,1.01,0.998471,1.01,21911169228,4130975243,
2019-13-11,1.00,1.01,0.999717,1.00,20071939197,4121088708,
2019-12-11,1.00,1.01,0.997774,1.00,23449537112,4113788114,
2019-11-11,1.00,1.01,0.997627,1.00,23739145075,4118061437,
2019-10-11,1.00,1.01,0.988144,1.00,24552202767,4119110881,
2019-9-11,1.00,1.01,0.998939,1.00,20459420156,4108822609,
2019-8-11,1.01,1.01,0.998418,1.00,28749114086,4118305231,
