Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,0.897513,0.909675,0.893651,0.905234,9457836,904779986,
4/2/2020,0.883211,0.906256,0.880350,0.897504,10173522,897053852,
3/2/2020,0.887624,0.896915,0.880572,0.883461,8982138,883018520,
2/2/2020,0.871767,0.897080,0.869311,0.887624,8885116,887179304,
1/2/2020,0.871814,0.875763,0.860842,0.871858,9749461,871420993,
31/1/2020,0.887149,0.890038,0.870426,0.872486,9889743,872048910,
30/1/2020,0.904884,0.906591,0.875331,0.887038,8893776,886593025,
29/1/2020,0.904795,0.911500,0.900780,0.905267,9119955,904812947,
28/1/2020,0.899943,0.920207,0.888113,0.903684,9414267,903230997,
27/1/2020,0.897328,0.909220,0.891753,0.900939,8804619,900487481,
26/1/2020,0.909446,0.911359,0.897492,0.897753,7315075,897302847,
25/1/2020,0.914976,0.915708,0.905198,0.909602,7914038,909146457,
24/1/2020,0.903977,0.916337,0.902715,0.914598,8629720,914140071,
23/1/2020,0.893807,0.906374,0.864878,0.903977,10263346,903524198,
22/1/2020,0.898961,0.903272,0.889550,0.894371,7762007,893922597,
21/1/2020,0.872544,0.902235,0.871928,0.899999,7189720,899547860,
20/1/2020,0.873684,0.925373,0.865279,0.871847,8345767,871410044,
19/1/2020,0.912075,0.930769,0.873684,0.873684,8551701,873246391,
18/1/2020,0.896680,0.914939,0.886598,0.912075,9338810,911617874,
17/1/2020,0.864101,0.912087,0.862227,0.895758,8709524,895308658,
16/1/2020,0.908753,0.918012,0.858697,0.863213,8170884,862780466,
15/1/2020,0.894728,0.921271,0.883427,0.907620,7948446,907165398,
14/1/2020,0.847126,0.907147,0.840233,0.896068,8535621,895618808,
13/1/2020,0.870186,0.870412,0.842880,0.846822,7602413,846397216,
12/1/2020,0.860728,0.875225,0.856540,0.870705,7898535,870268309,
11/1/2020,0.871832,0.886055,0.855090,0.859647,8677610,859215993,
10/1/2020,0.867510,0.892691,0.859323,0.870496,8387854,870060185,
9/1/2020,0.902212,0.902359,0.861662,0.869860,8461125,869423959,
8/1/2020,0.885718,0.910808,0.880438,0.901527,8487726,901075670,
7/1/2020,0.871700,0.888822,0.864739,0.885718,7846688,885273842,
6/1/2020,0.857237,0.877281,0.852774,0.871700,7736059,871262887,
5/1/2020,0.851779,0.865185,0.847994,0.856983,6421925,856553225,
4/1/2020,0.851496,0.860545,0.841673,0.851883,6349394,851455960,
3/1/2020,0.826151,0.854072,0.816582,0.851479,6575515,851052242,
2/1/2020,0.820602,0.831689,0.813602,0.821820,6016153,821407995,
1/1/2020,0.816284,0.826016,0.812007,0.819960,6094720,819549224,
31/12/2019,0.816356,0.826781,0.811248,0.816284,8253408,815875153,
30/12/2019,0.823171,0.832460,0.807973,0.816223,6553717,815813606,
29/12/2019,0.816850,0.837397,0.813603,0.823993,6545582,823580468,
28/12/2019,0.824664,0.843183,0.809887,0.816964,6554039,816554405,
27/12/2019,0.840322,0.842553,0.820688,0.824272,7062534,823858772,
26/12/2019,0.823974,0.841396,0.815617,0.839412,7160955,838991839,
25/12/2019,0.817216,0.832411,0.803558,0.823673,6074928,823260064,
24/12/2019,0.831177,0.833011,0.807039,0.817216,7650904,816806339,
