Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,111.14,123.01,110.58,122.27,1040214025,1138445784,
4/2/2020,116.20,117.19,109.69,111.14,767274423,1034623862,
3/2/2020,115.60,117.72,115.14,116.20,805030077,1081551173,
2/2/2020,117.44,118.40,114.59,115.62,795391925,1075967933,
1/2/2020,116.52,119.65,115.93,117.47,809915887,1092986551,
31/1/2020,122.55,124.34,114.62,116.43,995498642,1083076228,
30/1/2020,121.81,124.86,118.67,122.47,1175856865,1139115564,
29/1/2020,116.18,126.94,115.55,122.04,1310968165,1134218623,
28/1/2020,113.27,117.11,111.78,116.20,1056404598,1079764827,
27/1/2020,111.01,119.25,111.01,113.27,1185315336,1052290358,
26/1/2020,102.14,112.47,100.80,111.00,1048666266,1031071645,
25/1/2020,100.77,103.49,98.02,102.16,684814780,948701916,
24/1/2020,102.58,103.80,94.29,100.83,829271731,936185841,
23/1/2020,107.64,108.15,98.66,102.41,837448530,950709016,
22/1/2020,110.83,112.54,107.27,107.65,824540369,999145359,
21/1/2020,109.61,113.66,106.24,110.86,964611063,1028793258,
20/1/2020,104.80,114.63,100.88,109.57,1208948881,1016591626,
19/1/2020,101.63,108.44,93.42,104.79,1186646796,972138555,
18/1/2020,114.13,115.25,97.52,101.56,1315737751,941967758,
17/1/2020,127.63,127.69,110.55,114.38,1536993729,1060686346,
16/1/2020,132.40,134.05,113.62,128.16,1925351036,1188236312,
15/1/2020,88.62,140.70,88.62,132.27,2736888861,1226142431,
14/1/2020,69.61,88.70,69.58,88.70,1090046613,822067637,
13/1/2020,66.25,71.11,64.15,69.58,476814382,644783979,
12/1/2020,63.53,67.81,62.53,66.30,535827585,614252950,
11/1/2020,56.60,66.84,55.81,63.40,581950368,587294276,
10/1/2020,50.89,56.59,50.26,56.59,360608270,524062302,
9/1/2020,52.88,53.28,50.50,50.89,247077074,471257294,
8/1/2020,54.80,56.53,51.72,52.92,314320136,489899216,
7/1/2020,56.70,57.31,54.05,54.82,395124565,507414232,
6/1/2020,51.54,57.58,51.22,56.70,496237320,524728177,
