Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,0.331050,0.340568,0.322905,0.325960,33013629,906015177,
4/2/2020,0.333863,0.342607,0.316049,0.331050,36298174,920163747,
3/2/2020,0.308493,0.368646,0.307385,0.333813,55125225,927844292,
2/2/2020,0.304773,0.317931,0.294044,0.308493,18289539,857466760,
1/2/2020,0.294037,0.305175,0.289756,0.305092,11189601,848011089,
31/1/2020,0.293581,0.294920,0.281905,0.293789,13380056,816595054,
30/1/2020,0.302631,0.302631,0.280513,0.293486,25879085,815752021,
29/1/2020,0.285761,0.309012,0.281714,0.303037,29874958,842299719,
28/1/2020,0.251262,0.287526,0.248988,0.285681,21035859,794060378,
27/1/2020,0.244551,0.252819,0.244367,0.251298,9055223,698491574,
26/1/2020,0.234112,0.244977,0.231744,0.244944,7492007,680829915,
25/1/2020,0.237254,0.237256,0.229612,0.234252,6757499,651111893,
24/1/2020,0.235863,0.239813,0.226851,0.237077,7993607,658962316,
23/1/2020,0.249478,0.249675,0.231304,0.235406,10908245,654318670,
22/1/2020,0.250163,0.253311,0.244704,0.249577,8834498,693707307,
21/1/2020,0.251700,0.254135,0.241400,0.250408,11064499,696016146,
20/1/2020,0.246260,0.256368,0.237141,0.252161,12515268,700889928,
19/1/2020,0.246548,0.248307,0.227933,0.246609,17651095,685457699,
18/1/2020,0.238949,0.254323,0.231790,0.247223,19224851,687163086,
17/1/2020,0.227761,0.256099,0.223640,0.239021,22593603,664366665,
16/1/2020,0.232269,0.233435,0.217546,0.227779,11991427,633117787,
15/1/2020,0.210307,0.232289,0.207146,0.232145,17181226,645255195,
14/1/2020,0.189047,0.216309,0.188802,0.210312,13990556,584569640,
13/1/2020,0.191327,0.192020,0.186886,0.188860,3739364,524941923,
12/1/2020,0.191790,0.193092,0.189307,0.191167,4124155,531353411,
11/1/2020,0.189740,0.194375,0.184793,0.191826,8003701,533184837,
10/1/2020,0.178181,0.189612,0.171467,0.189612,7247988,527032168,
9/1/2020,0.181139,0.182257,0.176155,0.178258,5403819,495474461,
8/1/2020,0.186130,0.190445,0.178838,0.181100,8308095,503373468,
7/1/2020,0.183048,0.197619,0.183048,0.185702,10842185,516165138,
6/1/2020,0.173108,0.185326,0.172767,0.182896,9109465,508365996,
5/1/2020,0.174444,0.175379,0.169002,0.173044,5642017,480979948,
4/1/2020,0.167035,0.174714,0.164910,0.174213,5312939,484229599,
3/1/2020,0.158446,0.167603,0.156091,0.166859,4989336,463789806,
2/1/2020,0.161114,0.161500,0.157615,0.158436,3753023,440377785,
1/1/2020,0.160043,0.164204,0.159054,0.161058,3981429,447666002,
31/12/2019,0.160693,0.163213,0.158343,0.160135,4447022,445100954,
30/12/2019,0.168580,0.168580,0.158365,0.160764,5928460,446849686,
29/12/2019,0.163713,0.170952,0.161718,0.168519,5062912,468403923,
28/12/2019,0.162949,0.164642,0.161533,0.163544,4433209,454576148,
27/12/2019,0.158789,0.163999,0.158321,0.163111,4769091,453372530,
26/12/2019,0.157504,0.164835,0.156590,0.158789,4551058,441357917,
25/12/2019,0.157010,0.157827,0.153084,0.157504,3286573,437787222,
24/12/2019,0.162426,0.162810,0.156301,0.157010,4334112,436413507,
23/12/2019,0.166559,0.166847,0.159962,0.162561,4410170,451844103,
22/12/2019,0.163335,0.168050,0.160197,0.166559,5887041,462954457,
21/12/2019,0.165362,0.177812,0.161988,0.163329,8867046,453976929,
20/12/2019,0.164387,0.165233,0.159452,0.164922,6941497,458406747,
19/12/2019,0.159280,0.166360,0.152173,0.164387,10565920,456919243,
18/12/2019,0.158770,0.161632,0.151391,0.159214,27264505,442539320,
17/12/2019,0.174812,0.176313,0.154123,0.159694,14198585,443874924,
16/12/2019,0.188212,0.189748,0.174677,0.174812,7676715,485894145,
15/12/2019,0.190490,0.191610,0.183704,0.188382,4818762,523613439,
14/12/2019,0.194239,0.194797,0.187908,0.190683,4011446,530009510,
13/12/2019,0.194701,0.195186,0.190310,0.194403,5402566,540348263,
12/12/2019,0.198682,0.199861,0.193708,0.194711,4578607,541204234,
11/12/2019,0.198702,0.200946,0.196927,0.198682,4407412,552242426,
10/12/2019,0.203448,0.203734,0.196229,0.198782,8020281,552521060,
9/12/2019,0.207671,0.211145,0.202380,0.203468,6557103,565546534,
8/12/2019,0.205967,0.208811,0.203609,0.207669,4031580,577221982,
7/12/2019,0.205595,0.208503,0.204737,0.206012,4544372,572617120,
6/12/2019,0.205580,0.206853,0.201945,0.205380,6176885,570859397,
5/12/2019,0.198140,0.208612,0.197462,0.205403,6922215,570923999,
4/12/2019,0.204223,0.207076,0.196164,0.198277,7327204,551116744,
3/12/2019,0.206849,0.208870,0.200345,0.204252,7216499,567723945,
2/12/2019,0.206360,0.211917,0.199225,0.206849,6186412,574942429,
1/12/2019,0.210334,0.210407,0.200508,0.206595,5360256,574237707,
30/11/2019,0.220373,0.220846,0.206300,0.210308,6154321,584558791,
29/11/2019,0.218008,0.220408,0.213670,0.220378,6281257,612546432,
28/11/2019,0.213878,0.222328,0.213707,0.218028,5866098,606014691,
27/11/2019,0.212423,0.215373,0.203480,0.213583,9468313,593661735,
26/11/2019,0.209825,0.215678,0.205322,0.213102,6141011,592322543,
25/11/2019,0.203707,0.215644,0.191451,0.209938,34664367,583529225,
24/11/2019,0.218045,0.218276,0.203613,0.203613,10929515,565947119,
23/11/2019,0.209868,0.219291,0.205056,0.217941,7925277,605773504,
22/11/2019,0.227539,0.229604,0.191750,0.209722,16698565,582927341,
21/11/2019,0.241909,0.242125,0.223638,0.227539,9444816,632450814,
20/11/2019,0.247318,0.249013,0.240725,0.242027,6239493,672719995,
19/11/2019,0.253257,0.255570,0.241064,0.247318,8245757,687427124,
18/11/2019,0.259067,0.263522,0.249010,0.253146,9417936,703625872,
17/11/2019,0.257906,0.262994,0.257031,0.259137,8438805,720280246,
16/11/2019,0.258537,0.259188,0.256352,0.257906,8705853,716857212,
15/11/2019,0.265213,0.265544,0.254550,0.258530,10229206,718591532,
14/11/2019,0.258708,0.270240,0.257709,0.265113,12810913,736888966,
13/11/2019,0.260530,0.262222,0.258600,0.258613,5651130,718822805,
12/11/2019,0.258540,0.263812,0.258446,0.260642,6650279,724461610,
11/11/2019,0.267699,0.268689,0.257512,0.258467,7457986,718417226,
10/11/2019,0.266762,0.269842,0.264504,0.267736,8344804,744181542,
9/11/2019,0.264968,0.267240,0.263631,0.266753,4847599,741448816,
8/11/2019,0.272181,0.272424,0.261142,0.264890,8382047,736268688,
7/11/2019,0.280184,0.282990,0.265893,0.272344,7598998,756987916,
6/11/2019,0.276644,0.284567,0.275608,0.280195,6850667,778810032,
5/11/2019,0.274708,0.277751,0.271288,0.276853,4769056,769520238,
4/11/2019,0.269896,0.274708,0.268919,0.274708,5207117,763558419,
3/11/2019,0.273953,0.276215,0.269410,0.269963,4683883,750369699,
2/11/2019,0.274462,0.277679,0.273125,0.273877,4225874,761249139,
1/11/2019,0.273015,0.276361,0.269795,0.274222,6016959,762207969,
31/10/2019,0.283300,0.284243,0.268540,0.273019,9128292,758863964,
30/10/2019,0.280872,0.293882,0.275955,0.283320,11824356,787495559,
29/10/2019,0.285305,0.290147,0.278251,0.280638,12581800,780041475,
28/10/2019,0.273520,0.303833,0.270263,0.285335,24763553,793098305,
27/10/2019,0.268324,0.276108,0.259411,0.273617,13641391,760527581,
26/10/2019,0.272367,0.279472,0.262106,0.268433,15306978,746116329,
25/10/2019,0.256239,0.273367,0.252912,0.272255,10058740,756739655,
24/10/2019,0.253577,0.257316,0.252488,0.256239,4661186,712224801,
23/10/2019,0.270783,0.274607,0.247082,0.253577,9421354,704825824,
22/10/2019,0.270247,0.276343,0.268691,0.270907,7566268,752993131,
21/10/2019,0.270838,0.271968,0.265756,0.270333,5996037,751398062,
20/10/2019,0.269197,0.274052,0.268217,0.270887,3002891,752938604,
19/10/2019,0.272089,0.274012,0.268561,0.269150,2934963,748109970,
18/10/2019,0.277802,0.279198,0.263406,0.271731,5092290,755284659,
17/10/2019,0.272909,0.280485,0.270501,0.277802,3997205,772160367,
16/10/2019,0.280828,0.282531,0.267207,0.273179,5142227,759309689,
15/10/2019,0.284925,0.286955,0.276948,0.280802,5722668,780498554,
14/10/2019,0.278966,0.284663,0.278131,0.284663,7887384,791230591,
13/10/2019,0.269838,0.286013,0.269394,0.278966,7376923,775394347,
12/10/2019,0.271707,0.276666,0.268741,0.269868,5713986,750105550,
11/10/2019,0.277200,0.278442,0.269180,0.271703,5686130,755206506,
10/10/2019,0.280419,0.286040,0.270321,0.277306,7709645,770781665,
9/10/2019,0.277035,0.281652,0.270251,0.280652,10688915,780080094,
8/10/2019,0.283904,0.287834,0.271661,0.277035,11049093,770026889,
7/10/2019,0.270474,0.284725,0.268245,0.284115,9482792,789707514,
6/10/2019,0.276310,0.277107,0.267778,0.270331,6469440,751393370,
5/10/2019,0.271706,0.279690,0.269358,0.276467,7934691,768448467,
4/10/2019,0.272270,0.274215,0.267271,0.271784,4533927,755432532,
3/10/2019,0.281526,0.281844,0.268540,0.272148,4058275,756443989,
2/10/2019,0.270920,0.281827,0.269088,0.281659,5972126,782880769,
1/10/2019,0.266210,0.277662,0.264150,0.270920,5869940,753029606,
30/9/2019,0.262290,0.267308,0.253310,0.266231,5786318,739996679,
29/9/2019,0.266651,0.266973,0.256229,0.262271,3358639,728991375,
28/9/2019,0.266214,0.273086,0.262662,0.266681,3508094,741246595,
27/9/2019,0.268075,0.269825,0.257497,0.266413,6916588,740502207,
26/9/2019,0.262621,0.269780,0.248985,0.268173,9037700,745394639,
25/9/2019,0.254993,0.271691,0.241967,0.262344,9996247,729194088,
24/9/2019,0.278542,0.284853,0.246183,0.254993,11599279,708759794,
23/9/2019,0.279203,0.295017,0.277692,0.278718,7028350,774705401,
22/9/2019,0.294232,0.294232,0.275907,0.279365,5563087,776502877,
21/9/2019,0.313473,0.314939,0.291530,0.294232,8844658,817826798,
20/9/2019,0.298099,0.314602,0.286747,0.312740,10996208,869270342,
19/9/2019,0.298180,0.301979,0.274614,0.298102,10469838,828584044,
18/9/2019,0.263271,0.314284,0.262492,0.297943,13018764,828140512,
17/9/2019,0.249494,0.265757,0.248521,0.263101,5356221,731297166,
16/9/2019,0.249622,0.255386,0.243887,0.249359,3773710,693100364,
15/9/2019,0.247679,0.250629,0.244851,0.249509,3340807,693517442,
14/9/2019,0.241729,0.249007,0.240186,0.247679,3040655,688430543,
13/9/2019,0.236584,0.243162,0.236028,0.241801,3309018,672093717,
12/9/2019,0.238759,0.239565,0.234601,0.236494,3289783,657342521,
11/9/2019,0.238912,0.240702,0.236070,0.238681,2895618,663419829,
10/9/2019,0.239661,0.243368,0.237794,0.238899,3461869,664027095,
9/9/2019,0.245170,0.245330,0.235290,0.239693,5140580,666232952,
8/9/2019,0.242182,0.248993,0.240912,0.245156,4028778,681418010,
7/9/2019,0.231237,0.242810,0.230415,0.242190,3822944,673173924,
6/9/2019,0.242471,0.244766,0.227870,0.231293,6900832,642886828,
5/9/2019,0.247167,0.248962,0.239193,0.242471,5063507,673954237,
4/9/2019,0.249912,0.250204,0.242511,0.247033,4683799,686635243,
3/9/2019,0.249674,0.251959,0.247152,0.249947,5912990,694735081,
2/9/2019,0.241431,0.254553,0.240686,0.250027,5156804,694956487,
1/9/2019,0.247385,0.250578,0.239184,0.241587,5111188,671499176,
31/8/2019,0.252692,0.253255,0.243181,0.247334,5101617,687473073,
