Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,552.87,588.84,549.83,583.07,4686378,576130988,
4/2/2020,557.02,562.14,541.36,553.62,3979687,547050404,
3/2/2020,556.84,573.26,546.70,556.30,4452208,549707432,
2/2/2020,552.86,571.73,542.80,558.67,4134079,552154452,
1/2/2020,546.78,559.03,539.96,552.01,3991779,545594281,
31/1/2020,544.69,555.71,532.09,545.33,4093150,538992045,
30/1/2020,523.96,554.09,509.17,551.77,4232265,545359251,
29/1/2020,528.67,537.56,514.44,522.53,3932224,516500218,
28/1/2020,485.57,534.37,484.93,531.92,4612793,525782477,
27/1/2020,482.63,494.37,473.94,487.37,3793281,481835342,
26/1/2020,462.94,486.42,457.52,484.92,3519127,479407733,
25/1/2020,467.46,471.12,454.09,465.29,3312795,460012001,
24/1/2020,470.65,476.44,452.50,467.68,3689358,462382739,
23/1/2020,474.46,477.06,451.26,473.78,3578834,468407704,
22/1/2020,483.67,491.43,467.72,474.53,3522250,469212311,
21/1/2020,484.17,485.83,466.09,484.07,4363397,478700118,
20/1/2020,503.99,508.61,457.40,483.52,4937380,478157887,
19/1/2020,517.62,528.90,488.74,507.21,3871380,501653038,
18/1/2020,514.36,530.38,490.29,523.14,4925581,517419957,
17/1/2020,527.55,534.75,499.29,515.97,5097150,510348669,
16/1/2020,528.46,536.00,488.25,529.68,4168861,523914090,
15/1/2020,532.88,554.70,515.81,533.83,4651343,528054686,
14/1/2020,483.75,537.99,481.31,533.87,5079338,528093777,
13/1/2020,494.77,499.57,476.66,482.22,3543697,477020940,
12/1/2020,481.49,497.48,476.89,496.23,3691033,496225779,
11/1/2020,478.07,494.06,472.20,479.06,4896444,479059454,
10/1/2020,464.23,481.32,454.17,476.68,3941850,476680118,
9/1/2020,485.20,486.86,452.77,462.12,4065236,462117194,
8/1/2020,474.63,496.01,469.59,484.58,4211004,484582104,
7/1/2020,467.52,477.03,459.02,469.89,3795790,469886013,
6/1/2020,442.02,468.35,438.71,464.47,3950543,464474369,
5/1/2020,441.71,452.67,436.08,442.09,3750842,442089035,
4/1/2020,434.83,448.80,424.63,440.25,3709471,440247004,
3/1/2020,422.10,439.63,413.56,433.53,3648148,433531552,
2/1/2020,437.62,437.62,416.71,425.44,3608801,425435460,
1/1/2020,433.24,441.56,428.48,437.33,3531182,437331443,
31/12/2019,445.17,447.36,427.29,430.96,3512760,430964639,
30/12/2019,449.54,457.33,437.94,442.89,3878828,442889578,
29/12/2019,431.18,457.86,428.56,448.31,3785106,448314261,
28/12/2019,427.42,438.84,425.82,430.74,3563307,430736438,
27/12/2019,430.09,438.66,421.94,427.56,4557354,427556221,
26/12/2019,435.71,452.28,424.89,432.48,4563748,432476083,
25/12/2019,461.67,464.98,429.07,434.84,6026951,434836630,
24/12/2019,460.82,466.34,436.89,457.34,5354515,457339067,
23/12/2019,504.53,509.94,441.54,460.93,4633187,460932971,
22/12/2019,487.65,505.87,472.25,505.51,4638315,505508199,
21/12/2019,490.35,500.53,471.91,490.67,4738670,490670899,
20/12/2019,481.31,497.01,453.83,490.35,4636633,490348372,
19/12/2019,465.42,481.31,448.58,481.31,4761181,481305322,
18/12/2019,411.79,468.81,394.00,467.95,5050557,467953801,
17/12/2019,461.63,471.64,409.62,415.16,4026492,415164245,
16/12/2019,490.52,497.42,451.07,461.63,4724877,461630244,
15/12/2019,512.60,513.71,483.55,493.96,4356116,493956809,
14/12/2019,509.41,516.15,501.57,508.61,4041034,508611804,
13/12/2019,493.91,515.80,490.37,510.73,4130286,510729428,
12/12/2019,489.00,502.58,483.23,493.53,3823711,493525148,
11/12/2019,502.39,508.59,481.91,489.76,4460711,489758490,
10/12/2019,501.76,510.67,492.55,506.80,4280554,506803670,
9/12/2019,505.82,515.58,491.91,499.82,3927002,499816341,
8/12/2019,499.81,522.47,493.81,504.44,4052523,504440903,
7/12/2019,505.55,529.76,495.71,501.17,4295216,501167415,
6/12/2019,508.85,526.19,496.85,505.82,4642910,505817474,
5/12/2019,492.24,531.61,465.35,509.81,5175476,509809168,
4/12/2019,542.07,571.27,483.88,495.40,5053047,495404924,
3/12/2019,564.05,571.31,528.45,545.93,4876703,545925393,
2/12/2019,516.94,570.23,506.79,564.05,4745961,564047424,
1/12/2019,542.28,544.10,501.86,512.56,4896695,512562204,
30/11/2019,549.58,562.91,523.98,544.45,4662481,544452259,
29/11/2019,542.11,565.53,529.23,549.65,4784047,549651561,
28/11/2019,552.87,574.62,534.51,541.32,4507001,541324455,
27/11/2019,526.37,565.68,518.10,549.74,4793026,549742433,
26/11/2019,529.91,545.28,511.07,527.04,5182243,527036950,
25/11/2019,480.71,535.21,431.27,528.88,6497521,528879055,
24/11/2019,549.93,557.75,478.11,480.06,4311479,480055525,
23/11/2019,520.38,560.74,507.35,551.96,5249182,551962108,
22/11/2019,528.96,539.28,445.11,519.71,5702366,519709257,
21/11/2019,582.72,587.14,524.35,528.96,4572658,528956842,
20/11/2019,601.65,609.86,575.67,586.16,5746626,586155554,
19/11/2019,661.11,683.59,592.95,605.81,5493450,605808880,
18/11/2019,672.59,674.72,647.25,654.03,5201375,654033586,
17/11/2019,627.79,679.52,621.61,672.67,6084081,672669073,
16/11/2019,609.38,634.03,600.28,626.50,5652238,626503192,
