Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,0.822040,0.846647,0.808480,0.846429,137880145,539472653,
4/2/2020,0.780056,0.823642,0.754652,0.823132,123444397,524624150,
3/2/2020,0.785016,0.801376,0.767487,0.780311,108364842,497331986,
2/2/2020,0.762218,0.808480,0.746706,0.785016,140368912,500330876,
1/2/2020,0.770308,0.776525,0.746585,0.763295,105289020,486487240,
31/1/2020,0.737414,0.779485,0.723041,0.769684,146943824,490558885,
30/1/2020,0.733052,0.740633,0.716664,0.737669,112152368,470154087,
29/1/2020,0.697832,0.752571,0.697490,0.733291,151841639,467364051,
28/1/2020,0.686137,0.697484,0.674114,0.697385,101163238,444479238,
27/1/2020,0.647623,0.685991,0.643383,0.685991,99413295,437216876,
26/1/2020,0.634134,0.655951,0.628842,0.646605,77630884,412114344,
25/1/2020,0.626738,0.636852,0.614570,0.633859,71803313,403990747,
24/1/2020,0.637422,0.639569,0.611703,0.626599,85164001,399363289,
23/1/2020,0.668746,0.672317,0.622040,0.637080,84716561,406043580,
22/1/2020,0.662558,0.678607,0.658469,0.668267,83624923,425920457,
21/1/2020,0.654276,0.665017,0.643418,0.662558,92478898,422282384,
20/1/2020,0.653093,0.668267,0.630870,0.654366,112863046,417061204,
19/1/2020,0.688543,0.715316,0.642831,0.653373,138168988,416428112,
18/1/2020,0.716680,0.729790,0.685754,0.687989,152822619,438490374,
17/1/2020,0.714216,0.728487,0.679894,0.717602,155507434,457364159,
16/1/2020,0.698710,0.714091,0.651189,0.713108,129445344,454499903,
15/1/2020,0.675142,0.743598,0.668767,0.698180,164127113,444985559,
14/1/2020,0.608189,0.679129,0.607519,0.677150,127260855,431582261,
13/1/2020,0.615911,0.618115,0.584556,0.608048,97108279,387540250,
12/1/2020,0.585581,0.627627,0.580523,0.615588,114868496,392346048,
11/1/2020,0.566488,0.609506,0.561924,0.585802,98001152,373361501,
10/1/2020,0.542526,0.566892,0.531969,0.566301,83594178,360932918,
9/1/2020,0.555495,0.555495,0.534878,0.542696,67629758,345888181,
8/1/2020,0.564569,0.582724,0.544081,0.555804,75783460,354242027,
7/1/2020,0.584859,0.590695,0.555139,0.564425,85659848,359736983,
6/1/2020,0.552393,0.587504,0.552349,0.583860,87325737,372124127,
5/1/2020,0.534342,0.573015,0.534342,0.552064,80035670,351858671,
4/1/2020,0.528221,0.534763,0.520692,0.534763,58007761,340831924,
3/1/2020,0.504405,0.533331,0.497402,0.528322,78199033,336726926,
2/1/2020,0.527083,0.527211,0.501708,0.502871,64686317,320505408,
1/1/2020,0.518744,0.540205,0.516688,0.526598,66118354,335627663,
31/12/2019,0.529512,0.530808,0.516812,0.519029,75634560,330803542,
30/12/2019,0.547004,0.547015,0.526461,0.529579,85314108,337527495,
29/12/2019,0.532527,0.557396,0.529648,0.546944,94906841,348595244,
28/12/2019,0.523198,0.541817,0.521363,0.532415,83503946,339335160,
27/12/2019,0.518423,0.527123,0.513917,0.523245,81095132,333490692,
26/12/2019,0.517778,0.531077,0.512672,0.518270,78000728,330320145,
25/12/2019,0.526559,0.527196,0.511015,0.517739,61120312,329981460,
24/12/2019,0.523643,0.544288,0.521041,0.526559,76682238,335602938,
23/12/2019,0.557348,0.563356,0.519957,0.522919,82806304,333283086,
22/12/2019,0.542878,0.558690,0.538718,0.557655,67948946,355421873,
21/12/2019,0.552280,0.553523,0.538458,0.542652,60696554,345859941,
20/12/2019,0.546864,0.560721,0.536099,0.552080,70304922,351868990,
