Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,0.244200,0.252333,0.239347,0.251646,88483778,358165211,
4/2/2020,0.235532,0.250166,0.232057,0.244147,99684052,347491702,
3/2/2020,0.223217,0.237378,0.222454,0.235587,61713475,335308220,
2/2/2020,0.224037,0.229802,0.220734,0.223382,52190150,317936494,
1/2/2020,0.219220,0.224723,0.219220,0.224324,48405258,319277778,
31/1/2020,0.223112,0.224758,0.213615,0.219153,55872703,311917261,
30/1/2020,0.219482,0.223557,0.216337,0.223296,60868516,317792663,
29/1/2020,0.222139,0.224790,0.218727,0.219619,65190942,312554866,
28/1/2020,0.226765,0.229693,0.216600,0.222147,69251607,316152898,
27/1/2020,0.211765,0.228041,0.211605,0.226850,60294391,322845791,
26/1/2020,0.204678,0.212331,0.203494,0.211612,47850762,300842390,
25/1/2020,0.207349,0.207404,0.202128,0.204836,41628366,291208657,
24/1/2020,0.208244,0.208266,0.200771,0.207246,44967053,294634657,
23/1/2020,0.219143,0.219516,0.205425,0.208167,49020267,295944056,
22/1/2020,0.220137,0.221423,0.217089,0.219458,46002292,311995730,
21/1/2020,0.221798,0.224413,0.214153,0.220275,55120770,313157242,
20/1/2020,0.214349,0.224092,0.210432,0.221714,62412074,315203856,
19/1/2020,0.224799,0.228579,0.209111,0.214455,57775448,304882977,
18/1/2020,0.229660,0.231689,0.219281,0.224644,59923625,319369156,
17/1/2020,0.217698,0.232665,0.214255,0.229728,68894095,326597206,
16/1/2020,0.219983,0.221485,0.210547,0.217673,53452385,309349072,
15/1/2020,0.212400,0.237217,0.211481,0.219713,92447507,312249146,
14/1/2020,0.187780,0.213134,0.187292,0.212436,63840081,301890638,
13/1/2020,0.191220,0.191584,0.187227,0.187814,44799749,266899461,
12/1/2020,0.189699,0.192593,0.188862,0.191303,42369470,271858632,
11/1/2020,0.187455,0.193383,0.186866,0.189747,47013777,269647457,
10/1/2020,0.186130,0.187952,0.182987,0.187409,48947327,266325113,
9/1/2020,0.184185,0.188964,0.182263,0.186361,50598041,264835041,
8/1/2020,0.193508,0.194834,0.184022,0.184202,54340205,261766740,
7/1/2020,0.191971,0.197265,0.191833,0.193379,57682961,273744163,
6/1/2020,0.189163,0.196460,0.188995,0.192032,50966011,271837862,
5/1/2020,0.189803,0.193824,0.188223,0.188898,46686533,267401433,
4/1/2020,0.187587,0.190930,0.184939,0.189891,43280231,268771715,
3/1/2020,0.183649,0.192417,0.181661,0.187701,55439573,265672977,
2/1/2020,0.196123,0.196442,0.183375,0.183821,52616967,260181315,
1/1/2020,0.181816,0.197126,0.180976,0.196129,54964262,277601807,
31/12/2019,0.190676,0.194272,0.180881,0.181768,55600479,257275573,
30/12/2019,0.192722,0.199973,0.188163,0.190580,67737772,269747069,
29/12/2019,0.185619,0.196641,0.185064,0.192579,74591022,272577544,
28/12/2019,0.169652,0.186777,0.169577,0.185700,68500348,262840519,
27/12/2019,0.164714,0.169650,0.163986,0.169650,41612685,240123266,
26/12/2019,0.162984,0.168739,0.162017,0.164700,44019391,232755058,
25/12/2019,0.167214,0.167803,0.162212,0.163157,44723117,230574694,
24/12/2019,0.164061,0.172803,0.163328,0.167216,49113737,236309978,
23/12/2019,0.173448,0.173657,0.163370,0.164182,52227115,232022792,
22/12/2019,0.168311,0.174463,0.167667,0.173439,50835515,245105236,
21/12/2019,0.171424,0.174579,0.168094,0.168399,50517132,237982973,
20/12/2019,0.168297,0.173131,0.165762,0.171327,52286049,241743805,
19/12/2019,0.168571,0.169297,0.161119,0.168277,57422264,237431535,
18/12/2019,0.155750,0.170202,0.149395,0.168435,71578609,237654217,
17/12/2019,0.176098,0.176808,0.152258,0.155902,63619513,219970777,
16/12/2019,0.185160,0.192070,0.175334,0.175936,57528977,248237341,
15/12/2019,0.181079,0.186782,0.176063,0.185314,57617486,261469315,
14/12/2019,0.188506,0.191193,0.179032,0.180890,59458933,255227196,
13/12/2019,0.175780,0.191597,0.174835,0.188409,66814278,265837097,
12/12/2019,0.177149,0.177906,0.174106,0.175804,51915861,248051546,
11/12/2019,0.176347,0.180841,0.175468,0.177145,54444867,249943222,
10/12/2019,0.186409,0.187346,0.173978,0.176536,67473458,249084008,
9/12/2019,0.190093,0.193301,0.185945,0.186570,54696455,253912705,
8/12/2019,0.190109,0.192385,0.188294,0.190088,52346953,258701624,
7/12/2019,0.194456,0.196527,0.189926,0.190073,53741150,258681010,
6/12/2019,0.187640,0.195017,0.187640,0.194485,48523065,264684848,
5/12/2019,0.183379,0.189069,0.181204,0.187590,47940697,255299925,
4/12/2019,0.196711,0.196711,0.182346,0.183617,62223456,249066729,
3/12/2019,0.189252,0.197524,0.188733,0.196692,53719456,266803194,
2/12/2019,0.197394,0.197542,0.186666,0.189050,54950195,256436364,
1/12/2019,0.204713,0.204741,0.193207,0.197244,47982411,267550865,
30/11/2019,0.216162,0.217313,0.203128,0.204476,47542174,277360971,
29/11/2019,0.207322,0.216435,0.206911,0.216149,56490553,293194633,
28/11/2019,0.204082,0.210721,0.202689,0.206987,56439565,280766806,
27/11/2019,0.205389,0.209604,0.192749,0.204103,64954174,276855183,
26/11/2019,0.206555,0.211083,0.203362,0.206084,59512306,279542169,
25/11/2019,0.207822,0.219088,0.195260,0.206318,58832885,279859561,
24/11/2019,0.222419,0.223865,0.208144,0.208225,49123099,282446646,
23/11/2019,0.220091,0.223622,0.205180,0.222479,65879372,301781016,
22/11/2019,0.222131,0.225220,0.195918,0.220183,74492632,298666605,
21/11/2019,0.235646,0.244080,0.216618,0.222107,66774687,301277048,
20/11/2019,0.252056,0.253109,0.235225,0.235698,63831001,319697948,
19/11/2019,0.266308,0.271283,0.243247,0.252056,76652966,341885456,
18/11/2019,0.277790,0.278698,0.261361,0.266433,65544975,361386541,
17/11/2019,0.269598,0.282319,0.260705,0.277868,79036662,376897060,
16/11/2019,0.250859,0.271096,0.250250,0.269560,60116631,365628112,
15/11/2019,0.257799,0.261237,0.246548,0.250756,57576207,340121976,
14/11/2019,0.255338,0.263916,0.253741,0.257811,76919032,349691737,
13/11/2019,0.241841,0.256870,0.240714,0.255408,55501381,346432705,
12/11/2019,0.242265,0.244064,0.239203,0.241835,46089760,328021665,
11/11/2019,0.246867,0.248198,0.237927,0.242430,50668589,328828570,
10/11/2019,0.248969,0.251659,0.245462,0.246648,56055728,334550080,
9/11/2019,0.238280,0.248686,0.236948,0.248686,50386934,337314777,
8/11/2019,0.253066,0.254875,0.228470,0.238165,57831580,323043215,
7/11/2019,0.262777,0.263485,0.251059,0.252833,48906926,342939708,
6/11/2019,0.251966,0.264289,0.250110,0.263042,63001364,355357101,
5/11/2019,0.244172,0.255630,0.240196,0.251742,58611210,340090852,
4/11/2019,0.232398,0.245360,0.232228,0.244276,59648443,330004034,
3/11/2019,0.234583,0.235688,0.230808,0.232455,42875618,314035312,
2/11/2019,0.235557,0.238005,0.233266,0.234685,42712116,317046762,
1/11/2019,0.233986,0.238107,0.227545,0.235579,52461373,318255377,
31/10/2019,0.235043,0.248208,0.230209,0.234045,56176143,316183021,
