Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.002503;0.002630;0.002492;0.002582;105741619;318098840;
4/2/2020;0.002438;0.002503;0.002402;0.002503;89790002;308369226;
3/2/2020;0.002466;0.002517;0.002427;0.002440;78856631;300519839;
2/2/2020;0.002421;0.002506;0.002395;0.002468;91552515;304011347;
1/2/2020;0.002391;0.002431;0.002382;0.002422;78730830;298258839;
31/1/2020;0.002440;0.002458;0.002369;0.002394;76519295;294719511;
30/1/2020;0.002391;0.002446;0.002371;0.002440;83967914;300452707;
29/1/2020;0.002451;0.002471;0.002390;0.002390;80676219;294177532;
28/1/2020;0.002365;0.002450;0.002363;0.002450;91528771;301513933;
27/1/2020;0.002304;0.002413;0.002283;0.002368;89023414;291399495;
26/1/2020;0.002258;0.002307;0.002240;0.002305;73458474;283609273;
25/1/2020;0.002276;0.002276;0.002235;0.002257;82421399;277757847;
24/1/2020;0.002268;0.002293;0.002211;0.002276;86865882;280006237;
23/1/2020;0.002323;0.002358;0.002238;0.002268;91866620;278962448;
22/1/2020;0.002376;0.002399;0.002320;0.002323;82852580;285795825;
21/1/2020;0.002374;0.002403;0.002335;0.002376;84321565;292280593;
20/1/2020;0.002405;0.002423;0.002359;0.002374;92022277;291955767;
19/1/2020;0.002514;0.002570;0.002359;0.002405;108085147;295732371;
18/1/2020;0.002490;0.002538;0.002452;0.002507;108133943;308242055;
17/1/2020;0.002346;0.002516;0.002310;0.002490;117752841;306098384;
16/1/2020;0.002372;0.002424;0.002293;0.002345;98124199;288233513;
15/1/2020;0.002468;0.002541;0.002363;0.002369;128940321;291129905;
14/1/2020;0.002358;0.002514;0.002340;0.002470;128635383;303552342;
13/1/2020;0.002381;0.002407;0.002327;0.002358;83849846;289722805;
12/1/2020;0.002313;0.002413;0.002313;0.002381;79426215;292507504;
11/1/2020;0.002351;0.002373;0.002296;0.002314;94203409;284228141;
10/1/2020;0.002255;0.002361;0.002199;0.002356;87683356;289375371;
9/1/2020;0.002291;0.002314;0.002145;0.002256;70690571;277106183;
8/1/2020;0.002433;0.002465;0.002265;0.002293;77251526;281594191;
7/1/2020;0.002485;0.002497;0.002354;0.002433;52767343;298738083;
6/1/2020;0.002418;0.002564;0.002379;0.002463;54562409;302412673;
5/1/2020;0.002240;0.002491;0.002117;0.002419;52631740;296989930;
4/1/2020;0.002144;0.002490;0.002050;0.002241;94227582;275114093;
3/1/2020;0.002008;0.002177;0.001991;0.002145;62619988;263328862;
2/1/2020;0.002034;0.002110;0.001983;0.002009;65071106;246518479;
1/1/2020;0.002028;0.002052;0.002021;0.002033;51180941;249432497;
31/12/2019;0.002056;0.002056;0.002022;0.002028;69469785;248883034;
30/12/2019;0.002070;0.002077;0.002043;0.002054;73171188;252057916;
29/12/2019;0.002063;0.002114;0.002056;0.002068;67109832;253718796;
28/12/2019;0.002053;0.002090;0.002051;0.002064;64539193;253200406;
27/12/2019;0.002059;0.002075;0.002032;0.002053;75486740;251737594;
26/12/2019;0.002086;0.002098;0.002047;0.002058;71906467;252331534;
25/12/2019;0.002072;0.002098;0.002036;0.002088;79207264;256078593;
24/12/2019;0.002073;0.002114;0.002052;0.002073;71860410;254131324;
23/12/2019;0.002113;0.002137;0.002055;0.002073;77708509;254110241;
22/12/2019;0.002082;0.002120;0.002070;0.002115;70976748;259272041;
21/12/2019;0.002077;0.002088;0.002044;0.002084;66682998;255384098;
20/12/2019;0.002127;0.002141;0.002048;0.002075;67083802;254253746;
19/12/2019;0.002182;0.002199;0.002049;0.002123;79064574;260179866;
18/12/2019;0.002025;0.002192;0.002008;0.002183;98147109;267456561;
17/12/2019;0.002120;0.002152;0.001997;0.002018;85349928;247187445;
16/12/2019;0.002154;0.002184;0.002112;0.002121;68370095;259756535;
15/12/2019;0.002171;0.002171;0.002080;0.002154;66491990;263792777;
14/12/2019;0.002175;0.002204;0.002150;0.002170;71849717;265712614;
13/12/2019;0.002187;0.002208;0.002165;0.002175;65851726;266326829;
12/12/2019;0.002185;0.002198;0.002167;0.002188;66238690;267889467;
11/12/2019;0.002202;0.002240;0.002181;0.002185;64108062;267452542;
10/12/2019;0.002208;0.002222;0.002185;0.002204;69802464;269760521;
9/12/2019;0.002237;0.002251;0.002198;0.002208;62696753;270249023;
8/12/2019;0.002230;0.002341;0.002207;0.002238;55442239;273855019;
7/12/2019;0.002230;0.002248;0.002201;0.002230;62933099;272923284;
6/12/2019;0.002221;0.002280;0.002180;0.002226;66932958;272363965;
5/12/2019;0.002209;0.002305;0.002172;0.002223;66757792;271958843;
4/12/2019;0.002217;0.002241;0.002165;0.002208;73151442;270124716;
3/12/2019;0.002234;0.002256;0.002167;0.002217;62508732;271179199;
2/12/2019;0.002293;0.002312;0.002204;0.002235;66782510;273321735;
1/12/2019;0.002320;0.002394;0.002257;0.002292;77007809;280260602;
30/11/2019;0.002456;0.002474;0.002314;0.002320;89565611;283632278;
29/11/2019;0.002315;0.002458;0.002305;0.002456;97859845;300286977;
28/11/2019;0.002337;0.002380;0.002313;0.002313;97959428;282749816;
27/11/2019;0.002291;0.002358;0.002229;0.002339;100345294;285878920;
26/11/2019;0.002287;0.002342;0.002265;0.002291;100273990;280017042;
25/11/2019;0.002369;0.002369;0.002128;0.002286;129591062;279365755;
24/11/2019;0.002509;0.002510;0.002298;0.002365;101469803;289036446;
23/11/2019;0.002364;0.002507;0.002327;0.002505;112247814;306003875;
22/11/2019;0.002426;0.002519;0.002239;0.002362;109619351;288557852;
21/11/2019;0.002555;0.002566;0.002378;0.002426;95999426;296327209;
20/11/2019;0.002548;0.002698;0.002543;0.002556;77286260;312212810;
19/11/2019;0.002576;0.002608;0.002519;0.002548;85557575;311165409;
18/11/2019;0.002648;0.002715;0.002549;0.002576;72521449;314572759;
