Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:;
5/2/2020;0.066319;0.069117;0.065880;0.068733;520288061;1378865162;
4/2/2020;0.064050;0.066703;0.062135;0.066291;435813336;1329865439;
3/2/2020;0.063385;0.065443;0.063098;0.064061;386201629;1285126689;
2/2/2020;0.060542;0.065759;0.060093;0.063367;459980666;1271202563;
1/2/2020;0.061546;0.062644;0.059360;0.060470;351749271;1213096236;
31/1/2020;0.061269;0.063646;0.059865;0.061554;365221348;1234837874;
30/1/2020;0.061682;0.062990;0.060058;0.061207;382600193;1227871266;
29/1/2020;0.060327;0.062595;0.059045;0.061739;408058902;1238546132;
28/1/2020;0.059606;0.061764;0.059159;0.060303;435796280;1209732372;
27/1/2020;0.058660;0.061461;0.057598;0.059645;354309858;1196397983;
26/1/2020;0.056111;0.059546;0.055742;0.058572;325709373;1174877296;
25/1/2020;0.057257;0.057879;0.055841;0.056039;319119540;1124060743;
24/1/2020;0.059401;0.059455;0.054127;0.057303;382153105;1149419047;
23/1/2020;0.059995;0.061171;0.056832;0.059238;383108495;1188095063;
22/1/2020;0.062395;0.063779;0.059796;0.059889;334827929;1201010415;
21/1/2020;0.062025;0.063943;0.061601;0.062420;404072680;1251502830;
20/1/2020;0.059991;0.064640;0.059431;0.062044;570944249;1243262125;
19/1/2020;0.061144;0.065619;0.058865;0.060044;557236013;1203196279;
18/1/2020;0.059970;0.064649;0.057045;0.061155;619953488;1225443376;
17/1/2020;0.053828;0.062763;0.052715;0.060052;519487809;1200675457;
16/1/2020;0.054817;0.054993;0.051784;0.053748;316566307;1074496622;
15/1/2020;0.052040;0.055470;0.051042;0.054789;334258693;1095162183;
14/1/2020;0.048085;0.053480;0.048066;0.052115;325107091;1041718996;
13/1/2020;0.048229;0.048458;0.046383;0.048122;224390629;961732457;
12/1/2020;0.047580;0.048951;0.046762;0.048319;207151685;965205442;
11/1/2020;0.046378;0.049198;0.046117;0.047547;216830961;949740468;
10/1/2020;0.046268;0.048292;0.045766;0.046402;211752195;926865627;
9/1/2020;0.047616;0.049246;0.045678;0.046458;171728899;927922896;
8/1/2020;0.049916;0.050093;0.046706;0.048717;213522156;972927111;
7/1/2020;0.049025;0.050261;0.047908;0.049838;239407286;995321994;
6/1/2020;0.045432;0.049292;0.045244;0.049124;248276598;981165304;
5/1/2020;0.046165;0.046692;0.044772;0.045359;165956087;909657060;
4/1/2020;0.045227;0.046276;0.044332;0.046272;152253766;927967117;
3/1/2020;0.044001;0.045907;0.043544;0.045234;168931018;907150288;
2/1/2020;0.045398;0.045604;0.043582;0.044112;151848963;884665838;
1/1/2020;0.045118;0.045768;0.043438;0.045451;168402204;911500592;
31/12/2019;0.046053;0.046115;0.043332;0.045224;157108041;906956531;
30/12/2019;0.046203;0.046902;0.044252;0.045954;167585185;921597413;
29/12/2019;0.045138;0.047112;0.044077;0.046216;148653161;926843557;
28/12/2019;0.046015;0.046536;0.044167;0.045151;158028356;905501294;
27/12/2019;0.045092;0.046747;0.044685;0.046086;186418572;924237333;
26/12/2019;0.043572;0.045710;0.043512;0.045101;159865552;904483723;
25/12/2019;0.045029;0.045591;0.043191;0.043441;160886227;871192763;
24/12/2019;0.044807;0.046288;0.044400;0.045083;190571245;904138193;
23/12/2019;0.047340;0.047670;0.044641;0.044849;188544968;899434823;
22/12/2019;0.046322;0.047520;0.044277;0.047296;192185818;948508444;
21/12/2019;0.046204;0.048313;0.044703;0.046277;178466491;928068807;
20/12/2019;0.044985;0.047144;0.044239;0.046269;196248519;927921648;
19/12/2019;0.046033;0.046427;0.044022;0.044964;210750075;901740472;
18/12/2019;0.044246;0.046733;0.043048;0.046013;253895323;922788952;
17/12/2019;0.048558;0.048895;0.042986;0.044053;223440074;883474247;
16/12/2019;0.051402;0.052006;0.048421;0.048549;188173197;973646579;
15/12/2019;0.051709;0.052399;0.049650;0.051398;184576351;1030780417;
14/12/2019;0.053072;0.053336;0.051145;0.051673;178719118;1036297918;
13/12/2019;0.052724;0.053720;0.052176;0.052990;166277796;1062704050;
12/12/2019;0.052710;0.053804;0.052177;0.052721;207030753;1057309861;
11/12/2019;0.053621;0.054757;0.052692;0.052692;200779620;1056722331;
10/12/2019;0.054476;0.054952;0.053064;0.053607;187877398;1075080469;
9/12/2019;0.056092;0.056386;0.054213;0.054450;184029266;1091975773;
8/12/2019;0.055041;0.056544;0.054598;0.056132;159244878;1125717482;
7/12/2019;0.055045;0.056187;0.054795;0.055068;161472546;1104373638;
6/12/2019;0.055612;0.055823;0.054540;0.055028;177492285;1103572231;
5/12/2019;0.055347;0.057624;0.054440;0.055518;190568914;1113392541;
4/12/2019;0.055917;0.056422;0.054416;0.055419;207789246;1111416307;
3/12/2019;0.056042;0.056821;0.055417;0.055980;150835452;1122669946;
2/12/2019;0.058098;0.058214;0.055986;0.056078;204095722;1124621901;
1/12/2019;0.059751;0.059877;0.056540;0.058082;214999370;1164817487;
30/11/2019;0.059306;0.060415;0.057283;0.059641;228259886;1196086467;
29/11/2019;0.058212;0.060932;0.058165;0.059152;241666196;1186271902;
28/11/2019;0.059208;0.060486;0.058179;0.058225;224143848;1167681753;
27/11/2019;0.058393;0.059952;0.056166;0.059057;260781107;1184377699;
26/11/2019;0.057542;0.059103;0.056520;0.058553;218983844;1174266799;
25/11/2019;0.056791;0.059389;0.053750;0.057595;548798088;1155059103;
24/11/2019;0.060602;0.061783;0.056881;0.056881;795594528;1140743320;
23/11/2019;0.059405;0.061716;0.057753;0.060364;262945614;1210579252;
22/11/2019;0.061737;0.061868;0.056237;0.059502;304545334;1193303118;
21/11/2019;0.065522;0.065701;0.061047;0.061683;251644441;1237034117;
20/11/2019;0.065691;0.066320;0.064540;0.065502;219882275;1313627943;
19/11/2019;0.068291;0.068679;0.064810;0.065751;287651893;1318630467;
18/11/2019;0.072133;0.072261;0.066962;0.068304;245433022;1369817366;
17/11/2019;0.071848;0.073095;0.071784;0.072137;197097974;1446685558;
16/11/2019;0.072347;0.072805;0.071748;0.071906;173395847;1442049711;
15/11/2019;0.074816;0.074972;0.071935;0.072335;222062024;1450653587;
14/11/2019;0.076506;0.076611;0.074027;0.074740;217039030;1498902353;
13/11/2019;0.077092;0.077628;0.076180;0.076576;240329082;1535722377;
12/11/2019;0.079813;0.082018;0.075886;0.077072;359731187;1545652295;
11/11/2019;0.078234;0.080633;0.076396;0.079809;290695867;1600544208;
10/11/2019;0.072877;0.079768;0.072733;0.078228;343258930;1568851587;
9/11/2019;0.071845;0.073439;0.071620;0.072812;187035481;1460226718;
8/11/2019;0.075006;0.076303;0.070550;0.071888;271749982;1441694136;
7/11/2019;0.078343;0.078494;0.074204;0.075014;332631177;1504398663;
6/11/2019;0.082237;0.083190;0.077835;0.078435;352059614;1573003648;
5/11/2019;0.076817;0.085214;0.076808;0.082164;762923850;1647781065;
4/11/2019;0.069165;0.076390;0.067937;0.076390;347400349;1531981226;
3/11/2019;0.071283;0.071871;0.068081;0.069091;310422869;1385608526;
2/11/2019;0.069217;0.071289;0.069216;0.071264;287438284;1429192254;
1/11/2019;0.065189;0.071221;0.064798;0.069231;412594573;1388418168;
31/10/2019;0.064612;0.065444;0.062958;0.065215;279328071;1307869766;
30/10/2019;0.066276;0.066611;0.063378;0.064568;271281036;1294901834;
29/10/2019;0.064768;0.068255;0.064701;0.066185;279077969;1327327934;
28/10/2019;0.064549;0.067163;0.064312;0.064778;325857618;1298131301;
27/10/2019;0.062585;0.064588;0.061923;0.064513;287822040;1292824227;
26/10/2019;0.063740;0.066609;0.062198;0.062557;347428869;1253637953;
25/10/2019;0.060642;0.064598;0.060078;0.063761;302338874;1277752865;
24/10/2019;0.060058;0.061739;0.059206;0.060612;235695883;1214643198;
23/10/2019;0.062935;0.063606;0.058735;0.059984;257731071;1201815663;
22/10/2019;0.064045;0.064512;0.062745;0.062811;191351126;1258466973;
21/10/2019;0.063260;0.064159;0.063026;0.063975;189287650;1281740024;
20/10/2019;0.063102;0.063676;0.062539;0.063247;228457502;1267150236;
19/10/2019;0.063758;0.063817;0.062863;0.063090;212225225;1264000391;
18/10/2019;0.064537;0.064606;0.062393;0.063717;258071462;1276553895;
17/10/2019;0.062430;0.064572;0.061928;0.064547;258080003;1293197546;
16/10/2019;0.064319;0.064837;0.061611;0.062401;234805479;1250201473;
15/10/2019;0.064919;0.065527;0.063154;0.064264;231975480;1287400269;
14/10/2019;0.060187;0.064944;0.060185;0.064925;212625324;1300593743;
13/10/2019;0.059591;0.061948;0.059131;0.060136;168514765;1204152887;
12/10/2019;0.060788;0.062005;0.059033;0.059629;160068975;1194006421;
11/10/2019;0.062021;0.062770;0.059095;0.060821;188990156;1217871164;
10/10/2019;0.063331;0.063403;0.061541;0.061946;193649301;1240401571;
9/10/2019;0.061881;0.064031;0.061336;0.063355;277951501;1268612565;
8/10/2019;0.061383;0.062594;0.061137;0.061886;214910502;1240065250;
7/10/2019;0.059079;0.062234;0.058730;0.061397;257114961;1235170864;
6/10/2019;0.059048;0.059564;0.058429;0.059092;166037941;1188801305;
5/10/2019;0.059055;0.059337;0.058484;0.059049;101952263;1187924587;
4/10/2019;0.058829;0.059937;0.058377;0.059095;111323954;1188858216;
3/10/2019;0.059770;0.059838;0.058326;0.058875;125596787;1183956025;
2/10/2019;0.059081;0.059800;0.058106;0.059792;143895582;1202390484;
1/10/2019;0.061540;0.062060;0.058549;0.059103;163726395;1188523860;
30/9/2019;0.058109;0.061680;0.057361;0.061440;214887043;1235259077;
29/9/2019;0.058671;0.060263;0.057187;0.058127;162849827;1168654373;
28/9/2019;0.059797;0.061279;0.057696;0.058660;205415431;1179363618;
27/9/2019;0.058516;0.060122;0.056989;0.059900;233545826;1204286587;
26/9/2019;0.057016;0.061871;0.055222;0.058507;301698501;1176280383;
25/9/2019;0.054328;0.059122;0.053447;0.057019;256568953;1146369310;
24/9/2019;0.062710;0.066435;0.054295;0.054504;291704554;1094731570;
23/9/2019;0.068968;0.070165;0.062548;0.062548;250065644;1256253880;
22/9/2019;0.071204;0.071893;0.065873;0.068920;205953711;1384230932;
21/9/2019;0.073897;0.074955;0.070671;0.071119;253088729;1428393908;
20/9/2019;0.081424;0.081468;0.070925;0.073912;354516894;1484488026;
19/9/2019;0.083132;0.087906;0.073764;0.081387;576321168;1634632804;
18/9/2019;0.063650;0.086517;0.061805;0.083118;483022972;1669401640;
17/9/2019;0.058640;0.065109;0.058464;0.063745;206732127;1280301863;
16/9/2019;0.058171;0.059172;0.058064;0.058621;134036403;1177339389;
15/9/2019;0.057758;0.058797;0.056675;0.058123;92378655;1167331732;
14/9/2019;0.056871;0.058717;0.056696;0.057740;154528513;1159637011;
13/9/2019;0.055581;0.058591;0.055552;0.056940;147493877;1143562473;
12/9/2019;0.059852;0.060087;0.055136;0.058469;100813826;1154707978;
11/9/2019;0.058387;0.060274;0.056830;0.059784;148593461;1180686584;
10/9/2019;0.059822;0.061127;0.057533;0.058373;138086880;1152811523;
9/9/2019;0.060891;0.061727;0.058303;0.059846;174615382;1181807540;
8/9/2019;0.059588;0.062388;0.057228;0.060882;162947637;1202255231;
7/9/2019;0.058595;0.061563;0.058538;0.059404;163818895;1173070103;
6/9/2019;0.060466;0.061016;0.058305;0.058645;131869517;1158081867;
5/9/2019;0.062189;0.062330;0.060330;0.060461;115399204;1187746187;
4/9/2019;0.063223;0.063266;0.061850;0.062178;110306691;1221475840;
3/9/2019;0.063252;0.063951;0.062620;0.063209;116050340;1241442053;
2/9/2019;0.062470;0.063506;0.061749;0.063233;77297229;1241857572;
1/9/2019;0.062934;0.064002;0.061708;0.062469;72357367;1226847588;
