Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,0.05234,0.054019,0.051965,0.053066,16135029,731917788
2020-02-29,0.053301,0.054338,0.052442,0.052442,16695204,723320621
2020-02-28,0.053692,0.054407,0.051915,0.05342,12937109,736801328
2020-02-27,0.053152,0.054452,0.051407,0.05372,5785828,740949091
2020-02-26,0.059286,0.059334,0.05235,0.053144,17364235,733000835
2020-02-25,0.060198,0.060596,0.05891,0.059242,20985545,817106580
2020-02-24,0.061844,0.062767,0.05931,0.06019,22774495,830180698
2020-02-23,0.059225,0.062065,0.058881,0.061871,31065965,853363548
2020-02-22,0.058495,0.05978,0.057869,0.059079,38839905,814860540
2020-02-21,0.057681,0.059043,0.057557,0.058634,25833187,808726408
2020-02-20,0.059945,0.060813,0.057261,0.05783,16910849,797631547
2020-02-19,0.061812,0.062666,0.059673,0.059847,20608558,825453261
2020-02-18,0.05811,0.062105,0.056981,0.061743,21652630,850252319
2020-02-17,0.062171,0.062541,0.056863,0.058212,23772984,797792828
2020-02-16,0.062686,0.06529,0.060567,0.062099,18574390,851068313
2020-02-15,0.069286,0.071333,0.062324,0.062587,23132336,857752412
2020-02-14,0.066226,0.087281,0.064821,0.069286,29073234,948046401
2020-02-13,0.064219,0.067085,0.063572,0.066208,9614061,904481513
2020-02-12,0.062641,0.064504,0.062443,0.064219,13533524,875894823
2020-02-11,0.060475,0.062974,0.059314,0.062446,20457661,850351764
2020-02-10,0.061706,0.067783,0.059139,0.060572,22275329,823509312
2020-02-09,0.059367,0.061952,0.058812,0.061608,19795985,836232502
2020-02-08,0.059226,0.059539,0.058271,0.059396,12449262,804916322
2020-02-07,0.059049,0.059703,0.058801,0.059208,19060486,801063865
2020-02-06,0.058236,0.059486,0.057732,0.058976,18881272,796639821
2020-02-05,0.05589,0.058795,0.055675,0.058236,23670042,785363042
2020-02-04,0.053643,0.056219,0.053399,0.055911,15316509,752775701
2020-02-03,0.054187,0.055279,0.05304,0.053552,10608955,719847411
2020-02-02,0.052677,0.055201,0.051497,0.054187,14742142,727200101
2020-02-01,0.053205,0.054129,0.052448,0.052642,3654613,705302710
2020-01-31,0.052881,0.053601,0.051996,0.053284,5277591,712735457
2020-01-30,0.05205,0.053105,0.051392,0.052898,4999482,706420686
2020-01-29,0.052345,0.053544,0.051186,0.052038,6290559,693791250
2020-01-28,0.049066,0.052369,0.048711,0.052324,10067208,696455552
2020-01-27,0.047444,0.049438,0.047344,0.049085,10449071,652267960
2020-01-26,0.046274,0.047497,0.045837,0.047408,10759313,628947190
2020-01-25,0.046739,0.046741,0.045555,0.046223,18470753,610187095
2020-01-24,0.046516,0.047128,0.04562,0.04669,19098843,616352520
2020-01-23,0.048088,0.048214,0.045704,0.046485,12561724,613645368
2020-01-22,0.047529,0.048276,0.047268,0.048093,16110724,633817774
2020-01-21,0.04714,0.047695,0.046305,0.047638,18718214,622597062
2020-01-20,0.046458,0.047605,0.046085,0.047157,16776457,616320012
2020-01-19,0.047318,0.048445,0.046213,0.046373,8578536,606065743
2020-01-18,0.047103,0.055453,0.046721,0.047318,9781479,618421584
2020-01-17,0.046084,0.047208,0.045704,0.047138,19425075,616071500
2020-01-16,0.045575,0.046154,0.044557,0.046119,16061792,601738282
2020-01-15,0.043625,0.045826,0.042903,0.045578,11692086,593685587
2020-01-14,0.041202,0.043893,0.041144,0.043701,6228652,568272781
2020-01-13,0.04109,0.041495,0.040287,0.041209,7392188,534965140
2020-01-12,0.040253,0.041327,0.040016,0.041116,15933827,532860818
2020-01-11,0.040513,0.041112,0.039766,0.040249,15910131,520742850
