Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,7.4,7.9,7.4,7.76,1537094857,902890982
2020-02-29,7.43,7.65,7.36,7.41,1233126529,861588474
2020-02-28,7.68,7.84,7.23,7.44,1543271140,865086164
2020-02-27,7.68,8.04,7.37,7.68,1837427407,893833376
2020-02-26,9.25,9.33,7.42,7.68,2112171652,893319146
2020-02-25,9.34,9.41,9.04,9.26,1633614476,1076972819
2020-02-24,9.73,9.74,9.08,9.34,1691831980,1086726640
2020-02-23,9.52,9.9,9.48,9.73,1745180317,1132269854
2020-02-22,9.45,9.72,9.36,9.52,1724873520,1107584713
2020-02-21,8.89,9.84,8.82,9.43,2112160851,1097217221
2020-02-20,8.87,9.02,8.46,8.9,1908879598,1035393208
2020-02-19,9.82,9.83,8.78,8.88,1807922284,1032750135
2020-02-18,9.61,9.89,9.22,9.82,2025728374,1142471879
2020-02-17,9.6,9.79,8.8,9.61,2840284893,1117766571
2020-02-16,10.4,10.64,9.03,9.64,2727702320,1120733694
2020-02-15,11.98,12.05,9.95,10.39,2720972975,1208279705
2020-02-14,12.04,12.05,11.71,11.98,2197029671,1393522720
2020-02-13,12.24,13.02,11.69,12.04,3267500938,1400650651
2020-02-12,11.94,12.43,11.92,12.24,2558687675,1424014659
2020-02-11,11.84,12.09,11.64,11.95,2623748665,1389657190
2020-02-10,11.72,12.04,11.48,11.84,2949720160,1377034358
2020-02-09,11.67,12.02,11.42,11.71,2256308242,1362041153
2020-02-08,11.7,11.91,11.21,11.67,2458728176,1357700662
2020-02-07,12.12,12.21,11.43,11.7,2864925900,1361189900
2020-02-06,12.34,13.15,11.47,12.1,3578970064,1407232210
2020-02-05,11.43,12.57,11.37,12.34,2630503881,1435093288
2020-02-04,11.79,11.87,11.21,11.43,2163865570,1329760411
2020-02-03,11.38,12.16,11.34,11.79,2572871754,1371619968
2020-02-02,11.52,11.73,11.2,11.39,2230362843,1324661545
2020-02-01,11.32,11.75,11.13,11.54,2507607885,1342452894
2020-01-31,12.27,12.27,10.83,11.3,2910829193,1314450265
2020-01-30,12.29,12.61,11.73,12.27,3429768630,1427664926
2020-01-29,11.49,12.74,11.39,12.32,4198264074,1432957978
2020-01-28,10.42,11.62,10.35,11.53,3491046321,1341132567
2020-01-27,9.14,11,9.14,10.42,3089196032,1212558560
2020-01-26,8.43,9.28,8.27,9.14,1685344365,1063542379
2020-01-25,8.62,8.62,8.21,8.43,1429389665,980923326
