Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,66.31,67.65,63.58,64.74,101124199,1130665392
2020-02-29,68.2,69.11,66.49,66.49,100216473,1161176482
2020-02-28,69.93,71.29,66.57,68.15,108152732,1190041267
2020-02-27,70.9,72.33,67.1,69.82,126899794,1219212493
2020-02-26,76.83,77.7,69.42,70.88,143680078,1237640628
2020-02-25,79.12,81.51,75.82,76.8,150564887,1340790516
2020-02-24,85.06,86.02,77.51,79.12,145906857,1381318498
2020-02-23,79.14,85.25,79.07,85,133676244,1483720713
2020-02-22,80.46,82.7,78.43,79.09,133451986,1380524029
2020-02-21,76.52,81.86,75.92,80.4,135902789,1403321127
2020-02-20,78.12,78.9,75.31,76.6,155607937,1336917985
2020-02-19,86.1,86.53,78.17,78.19,106656863,1364465419
2020-02-18,82.42,86.65,81.49,86.1,141145279,1502428566
2020-02-17,88.15,88.81,79.82,82.4,164389216,1437734128
2020-02-16,88.97,91.95,80.91,88.42,152273797,1542623270
2020-02-15,94.78,96.78,87.34,88.87,146497146,1550434860
2020-02-14,92.27,94.89,91.14,94.82,134937261,1654027148
2020-02-13,95.22,96.05,90.3,92.46,156870155,1612751700
2020-02-12,89.83,95.26,89.82,95.24,188475506,1661109835
2020-02-11,84.84,89.84,82.83,89.82,145122272,1566459612
2020-02-10,87.71,87.82,83.96,84.82,138845141,1479194936
2020-02-09,80.63,87.65,80.48,87.62,124583964,1527812199
2020-02-08,79.58,81.5,77.13,80.67,106189645,1406597567
2020-02-07,78.1,80.61,78.09,79.57,110193000,1387160627
2020-02-06,78.01,79.77,76.65,78.09,89213794,1361272130
2020-02-05,75.24,78.85,74.76,77.99,86614281,1359554956
2020-02-04,76.85,77.23,73.84,75.27,80747174,1311999526
2020-02-03,74.98,78.12,74.58,76.82,112774900,1338947607
2020-02-02,73.32,77.84,71.42,75.04,120996894,1307725291
2020-02-01,72.08,73.89,71.46,73.34,76400844,1277954139
2020-01-31,74.96,75.99,69.54,72.09,113417706,1256071404
2020-01-30,69.98,74.98,68.65,74.98,96778424,1306324501
2020-01-29,67.78,70.61,67.5,70.04,75659540,1220220166
2020-01-28,65.57,67.73,65.3,67.72,60865269,1179711128
2020-01-27,63.88,66.21,63.7,65.58,65532166,1142390785
2020-01-26,61.51,64.43,60.96,63.87,51959186,1112450844
2020-01-25,61.76,62.46,60,61.52,41758021,1071458289
2020-01-24,62.61,62.94,58.16,61.76,65482396,1075604864
2020-01-23,65.05,65.21,61.3,62.53,60781828,1088895965
2020-01-22,65.95,66.34,64.43,65.03,59334379,1132354078
2020-01-21,64.98,66.77,64.34,65.96,57432225,1148429768
2020-01-20,65.16,66.45,62.46,64.99,62026473,1131394984
2020-01-19,67.23,69.28,63.09,65.13,71810753,1133678611
2020-01-18,69.09,70.83,66.4,67.19,83759887,1169497764
2020-01-17,65.69,71.93,64.11,69.18,118624802,1203980723
2020-01-16,68.33,68.8,62.65,65.68,118716552,1143043009
2020-01-15,62.77,68.83,62.08,68.34,166405671,1189205049
2020-01-14,58.01,63.04,57.83,62.82,113675912,1093113235
2020-01-13,59.3,59.33,56.79,58.01,58833704,1009224837
2020-01-12,58.45,59.87,57.6,59.32,52045488,1032093745
2020-01-11,58.52,63.98,58.07,58.45,94891787,1016794773
2020-01-10,59.18,59.46,57.25,58.57,65556437,1018860318
2020-01-09,59.49,59.79,57.14,59.2,64810309,1029615123
2020-01-08,58.77,59.81,56.11,59.46,69698036,1034174394
2020-01-07,58.96,59.86,55.87,58.82,71803694,1022853094
2020-01-06,54.09,58.99,54,58.97,72292283,1025427626
2020-01-05,50.54,54.78,50.54,54.1,51316114,940587960
2020-01-04,51.05,51.55,50.02,50.54,61952234,878616620
2020-01-03,45.64,51.98,45.64,51.09,145826653,888197074
2020-01-02,45.76,46.21,44.4,45.75,81645163,795254543
2020-01-01,44.58,45.96,44.5,45.75,75903149,795254586
2019-12-31,46.5,46.52,44.57,44.57,61657735,774583377
2019-12-30,46.84,47.06,46.01,46.5,66565171,808064736
2019-12-29,45.52,47.78,45.39,46.83,90219027,813746411
2019-12-28,45.33,45.95,45.06,45.55,90986577,791427855
2019-12-27,45.3,46.07,44.86,45.34,92836745,787813260
2019-12-26,46.51,46.63,44.86,45.31,89292487,787092855
2019-12-25,46.21,47.1,45.59,46.5,86017236,807752120
2019-12-24,47.34,48.39,46.07,46.21,104538333,802622128
2019-12-23,47.47,48.77,47.15,47.34,112661124,822261384
2019-12-22,45.53,48.1,45.48,47.46,119713580,824143649
2019-12-21,47.05,47.17,45.31,45.53,106102856,790648468
2019-12-20,47.82,47.91,46.51,47.06,102434254,817101658
2019-12-19,47.97,49.25,46.17,47.87,125632136,831035349
