Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,5.85,5.9,5.34,5.47,217556126,328119558
2020-02-29,5.62,6.41,5.62,5.86,279197666,351604427
2020-02-28,5.53,5.82,5.32,5.63,227792944,337530175
2020-02-27,5.71,5.71,5.32,5.53,266563666,331827243
2020-02-26,5.7,5.7,5.11,5.68,316676953,340839167
2020-02-25,6.13,6.13,5.52,5.63,279532075,337940865
2020-02-24,6.54,6.61,5.94,6.13,288900968,367754520
2020-02-23,5.8,6.6,5.78,6.54,362542864,392517644
2020-02-22,6.67,6.75,5.62,5.8,318311414,347882423
2020-02-21,6.59,6.85,6.54,6.66,290637363,399656756
2020-02-20,6.79,7.11,6.48,6.61,347577560,396649273
2020-02-19,6.75,7.51,6.68,6.8,398675590,407844335
2020-02-18,6.61,6.84,6.41,6.75,232208097,405276222
2020-02-17,6.73,6.85,6.12,6.59,412387883,395272709
2020-02-16,6.69,7.42,6.34,6.74,523888927,404658743
2020-02-15,6.42,7.07,6.21,6.61,455348690,396835907
2020-02-14,5.9,6.44,5.87,6.42,341395588,385448676
2020-02-13,5.93,6.19,5.61,5.89,339672488,353658748
2020-02-12,5.55,6.14,5.33,5.93,353095471,355988250
2020-02-11,5.54,5.9,5.26,5.55,431169996,332887607
2020-02-10,3.96,5.68,3.94,5.53,596376713,331690042
2020-02-09,3.84,4.05,3.82,3.96,149826186,158383007
2020-02-08,3.84,3.86,3.67,3.85,126251834,153925180
2020-02-07,3.74,3.92,3.7,3.84,145159442,153450624
2020-02-06,3.51,3.84,3.47,3.75,142930854,149807801
2020-02-05,3.29,3.55,3.28,3.51,125481834,140252213
2020-02-04,3.28,3.31,3.23,3.29,85498320,131458949
2020-02-03,3.25,3.33,3.24,3.28,87857996,131193043
2020-02-02,3.25,3.31,3.2,3.25,93843209,129971981
2020-02-01,3.18,3.3,3.18,3.26,93372485,130279446
2020-01-31,3.21,3.27,3.13,3.18,92970171,127261774
2020-01-30,3.13,3.22,3.07,3.21,106275034,128549694
2020-01-29,3.05,3.18,3.04,3.13,104235601,125246167
2020-01-28,2.95,3.06,2.95,3.04,113058716,121784891
2020-01-27,2.86,2.99,2.86,2.95,100903126,117958851
2020-01-26,2.81,2.88,2.79,2.86,83146773,114450953
2020-01-25,2.88,2.88,2.79,2.81,79901861,112489128
2020-01-24,2.77,2.89,2.77,2.88,93923954,115344499
2020-01-23,2.93,2.93,2.71,2.77,90852574,110802166
2020-01-22,2.96,2.98,2.91,2.93,79562420,117009844
2020-01-21,2.93,2.98,2.9,2.96,84463277,118204416
2020-01-20,2.96,2.98,2.91,2.93,85059617,117337906
2020-01-19,2.93,3.17,2.89,2.96,124115850,118354628
2020-01-18,3.08,3.17,2.92,2.93,134944257,117335880
2020-01-17,3.08,3.19,3.05,3.09,131827260,123523658
2020-01-16,3.16,3.18,2.96,3.08,113162561,123275258
2020-01-15,3.06,3.41,3.03,3.16,150726009,126385954
2020-01-14,2.89,3.13,2.89,3.06,114295242,122252593
2020-01-13,2.91,2.93,2.86,2.9,76161685,115809813
2020-01-12,2.9,2.93,2.88,2.9,72846303,116185648
2020-01-11,2.89,2.94,2.83,2.9,82413533,116062129
2020-01-10,2.85,2.89,2.78,2.89,82270829,115609653
2020-01-09,2.81,2.88,2.76,2.85,83425799,114071508
2020-01-08,2.89,2.96,2.79,2.81,92723546,112418777
2020-01-07,2.8,2.93,2.8,2.89,93381436,115607271
2020-01-06,2.68,2.81,2.68,2.8,78076040,112119658
2020-01-05,2.67,2.72,2.67,2.68,62760189,107211336
2020-01-04,2.65,2.67,2.61,2.66,62868631,106513592
2020-01-03,2.56,2.66,2.53,2.65,70789968,105834379
2020-01-02,2.62,2.63,2.55,2.55,64119546,101944698
2020-01-01,2.62,2.64,2.61,2.62,64067312,104866183
2019-12-31,2.69,2.7,2.61,2.62,65594414,104654779
2019-12-30,2.64,2.73,2.64,2.69,76957312,107644239
