Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.066319;0.069117;0.065880;0.068733;520,288,061;1,378,865,162;
4/2/2020;0.064050;0.066703;0.062135;0.066291;435,813,336;1,329,865,439;
3/2/2020;0.063385;0.065443;0.063098;0.064061;386,201,629;1,285,126,689;
2/2/2020;0.060542;0.065759;0.060093;0.063367;459,980,666;1,271,202,563;
1/2/2020;0.061546;0.062644;0.059360;0.060470;351,749,271;1,213,096,236;
31/1/2020;0.061269;0.063646;0.059865;0.061554;365,221,348;1,234,837,874;
30/1/2020;0.061682;0.062990;0.060058;0.061207;382,600,193;1,227,871,266;
29/1/2020;0.060327;0.062595;0.059045;0.061739;408,058,902;1,238,546,132;
28/1/2020;0.059606;0.061764;0.059159;0.060303;435,796,280;1,209,732,372;
27/1/2020;0.058660;0.061461;0.057598;0.059645;354,309,858;1,196,397,983;
26/1/2020;0.056111;0.059546;0.055742;0.058572;325,709,373;1,174,877,296;
25/1/2020;0.057257;0.057879;0.055841;0.056039;319,119,540;1,124,060,743;
24/1/2020;0.059401;0.059455;0.054127;0.057303;382,153,105;1,149,419,047;
23/1/2020;0.059995;0.061171;0.056832;0.059238;383,108,495;1,188,095,063;
22/1/2020;0.062395;0.063779;0.059796;0.059889;334,827,929;1,201,010,415;
21/1/2020;0.062025;0.063943;0.061601;0.062420;404,072,680;1,251,502,830;
20/1/2020;0.059991;0.064640;0.059431;0.062044;570,944,249;1,243,262,125;
19/1/2020;0.061144;0.065619;0.058865;0.060044;557,236,013;1,203,196,279;
18/1/2020;0.059970;0.064649;0.057045;0.061155;619,953,488;1,225,443,376;
17/1/2020;0.053828;0.062763;0.052715;0.060052;519,487,809;1,200,675,457;
16/1/2020;0.054817;0.054993;0.051784;0.053748;316,566,307;1,074,496,622;
15/1/2020;0.052040;0.055470;0.051042;0.054789;334,258,693;1,095,162,183;
14/1/2020;0.048085;0.053480;0.048066;0.052115;325,107,091;1,041,718,996;
13/1/2020;0.048229;0.048458;0.046383;0.048122;224,390,629;961,732,457;
12/1/2020;0.047580;0.048951;0.046762;0.048319;207,151,685;965,205,442;
11/1/2020;0.046378;0.049198;0.046117;0.047547;216,830,961;949,740,468;
10/1/2020;0.046268;0.048292;0.045766;0.046402;211,752,195;926,865,627;
9/1/2020;0.047616;0.049246;0.045678;0.046458;171,728,899;927,922,896;
8/1/2020;0.049916;0.050093;0.046706;0.048717;213,522,156;972,927,111;
7/1/2020;0.049025;0.050261;0.047908;0.049838;239,407,286;995,321,994;
6/1/2020;0.045432;0.049292;0.045244;0.049124;248,276,598;981,165,304;
5/1/2020;0.046165;0.046692;0.044772;0.045359;165,956,087;909,657,060;
4/1/2020;0.045227;0.046276;0.044332;0.046272;152,253,766;927,967,117;
3/1/2020;0.044001;0.045907;0.043544;0.045234;168,931,018;907,150,288;
2/1/2020;0.045398;0.045604;0.043582;0.044112;151,848,963;884,665,838;
1/1/2020;0.045118;0.045768;0.043438;0.045451;168,402,204;911,500,592;
31/12/2019;0.046053;0.046115;0.043332;0.045224;157,108,041;906,956,531;
30/12/2019;0.046203;0.046902;0.044252;0.045954;167,585,185;921,597,413;
29/12/2019;0.045138;0.047112;0.044077;0.046216;148,653,161;926,843,557;
28/12/2019;0.046015;0.046536;0.044167;0.045151;158,028,356;905,501,294;
27/12/2019;0.045092;0.046747;0.044685;0.046086;186,418,572;924,237,333;
26/12/2019;0.043572;0.045710;0.043512;0.045101;159,865,552;904,483,723;
25/12/2019;0.045029;0.045591;0.043191;0.043441;160,886,227;871,192,763;
24/12/2019;0.044807;0.046288;0.044400;0.045083;190,571,245;904,138,193;
23/12/2019;0.047340;0.047670;0.044641;0.044849;188,544,968;899,434,823;
22/12/2019;0.046322;0.047520;0.044277;0.047296;192,185,818;948,508,444;
21/12/2019;0.046204;0.048313;0.044703;0.046277;178,466,491;928,068,807;
20/12/2019;0.044985;0.047144;0.044239;0.046269;196,248,519;927,921,648;
19/12/2019;0.046033;0.046427;0.044022;0.044964;210,750,075;901,740,472;
18/12/2019;0.044246;0.046733;0.043048;0.046013;253,895,323;922,788,952;
17/12/2019;0.048558;0.048895;0.042986;0.044053;223,440,074;883,474,247;
16/12/2019;0.051402;0.052006;0.048421;0.048549;188,173,197;973,646,579;
15/12/2019;0.051709;0.052399;0.049650;0.051398;184,576,351;1,030,780,417;
14/12/2019;0.053072;0.053336;0.051145;0.051673;178,719,118;1,036,297,918;
13/12/2019;0.052724;0.053720;0.052176;0.052990;166,277,796;1,062,704,050;
12/12/2019;0.052710;0.053804;0.052177;0.052721;207,030,753;1,057,309,861;
11/12/2019;0.053621;0.054757;0.052692;0.052692;200,779,620;1,056,722,331;
10/12/2019;0.054476;0.054952;0.053064;0.053607;187,877,398;1,075,080,469;
9/12/2019;0.056092;0.056386;0.054213;0.054450;184,029,266;1,091,975,773;
8/12/2019;0.055041;0.056544;0.054598;0.056132;159,244,878;1,125,717,482;
7/12/2019;0.055045;0.056187;0.054795;0.055068;161,472,546;1,104,373,638;
6/12/2019;0.055612;0.055823;0.054540;0.055028;177,492,285;1,103,572,231;
5/12/2019;0.055347;0.057624;0.054440;0.055518;190,568,914;1,113,392,541;
4/12/2019;0.055917;0.056422;0.054416;0.055419;207,789,246;1,111,416,307;
3/12/2019;0.056042;0.056821;0.055417;0.055980;150,835,452;1,122,669,946;
2/12/2019;0.058098;0.058214;0.055986;0.056078;204,095,722;1,124,621,901;
1/12/2019;0.059751;0.059877;0.056540;0.058082;214,999,370;1,164,817,487;
30/11/2019;0.059306;0.060415;0.057283;0.059641;228,259,886;1,196,086,467;
29/11/2019;0.058212;0.060932;0.058165;0.059152;241,666,196;1,186,271,902;
28/11/2019;0.059208;0.060486;0.058179;0.058225;224,143,848;1,167,681,753;
27/11/2019;0.058393;0.059952;0.056166;0.059057;260,781,107;1,184,377,699;
26/11/2019;0.057542;0.059103;0.056520;0.058553;218,983,844;1,174,266,799;
25/11/2019;0.056791;0.059389;0.053750;0.057595;548,798,088;1,155,059,103;
24/11/2019;0.060602;0.061783;0.056881;0.056881;795,594,528;1,140,743,320;
23/11/2019;0.059405;0.061716;0.057753;0.060364;262,945,614;1,210,579,252;
22/11/2019;0.061737;0.061868;0.056237;0.059502;304,545,334;1,193,303,118;
21/11/2019;0.065522;0.065701;0.061047;0.061683;251,644,441;1,237,034,117;
20/11/2019;0.065691;0.066320;0.064540;0.065502;219,882,275;1,313,627,943;
19/11/2019;0.068291;0.068679;0.064810;0.065751;287,651,893;1,318,630,467;
18/11/2019;0.072133;0.072261;0.066962;0.068304;245,433,022;1,369,817,366;
17/11/2019;0.071848;0.073095;0.071784;0.072137;197,097,974;1,446,685,558;
16/11/2019;0.072347;0.072805;0.071748;0.071906;173,395,847;1,442,049,711;
15/11/2019;0.074816;0.074972;0.071935;0.072335;222,062,024;1,450,653,587;
14/11/2019;0.076506;0.076611;0.074027;0.074740;217,039,030;1,498,902,353;
13/11/2019;0.077092;0.077628;0.076180;0.076576;240,329,082;1,535,722,377;
12/11/2019;0.079813;0.082018;0.075886;0.077072;359,731,187;1,545,652,295;
11/11/2019;0.078234;0.080633;0.076396;0.079809;290,695,867;1,600,544,208;
10/11/2019;0.072877;0.079768;0.072733;0.078228;343,258,930;1,568,851,587;
9/11/2019;0.071845;0.073439;0.071620;0.072812;187,035,481;1,460,226,718;
8/11/2019;0.075006;0.076303;0.070550;0.071888;271,749,982;1,441,694,136;
7/11/2019;0.078343;0.078494;0.074204;0.075014;332,631,177;1,504,398,663;
6/11/2019;0.082237;0.083190;0.077835;0.078435;352,059,614;1,573,003,648;
5/11/2019;0.076817;0.085214;0.076808;0.082164;762,923,850;1,647,781,065;
4/11/2019;0.069165;0.076390;0.067937;0.076390;347,400,349;1,531,981,226;
3/11/2019;0.071283;0.071871;0.068081;0.069091;310,422,869;1,385,608,526;
2/11/2019;0.069217;0.071289;0.069216;0.071264;287,438,284;1,429,192,254;
1/11/2019;0.065189;0.071221;0.064798;0.069231;412,594,573;1,388,418,168;
31/10/2019;0.064612;0.065444;0.062958;0.065215;279,328,071;1,307,869,766;
30/10/2019;0.066276;0.066611;0.063378;0.064568;271,281,036;1,294,901,834;
29/10/2019;0.064768;0.068255;0.064701;0.066185;279,077,969;1,327,327,934;
28/10/2019;0.064549;0.067163;0.064312;0.064778;325,857,618;1,298,131,301;
27/10/2019;0.062585;0.064588;0.061923;0.064513;287,822,040;1,292,824,227;
26/10/2019;0.063740;0.066609;0.062198;0.062557;347,428,869;1,253,637,953;
25/10/2019;0.060642;0.064598;0.060078;0.063761;302,338,874;1,277,752,865;
24/10/2019;0.060058;0.061739;0.059206;0.060612;235,695,883;1,214,643,198;
23/10/2019;0.062935;0.063606;0.058735;0.059984;257,731,071;1,201,815,663;
22/10/2019;0.064045;0.064512;0.062745;0.062811;191,351,126;1,258,466,973;
21/10/2019;0.063260;0.064159;0.063026;0.063975;189,287,650;1,281,740,024;
20/10/2019;0.063102;0.063676;0.062539;0.063247;228,457,502;1,267,150,236;
19/10/2019;0.063758;0.063817;0.062863;0.063090;212,225,225;1,264,000,391;
18/10/2019;0.064537;0.064606;0.062393;0.063717;258,071,462;1,276,553,895;
17/10/2019;0.062430;0.064572;0.061928;0.064547;258,080,003;1,293,197,546;
16/10/2019;0.064319;0.064837;0.061611;0.062401;234,805,479;1,250,201,473;
15/10/2019;0.064919;0.065527;0.063154;0.064264;231,975,480;1,287,400,269;
14/10/2019;0.060187;0.064944;0.060185;0.064925;212,625,324;1,300,593,743;
13/10/2019;0.059591;0.061948;0.059131;0.060136;168,514,765;1,204,152,887;
12/10/2019;0.060788;0.062005;0.059033;0.059629;160,068,975;1,194,006,421;
11/10/2019;0.062021;0.062770;0.059095;0.060821;188,990,156;1,217,871,164;
10/10/2019;0.063331;0.063403;0.061541;0.061946;193,649,301;1,240,401,571;
9/10/2019;0.061881;0.064031;0.061336;0.063355;277,951,501;1,268,612,565;
8/10/2019;0.061383;0.062594;0.061137;0.061886;214,910,502;1,240,065,250;
7/10/2019;0.059079;0.062234;0.058730;0.061397;257,114,961;1,235,170,864;
6/10/2019;0.059048;0.059564;0.058429;0.059092;166,037,941;1,188,801,305;
5/10/2019;0.059055;0.059337;0.058484;0.059049;101,952,263;1,187,924,587;
4/10/2019;0.058829;0.059937;0.058377;0.059095;111,323,954;1,188,858,216;
3/10/2019;0.059770;0.059838;0.058326;0.058875;125,596,787;1,183,956,025;
2/10/2019;0.059081;0.059800;0.058106;0.059792;143,895,582;1,202,390,484;
1/10/2019;0.061540;0.062060;0.058549;0.059103;163,726,395;1,188,523,860;
30/9/2019;0.058109;0.061680;0.057361;0.061440;214,887,043;1,235,259,077;
29/9/2019;0.058671;0.060263;0.057187;0.058127;162,849,827;1,168,654,373;
28/9/2019;0.059797;0.061279;0.057696;0.058660;205,415,431;1,179,363,618;
27/9/2019;0.058516;0.060122;0.056989;0.059900;233,545,826;1,204,286,587;
26/9/2019;0.057016;0.061871;0.055222;0.058507;301,698,501;1,176,280,383;
25/9/2019;0.054328;0.059122;0.053447;0.057019;256,568,953;1,146,369,310;
24/9/2019;0.062710;0.066435;0.054295;0.054504;291,704,554;1,094,731,570;
23/9/2019;0.068968;0.070165;0.062548;0.062548;250,065,644;1,256,253,880;
22/9/2019;0.071204;0.071893;0.065873;0.068920;205,953,711;1,384,230,932;
21/9/2019;0.073897;0.074955;0.070671;0.071119;253,088,729;1,428,393,908;
20/9/2019;0.081424;0.081468;0.070925;0.073912;354,516,894;1,484,488,026;
19/9/2019;0.083132;0.087906;0.073764;0.081387;576,321,168;1,634,632,804;
