Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,0.019277,0.020776,0.019262,0.020776,1511971143,1385387820,
4/2/2020,0.019202,0.019444,0.018468,0.019261,1407881433,1284364703,
3/2/2020,0.019125,0.019566,0.018971,0.019218,1419005610,1281470718,
2/2/2020,0.019057,0.019841,0.018581,0.019136,1482162206,1276003942,
1/2/2020,0.018664,0.019069,0.018494,0.019064,1346616386,1271241659,
31/1/2020,0.019514,0.019695,0.018264,0.018682,1451545525,1245781492,
30/1/2020,0.018667,0.019719,0.017972,0.019499,1581901735,1300227719,
29/1/2020,0.018613,0.019651,0.018587,0.018683,1509737028,1245852893,
28/1/2020,0.017146,0.018869,0.017130,0.018614,1624609028,1241244747,
27/1/2020,0.016797,0.017287,0.016797,0.017135,1323659601,1142590063,
26/1/2020,0.016193,0.016828,0.016109,0.016804,1255315356,1120496341,
25/1/2020,0.016426,0.016426,0.016023,0.016199,1147617479,1080211145,
24/1/2020,0.016263,0.016564,0.015761,0.016411,1237593967,1094331823,
23/1/2020,0.017365,0.017391,0.016046,0.016253,1238646077,1083772062,
22/1/2020,0.017307,0.017438,0.017094,0.017353,1180207766,1157163890,
21/1/2020,0.016618,0.017308,0.016535,0.017308,1239081715,1154150117,
20/1/2020,0.016613,0.016745,0.016238,0.016626,1266246610,1108644194,
19/1/2020,0.017724,0.018065,0.016263,0.016620,1309357592,1108254028,
18/1/2020,0.017674,0.018094,0.017319,0.017716,1385173971,1181324710,
17/1/2020,0.017197,0.018068,0.017019,0.017666,1420514220,1177998610,
16/1/2020,0.017292,0.017346,0.016246,0.017119,1333108083,1141554643,
15/1/2020,0.016729,0.018059,0.016324,0.017284,1462008167,1152526479,
14/1/2020,0.014707,0.016923,0.014696,0.016720,1466195336,1114931863,
13/1/2020,0.014975,0.015045,0.014590,0.014706,1067644896,980637605,
12/1/2020,0.014619,0.015004,0.014514,0.014976,1151253021,998598083,
11/1/2020,0.014624,0.014929,0.014501,0.014614,1176009007,974520532,
10/1/2020,0.014064,0.014764,0.013732,0.014614,1156355120,974492902,
9/1/2020,0.014067,0.014109,0.013819,0.014063,943917224,937735548,
8/1/2020,0.014378,0.014623,0.013886,0.014069,1120252261,938166612,
7/1/2020,0.014594,0.014741,0.014210,0.014373,1120168579,958436352,
6/1/2020,0.013617,0.014548,0.013601,0.014548,1204485570,970098321,
5/1/2020,0.013531,0.013913,0.013522,0.013623,1079591214,908402722,
4/1/2020,0.013450,0.013534,0.013310,0.013521,991868126,901595465,
3/1/2020,0.012887,0.013524,0.012772,0.013435,1109470187,895850741,
2/1/2020,0.013254,0.013254,0.012809,0.012870,999867628,858205202,
1/1/2020,0.013294,0.013388,0.013193,0.013250,977215885,883513371,
31/12/2019,0.013406,0.013490,0.013154,0.013306,1065550361,887251274,
30/12/2019,0.013744,0.013989,0.013323,0.013400,1180670788,893567953,
29/12/2019,0.013504,0.013925,0.013433,0.013743,1090566660,916441897,
28/12/2019,0.013297,0.013788,0.013289,0.013515,1159949303,901199434,
27/12/2019,0.013411,0.013454,0.013221,0.013300,1113460814,886873123,
26/12/2019,0.013351,0.013701,0.013259,0.013412,1111971331,894352282,
25/12/2019,0.013647,0.013647,0.013175,0.013339,1074051749,889447723,
24/12/2019,0.013842,0.013974,0.013411,0.013633,1184108108,909069238,
23/12/2019,0.014918,0.015227,0.013782,0.013843,1237088083,923076121,
22/12/2019,0.013595,0.015015,0.013595,0.014913,1319603647,994421661,
21/12/2019,0.013465,0.013601,0.013339,0.013601,1104610705,906953230,
20/12/2019,0.013082,0.013553,0.012956,0.013464,1189193477,897838784,
19/12/2019,0.013387,0.013511,0.012756,0.013078,1176707542,872088970,
18/12/2019,0.012460,0.013477,0.012311,0.013376,1277690945,891971388,
17/12/2019,0.013497,0.013511,0.012330,0.012478,1090326003,832037848,
16/12/2019,0.014026,0.014046,0.013353,0.013489,1114277015,899493259,
15/12/2019,0.013937,0.014154,0.013794,0.014028,1025255094,935432754,
14/12/2019,0.014090,0.014588,0.013913,0.013942,969812672,929705550,
13/12/2019,0.013862,0.014228,0.013717,0.014098,973273278,940063554,
12/12/2019,0.014185,0.014200,0.013527,0.013862,1001541934,924336244,
11/12/2019,0.014159,0.014374,0.014103,0.014179,919584735,945493907,
10/12/2019,0.014459,0.014499,0.014097,0.014153,920910088,943760869,
9/12/2019,0.014729,0.014768,0.014387,0.014469,945176795,964836090,
8/12/2019,0.014600,0.014822,0.014505,0.014754,909202289,983813078,
7/12/2019,0.014710,0.014852,0.014590,0.014595,932823180,973196410,
6/12/2019,0.014615,0.014724,0.014494,0.014708,1016590546,980792334,
5/12/2019,0.014429,0.014950,0.014297,0.014606,1063061041,973956439,
4/12/2019,0.015246,0.015255,0.014209,0.014428,1017108758,962101784,
3/12/2019,0.015265,0.015578,0.015038,0.015251,847268484,1016960380,
2/12/2019,0.015944,0.015992,0.015166,0.015247,1078642608,1016686848,
1/12/2019,0.015510,0.016066,0.015138,0.015950,1221749577,1063601685,
30/11/2019,0.016184,0.016306,0.015393,0.015505,1106913968,1033928663,
29/11/2019,0.015888,0.016335,0.015821,0.016193,1203702929,1079758762,
28/11/2019,0.016151,0.016377,0.015793,0.015878,1266811966,1058777506,
27/11/2019,0.015391,0.016398,0.014671,0.016149,2021635640,1076878630,
26/11/2019,0.014292,0.015525,0.014155,0.015417,1188544728,1028012220,
25/11/2019,0.013923,0.014633,0.013159,0.014292,1304867281,953039491,
24/11/2019,0.015192,0.015254,0.013930,0.013930,1212567751,928905052,
23/11/2019,0.014480,0.015185,0.014101,0.015180,1137753709,1012232600,
22/11/2019,0.015421,0.015573,0.013512,0.014482,1319516654,965696064,
21/11/2019,0.016643,0.016664,0.015069,0.015422,1152178110,1028356429,
20/11/2019,0.017066,0.017211,0.016511,0.016644,1055792316,1109841404,
19/11/2019,0.017399,0.017566,0.016632,0.017068,1091020964,1138131915,
18/11/2019,0.018888,0.018916,0.017202,0.017397,991930691,1160082511,
17/11/2019,0.018797,0.019196,0.018468,0.018893,896891602,1259812513,
16/11/2019,0.018611,0.018885,0.018541,0.018794,884418648,1253254175,
15/11/2019,0.019493,0.019535,0.018479,0.018617,987509599,1241430396,
14/11/2019,0.020114,0.020253,0.019242,0.019509,1002646257,1300933683,
13/11/2019,0.019604,0.020237,0.019358,0.020113,985820301,1341143915,
12/11/2019,0.019091,0.019710,0.019082,0.019614,1016783750,1307869612,
11/11/2019,0.019401,0.019406,0.018743,0.019096,984056557,1273346698,
10/11/2019,0.018968,0.019555,0.018924,0.019402,1197385478,1293789173,
9/11/2019,0.018796,0.019103,0.018762,0.018964,1154702394,1264569279,
8/11/2019,0.019603,0.019712,0.018517,0.018794,1247102504,1253254616,
7/11/2019,0.020181,0.020202,0.019315,0.019623,992198179,1308492456,
6/11/2019,0.019847,0.020579,0.019678,0.020188,999616731,1346170856,
5/11/2019,0.019831,0.020022,0.019479,0.019852,893103611,1323796944,
4/11/2019,0.019697,0.019890,0.018883,0.019831,968918172,1322371821,
3/11/2019,0.019967,0.020112,0.019388,0.019700,854200817,1313635905,
2/11/2019,0.019673,0.020230,0.019662,0.019958,847828051,1330824058,
1/11/2019,0.019902,0.020090,0.019350,0.019676,868159777,1312017558,
31/10/2019,0.020099,0.020726,0.019278,0.019898,1075269261,1326828091,
30/10/2019,0.022002,0.022818,0.019951,0.020114,1452165854,1341238757,
29/10/2019,0.020188,0.022319,0.020046,0.021991,1785310977,1466403717,
28/10/2019,0.019134,0.021889,0.019120,0.020184,2072365497,1345929676,
27/10/2019,0.016589,0.019551,0.016195,0.019132,1578939462,1275743415,
26/10/2019,0.017633,0.018015,0.015987,0.016582,1328873818,1105706758,
25/10/2019,0.015292,0.017639,0.015124,0.017639,1083716136,1176236182,
24/10/2019,0.014326,0.015375,0.014326,0.015298,810730076,1020096797,
23/10/2019,0.015195,0.015245,0.013914,0.014318,725581900,954766948,
22/10/2019,0.015599,0.015692,0.015171,0.015212,742578864,1014350754,
21/10/2019,0.015553,0.015727,0.015411,0.015598,748254275,1040093474,
20/10/2019,0.015526,0.015587,0.015225,0.015552,632826319,1037064304,
19/10/2019,0.015419,0.015805,0.015221,0.015525,733897947,1035228775,
18/10/2019,0.015442,0.015561,0.014704,0.015416,626283795,1027991311,
17/10/2019,0.015282,0.015463,0.014689,0.015442,644710023,1029716915,
16/10/2019,0.015742,0.015876,0.014848,0.015287,625699158,1019342733,
15/10/2019,0.016727,0.016823,0.015539,0.015744,637965138,1049860000,
14/10/2019,0.016138,0.016747,0.016072,0.016732,642336082,1115709152,
13/10/2019,0.015732,0.016379,0.015686,0.016137,622543636,1076022133,
12/10/2019,0.015998,0.016242,0.015672,0.015741,571352239,1049661174,
11/10/2019,0.016319,0.016681,0.015846,0.015993,666304122,1066471312,
10/10/2019,0.016982,0.017040,0.016096,0.016313,659340343,1087784411,
9/10/2019,0.017093,0.017282,0.016698,0.016984,777844289,1132516957,
8/10/2019,0.016349,0.017234,0.015949,0.017078,751448971,1138794190,
7/10/2019,0.014769,0.016574,0.014657,0.016355,772577285,1090589923,
6/10/2019,0.015112,0.015432,0.014740,0.014789,647870694,986179655,
5/10/2019,0.014709,0.015146,0.014421,0.015113,605918087,1007796285,
4/10/2019,0.014350,0.014814,0.014231,0.014708,594460353,980787799,
3/10/2019,0.014463,0.014510,0.014056,0.014355,577538792,957206950,
2/10/2019,0.014069,0.014467,0.013825,0.014467,559687304,964716302,
1/10/2019,0.014543,0.014839,0.013915,0.014072,615910233,938377943,
30/9/2019,0.013399,0.014856,0.013019,0.014524,663359129,968460129,
29/9/2019,0.013684,0.013728,0.013047,0.013402,523279121,893676569,
28/9/2019,0.013764,0.013892,0.013464,0.013685,573461375,912545253,
27/9/2019,0.012869,0.013925,0.012717,0.013772,730136371,918326229,
26/9/2019,0.013248,0.013587,0.012322,0.012884,597128850,859107170,
25/9/2019,0.012797,0.013494,0.012492,0.013252,702110438,883683794,
24/9/2019,0.016074,0.016313,0.012379,0.012794,736691185,853144452,
23/9/2019,0.016924,0.017112,0.016081,0.016081,618313969,1072331896,
22/9/2019,0.018227,0.018227,0.016602,0.016921,652943017,1128300530,
21/9/2019,0.017395,0.018510,0.017221,0.018227,651793485,1215410249,
20/9/2019,0.017642,0.017700,0.017103,0.017393,616635633,1159779603,
19/9/2019,0.018008,0.018008,0.016644,0.017651,736829335,1177000135,
18/9/2019,0.016789,0.018553,0.016767,0.018017,799716562,1201424708,
17/9/2019,0.015690,0.017287,0.015689,0.016785,667459152,1119283625,
16/9/2019,0.015592,0.015834,0.015437,0.015690,527588255,1046235726,
15/9/2019,0.015806,0.016041,0.015475,0.015592,554916296,1039726739,
14/9/2019,0.015528,0.015922,0.015225,0.015808,565011950,1054099027,
13/9/2019,0.014865,0.015565,0.014750,0.015516,510685257,1034632146,
12/9/2019,0.014957,0.015008,0.014554,0.014864,525523848,991187112,
11/9/2019,0.015623,0.015710,0.014859,0.014955,538549616,997238672,
10/9/2019,0.015742,0.016153,0.015475,0.015623,550196165,1041753771,
9/9/2019,0.015840,0.016020,0.015290,0.015742,669187814,1049680167,
8/9/2019,0.015436,0.016091,0.015423,0.015840,565551912,1056275571,
7/9/2019,0.014262,0.015676,0.014210,0.015434,527720264,1029145148,
6/9/2019,0.015006,0.015087,0.014053,0.014256,465868869,950639582,
5/9/2019,0.015591,0.015613,0.014691,0.015009,441122941,1000830966,
4/9/2019,0.015961,0.015972,0.015499,0.015593,407752910,1039747569,
3/9/2019,0.015935,0.016094,0.015739,0.015949,422623093,1063540664,
2/9/2019,0.015608,0.016101,0.015270,0.015924,458500298,1061853982,
1/9/2019,0.015571,0.015686,0.015415,0.015625,424372234,1041912671,
31/8/2019,0.015608,0.015698,0.015251,0.015560,467796844,1037558304,
30/8/2019,0.015538,0.015808,0.015265,0.015606,439318790,1040672169,
29/8/2019,0.016000,0.016004,0.015137,0.015533,481464079,1035797246,
28/8/2019,0.017617,0.017674,0.015824,0.016000,485624918,1066932138,
27/8/2019,0.017719,0.017724,0.017343,0.017611,461705868,1174332607,
26/8/2019,0.017562,0.017961,0.017467,0.017717,491414308,1181382165,
25/8/2019,0.017790,0.018318,0.017505,0.017567,482224129,1171405385,
24/8/2019,0.018085,0.018221,0.017436,0.017801,487645267,1187006327,
23/8/2019,0.017500,0.018377,0.017408,0.018083,490595580,1205807717,
22/8/2019,0.016692,0.017979,0.016670,0.017538,537114538,1169496328,
21/8/2019,0.017602,0.017611,0.016371,0.016690,469160737,1112907799,
20/8/2019,0.018080,0.018104,0.017391,0.017600,366355788,1173606966,
19/8/2019,0.017832,0.018329,0.017695,0.018083,398770744,1205816092,
18/8/2019,0.016943,0.018238,0.016770,0.017833,386511456,1189131714,
17/8/2019,0.016973,0.017339,0.016758,0.016941,359367689,1129673021,
16/8/2019,0.017609,0.017692,0.016691,0.016968,444447812,1131447808,
15/8/2019,0.017719,0.017996,0.016542,0.017608,564505966,1174140766,
14/8/2019,0.020323,0.020431,0.017679,0.017704,483213276,1180521095,
13/8/2019,0.020678,0.020720,0.020041,0.020325,440513694,1355328947,
12/8/2019,0.020712,0.020999,0.020417,0.020677,460097013,1378762089,
11/8/2019,0.020460,0.021151,0.020098,0.020716,452209004,1381358563,
10/8/2019,0.019777,0.020600,0.019663,0.020463,493857970,1364513501,
9/8/2019,0.021891,0.021996,0.019532,0.019789,465725220,1319597673,
8/8/2019,0.021677,0.022350,0.021599,0.021887,451114468,1459452421,
7/8/2019,0.021672,0.022075,0.021541,0.021676,434015912,1445373773,
6/8/2019,0.023080,0.023080,0.021545,0.021669,464780301,1444958026,
5/8/2019,0.022410,0.023499,0.022235,0.023088,469772899,1539576165,
4/8/2019,0.021917,0.022660,0.021478,0.022415,410756046,1494683390,
3/8/2019,0.021760,0.022081,0.021636,0.021929,377614598,1462275542,
2/8/2019,0.022262,0.022296,0.021590,0.021759,373625483,1450913287,
1/8/2019,0.022479,0.022505,0.021915,0.022253,431296974,1483891310,
