Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:;
5/2/2020;2.74;2.87;2.73;2.85;157306879;995970095;
4/2/2020;2.77;2.80;2.69;2.74;134721884;959392205;
3/2/2020;2.83;2.86;2.76;2.77;128902317;971130674;
2/2/2020;2.84;2.89;2.74;2.83;135278751;991403500;
1/2/2020;2.82;2.87;2.76;2.84;121185567;993633620;
31/1/2020;2.92;2.92;2.78;2.82;132881059;988326980;
30/1/2020;2.78;2.94;2.72;2.91;189044589;1019545843;
29/1/2020;2.66;2.81;2.65;2.79;166469457;974863479;
28/1/2020;2.61;2.67;2.60;2.66;130829516;929368527;
27/1/2020;2.57;2.68;2.57;2.61;125100879;913378198;
26/1/2020;2.46;2.57;2.44;2.57;101906615;900053582;
25/1/2020;2.50;2.51;2.43;2.46;96793337;859784045;
24/1/2020;2.47;2.53;2.37;2.50;121390827;876536363;
23/1/2020;2.65;2.65;2.44;2.46;128284126;861738068;
22/1/2020;2.68;2.69;2.63;2.65;97214236;925953608;
21/1/2020;2.70;2.74;2.58;2.67;118493954;935742614;
20/1/2020;2.62;2.74;2.55;2.70;149645626;944054524;
19/1/2020;2.78;2.84;2.56;2.62;175287789;916632784;
18/1/2020;2.72;2.79;2.60;2.77;167529444;970936771;
17/1/2020;2.48;2.84;2.47;2.72;257924221;953438176;
16/1/2020;2.41;2.50;2.30;2.48;143515776;869567505;
15/1/2020;2.38;2.57;2.36;2.40;149371800;841742041;
14/1/2020;2.19;2.45;2.18;2.39;135612258;836474276;
13/1/2020;2.24;2.24;2.16;2.19;78803227;767358644;
12/1/2020;2.28;2.31;2.23;2.25;87342008;785817532;
11/1/2020;2.22;2.33;2.22;2.28;107902217;799136443;
10/1/2020;2.19;2.26;2.16;2.22;109888554;778385770;
9/1/2020;2.18;2.23;2.11;2.19;109938413;765117095;
8/1/2020;2.11;2.33;2.11;2.18;192821111;764262022;
7/1/2020;1.93;2.13;1.91;2.11;140921324;739934210;
6/1/2020;1.81;1.94;1.81;1.94;80941179;678112936;
5/1/2020;1.84;1.86;1.80;1.81;55235942;632725379;
4/1/2020;1.81;1.85;1.79;1.84;49108150;644046686;
3/1/2020;1.74;1.83;1.71;1.81;61298048;633397911;
2/1/2020;1.81;1.82;1.72;1.74;52729126;609400278;
1/1/2020;1.77;1.85;1.76;1.81;69723037;632324086;
31/12/2019;1.84;1.84;1.76;1.77;58903187;619314954;
30/12/2019;1.90;1.91;1.83;1.84;57136151;643640851;
29/12/2019;1.87;1.92;1.86;1.90;53574998;665841559;
28/12/2019;1.89;1.91;1.87;1.87;53567273;656018147;
27/12/2019;1.86;1.95;1.85;1.89;74031488;660276978;
26/12/2019;1.81;1.94;1.79;1.86;79180350;651630010;
25/12/2019;1.86;1.86;1.79;1.80;86020952;631665436;
24/12/2019;1.88;1.89;1.84;1.86;131772813;652092016;
23/12/2019;1.94;1.96;1.86;1.88;130569408;656897477;
22/12/2019;1.87;1.95;1.87;1.94;120076955;677398756;
21/12/2019;1.92;1.93;1.87;1.87;88336767;655789073;
20/12/2019;1.82;1.92;1.80;1.92;124354682;673201642;
19/12/2019;1.88;1.89;1.75;1.82;150914459;637172404;
18/12/2019;1.76;1.88;1.66;1.88;209932252;658252398;
17/12/2019;1.98;2.01;1.72;1.76;172213180;614723071;
16/12/2019;2.09;2.09;1.98;1.98;97454140;693554053;
15/12/2019;2.01;2.12;1.98;2.09;114518248;730394059;
14/12/2019;2.08;2.09;1.99;2.01;105295566;703740129;
13/12/2019;2.12;2.13;2.07;2.08;117843001;727058616;
12/12/2019;2.18;2.20;2.05;2.12;142758973;741674953;
11/12/2019;2.27;2.30;2.15;2.18;138162558;762317077;
10/12/2019;2.09;2.28;2.07;2.27;218763851;794729934;
9/12/2019;2.06;2.09;2.02;2.09;147696805;731861045;
8/12/2019;2.06;2.09;2.03;2.06;103114465;720652032;
7/12/2019;2.09;2.11;2.05;2.06;88418201;721417209;
6/12/2019;2.03;2.10;1.99;2.09;113399318;732354664;
5/12/2019;2.05;2.11;1.97;2.03;126219927;709032623;
4/12/2019;2.13;2.14;2.02;2.05;145162286;717028178;
3/12/2019;2.09;2.20;2.05;2.13;109854018;745494808;
2/12/2019;2.17;2.18;2.07;2.09;116492201;733241502;
1/12/2019;2.24;2.24;2.14;2.17;136819693;758496044;
30/11/2019;2.34;2.36;2.22;2.24;123021580;784726634;
29/11/2019;2.28;2.36;2.27;2.34;160656952;819917110;
28/11/2019;2.23;2.33;2.19;2.27;146006115;795173797;
27/11/2019;2.26;2.29;2.14;2.23;149542925;780208040;
26/11/2019;2.27;2.36;2.18;2.28;143568310;796749927;
25/11/2019;2.26;2.38;2.06;2.28;170091780;796272797;
24/11/2019;2.45;2.47;2.25;2.26;149929050;789526615;
23/11/2019;2.35;2.46;2.27;2.45;149356394;856598472;
22/11/2019;2.55;2.59;2.17;2.35;201718065;823152707;
21/11/2019;2.71;2.71;2.48;2.55;167317924;892383619;
20/11/2019;2.75;2.83;2.66;2.71;167970679;947893228;
19/11/2019;2.82;2.86;2.61;2.76;174284233;964799660;
18/11/2019;2.93;2.98;2.77;2.83;126598447;989313501;
17/11/2019;3.01;3.01;2.90;2.93;99099080;1026161955;
16/11/2019;3.03;3.05;2.94;3.01;95813206;1053615962;
15/11/2019;3.06;3.08;2.86;3.04;157665192;1062303298;
14/11/2019;3.02;3.18;2.96;3.06;198792071;1072062494;
13/11/2019;2.81;3.08;2.79;3.02;209362104;1056401597;
12/11/2019;2.75;2.87;2.74;2.82;148585749;986233985;
11/11/2019;2.78;2.78;2.69;2.75;94732322;962614077;
10/11/2019;2.80;2.85;2.73;2.78;145643657;973925991;
9/11/2019;2.72;2.86;2.71;2.80;152872881;981382996;
8/11/2019;2.69;2.73;2.64;2.72;133302910;950824378;
7/11/2019;2.74;2.75;2.63;2.69;139483618;941759562;
6/11/2019;2.68;2.81;2.66;2.74;152746471;959075304;
5/11/2019;2.68;2.70;2.64;2.68;119153856;938931715;
4/11/2019;2.67;2.73;2.65;2.69;122384989;940363180;
3/11/2019;2.71;2.72;2.65;2.67;106456374;935129239;
2/11/2019;2.72;2.76;2.69;2.71;88544063;948628146;
1/11/2019;2.74;2.80;2.66;2.72;118225225;952007823;
31/10/2019;2.62;2.76;2.56;2.74;118140976;958275491;
30/10/2019;2.67;2.68;2.53;2.62;101740209;918473995;
29/10/2019;2.67;2.77;2.65;2.67;109381921;934515459;
28/10/2019;2.68;2.89;2.67;2.67;157224840;935190881;
27/10/2019;2.75;2.77;2.62;2.68;135864814;936411528;
26/10/2019;2.84;2.99;2.67;2.75;231729603;963198914;
25/10/2019;2.75;2.93;2.65;2.84;210307337;993331438;
24/10/2019;2.62;2.79;2.61;2.75;175558916;963071165;
23/10/2019;2.61;2.69;2.43;2.61;190350548;914374505;
22/10/2019;2.63;2.82;2.58;2.61;172462583;911941836;
21/10/2019;2.44;2.67;2.44;2.63;174716569;921215529;
20/10/2019;2.36;2.44;2.30;2.44;86836834;854512429;
19/10/2019;2.36;2.40;2.30;2.36;85270342;825810063;
18/10/2019;2.42;2.51;2.34;2.36;105032862;825498606;
17/10/2019;2.39;2.48;2.29;2.42;139155340;848439470;
16/10/2019;2.40;2.42;2.20;2.39;158475686;836937086;
15/10/2019;2.54;2.60;2.35;2.39;110301011;838177179;
14/10/2019;2.50;2.67;2.47;2.54;116069815;888883511;
13/10/2019;2.60;2.65;2.46;2.50;107136821;874110354;
12/10/2019;2.78;2.78;2.57;2.61;120045685;912493135;
11/10/2019;2.64;2.81;2.59;2.77;200123734;970326221;
10/10/2019;2.81;2.81;2.50;2.64;249559325;922420687;
9/10/2019;2.58;2.94;2.52;2.80;329507431;981348417;
8/10/2019;2.40;2.63;2.28;2.58;224096110;902338849;
7/10/2019;2.19;2.49;2.13;2.40;202190935;840650623;
6/10/2019;1.97;2.27;1.96;2.19;126356581;765835879;
5/10/2019;1.98;1.98;1.92;1.97;96574706;688101396;
4/10/2019;1.95;2.00;1.91;1.98;77454029;692586222;
3/10/2019;2.02;2.03;1.90;1.95;101098441;682863179;
2/10/2019;1.84;2.02;1.83;2.02;102294409;705830998;
1/10/2019;1.76;1.90;1.76;1.84;91602849;643757763;
30/9/2019;1.72;1.77;1.65;1.76;84068855;617227495;
29/9/2019;1.69;1.75;1.67;1.72;85120108;601027004;
28/9/2019;1.67;1.71;1.66;1.69;71435514;590578652;
27/9/2019;1.66;1.68;1.58;1.67;90213617;584556447;
26/9/2019;1.76;1.76;1.56;1.66;112008341;580641588;
25/9/2019;1.74;1.93;1.65;1.76;161634833;616065986;
24/9/2019;1.81;2.06;1.59;1.74;218580528;607533240;
23/9/2019;1.82;1.89;1.79;1.81;76114156;632571593;
22/9/2019;1.89;1.89;1.78;1.82;63224058;637490132;
21/9/2019;1.83;1.89;1.80;1.89;76844379;661291923;
20/9/2019;1.88;1.88;1.77;1.83;75449475;639712666;
19/9/2019;1.81;1.91;1.75;1.88;133273165;656554430;
18/9/2019;1.63;1.85;1.63;1.81;112613412;633437288;
17/9/2019;1.58;1.66;1.56;1.63;74897534;570303195;
16/9/2019;1.62;1.64;1.55;1.58;62082506;553502262;
15/9/2019;1.57;1.65;1.57;1.62;64455918;566133842;
14/9/2019;1.58;1.64;1.54;1.57;82000174;547786749;
13/9/2019;1.71;1.71;1.53;1.58;95116689;553326582;
12/9/2019;1.74;1.75;1.68;1.71;61903495;597673768;
11/9/2019;1.80;1.83;1.72;1.73;67247430;607189371;
10/9/2019;1.79;1.83;1.79;1.80;66969746;630745598;
9/9/2019;1.83;1.87;1.77;1.80;96518480;628912446;
8/9/2019;1.78;1.90;1.78;1.83;88855921;640837508;
7/9/2019;1.73;1.81;1.72;1.78;71006363;621936130;
6/9/2019;1.80;1.82;1.71;1.73;72212080;606023566;
5/9/2019;1.78;1.86;1.77;1.80;69409152;629259272;
4/9/2019;1.85;1.86;1.75;1.79;70884788;624835582;
3/9/2019;1.83;1.93;1.82;1.85;80326910;649140668;
2/9/2019;1.77;1.89;1.74;1.83;63004422;641721122;
1/9/2019;1.79;1.80;1.73;1.78;43571942;621326044;
31/8/2019;1.80;1.85;1.75;1.79;51356763;626580727;
30/8/2019;1.78;1.89;1.75;1.81;57285240;632233170;
29/8/2019;1.90;1.90;1.75;1.78;83335306;624201412;
28/8/2019;2.11;2.11;1.89;1.90;59193724;665135295;
27/8/2019;2.08;2.16;2.03;2.11;62275881;737513471;
26/8/2019;2.09;2.16;2.06;2.08;54292215;726896842;
25/8/2019;2.18;2.19;2.04;2.09;59471445;729777073;
24/8/2019;2.25;2.26;2.17;2.19;50546812;764817282;
23/8/2019;2.23;2.31;2.19;2.25;85783321;788655768;
22/8/2019;2.22;2.29;2.16;2.23;71961706;780353505;
21/8/2019;2.38;2.39;2.17;2.22;94589329;775709885;
20/8/2019;2.50;2.54;2.36;2.38;71968212;833161949;
19/8/2019;2.50;2.59;2.45;2.51;81955471;876803143;
18/8/2019;2.39;2.55;2.37;2.50;74479050;874873977;
