Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,3.43,3.61,3.42,3.58,218391076,846649656,
4/2/2020,3.45,3.47,3.34,3.43,134770987,811887504,
3/2/2020,3.48,3.52,3.42,3.45,143343968,816474042,
2/2/2020,3.47,3.53,3.36,3.48,181480531,821875508,
1/2/2020,3.44,3.49,3.41,3.47,159118308,821109858,
31/1/2020,3.50,3.56,3.36,3.44,249757025,813878000,
30/1/2020,3.39,3.51,3.34,3.50,240909890,827509994,
29/1/2020,3.25,3.46,3.24,3.39,236378858,802241053,
28/1/2020,3.19,3.25,3.16,3.25,178973598,769309163,
27/1/2020,3.15,3.21,3.14,3.20,168209429,755534572,
26/1/2020,3.08,3.15,3.07,3.15,105636039,744434931,
25/1/2020,3.13,3.13,3.06,3.09,86633958,729512895,
24/1/2020,3.13,3.15,3.05,3.12,117533845,738950763,
23/1/2020,3.25,3.25,3.06,3.13,126127334,740157818,
22/1/2020,3.26,3.29,3.22,3.25,104633876,767847012,
21/1/2020,3.17,3.29,3.16,3.26,142830754,771740194,
20/1/2020,3.15,3.21,3.08,3.17,125622177,750026853,
19/1/2020,3.22,3.29,3.08,3.15,162391777,733956402,
18/1/2020,3.27,3.29,3.19,3.22,156139132,750536152,
17/1/2020,3.24,3.31,3.20,3.28,185645487,764345882,
16/1/2020,3.28,3.29,3.13,3.24,168315633,756365709,
15/1/2020,3.23,3.35,3.13,3.28,297998580,764973097,
14/1/2020,3.05,3.30,3.04,3.24,359214699,781284137,
13/1/2020,3.09,3.10,3.02,3.05,133950019,735016484,
12/1/2020,3.15,3.21,3.08,3.09,129949368,746192999,
11/1/2020,3.11,3.23,3.08,3.16,152428071,761563889,
10/1/2020,3.07,3.11,2.97,3.11,214112126,751243403,
9/1/2020,3.07,3.07,2.96,3.06,155031303,739509209,
8/1/2020,3.14,3.20,3.02,3.07,218548663,741114574,
7/1/2020,3.05,3.15,3.02,3.14,236321944,757536379,
6/1/2020,2.94,3.05,2.93,3.05,178096378,736345235,
5/1/2020,2.92,2.98,2.91,2.94,119839038,708925311,
4/1/2020,2.85,2.92,2.82,2.92,129387617,703841668,
3/1/2020,2.76,2.85,2.70,2.85,146742345,686500587,
2/1/2020,2.82,2.85,2.74,2.75,127923383,663187016,
1/1/2020,2.75,2.84,2.74,2.82,107014240,679442489,
31/12/2019,2.79,2.80,2.73,2.75,93318487,662951715,
30/12/2019,2.82,2.86,2.76,2.79,107859809,673517976,
29/12/2019,2.79,2.86,2.79,2.81,106362520,678721857,
28/12/2019,2.78,2.83,2.78,2.79,97390068,673808352,
27/12/2019,2.78,2.83,2.75,2.78,99549634,671802328,
26/12/2019,2.81,2.82,2.76,2.78,110427485,670310559,
25/12/2019,2.86,2.87,2.76,2.81,104122757,678947338,
24/12/2019,2.83,2.91,2.80,2.86,111449993,690443347,
23/12/2019,2.86,2.93,2.81,2.83,168832758,681976581,
22/12/2019,2.81,2.86,2.77,2.86,134255821,689495068,
21/12/2019,2.76,2.83,2.70,2.81,109353056,678809067,
20/12/2019,2.72,2.80,2.70,2.76,115478618,666395474,
19/12/2019,2.69,2.73,2.62,2.72,149562802,655722887,
18/12/2019,2.38,2.72,2.37,2.69,216748376,649679438,
17/12/2019,2.59,2.60,2.38,2.40,138503382,578158589,
16/12/2019,2.73,2.74,2.59,2.59,121938917,625756900,
15/12/2019,2.72,2.74,2.60,2.73,122494596,657605992,
14/12/2019,2.78,2.80,2.71,2.72,112812199,655656599,
13/12/2019,2.77,2.81,2.76,2.78,96884560,671357049,
12/12/2019,2.72,2.79,2.71,2.77,84700657,668429157,
11/12/2019,2.72,2.75,2.70,2.72,82985843,657040557,
10/12/2019,2.78,2.78,2.67,2.72,80676198,656953230,
