Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;111.14;123.01;110.58;122.27;1,040,214,025;1,138,445,784;
4/2/2020;116.20;117.19;109.69;111.14;767,274,423;1,034,623,862;
3/2/2020;115.60;117.72;115.14;116.20;805,030,077;1,081,551,173;
2/2/2020;117.44;118.40;114.59;115.62;795,391,925;1,075,967,933;
1/2/2020;116.52;119.65;115.93;117.47;809,915,887;1,092,986,551;
31/1/2020;122.55;124.34;114.62;116.43;995,498,642;1,083,076,228;
30/1/2020;121.81;124.86;118.67;122.47;1,175,856,865;1,139,115,564;
29/1/2020;116.18;126.94;115.55;122.04;1,310,968,165;1,134,218,623;
28/1/2020;113.27;117.11;111.78;116.20;1,056,404,598;1,079,764,827;
27/1/2020;111.01;119.25;111.01;113.27;1,185,315,336;1,052,290,358;
26/1/2020;102.14;112.47;100.80;111.00;1,048,666,266;1,031,071,645;
25/1/2020;100.77;103.49;98.02;102.16;684,814,780;948,701,916;
24/1/2020;102.58;103.80;94.29;100.83;829,271,731;936,185,841;
23/1/2020;107.64;108.15;98.66;102.41;837,448,530;950,709,016;
22/1/2020;110.83;112.54;107.27;107.65;824,540,369;999,145,359;
21/1/2020;109.61;113.66;106.24;110.86;964,611,063;1,028,793,258;
20/1/2020;104.80;114.63;100.88;109.57;1,208,948,881;1,016,591,626;
19/1/2020;101.63;108.44;93.42;104.79;1,186,646,796;972,138,555;
18/1/2020;114.13;115.25;97.52;101.56;1,315,737,751;941,967,758;
17/1/2020;127.63;127.69;110.55;114.38;1,536,993,729;1,060,686,346;
16/1/2020;132.40;134.05;113.62;128.16;1,925,351,036;1,188,236,312;
15/1/2020;88.62;140.70;88.62;132.27;2,736,888,861;1,226,142,431;
14/1/2020;69.61;88.70;69.58;88.70;1,090,046,613;822,067,637;
13/1/2020;66.25;71.11;64.15;69.58;476,814,382;644,783,979;
12/1/2020;63.53;67.81;62.53;66.30;535,827,585;614,252,950;
11/1/2020;56.60;66.84;55.81;63.40;581,950,368;587,294,276;
10/1/2020;50.89;56.59;50.26;56.59;360,608,270;524,062,302;
