Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,12.17,12.86,12.10,12.75,699667651,899691108,
4/2/2020,11.88,12.30,11.57,12.17,525024477,858792142,
3/2/2020,12.07,12.27,11.78,11.88,504085310,838234563,
2/2/2020,11.44,12.48,11.25,12.07,610120618,851110871,
1/2/2020,11.48,11.62,11.23,11.44,447550231,806924085,
31/1/2020,11.75,11.75,11.15,11.47,474698228,809033027,
30/1/2020,11.24,11.80,10.93,11.74,512721541,828379423,
29/1/2020,11.39,11.69,11.25,11.25,470616230,793310167,
28/1/2020,11.12,11.39,11.03,11.38,456766140,803023012,
27/1/2020,10.79,11.27,10.72,11.12,486387846,784454525,
26/1/2020,10.37,10.79,10.31,10.79,404980625,761197052,
25/1/2020,10.54,10.55,10.25,10.38,385598906,732042427,
24/1/2020,10.60,10.67,10.18,10.54,431976783,743631121,
23/1/2020,11.25,11.26,10.44,10.59,469032837,747269106,
22/1/2020,11.21,11.36,11.15,11.24,427437898,792531607,
21/1/2020,11.14,11.29,10.90,11.22,439099246,791311089,
20/1/2020,11.23,11.33,10.87,11.14,457576088,785962924,
19/1/2020,11.90,12.16,10.88,11.24,565130675,792985473,
18/1/2020,11.88,12.30,11.35,11.90,640055893,839211044,
17/1/2020,11.28,11.93,11.18,11.89,613650220,838848785,
16/1/2020,11.41,11.55,10.78,11.27,557155121,795027478,
15/1/2020,11.22,11.89,10.89,11.42,688138212,805615914,
14/1/2020,10.06,11.57,10.04,11.24,682255589,792731466,
13/1/2020,10.28,10.30,9.81,10.06,403409327,709734345,
12/1/2020,9.72,10.41,9.67,10.27,459127690,724098648,
11/1/2020,9.86,9.99,9.60,9.72,423065242,685741235,
10/1/2020,9.44,9.86,9.09,9.86,409988928,695690645,
9/1/2020,9.52,9.52,9.36,9.44,357091292,665893525,
8/1/2020,9.82,10.10,9.43,9.53,470741967,671929024,
7/1/2020,9.78,9.91,9.45,9.82,479929669,692822056,
6/1/2020,9.08,9.82,9.07,9.77,486188491,689404655,
5/1/2020,9.14,9.33,9.05,9.07,406708915,639703566,
4/1/2020,8.89,9.15,8.82,9.15,358861190,645616187,
3/1/2020,8.50,9.03,8.38,8.89,371142358,626917156,
2/1/2020,8.85,8.85,8.44,8.49,327241775,599152620,
1/1/2020,8.68,9.00,8.63,8.85,340927447,624197831,
31/12/2019,9.02,9.08,8.63,8.69,355254392,612871331,
30/12/2019,9.25,9.32,8.95,9.02,383434459,636276389,
29/12/2019,8.79,9.39,8.77,9.25,440624015,652749972,
28/12/2019,8.78,8.86,8.72,8.79,343732112,620317955,
27/12/2019,8.56,8.87,8.55,8.78,355073901,619384106,
26/12/2019,8.69,8.79,8.56,8.56,366442609,603779090,
25/12/2019,8.79,8.80,8.53,8.69,386405336,613130765,
24/12/2019,8.58,8.95,8.52,8.78,412815357,619159028,
23/12/2019,8.92,9.02,8.57,8.59,431188130,605672723,
22/12/2019,8.56,8.92,8.56,8.92,407879217,628873655,
21/12/2019,8.66,8.66,8.48,8.56,363824020,603956214,
20/12/2019,8.66,8.72,8.54,8.65,380714679,610463412,
19/12/2019,8.81,8.87,8.49,8.67,405643371,611376701,
18/12/2019,7.90,8.87,7.83,8.80,511424967,621082813,
17/12/2019,8.40,8.44,7.80,7.90,423480194,556951504,
16/12/2019,8.97,9.03,8.35,8.40,436140051,592532816,
15/12/2019,8.87,9.02,8.51,8.96,426974845,632257321,
14/12/2019,8.91,9.18,8.75,8.87,442529018,625432901,
13/12/2019,8.68,9.13,8.63,8.91,427290538,628843465,
12/12/2019,8.54,8.69,8.41,8.67,452828640,611747342,
11/12/2019,8.62,8.73,8.47,8.54,299233990,602715080,
10/12/2019,8.79,8.79,8.52,8.62,307202597,607764044,
9/12/2019,9.09,9.15,8.73,8.79,292727008,619772885,
8/12/2019,8.99,9.22,8.87,9.09,305831753,641236530,
7/12/2019,8.77,9.26,8.77,8.99,332957949,634037458,
6/12/2019,8.82,8.86,8.68,8.77,297307062,618481282,
5/12/2019,8.70,9.08,8.57,8.81,328984103,621448861,
4/12/2019,8.99,9.09,8.63,8.72,335103295,614878794,
3/12/2019,8.97,9.19,8.82,8.99,303309098,634275741,
2/12/2019,9.28,9.36,8.86,8.97,335056258,632766865,
1/12/2019,9.37,9.50,8.98,9.29,313468750,655229253,
30/11/2019,9.77,9.89,9.27,9.38,367196454,661333408,
29/11/2019,9.33,9.90,9.32,9.76,381982780,688774821,
28/11/2019,9.49,9.65,9.30,9.32,349185109,657404641,
27/11/2019,9.31,9.69,8.86,9.49,410238361,669553971,
26/11/2019,9.13,9.41,9.03,9.34,372281335,659096090,
25/11/2019,9.16,9.51,8.41,9.13,446997610,644270091,
24/11/2019,10.14,10.14,9.15,9.15,400062693,645495988,
23/11/2019,9.70,10.17,9.52,10.14,434460433,715096285,
22/11/2019,11.06,11.19,9.38,9.70,543155922,683948868,
21/11/2019,11.55,11.59,10.67,11.06,504284931,780164032,
20/11/2019,11.80,12.10,11.42,11.55,485322430,814828656,
19/11/2019,11.48,11.86,11.17,11.79,498226128,831577955,
18/11/2019,12.17,12.18,11.26,11.48,468423965,810097168,
17/11/2019,12.47,12.48,12.10,12.17,411707985,858760423,
16/11/2019,12.05,12.61,11.92,12.47,423454412,879858648,
15/11/2019,12.73,12.94,11.88,12.05,494087825,849891531,
14/11/2019,13.20,13.38,12.59,12.72,544059923,896961112,
13/11/2019,12.14,13.42,12.02,13.20,639687544,931143540,
12/11/2019,11.17,12.51,11.16,12.15,682544643,856946892,
11/11/2019,11.05,11.42,10.67,11.17,457016653,787887271,
10/11/2019,10.70,11.28,10.64,11.05,422163610,779188900,
9/11/2019,10.66,10.82,10.60,10.69,355876094,754069959,
8/11/2019,11.19,11.22,10.49,10.67,435911575,752520436,
7/11/2019,11.10,11.23,10.81,11.20,446206619,789893852,
6/11/2019,11.18,11.36,11.01,11.10,458272027,783131127,
5/11/2019,11.46,11.46,11.04,11.18,510035838,788868269,
4/11/2019,11.07,11.66,10.99,11.46,534808365,808054262,
3/11/2019,11.02,11.17,10.75,11.07,463777668,781207003,
2/11/2019,10.65,11.32,10.64,11.02,532232113,777315201,
1/11/2019,10.62,10.73,10.37,10.65,461750014,751172316,
31/10/2019,11.28,11.38,10.30,10.62,559840042,749249755,
30/10/2019,10.79,11.53,10.18,11.26,646768897,794599652,
29/10/2019,10.78,11.31,10.44,10.77,586713879,759982280,
28/10/2019,11.54,13.18,10.49,10.78,970711177,760679061,
27/10/2019,9.09,12.32,9.09,11.54,1153240925,814128670,
26/10/2019,7.81,9.07,7.81,9.06,601179932,639124612,
25/10/2019,7.05,7.82,6.91,7.81,335186191,550904572,
24/10/2019,6.92,7.12,6.82,7.04,229632843,496881975,
23/10/2019,7.30,7.31,6.77,6.93,257772716,488566666,
22/10/2019,7.43,7.53,7.30,7.30,230969582,515099459,
21/10/2019,7.32,7.47,7.25,7.43,240894924,524010859,
20/10/2019,7.16,7.38,7.10,7.32,217855921,516543260,
19/10/2019,7.14,7.22,7.10,7.16,209238234,504755827,
18/10/2019,7.29,7.34,7.03,7.13,227534484,502976612,
17/10/2019,7.05,7.29,6.95,7.29,227322674,513996110,
16/10/2019,7.41,7.48,6.89,7.05,260428217,496963710,
15/10/2019,7.51,7.59,7.31,7.40,253780233,522214540,
14/10/2019,7.35,7.50,7.33,7.47,236139714,526945921,
13/10/2019,7.29,7.51,7.27,7.35,226085348,518535834,
12/10/2019,7.31,7.44,7.26,7.30,233242583,514654844,
11/10/2019,7.51,7.61,7.30,7.31,263183654,515581815,
10/10/2019,7.80,7.81,7.42,7.51,263834330,529840871,
9/10/2019,7.56,7.82,7.46,7.80,285281425,550109041,
8/10/2019,7.53,7.62,7.39,7.56,219794931,533365683,
7/10/2019,7.24,7.59,7.18,7.52,258797335,530480482,
