Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
5/2/2020,4.22,4.35,4.15,4.33,219629627,824888932,
4/2/2020,4.26,4.26,4.02,4.22,199182438,804128109,
3/2/2020,4.41,4.46,4.25,4.26,169613306,812471299,
2/2/2020,4.37,4.47,4.25,4.41,166048379,840319053,
1/2/2020,4.39,4.43,4.30,4.38,153198031,834520686,
31/1/2020,4.42,4.60,4.30,4.39,199363105,837029351,
30/1/2020,4.41,4.47,4.30,4.41,193799097,841882518,
29/1/2020,4.59,4.59,4.36,4.41,195873920,841480724,
28/1/2020,4.52,4.59,4.48,4.59,201500979,874619277,
27/1/2020,4.48,4.67,4.43,4.52,166514161,861473073,
26/1/2020,4.41,4.50,4.37,4.48,131819511,854395418,
25/1/2020,4.49,4.49,4.37,4.42,132055630,841901879,
24/1/2020,4.45,4.52,4.35,4.48,161825964,855148282,
23/1/2020,4.65,4.68,4.38,4.44,157800493,847521481,
22/1/2020,4.64,4.69,4.57,4.65,131623772,887094362,
21/1/2020,4.50,4.73,4.46,4.65,138311353,886592072,
20/1/2020,4.51,4.66,4.42,4.51,142814531,859109294,
19/1/2020,4.64,4.76,4.39,4.52,195479921,861648060,
18/1/2020,5.00,5.00,4.62,4.63,218755859,883526141,
17/1/2020,5.10,5.29,4.77,5.00,314099418,953671093,
16/1/2020,4.57,5.20,4.20,5.08,292509993,967992098,
15/1/2020,4.54,4.93,4.40,4.57,256937834,871045052,
14/1/2020,4.25,4.67,4.24,4.54,218081722,865707914,
13/1/2020,4.26,4.33,4.13,4.26,112376034,811564036,
12/1/2020,4.27,4.35,4.23,4.26,114480179,812887020,
11/1/2020,4.26,4.43,4.26,4.28,134305838,815227389,
10/1/2020,4.26,4.45,4.21,4.26,180537539,813022082,
9/1/2020,4.01,4.26,3.96,4.26,137133708,812941170,
8/1/2020,4.09,4.18,4.00,4.01,128484380,764782468,
7/1/2020,4.11,4.25,4.07,4.10,136691939,781067565,
6/1/2020,4.23,4.25,4.05,4.10,139523351,782765024,
5/1/2020,4.28,4.40,4.22,4.23,115399788,806970072,
4/1/2020,4.25,4.39,4.23,4.29,90718305,817358521,
3/1/2020,4.11,4.36,4.02,4.25,138617691,810024888,
2/1/2020,4.38,4.38,4.08,4.09,111325337,780262140,
1/1/2020,4.22,4.47,4.20,4.38,107994513,835245527,
31/12/2019,4.19,4.33,4.13,4.22,109928104,804079143,
30/12/2019,4.27,4.42,4.15,4.19,126896246,799024500,
29/12/2019,4.41,4.54,4.25,4.27,125572029,813804081,
28/12/2019,4.52,4.72,4.41,4.41,117069172,840180977,
27/12/2019,4.57,4.76,4.49,4.52,132653447,861978946,
26/12/2019,4.30,4.62,4.30,4.58,139848139,873061135,
25/12/2019,4.42,4.42,4.21,4.30,104967612,820436002,
24/12/2019,4.31,4.48,4.26,4.42,127112410,843489942,
23/12/2019,4.27,4.35,4.17,4.30,133651317,820276987,
22/12/2019,4.09,4.28,4.08,4.27,119057895,814002309,
21/12/2019,4.32,4.35,4.07,4.09,111080887,779582076,
20/12/2019,4.29,4.38,4.19,4.31,142056809,822749311,
19/12/2019,4.30,4.37,4.08,4.29,149541020,817804301,
18/12/2019,3.61,4.46,3.60,4.30,260235131,820891581,
17/12/2019,4.08,4.15,3.57,3.63,216347353,691687130,
16/12/2019,4.49,4.50,4.06,4.08,207850289,777998924,
15/12/2019,4.25,4.61,4.20,4.49,230817887,857024370,
14/12/2019,3.98,4.28,3.98,4.24,191269095,809375555,
13/12/2019,4.12,4.23,3.98,3.99,205959990,760233969,
12/12/2019,3.83,4.17,3.79,4.12,230614356,786418456,
11/12/2019,3.60,3.84,3.59,3.81,199495756,727362979,
10/12/2019,3.70,3.73,3.55,3.60,207259326,686204619,
9/12/2019,3.95,3.97,3.68,3.71,216632529,706522307,
8/12/2019,3.81,4.00,3.74,3.95,201085483,752311274,
7/12/2019,3.67,3.88,3.66,3.81,197409951,725664435,
6/12/2019,3.52,3.69,3.51,3.67,182348856,699673035,
5/12/2019,3.59,3.72,3.49,3.53,181266106,673233028,
4/12/2019,3.69,3.74,3.46,3.60,188222589,686314900,
3/12/2019,3.68,3.80,3.65,3.70,144705352,705977051,
2/12/2019,3.79,3.93,3.62,3.68,151160801,702017417,
1/12/2019,3.92,3.93,3.66,3.81,175883739,726017955,
30/11/2019,4.02,4.10,3.83,3.93,160886605,748553792,
29/11/2019,3.69,4.06,3.68,4.01,183110184,765177996,
28/11/2019,3.58,3.79,3.53,3.69,145107303,703065720,
27/11/2019,3.50,3.76,3.31,3.58,179601320,683546815,
26/11/2019,3.41,3.66,3.39,3.51,166612606,669041544,
25/11/2019,3.06,3.53,3.00,3.41,184025705,650377013,
24/11/2019,3.26,3.27,3.03,3.06,267084994,582795477,
23/11/2019,2.94,3.26,2.87,3.25,235663023,620624399,
22/11/2019,3.20,3.30,2.68,2.94,165875702,561156547,
21/11/2019,3.35,3.43,3.13,3.20,150359200,609810312,
20/11/2019,3.53,3.62,3.34,3.35,136161478,638110659,
19/11/2019,3.63,3.69,3.37,3.53,138483758,672655150,
18/11/2019,3.92,3.93,3.58,3.63,148746229,692125580,
17/11/2019,3.99,4.00,3.85,3.92,119429121,748307219,
16/11/2019,3.93,4.00,3.88,3.99,120766065,760419950,
15/11/2019,4.02,4.14,3.86,3.93,159604699,748906249,
14/11/2019,3.99,4.02,3.82,4.02,145523380,765966045,
13/11/2019,4.21,4.23,3.98,4.00,174490242,761863902,
12/11/2019,4.36,4.36,4.05,4.22,190695133,804250701,
11/11/2019,4.21,4.38,4.07,4.36,187973925,831135433,
10/11/2019,3.97,4.29,3.91,4.21,175582529,802408393,
9/11/2019,3.81,3.98,3.81,3.96,138378897,755704287,
8/11/2019,3.89,4.03,3.68,3.81,162184081,726952590,
7/11/2019,3.76,3.90,3.66,3.89,138168547,741610195,
6/11/2019,3.76,3.87,3.69,3.76,119134299,717109050,
5/11/2019,3.62,3.81,3.54,3.75,198537684,715727237,
4/11/2019,3.39,3.66,3.35,3.62,167015305,691042409,
3/11/2019,3.43,3.46,3.31,3.40,134586294,647561219,
2/11/2019,3.27,3.47,3.26,3.43,146612238,654660477,
1/11/2019,3.22,3.31,3.14,3.27,141989599,623512129,
31/10/2019,3.03,3.30,3.03,3.21,123316945,611175820,
30/10/2019,3.15,3.20,2.97,3.04,159635853,578792666,
29/10/2019,3.11,3.20,3.08,3.16,174949603,601809776,
28/10/2019,3.20,3.33,3.08,3.11,201010232,593950561,
27/10/2019,3.09,3.29,2.98,3.20,202467915,610752427,
26/10/2019,3.02,3.27,3.01,3.09,247034524,588786104,
25/10/2019,2.85,3.11,2.79,3.02,202151948,575105054,
24/10/2019,2.69,2.87,2.66,2.85,121047890,543146436,
23/10/2019,2.88,2.91,2.60,2.69,154724341,512752506,
22/10/2019,2.99,3.02,2.87,2.88,139307790,548912904,
21/10/2019,2.91,3.01,2.85,2.99,138325074,570027385,
20/10/2019,2.76,2.94,2.71,2.90,123509827,553775159,
19/10/2019,2.75,2.81,2.71,2.76,123206076,526511272,
18/10/2019,2.92,2.93,2.72,2.75,139559230,525121084,
17/10/2019,2.85,2.96,2.76,2.92,130110997,556695074,
16/10/2019,2.95,2.96,2.72,2.85,145829662,543831446,
15/10/2019,3.10,3.15,2.91,2.95,159637351,562462768,
14/10/2019,2.88,3.12,2.88,3.10,160775420,591511951,
13/10/2019,2.84,2.92,2.80,2.88,138183164,549067250,
12/10/2019,2.84,2.87,2.80,2.84,130032625,541481340,
11/10/2019,2.91,2.92,2.75,2.84,147536935,540687492,
10/10/2019,2.91,3.00,2.74,2.90,170166340,553772569,
9/10/2019,2.91,3.02,2.84,2.91,133198475,555297981,
8/10/2019,2.91,3.06,2.84,2.91,143729013,555690359,
7/10/2019,2.67,2.95,2.59,2.91,116735139,554766043,
6/10/2019,2.75,2.77,2.61,2.67,99964727,508541850,
5/10/2019,2.59,2.77,2.56,2.75,105799482,523752708,
4/10/2019,2.58,2.62,2.50,2.59,93827667,493133634,
3/10/2019,2.61,2.66,2.52,2.58,112791728,492272917,
2/10/2019,2.55,2.62,2.44,2.60,116200106,496552363,
1/10/2019,2.65,2.65,2.49,2.55,118931113,486332754,
30/9/2019,2.21,2.65,2.19,2.63,136780367,501571355,
29/9/2019,2.28,2.29,2.12,2.21,106690215,420753478,
28/9/2019,2.29,2.31,2.21,2.28,96812584,435186653,
27/9/2019,2.22,2.29,2.17,2.29,113206441,436934670,
26/9/2019,2.30,2.35,2.09,2.22,140448613,423708570,
25/9/2019,2.23,2.42,2.16,2.30,177658028,439268852,
24/9/2019,2.58,2.66,2.09,2.24,188249041,427485956,
23/9/2019,2.92,2.92,2.58,2.58,129682436,491987769,
22/9/2019,3.07,3.08,2.81,2.91,140188584,555000113,
21/9/2019,3.18,3.29,3.04,3.07,146995495,586276849,
20/9/2019,3.14,3.26,3.08,3.18,148024573,607338024,
19/9/2019,3.31,3.31,2.94,3.13,184157575,596904964,
18/9/2019,3.31,3.40,3.26,3.31,163496342,631189165,
17/9/2019,3.33,3.44,3.22,3.32,177431367,633548174,
16/9/2019,3.44,3.56,3.18,3.32,180803360,632979343,
15/9/2019,3.11,3.54,3.10,3.45,189272974,657552909,
14/9/2019,3.17,3.24,3.00,3.11,173629172,592230157,
13/9/2019,3.08,3.30,3.01,3.17,199583060,605163896,
12/9/2019,2.58,3.20,2.51,3.08,192961557,587383710,
11/9/2019,2.60,2.70,2.42,2.57,144069231,490934316,
10/9/2019,2.74,2.93,2.54,2.59,189092871,494703405,
9/9/2019,2.73,2.96,2.45,2.74,225072497,522540638,
8/9/2019,2.18,2.75,2.16,2.73,196201839,521361739,
7/9/2019,2.05,2.29,2.04,2.18,146368019,414893698,
6/9/2019,1.95,2.25,1.94,2.04,133395732,389639446,
5/9/2019,2.05,2.05,1.91,1.95,113255491,371475988,
4/9/2019,2.16,2.16,2.03,2.05,107148222,390494353,
3/9/2019,2.12,2.22,2.12,2.16,127964524,412176574,
2/9/2019,2.14,2.17,2.07,2.12,117415985,404413303,
1/9/2019,2.04,2.23,2.01,2.14,110298864,407758260,
31/8/2019,2.16,2.17,2.01,2.04,107053453,388605920,
30/8/2019,2.17,2.23,2.11,2.16,99188202,411781269,
29/8/2019,2.33,2.33,2.16,2.17,144367075,414695846,
28/8/2019,2.57,2.60,2.32,2.32,131788399,442743836,
27/8/2019,2.62,2.64,2.50,2.56,123595893,488442591,
26/8/2019,2.63,2.70,2.59,2.62,103446660,500489628,
25/8/2019,2.70,2.74,2.61,2.62,104651642,499349869,
24/8/2019,2.70,2.74,2.61,2.70,106694697,514937893,
23/8/2019,2.72,2.76,2.59,2.70,129721582,515720515,
22/8/2019,2.65,2.74,2.57,2.72,102851813,518612507,
21/8/2019,2.87,2.88,2.60,2.65,130044350,505698204,
20/8/2019,2.91,2.93,2.78,2.89,120939299,550687053,
19/8/2019,2.99,2.99,2.81,2.91,120726904,554912060,
18/8/2019,2.91,2.99,2.87,2.98,104947554,567604545,
17/8/2019,2.95,2.95,2.84,2.90,100937146,553141768,
16/8/2019,2.95,3.02,2.83,2.92,128767169,556632355,
15/8/2019,2.84,2.99,2.72,2.95,118159631,562660160,
14/8/2019,3.25,3.28,2.84,2.84,143341869,542120033,
13/8/2019,3.33,3.34,3.15,3.25,130277229,619723678,
12/8/2019,3.53,3.64,3.33,3.33,136927300,635407748,
11/8/2019,3.34,3.53,3.29,3.52,119824702,672076520,
10/8/2019,3.14,3.37,3.14,3.34,131283352,636214333,
9/8/2019,3.27,3.31,3.09,3.14,121369452,598683603,
8/8/2019,3.50,3.50,3.16,3.26,129180828,622079898,
7/8/2019,3.55,3.68,3.47,3.50,127921987,666501619,
6/8/2019,3.79,3.80,3.51,3.55,126484099,677875125,
5/8/2019,3.61,3.87,3.61,3.79,132794918,722946974,
4/8/2019,3.70,3.78,3.59,3.61,90515499,688488764,
3/8/2019,3.66,3.79,3.64,3.71,94736604,706528201,
2/8/2019,3.55,3.90,3.53,3.66,106897992,697565673,
1/8/2019,3.66,3.68,3.48,3.56,68444005,678390927,
31/7/2019,3.60,3.75,3.60,3.66,115217467,697645163,
30/7/2019,3.60,3.66,3.52,3.60,114588229,685797659,
29/7/2019,3.62,3.68,3.55,3.60,119873997,687142202,
28/7/2019,3.62,3.67,3.50,3.62,110281449,689863878,
27/7/2019,3.90,4.01,3.57,3.62,117266920,689671448,
26/7/2019,3.83,3.93,3.71,3.90,116669870,744570091,
25/7/2019,3.91,4.03,3.81,3.83,118915409,731289303,
24/7/2019,3.73,4.06,3.62,3.91,139544674,745698465,
23/7/2019,4.00,4.00,3.71,3.72,122638990,710117884,
22/7/2019,4.22,4.34,3.90,4.00,128878764,762720351,
21/7/2019,4.07,4.32,4.00,4.23,183003172,806272808,
20/7/2019,3.94,4.22,3.94,4.07,178338930,776372701,
19/7/2019,4.12,4.20,3.84,3.94,176444671,750406984,
18/7/2019,3.85,4.18,3.70,4.12,195747961,785535785,
17/7/2019,3.65,4.01,3.57,3.83,194212503,730936272,
16/7/2019,4.19,4.25,3.55,3.65,169476663,696192771,
15/7/2019,3.83,4.43,3.58,4.19,244025539,798737816,
14/7/2019,4.28,4.29,3.82,3.82,237373610,728560119,
13/7/2019,4.38,4.55,4.15,4.28,236384357,816172392,
12/7/2019,4.35,4.60,4.23,4.54,55529845,865794823,
11/7/2019,4.49,4.65,4.09,4.35,219122792,828937553,
