Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.055890;0.058795;0.055675;0.058236;23,670,042;785,363,042;
4/2/2020;0.053643;0.056219;0.053399;0.055911;15,316,509;752,775,701;
3/2/2020;0.054187;0.055279;0.053040;0.053552;10,608,955;719,847,411;
2/2/2020;0.052677;0.055201;0.051497;0.054187;14,742,142;727,200,101;
1/2/2020;0.053205;0.054129;0.052448;0.052642;3,654,613;705,302,710;
31/1/2020;0.052881;0.053601;0.051996;0.053284;5,277,591;712,735,457;
30/1/2020;0.052050;0.053105;0.051392;0.052898;4,999,482;706,420,686;
29/1/2020;0.052345;0.053544;0.051186;0.052038;6,290,559;693,791,250;
28/1/2020;0.049066;0.052369;0.048711;0.052324;10,067,208;696,455,552;
27/1/2020;0.047444;0.049438;0.047344;0.049085;10,449,071;652,267,960;
26/1/2020;0.046274;0.047497;0.045837;0.047408;10,759,313;628,947,190;
25/1/2020;0.046739;0.046741;0.045555;0.046223;18,470,753;610,187,095;
24/1/2020;0.046516;0.047128;0.045620;0.046690;19,098,843;616,352,520;
23/1/2020;0.048088;0.048214;0.045704;0.046485;12,561,724;613,645,368;
22/1/2020;0.047529;0.048276;0.047268;0.048093;16,110,724;633,817,774;
21/1/2020;0.047140;0.047695;0.046305;0.047638;18,718,214;622,597,062;
20/1/2020;0.046458;0.047605;0.046085;0.047157;16,776,457;616,320,012;
19/1/2020;0.047318;0.048445;0.046213;0.046373;8,578,536;606,065,743;
18/1/2020;0.047103;0.055453;0.046721;0.047318;9,781,479;618,421,584;
17/1/2020;0.046084;0.047208;0.045704;0.047138;19,425,075;616,071,500;
16/1/2020;0.045575;0.046154;0.044557;0.046119;16,061,792;601,738,282;
15/1/2020;0.043625;0.045826;0.042903;0.045578;11,692,086;593,685,587;
14/1/2020;0.041202;0.043893;0.041144;0.043701;6,228,652;568,272,781;
13/1/2020;0.041090;0.041495;0.040287;0.041209;7,392,188;534,965,140;
12/1/2020;0.040253;0.041327;0.040016;0.041116;15,933,827;532,860,818;
11/1/2020;0.040513;0.041112;0.039766;0.040249;15,910,131;520,742,850;
10/1/2020;0.038687;0.040459;0.038121;0.040459;15,037,915;522,561,589;
9/1/2020;0.040261;0.040310;0.038507;0.038741;11,042,954;499,522,797;
8/1/2020;0.038219;0.041865;0.038195;0.040192;6,041,245;517,352,135;
7/1/2020;0.036624;0.038378;0.036590;0.038219;5,271,187;491,118,609;
6/1/2020;0.034715;0.036543;0.034606;0.036529;10,044,475;468,610,086;
5/1/2020;0.034798;0.035337;0.034598;0.034618;7,626,233;443,334,281;
4/1/2020;0.034598;0.034891;0.034195;0.034689;9,840,614;443,474,510;
3/1/2020;0.032965;0.034930;0.032717;0.034666;13,517,006;442,431,385;
2/1/2020;0.033973;0.033973;0.032578;0.032858;10,238,185;418,637,265;
1/1/2020;0.033576;0.034196;0.033576;0.033973;11,329,574;431,344,660;
31/12/2019;0.033923;0.034235;0.033272;0.033576;10,647,161;426,310,875;
30/12/2019;0.034791;0.036756;0.033792;0.033930;11,412,485;430,062,819;
29/12/2019;0.034011;0.035344;0.033473;0.034875;8,313,355;441,270,132;
28/12/2019;0.035564;0.037115;0.033194;0.034017;26,571,504;429,669,110;
27/12/2019;0.035538;0.036016;0.034999;0.035576;8,576,913;443,901,631;
26/12/2019;0.034921;0.035548;0.034557;0.035339;7,033,278;440,950,266;
25/12/2019;0.034918;0.035294;0.034500;0.034920;6,155,649;435,717,337;
24/12/2019;0.034993;0.037115;0.034698;0.035003;7,171,267;436,758,076;
23/12/2019;0.035673;0.037341;0.034913;0.034993;7,398,718;436,626,369;
22/12/2019;0.034099;0.035688;0.034059;0.035659;7,934,626;444,934,775;
21/12/2019;0.035397;0.035397;0.033758;0.034099;9,484,378;425,470,050;
20/12/2019;0.033331;0.036396;0.032194;0.035397;14,276,612;440,889,936;
19/12/2019;0.033246;0.033643;0.032308;0.033331;5,710,471;414,426,648;
18/12/2019;0.030572;0.033612;0.030005;0.033246;4,378,501;412,639,770;
17/12/2019;0.030874;0.032423;0.030330;0.030572;6,872,781;378,785,496;
16/12/2019;0.030607;0.032112;0.030205;0.030874;8,094,700;381,855,924;
15/12/2019;0.029833;0.030860;0.029561;0.030607;9,832,910;377,873,660;
14/12/2019;0.029487;0.030437;0.029487;0.029833;8,915,845;367,668,192;
13/12/2019;0.029321;0.029761;0.029154;0.029495;2,620,960;362,851,195;
12/12/2019;0.028997;0.029640;0.028871;0.029506;2,702,435;362,341,184;
11/12/2019;0.029101;0.029436;0.028750;0.028996;4,636,531;355,447,142;
10/12/2019;0.029617;0.029776;0.028963;0.029124;3,322,247;356,373,106;
9/12/2019;0.029670;0.029993;0.029220;0.029581;4,753,814;361,318,677;
8/12/2019;0.029783;0.030107;0.029165;0.029670;5,900,045;361,108,320;
7/12/2019;0.029800;0.030035;0.029440;0.029783;6,380,389;362,477,372;
6/12/2019;0.029608;0.029867;0.029052;0.029767;5,876,246;361,639,499;
5/12/2019;0.026308;0.030668;0.026206;0.029639;5,870,202;359,430,429;
4/12/2019;0.025989;0.027014;0.025351;0.026243;1,447,408;317,670,028;
3/12/2019;0.025869;0.026591;0.025609;0.026051;4,625,967;314,772,773;
2/12/2019;0.026467;0.026852;0.025625;0.025869;4,190,033;312,015,617;
1/12/2019;0.027352;0.027379;0.026012;0.026469;5,390,895;318,670,292;
30/11/2019;0.028358;0.028805;0.026951;0.027213;4,755,669;327,033,069;
29/11/2019;0.027251;0.028792;0.027102;0.028357;3,876,163;340,158,125;
28/11/2019;0.028233;0.029443;0.027272;0.027409;4,179,157;328,181,515;
27/11/2019;0.027463;0.028804;0.026594;0.028306;4,811,446;338,305,553;
26/11/2019;0.027811;0.030783;0.027212;0.027680;3,850,479;330,217,010;
25/11/2019;0.030270;0.030416;0.027591;0.027750;3,458,926;330,441,821;
24/11/2019;0.030879;0.031263;0.029667;0.030245;2,496,051;358,823,036;
23/11/2019;0.030084;0.031002;0.029746;0.030850;2,204,751;366,002,694;
22/11/2019;0.032155;0.032167;0.029301;0.030096;5,446,139;356,401,858;
21/11/2019;0.033721;0.034160;0.031590;0.032155;5,231,770;380,073,388;
20/11/2019;0.033815;0.034506;0.032511;0.033726;15,380,059;397,906,205;
19/11/2019;0.035906;0.036097;0.033086;0.033815;15,953,222;397,476,558;
18/11/2019;0.036247;0.036998;0.035014;0.035852;22,644,837;421,416,152;
17/11/2019;0.035418;0.037563;0.035336;0.036210;15,593,484;424,830,810;
16/11/2019;0.035678;0.037494;0.034865;0.035418;13,515,996;414,757,172;
15/11/2019;0.037192;0.039612;0.035570;0.035782;34,487,950;418,239,506;
14/11/2019;0.035039;0.041267;0.034513;0.037192;21,372,422;433,904,605;
13/11/2019;0.035299;0.035775;0.034538;0.034973;17,437,942;407,063,871;
12/11/2019;0.035181;0.035789;0.034814;0.035182;18,448,100;408,531,509;
11/11/2019;0.035846;0.036241;0.034597;0.035068;19,830,492;406,243,291;
10/11/2019;0.035139;0.036152;0.034869;0.035847;23,804,451;413,302,205;
9/11/2019;0.037304;0.037743;0.034901;0.035133;16,305,229;405,076,634;
8/11/2019;0.038347;0.038775;0.036271;0.037469;32,991,342;430,983,091;
7/11/2019;0.036338;0.041132;0.036137;0.038295;30,794,410;439,427,708;
6/11/2019;0.037037;0.037539;0.036259;0.036341;22,637,194;416,018,409;
5/11/2019;0.037428;0.037581;0.036540;0.036982;22,236,607;422,332,471;
4/11/2019;0.038034;0.038342;0.036227;0.037428;23,562,947;426,407,789;
3/11/2019;0.037461;0.038295;0.036920;0.038023;14,471,872;432,140,176;
2/11/2019;0.038100;0.039382;0.037292;0.037504;14,861,172;425,216,633;
1/11/2019;0.037018;0.038100;0.035957;0.038100;18,757,436;430,935,712;
31/10/2019;0.036088;0.037422;0.035799;0.036997;8,513,920;417,438,036;
30/10/2019;0.036607;0.036714;0.035533;0.036107;9,478,274;406,404,567;
29/10/2019;0.035761;0.037003;0.035580;0.036559;6,121,963;410,490,544;
28/10/2019;0.035702;0.037156;0.035437;0.035859;7,849,624;401,649,310;
27/10/2019;0.036420;0.037068;0.035366;0.035694;5,273,912;398,833,060;
26/10/2019;0.034653;0.039588;0.034570;0.036420;9,963,930;405,945,548;
25/10/2019;0.031635;0.035019;0.029494;0.034654;7,375,270;385,304,551;
24/10/2019;0.031849;0.032515;0.031083;0.031635;7,729,146;350,871,432;
23/10/2019;0.033622;0.033848;0.031274;0.031741;13,516,601;351,175,955;
22/10/2019;0.033567;0.034240;0.033189;0.033744;10,739,045;372,415,397;
21/10/2019;0.033585;0.033930;0.032996;0.033473;11,895,091;368,512,656;
20/10/2019;0.033067;0.034038;0.033051;0.033541;11,591,288;368,333,296;
19/10/2019;0.033261;0.033601;0.032827;0.033052;9,917,667;362,062,392;
18/10/2019;0.033585;0.033797;0.032889;0.033136;10,406,840;362,075,578;
17/10/2019;0.033495;0.033774;0.032987;0.033651;10,253,347;366,775,918;
16/10/2019;0.034295;0.034444;0.032748;0.033563;8,761,804;364,905,355;
15/10/2019;0.034388;0.034859;0.034059;0.034295;9,554,640;371,921,611;
14/10/2019;0.034656;0.034983;0.034047;0.034432;9,247,972;372,461,050;
13/10/2019;0.034597;0.035167;0.033930;0.034656;7,249,730;373,933,082;
12/10/2019;0.034686;0.035223;0.034443;0.034591;8,342,162;372,285,616;
11/10/2019;0.036479;0.036523;0.034694;0.034694;11,665,623;363,886,576;
10/10/2019;0.035844;0.036576;0.035315;0.036476;10,847,272;382,580,067;
9/10/2019;0.035201;0.036246;0.034789;0.035851;9,790,570;376,029,478;
8/10/2019;0.035667;0.035812;0.034576;0.035201;7,909,625;369,211,207;
7/10/2019;0.034468;0.036051;0.034091;0.035677;7,485,614;374,200,148;
6/10/2019;0.035134;0.035835;0.034151;0.034439;5,660,668;361,219,108;
5/10/2019;0.036476;0.036476;0.035031;0.035152;4,977,612;368,693,257;
4/10/2019;0.035823;0.036605;0.035480;0.036476;4,791,464;382,583,352;
3/10/2019;0.035506;0.036055;0.035101;0.035867;5,636,750;376,189,371;
2/10/2019;0.034773;0.035944;0.033455;0.035505;6,888,513;372,395,566;
1/10/2019;0.035723;0.037231;0.034204;0.034773;5,619,516;363,763,996;
30/9/2019;0.035164;0.035875;0.034155;0.035677;6,861,000;372,246,099;
29/9/2019;0.034922;0.035710;0.034688;0.035164;4,548,467;365,927,233;
28/9/2019;0.035200;0.035348;0.034563;0.034889;4,418,624;362,117,431;
27/9/2019;0.034271;0.035301;0.033583;0.035176;6,162,918;364,126,688;
26/9/2019;0.034550;0.036052;0.034014;0.034364;7,108,154;354,776,071;
25/9/2019;0.036001;0.036417;0.033253;0.034587;4,861,544;356,137,797;
24/9/2019;0.038411;0.039173;0.035264;0.036121;7,492,762;370,939,595;
23/9/2019;0.039602;0.039621;0.037553;0.037602;8,007,445;385,116,326;
22/9/2019;0.038562;0.039796;0.038120;0.039590;4,517,261;404,395,730;
21/9/2019;0.039368;0.039470;0.038356;0.038578;8,669,072;393,006,328;
20/9/2019;0.039429;0.040394;0.039083;0.039397;10,215,951;400,267,786;
19/9/2019;0.038979;0.039828;0.038360;0.039435;13,750,241;392,995,592;
18/9/2019;0.038183;0.039676;0.037628;0.038965;12,337,385;387,250,203;
17/9/2019;0.039049;0.039508;0.037871;0.038442;9,980,445;381,001,861;
16/9/2019;0.039050;0.039843;0.038210;0.039033;8,837,159;385,781,274;
15/9/2019;0.039531;0.040136;0.038674;0.039106;8,568,184;385,436,889;
14/9/2019;0.039170;0.040053;0.038972;0.039744;8,028,787;390,639,131;
13/9/2019;0.040318;0.040726;0.038806;0.039194;7,714,046;384,150,438;
12/9/2019;0.037795;0.040836;0.037590;0.040394;9,786,379;394,811,405;
11/9/2019;0.038104;0.038595;0.037491;0.037795;6,310,216;368,372,476;
10/9/2019;0.039225;0.039682;0.037866;0.038104;6,945,045;370,343,383;
9/9/2019;0.039464;0.040040;0.038615;0.039099;10,549,835;378,940,013;
8/9/2019;0.041209;0.041728;0.039381;0.039464;9,985,808;381,391,990;
7/9/2019;0.041946;0.042169;0.039889;0.041209;4,152,779;385,843,656;
6/9/2019;0.041676;0.044019;0.039558;0.041329;9,711,220;386,965,276;
5/9/2019;0.037864;0.042430;0.036887;0.041676;9,760,316;390,213,944;
4/9/2019;0.038380;0.039491;0.036642;0.037884;6,180,114;354,708,121;
3/9/2019;0.041079;0.041593;0.035944;0.038349;9,222,248;359,062,901;
2/9/2019;0.039051;0.042183;0.038559;0.041009;8,470,873;383,965,852;
1/9/2019;0.039028;0.040762;0.038533;0.039092;5,838,885;366,017,093;
31/8/2019;0.038643;0.039666;0.038643;0.039057;6,413,635;365,692,418;
30/8/2019;0.040010;0.040815;0.038456;0.038672;8,735,579;362,088,820;
29/8/2019;0.040880;0.041225;0.039073;0.040010;8,025,617;374,613,083;
28/8/2019;0.040860;0.041842;0.039226;0.041027;10,657,082;384,140,887;
27/8/2019;0.042407;0.042471;0.040646;0.040772;6,329,495;380,631,464;
