Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.048417;0.059263;0.045743;0.059263;52,706,548;533,366,086;
4/2/2020;0.049268;0.049796;0.042653;0.048210;32,471,576;433,886,870;
3/2/2020;0.047634;0.049579;0.046665;0.049100;31,309,382;441,898,282;
2/2/2020;0.049433;0.049832;0.046317;0.047674;36,653,976;429,069,572;
1/2/2020;0.045003;0.051228;0.043628;0.049428;45,484,238;444,856,329;
31/1/2020;0.041747;0.046736;0.040223;0.045019;29,446,903;405,175,326;
30/1/2020;0.041118;0.043165;0.039529;0.041765;25,269,564;375,885,799;
29/1/2020;0.041259;0.042341;0.039520;0.041200;28,332,247;370,798,977;
28/1/2020;0.040158;0.043249;0.038778;0.041233;11,852,753;371,099,962;
27/1/2020;0.039919;0.042527;0.037515;0.040609;31,891,184;365,481,138;
26/1/2020;0.038551;0.040747;0.038339;0.039927;17,525,509;359,341,230;
25/1/2020;0.039478;0.039584;0.037972;0.038563;8,014,899;347,067,673;
24/1/2020;0.039522;0.042219;0.036961;0.039497;9,063,070;355,474,755;
23/1/2020;0.043292;0.043900;0.037768;0.039472;39,933,616;355,248,003;
22/1/2020;0.038219;0.043179;0.034989;0.043179;12,816,970;388,614,935;
21/1/2020;0.037496;0.038298;0.036960;0.038229;12,403,298;344,062,166;
20/1/2020;0.037292;0.037910;0.035929;0.037477;7,296,349;337,294,225;
19/1/2020;0.039076;0.040129;0.036243;0.037313;8,808,545;335,815,876;
18/1/2020;0.039934;0.041036;0.036157;0.039074;11,819,837;351,670,318;
17/1/2020;0.036663;0.044793;0.034818;0.040014;25,359,520;360,125,741;
16/1/2020;0.037187;0.037693;0.033835;0.036608;26,614,815;329,475,464;
15/1/2020;0.036058;0.037932;0.033840;0.037188;30,115,105;334,695,698;
14/1/2020;0.033031;0.036409;0.032049;0.036067;28,580,822;324,599,984;
13/1/2020;0.033455;0.033579;0.032570;0.033052;8,788,517;297,464,002;
12/1/2020;0.033026;0.033660;0.032819;0.033437;3,587,554;300,930,243;
11/1/2020;0.032341;0.033494;0.032320;0.033166;4,282,803;298,495,037;
10/1/2020;0.033039;0.033343;0.031725;0.032461;6,260,413;292,146,931;
9/1/2020;0.033344;0.034097;0.032633;0.033065;5,280,555;297,586,555;
8/1/2020;0.033785;0.034884;0.033046;0.033345;5,280,186;300,103,079;
7/1/2020;0.033307;0.034736;0.033223;0.033782;6,022,339;304,039,991;
6/1/2020;0.032368;0.034864;0.031981;0.033314;7,007,130;299,821,804;
5/1/2020;0.032064;0.033270;0.031906;0.032363;4,489,886;291,262,977;
4/1/2020;0.032123;0.032933;0.031690;0.032090;8,757,789;288,809,226;
3/1/2020;0.032019;0.032618;0.031297;0.032123;5,138,719;289,104,002;
2/1/2020;0.032690;0.033163;0.031370;0.031912;5,253,256;287,209,412;
1/1/2020;0.032147;0.033047;0.031893;0.032648;5,041,453;293,831,443;
31/12/2019;0.031986;0.034853;0.030000;0.032117;5,854,418;289,055,161;
30/12/2019;0.032385;0.034395;0.029695;0.031994;26,214,730;287,942,338;
29/12/2019;0.032768;0.033308;0.032118;0.032368;5,046,634;291,312,899;
28/12/2019;0.032487;0.033290;0.032447;0.032815;4,610,484;295,331,029;
27/12/2019;0.031869;0.032815;0.031650;0.032484;5,532,353;292,356,797;
26/12/2019;0.032250;0.032704;0.031770;0.031876;16,922,124;286,883,465;
25/12/2019;0.032292;0.034390;0.030675;0.032255;5,102,332;290,292,695;
24/12/2019;0.033789;0.033964;0.030772;0.032249;6,716,314;290,243,022;
23/12/2019;0.033294;0.034273;0.032546;0.033723;5,487,331;303,507,174;
22/12/2019;0.032058;0.034421;0.031289;0.033232;4,054,097;299,091,665;
21/12/2019;0.032929;0.034576;0.029982;0.032058;18,489,462;288,524,413;
20/12/2019;0.032316;0.035269;0.030216;0.032923;23,133,656;296,309,682;
19/12/2019;0.033615;0.036741;0.029682;0.032319;32,332,405;290,874,781;
18/12/2019;0.031043;0.035595;0.029599;0.033601;23,395,276;302,409,285;
17/12/2019;0.033942;0.035943;0.030515;0.031043;58,546,625;279,386,773;
