Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.000120;0.000188;0.000116;0.000141;132098;99631239;
4/2/2020;0.000103;0.000133;0.000100;0.000119;57526.03;84099133;
3/2/2020;0.000098;0.000116;0.000094;0.000103;43089.87;72889894;
2/2/2020;0.000098;0.000101;0.000091;0.000098;29838.96;68363307;
1/2/2020;0.000103;0.000105;0.000087;0.000098;49383.90;67932985;
31/1/2020;0.000121;0.000135;0.000103;0.000103;56151.55;69870521;
30/1/2020;0.000086;0.000176;0.000084;0.000122;164633;81631139;
29/1/2020;0.000068;0.000088;0.000068;0.000086;49508.69;56704733;
28/1/2020;0.000055;0.000075;0.000050;0.000068;48100.89;44425943;
27/1/2020;0.000046;0.000056;0.000044;0.000055;29188.06;35339108;
26/1/2020;0.000046;0.000051;0.000044;0.000046;35035.49;27959427;
25/1/2020;0.000047;0.000050;0.000045;0.000046;35533.30;27806798;
24/1/2020;0.000051;0.000063;0.000044;0.000047;36705.79;27060851;
23/1/2020;0.000052;0.000060;0.000048;0.000051;37883.34;29398701;
22/1/2020;0.000061;0.000061;0.000051;0.000052;25371.18;28456973;
21/1/2020;0.000068;0.000068;0.000060;0.000061;7239.51;31150236;
20/1/2020;0.000067;0.000071;0.000066;0.000068;24707.36;33196714;
19/1/2020;0.000068;0.000069;0.000066;0.000067;21765.03;31462632;
18/1/2020;0.000070;0.000071;0.000068;0.000068;22966.18;29918507;
17/1/2020;0.000069;0.000073;0.000069;0.000070;14520.65;29091634;
16/1/2020;0.000071;0.000071;0.000068;0.000069;17757.32;27318243;
15/1/2020;0.000072;0.000073;0.000069;0.000071;23369.65;26724668;
14/1/2020;0.000069;0.000073;0.000069;0.000072;22881.91;26273539;
13/1/2020;0.000068;0.000071;0.000068;0.000069;12697.86;23754126;
12/1/2020;0.000068;0.000069;0.000067;0.000069;19748.78;22505370;
11/1/2020;0.000068;0.000072;0.000067;0.000068;16342.18;22416687;
10/1/2020;0.000070;0.000082;0.000068;0.000068;14058.63;22362611;
9/1/2020;0.000067;0.000091;0.000067;0.000070;10710.29;23081658;
8/1/2020;0.000067;0.000067;0.000064;0.000067;21658.37;21953962;
7/1/2020;0.000068;0.000075;0.000066;0.000067;17471.15;22100967;
6/1/2020;0.000068;0.000071;0.000067;0.000068;18540.65;22384627;
5/1/2020;0.000070;0.000081;0.000068;0.000068;17049.98;22101279;
4/1/2020;0.000078;0.000086;0.000069;0.000070;24117.55;19835688;
3/1/2020;0.000074;0.000086;0.000073;0.000078;18911.32;19207588;
2/1/2020;0.000068;0.000090;0.000068;0.000074;15555.11;15806525;
1/1/2020;0.000074;0.000077;0.000068;0.000068;49534.80;13177587;
31/12/2019;0.000073;0.000081;0.000073;0.000074;51619.39;12746581;
30/12/2019;0.000081;0.000082;0.000068;0.000073;48503.63;11496276;
29/12/2019;0.000074;0.000083;0.000074;0.000081;22381.85;12722463;
28/12/2019;0.000082;0.000085;0.000073;0.000075;59885.35;11753290;
27/12/2019;0.000079;0.000082;0.000070;0.000082;86074.14;12838717;
26/12/2019;0.000084;0.000091;0.000074;0.000079;114571;12404023;
25/12/2019;0.000064;0.000084;0.000063;0.000084;136201;13114166;
24/12/2019;0.000071;0.000072;0.000062;0.000064;47101.35;9936662;
23/12/2019;0.000095;0.000101;0.000071;0.000071;329762;10719772;
22/12/2019;0.000098;0.000103;0.000077;0.000095;88933.65;14131554;
21/12/2019;0.000088;0.000100;0.000075;0.000079;103141;11231082;
20/12/2019;0.000092;0.000093;0.000074;0.000088;603146;11816269;
19/12/2019;0.000092;0.000100;0.000088;0.000092;405028;11640679;
18/12/2019;0.000088;0.000099;0.000086;0.000092;28941.92;9977933;
17/12/2019;0.000107;0.000110;0.000088;0.000088;23807.56;8206791;
16/12/2019;0.000095;0.000112;0.000091;0.000107;58112.39;9793548;
15/12/2019;0.000092;0.000097;0.000091;0.000095;29463.30;8342090;
14/12/2019;0.000093;0.000099;0.000090;0.000092;57171.88;7494072;
13/12/2019;0.000093;0.000108;0.000089;0.000093;26311.98;6912936;
12/12/2019;0.000094;0.000107;0.000086;0.000094;23060.96;6347243;
11/12/2019;0.000100;0.000102;0.000085;0.000094;25854.56;5675216;
10/12/2019;0.000100;0.000108;0.000097;0.000100;25923.73;5751701;
9/12/2019;0.000101;0.000119;0.000100;0.000100;28777.10;4940120;
8/12/2019;0.000104;0.000116;0.000098;0.000101;18777.63;4015696;
7/12/2019;0.000100;0.000112;0.000095;0.000104;20431.70;4132458;
6/12/2019;0.000121;0.000124;0.000089;0.000100;39999.50;3979993;
5/12/2019;0.000122;0.000134;0.000115;0.000121;42860.64;4790829;
4/12/2019;0.000137;0.000139;0.000115;0.000122;27763.79;4833053;
3/12/2019;0.000150;0.000174;0.000110;0.000136;54376.19;5388919;
2/12/2019;0.000150;0.000167;0.000141;0.000144;20629.34;5731007;
1/12/2019;0.000154;0.000176;0.000129;0.000153;38397.91;6075390;
30/11/2019;0.000161;0.000172;0.000153;0.000154;25626.78;6124263;
29/11/2019;0.000169;0.000174;0.000156;0.000160;31623.28;4939965;
