Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.002503;0.002630;0.002492;0.002582;105,741,619;318,098,840;
4/2/2020;0.002438;0.002503;0.002402;0.002503;89,790,002;308,369,226;
3/2/2020;0.002466;0.002517;0.002427;0.002440;78,856,631;300,519,839;
2/2/2020;0.002421;0.002506;0.002395;0.002468;91,552,515;304,011,347;
1/2/2020;0.002391;0.002431;0.002382;0.002422;78,730,830;298,258,839;
31/1/2020;0.002440;0.002458;0.002369;0.002394;76,519,295;294,719,511;
30/1/2020;0.002391;0.002446;0.002371;0.002440;83,967,914;300,452,707;
29/1/2020;0.002451;0.002471;0.002390;0.002390;80,676,219;294,177,532;
28/1/2020;0.002365;0.002450;0.002363;0.002450;91,528,771;301,513,933;
27/1/2020;0.002304;0.002413;0.002283;0.002368;89,023,414;291,399,495;
26/1/2020;0.002258;0.002307;0.002240;0.002305;73,458,474;283,609,273;
25/1/2020;0.002276;0.002276;0.002235;0.002257;82,421,399;277,757,847;
24/1/2020;0.002268;0.002293;0.002211;0.002276;86,865,882;280,006,237;
23/1/2020;0.002323;0.002358;0.002238;0.002268;91,866,620;278,962,448;
22/1/2020;0.002376;0.002399;0.002320;0.002323;82,852,580;285,795,825;
21/1/2020;0.002374;0.002403;0.002335;0.002376;84,321,565;292,280,593;
20/1/2020;0.002405;0.002423;0.002359;0.002374;92,022,277;291,955,767;
19/1/2020;0.002514;0.002570;0.002359;0.002405;108,085,147;295,732,371;
18/1/2020;0.002490;0.002538;0.002452;0.002507;108,133,943;308,242,055;
17/1/2020;0.002346;0.002516;0.002310;0.002490;117,752,841;306,098,384;
16/1/2020;0.002372;0.002424;0.002293;0.002345;98,124,199;288,233,513;
15/1/2020;0.002468;0.002541;0.002363;0.002369;128,940,321;291,129,905;
14/1/2020;0.002358;0.002514;0.002340;0.002470;128,635,383;303,552,342;
13/1/2020;0.002381;0.002407;0.002327;0.002358;83,849,846;289,722,805;
12/1/2020;0.002313;0.002413;0.002313;0.002381;79,426,215;292,507,504;
11/1/2020;0.002351;0.002373;0.002296;0.002314;94,203,409;284,228,141;
10/1/2020;0.002255;0.002361;0.002199;0.002356;87,683,356;289,375,371;
9/1/2020;0.002291;0.002314;0.002145;0.002256;70,690,571;277,106,183;
8/1/2020;0.002433;0.002465;0.002265;0.002293;77,251,526;281,594,191;
7/1/2020;0.002485;0.002497;0.002354;0.002433;52,767,343;298,738,083;
6/1/2020;0.002418;0.002564;0.002379;0.002463;54,562,409;302,412,673;
5/1/2020;0.002240;0.002491;0.002117;0.002419;52,631,740;296,989,930;
4/1/2020;0.002144;0.002490;0.002050;0.002241;94,227,582;275,114,093;
3/1/2020;0.002008;0.002177;0.001991;0.002145;62,619,988;263,328,862;
2/1/2020;0.002034;0.002110;0.001983;0.002009;65,071,106;246,518,479;
1/1/2020;0.002028;0.002052;0.002021;0.002033;51,180,941;249,432,497;
31/12/2019;0.002056;0.002056;0.002022;0.002028;69,469,785;248,883,034;
30/12/2019;0.002070;0.002077;0.002043;0.002054;73,171,188;252,057,916;
29/12/2019;0.002063;0.002114;0.002056;0.002068;67,109,832;253,718,796;
28/12/2019;0.002053;0.002090;0.002051;0.002064;64,539,193;253,200,406;
27/12/2019;0.002059;0.002075;0.002032;0.002053;75,486,740;251,737,594;
26/12/2019;0.002086;0.002098;0.002047;0.002058;71,906,467;252,331,534;
25/12/2019;0.002072;0.002098;0.002036;0.002088;79,207,264;256,078,593;
24/12/2019;0.002073;0.002114;0.002052;0.002073;71,860,410;254,131,324;
23/12/2019;0.002113;0.002137;0.002055;0.002073;77,708,509;254,110,241;
22/12/2019;0.002082;0.002120;0.002070;0.002115;70,976,748;259,272,041;
21/12/2019;0.002077;0.002088;0.002044;0.002084;66,682,998;255,384,098;
20/12/2019;0.002127;0.002141;0.002048;0.002075;67,083,802;254,253,746;
19/12/2019;0.002182;0.002199;0.002049;0.002123;79,064,574;260,179,866;
18/12/2019;0.002025;0.002192;0.002008;0.002183;98,147,109;267,456,561;
17/12/2019;0.002120;0.002152;0.001997;0.002018;85,349,928;247,187,445;
16/12/2019;0.002154;0.002184;0.002112;0.002121;68,370,095;259,756,535;
15/12/2019;0.002171;0.002171;0.002080;0.002154;66,491,990;263,792,777;
14/12/2019;0.002175;0.002204;0.002150;0.002170;71,849,717;265,712,614;
13/12/2019;0.002187;0.002208;0.002165;0.002175;65,851,726;266,326,829;
12/12/2019;0.002185;0.002198;0.002167;0.002188;66,238,690;267,889,467;
11/12/2019;0.002202;0.002240;0.002181;0.002185;64,108,062;267,452,542;
10/12/2019;0.002208;0.002222;0.002185;0.002204;69,802,464;269,760,521;
9/12/2019;0.002237;0.002251;0.002198;0.002208;62,696,753;270,249,023;
8/12/2019;0.002230;0.002341;0.002207;0.002238;55,442,239;273,855,019;
7/12/2019;0.002230;0.002248;0.002201;0.002230;62,933,099;272,923,284;
6/12/2019;0.002221;0.002280;0.002180;0.002226;66,932,958;272,363,965;
5/12/2019;0.002209;0.002305;0.002172;0.002223;66,757,792;271,958,843;
4/12/2019;0.002217;0.002241;0.002165;0.002208;73,151,442;270,124,716;
3/12/2019;0.002234;0.002256;0.002167;0.002217;62,508,732;271,179,199;
2/12/2019;0.002293;0.002312;0.002204;0.002235;66,782,510;273,321,735;
1/12/2019;0.002320;0.002394;0.002257;0.002292;77,007,809;280,260,602;
30/11/2019;0.002456;0.002474;0.002314;0.002320;89,565,611;283,632,278;
29/11/2019;0.002315;0.002458;0.002305;0.002456;97,859,845;300,286,977;
28/11/2019;0.002337;0.002380;0.002313;0.002313;97,959,428;282,749,816;
27/11/2019;0.002291;0.002358;0.002229;0.002339;100,345,294;285,878,920;
26/11/2019;0.002287;0.002342;0.002265;0.002291;100,273,990;280,017,042;
