Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:;
5/2/2020;68.11;73.18;67.88;72.49;5169585841;4640906808;
4/2/2020;69.77;70.33;66.90;68.20;4449652117;4365253454;
3/2/2020;69.99;72.39;68.97;69.78;4965069690;4466102181;
2/2/2020;70.80;73.25;68.13;70.23;5482993030;4494447999;
1/2/2020;67.91;72.28;67.66;70.82;6009767449;4531596557;
31/1/2020;68.18;69.38;65.79;67.88;5718104791;4342918713;
30/1/2020;60.01;69.74;58.78;68.16;6042169957;4360322858;
29/1/2020;60.66;62.25;59.78;60.08;3894445882;3842950242;
28/1/2020;58.77;61.15;57.76;60.67;4220742210;3880511637;
27/1/2020;56.28;59.58;56.08;58.76;3832184228;3758010753;
26/1/2020;53.69;56.48;53.30;56.21;3283750798;3594505100;
25/1/2020;54.56;54.56;52.77;53.70;2938756558;3433273431;
24/1/2020;54.64;55.42;51.36;54.53;3532776556;3486182447;
23/1/2020;58.35;58.48;53.39;54.63;3348002983;3492096602;
22/1/2020;57.64;58.99;57.32;58.35;3076205980;3729779086;
21/1/2020;57.23;57.96;56.27;57.65;3130143642;3684221719;
20/1/2020;57.78;58.09;56.23;57.20;3306438947;3655443935;
19/1/2020;59.45;61.79;56.18;57.80;4197776579;3693201722;
18/1/2020;61.30;62.17;58.53;59.41;4426051530;3795493154;
17/1/2020;57.64;62.89;56.90;61.49;5067456613;3927821846;
16/1/2020;58.05;58.30;55.15;57.62;4347723835;3680300934;
15/1/2020;58.39;59.92;56.17;58.05;5070738793;3707655223;
14/1/2020;49.70;59.88;49.69;58.48;5729547956;3734400000;
13/1/2020;51.12;51.39;48.93;49.73;3336204744;3175647876;
12/1/2020;49.32;51.30;49.01;51.08;3858852964;3261300810;
11/1/2020;48.63;51.33;48.09;49.26;3915781115;3144901794;
10/1/2020;45.21;49.17;44.03;48.73;3808140302;3110300142;
9/1/2020;45.62;45.78;44.31;45.22;2986327757;2885860528;
8/1/2020;46.45;48.20;44.63;45.65;3633957130;2913485629;
7/1/2020;45.84;46.86;44.72;46.42;3611521907;2962310517;
6/1/2020;43.60;45.96;43.49;45.82;3349237768;2923126044;
5/1/2020;43.29;44.73;43.00;43.55;3017148033;2778396525;
4/1/2020;42.38;43.34;41.93;43.33;2843192897;2763617782;
3/1/2020;39.86;42.45;39.45;42.42;3260961326;2705193552;
2/1/2020;42.02;42.13;39.68;39.82;2759827139;2539554281;
1/1/2020;41.33;42.29;41.29;42.02;2782992323;2679229284;
31/12/2019;42.77;43.06;41.17;41.34;3015923778;2635704909;
30/12/2019;43.75;44.60;42.43;42.75;3330795171;2725146760;
29/12/2019;42.80;44.45;42.44;43.67;3573796558;2783708412;
28/12/2019;41.17;43.81;41.13;42.84;3260638656;2730585594;
27/12/2019;40.26;41.65;39.96;41.18;2949759036;2624203892;
26/12/2019;40.61;41.37;39.81;40.27;2848923906;2565795345;
25/12/2019;40.73;40.76;39.88;40.63;2773383486;2588660479;
24/12/2019;40.86;41.68;40.22;40.68;2860933776;2591459879;
