Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.019277,0.020776,0.020776,0.019262,1511971143,1385387820
2020-4-2,0.019202,0.019261,0.019444,0.018468,1407881433,1284364703
2020-3-2,0.019125,0.019218,0.019566,0.018971,1419005610,1281470718
2020-2-2,0.019057,0.019136,0.019841,0.018581,1482162206,1276003942
2020-1-2,0.018664,0.019064,0.019069,0.018494,1346616386,1271241659
2020-31-1,0.019514,0.018682,0.019695,0.018264,1451545525,1245781492
2020-30-1,0.018667,0.019499,0.019719,0.017972,1581901735,1300227719
2020-29-1,0.018613,0.018683,0.019651,0.018587,1509737028,1245852893
2020-28-1,0.017146,0.018614,0.018869,0.017130,1624609028,1241244747
2020-27-1,0.016797,0.017135,0.017287,0.016797,1323659601,1142590063
2020-26-1,0.016193,0.016804,0.016828,0.016109,1255315356,1120496341
2020-25-1,0.016426,0.016199,0.016426,0.016023,1147617479,1080211145
2020-24-1,0.016263,0.016411,0.016564,0.015761,1237593967,1094331823
2020-23-1,0.017365,0.016253,0.017391,0.016046,1238646077,1083772062
2020-22-1,0.017307,0.017353,0.017438,0.017094,1180207766,1157163890
2020-21-1,0.016618,0.017308,0.017308,0.016535,1239081715,1154150117
2020-20-1,0.016613,0.016626,0.016745,0.016238,1266246610,1108644194
2020-19-1,0.017724,0.016620,0.018065,0.016263,1309357592,1108254028
2020-18-1,0.017674,0.017716,0.018094,0.017319,1385173971,1181324710
2020-17-1,0.017197,0.017666,0.018068,0.017019,1420514220,1177998610
2020-16-1,0.017292,0.017119,0.017346,0.016246,1333108083,1141554643
2020-15-1,0.016729,0.017284,0.018059,0.016324,1462008167,1152526479
2020-14-1,0.014707,0.016720,0.016923,0.014696,1466195336,1114931863
2020-13-1,0.014975,0.014706,0.015045,0.014590,1067644896,980637605
2020-12-1,0.014619,0.014976,0.015004,0.014514,1151253021,998598083
2020-11-1,0.014624,0.014614,0.014929,0.014501,1176009007,974520532
2020-10-1,0.014064,0.014614,0.014764,0.013732,1156355120,974492902
2020-9-1,0.014067,0.014063,0.014109,0.013819,943917224,937735548
2020-8-1,0.014378,0.014069,0.014623,0.013886,1120252261,938166612
2020-7-1,0.014594,0.014373,0.014741,0.014210,1120168579,958436352
2020-6-1,0.013617,0.014548,0.014548,0.013601,1204485570,970098321
2020-5-1,0.013531,0.013623,0.013913,0.013522,1079591214,908402722
2020-4-1,0.013450,0.013521,0.013534,0.013310,991868126,901595465
2020-3-1,0.012887,0.013435,0.013524,0.012772,1109470187,895850741
2020-2-1,0.013254,0.012870,0.013254,0.012809,999867628,858205202
2020-1-1,0.013294,0.013250,0.013388,0.013193,977215885,883513371
2019-31-12,0.013406,0.013306,0.013490,0.013154,1065550361,887251274
2019-30-12,0.013744,0.013400,0.013989,0.013323,1180670788,893567953
2019-29-12,0.013504,0.013743,0.013925,0.013433,1090566660,916441897
2019-28-12,0.013297,0.013515,0.013788,0.013289,1159949303,901199434
2019-27-12,0.013411,0.013300,0.013454,0.013221,1113460814,886873123
2019-26-12,0.013351,0.013412,0.013701,0.013259,1111971331,894352282
2019-25-12,0.013647,0.013339,0.013647,0.013175,1074051749,889447723
2019-24-12,0.013842,0.013633,0.013974,0.013411,1184108108,909069238
2019-23-12,0.014918,0.013843,0.015227,0.013782,1237088083,923076121
2019-22-12,0.013595,0.014913,0.015015,0.013595,1319603647,994421661
2019-21-12,0.013465,0.013601,0.013601,0.013339,1104610705,906953230
2019-20-12,0.013082,0.013464,0.013553,0.012956,1189193477,897838784
2019-19-12,0.013387,0.013078,0.013511,0.012756,1176707542,872088970
2019-18-12,0.012460,0.013376,0.013477,0.012311,1277690945,891971388
2019-17-12,0.013497,0.012478,0.013511,0.012330,1090326003,832037848
2019-16-12,0.014026,0.013489,0.014046,0.013353,1114277015,899493259
2019-15-12,0.013937,0.014028,0.014154,0.013794,1025255094,935432754
2019-14-12,0.014090,0.013942,0.014588,0.013913,969812672,929705550
2019-13-12,0.013862,0.014098,0.014228,0.013717,973273278,940063554
2019-12-12,0.014185,0.013862,0.014200,0.013527,1001541934,924336244
2019-11-12,0.014159,0.014179,0.014374,0.014103,919584735,945493907
2019-10-12,0.014459,0.014153,0.014499,0.014097,920910088,943760869
2019-9-12,0.014729,0.014469,0.014768,0.014387,945176795,964836090
2019-8-12,0.014600,0.014754,0.014822,0.014505,909202289,983813078
2019-7-12,0.014710,0.014595,0.014852,0.014590,932823180,973196410
2019-6-12,0.014615,0.014708,0.014724,0.014494,1016590546,980792334
2019-5-12,0.014429,0.014606,0.014950,0.014297,1063061041,973956439
