Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.897513,0.905234,0.909675,0.893651,9457836,904779986
2020-4-2,0.883211,0.897504,0.906256,0.880350,10173522,897053852
2020-3-2,0.887624,0.883461,0.896915,0.880572,8982138,883018520
2020-2-2,0.871767,0.887624,0.897080,0.869311,8885116,887179304
2020-1-2,0.871814,0.871858,0.875763,0.860842,9749461,871420993
2020-31-1,0.887149,0.872486,0.890038,0.870426,9889743,872048910
2020-30-1,0.904884,0.887038,0.906591,0.875331,8893776,886593025
2020-29-1,0.904795,0.905267,0.911500,0.900780,9119955,904812947
2020-28-1,0.899943,0.903684,0.920207,0.888113,9414267,903230997
2020-27-1,0.897328,0.900939,0.909220,0.891753,8804619,900487481
2020-26-1,0.909446,0.897753,0.911359,0.897492,7315075,897302847
2020-25-1,0.914976,0.909602,0.915708,0.905198,7914038,909146457
2020-24-1,0.903977,0.914598,0.916337,0.902715,8629720,914140071
2020-23-1,0.893807,0.903977,0.906374,0.864878,10263346,903524198
2020-22-1,0.898961,0.894371,0.903272,0.889550,7762007,893922597
2020-21-1,0.872544,0.899999,0.902235,0.871928,7189720,899547860
2020-20-1,0.873684,0.871847,0.925373,0.865279,8345767,871410044
2020-19-1,0.912075,0.873684,0.930769,0.873684,8551701,873246391
2020-18-1,0.896680,0.912075,0.914939,0.886598,9338810,911617874
2020-17-1,0.864101,0.895758,0.912087,0.862227,8709524,895308658
2020-16-1,0.908753,0.863213,0.918012,0.858697,8170884,862780466
2020-15-1,0.894728,0.907620,0.921271,0.883427,7948446,907165398
2020-14-1,0.847126,0.896068,0.907147,0.840233,8535621,895618808
2020-13-1,0.870186,0.846822,0.870412,0.842880,7602413,846397216
2020-12-1,0.860728,0.870705,0.875225,0.856540,7898535,870268309
2020-11-1,0.871832,0.859647,0.886055,0.855090,8677610,859215993
2020-10-1,0.867510,0.870496,0.892691,0.859323,8387854,870060185
2020-9-1,0.902212,0.869860,0.902359,0.861662,8461125,869423959
2020-8-1,0.885718,0.901527,0.910808,0.880438,8487726,901075670
2020-7-1,0.871700,0.885718,0.888822,0.864739,7846688,885273842
2020-6-1,0.857237,0.871700,0.877281,0.852774,7736059,871262887
2020-5-1,0.851779,0.856983,0.865185,0.847994,6421925,856553225
2020-4-1,0.851496,0.851883,0.860545,0.841673,6349394,851455960
2020-3-1,0.826151,0.851479,0.854072,0.816582,6575515,851052242
2020-2-1,0.820602,0.821820,0.831689,0.813602,6016153,821407995
2020-1-1,0.816284,0.819960,0.826016,0.812007,6094720,819549224
2019-31-12,0.816356,0.816284,0.826781,0.811248,8253408,815875153
2019-30-12,0.823171,0.816223,0.832460,0.807973,6553717,815813606
2019-29-12,0.816850,0.823993,0.837397,0.813603,6545582,823580468
2019-28-12,0.824664,0.816964,0.843183,0.809887,6554039,816554405
2019-27-12,0.840322,0.824272,0.842553,0.820688,7062534,823858772
2019-26-12,0.823974,0.839412,0.841396,0.815617,7160955,838991839
2019-25-12,0.817216,0.823673,0.832411,0.803558,6074928,823260064
2019-24-12,0.831177,0.817216,0.833011,0.807039,7650904,816806339
2019-23-12,0.876050,0.831276,0.882803,0.823613,8586978,830859104
2019-22-12,0.860357,0.875506,0.881065,0.848770,6914892,875067258
2019-21-12,0.855771,0.860465,0.862432,0.842529,6983018,860033352
2019-20-12,0.849637,0.854488,0.883734,0.843522,7039746,854060015
2019-19-12,0.878437,0.849637,0.882847,0.837471,7767541,849210852
2019-18-12,0.877391,0.878437,0.887556,0.842725,8304703,877997188
2019-17-12,0.867596,0.877391,0.878686,0.846867,8370185,876950850
2019-16-12,0.875646,0.867596,0.884248,0.865981,6131514,867161097
2019-15-12,0.881440,0.875646,0.883931,0.837434,6669408,875206828
2019-14-12,0.886634,0.881440,0.892377,0.876153,7126317,880998036
2019-13-12,0.890576,0.886737,0.891239,0.881653,6382153,886292684
2019-12-12,0.897699,0.890331,0.899887,0.886154,6489027,889884940
2019-11-12,0.902351,0.897208,0.906154,0.894346,7689444,896758261
2019-10-12,0.913215,0.903270,0.916565,0.898175,7803670,902817112
2019-9-12,0.913494,0.913553,0.924001,0.906268,6921124,913094931
2019-8-12,0.913731,0.913494,0.921456,0.910498,7033320,913036741
2019-7-12,0.917852,0.913731,0.923284,0.909969,7435436,913272792
2019-6-12,0.927915,0.917837,0.935870,0.915612,7919316,917376779
2019-5-12,0.920583,0.928758,0.975354,0.918690,7587570,928292111
2019-4-12,0.918307,0.920583,0.928325,0.903042,7469824,920121808
2019-3-12,0.913426,0.918385,0.925900,0.907069,6999772,917925181
2019-2-12,0.920413,0.913426,0.935166,0.910701,7700538,912967872
2019-1-12,0.913529,0.920466,0.943279,0.911395,7672143,920004249
2019-30-11,0.911284,0.914338,0.922347,0.907987,9053058,913879404
2019-29-11,0.918209,0.911284,0.925844,0.906428,11641015,910827401
2019-28-11,0.907722,0.918326,0.959757,0.905032,10734584,917865359
2019-27-11,0.912750,0.908495,0.930783,0.886341,13038456,908039785
2019-26-11,0.904564,0.913326,0.923994,0.899924,11235563,912868564
2019-25-11,0.934879,0.904211,0.940992,0.895718,16676369,903758389
2019-24-11,0.951252,0.936230,0.958985,0.926253,13756868,935760479
2019-23-11,0.929904,0.951134,0.967153,0.916491,13315517,950657458
2019-22-11,0.938479,0.929410,0.951327,0.918129,18223524,928944465
2019-21-11,0.955723,0.938479,0.970321,0.938479,12867593,938008572
2019-20-11,0.960514,0.956159,0.971700,0.955305,10263758,955679830
2019-19-11,0.971802,0.960514,0.987193,0.947366,13449472,960032808
2019-18-11,0.975192,0.971437,0.990080,0.965847,11620656,970949723
2019-17-11,0.973587,0.975521,0.988096,0.969432,8372881,975032313
2019-16-11,0.962440,0.973587,0.978390,0.956950,8931084,973098892
2019-15-11,0.959409,0.962074,0.974642,0.955096,11726222,961591911
2019-14-11,0.960139,0.959835,0.966512,0.952847,9891371,959353894
2019-13-11,0.976352,0.960090,0.984672,0.958951,10069710,959608628
2019-12-11,0.976669,0.975515,0.984346,0.963837,11859923,975026617
2019-11-11,0.991920,0.974652,0.994163,0.966559,12877238,974163347
2019-10-11,0.973637,0.991920,0.994378,0.961423,13815800,991422947
2019-9-11,0.993314,0.974526,0.995319,0.972074,12199164,974037997
2019-8-11,0.992246,0.993169,0.998795,0.980783,18496855,992671032
2019-7-11,0.985542,0.992144,0.993331,0.977910,16827277,991646721
2019-6-11,0.994526,0.986174,1.00,0.984481,13683643,985680213
2019-5-11,1.01,0.994844,1.02,0.988668,12672113,994345948
2019-4-11,1.01,1.01,1.03,0.999699,9161802,1010580713
2019-3-11,1.00,1.00,1.02,0.982977,7514507,1004268683
2019-2-11,0.993561,1.01,1.02,0.988642,6876188,1006771557
2019-1-11,0.980973,0.993561,1.00,0.975728,10899783,993063613
2019-31-10,0.948197,0.980639,0.993373,0.933265,14785338,980147624
2019-30-10,0.942156,0.948045,0.953364,0.940204,13666385,947569725
2019-29-10,0.948571,0.941845,0.963920,0.934448,17123840,941372828
2019-28-10,0.983011,0.948571,0.998661,0.922987,14811342,948096154
2019-27-10,0.973527,0.981255,1.00,0.968699,15997169,980763585
2019-26-10,0.970125,0.973527,0.992184,0.952895,22971841,973039467
2019-25-10,0.954361,0.970547,0.980672,0.928357,17832835,970060928
2019-24-10,0.961534,0.954361,0.966260,0.945755,12828666,953883050
2019-23-10,0.985128,0.960289,0.996223,0.954034,7743292,959807513
2019-22-10,1.01,0.985499,1.01,0.981234,6583977,985005336
2019-21-10,1.02,1.01,1.02,1.01,6656381,1009709366
2019-20-10,1.02,1.02,1.02,1.01,7826639,1020843882
2019-19-10,1.00,1.02,1.02,1.00,6611170,1017326611
2019-18-10,1.02,1.00,1.02,0.997963,6333878,1002821745
2019-17-10,0.994026,1.02,1.02,0.986854,6483487,1019786000
2019-16-10,0.999531,0.994351,1.01,0.992146,6551235,993852282
2019-15-10,0.982011,0.999531,1.01,0.977832,8200198,999030596
2019-14-10,0.997746,0.981880,1.00,0.966816,8976505,981388455
2019-13-10,0.999057,0.997746,1.00,0.993444,7798497,997246024
2019-12-10,1.01,0.998896,1.01,0.996088,9007662,998395291
2019-11-10,1.01,1.01,1.02,0.986058,7873682,1008751757
2019-10-10,0.975860,1.01,1.01,0.967000,8827572,1007371407
2019-9-10,0.965204,0.977105,1.01,0.943372,12442636,976615119
2019-8-10,0.953622,0.965204,0.965975,0.945896,7686999,964720158
