Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,75.24,77.99,78.85,74.76,86614281,1359554956
2020-4-2,76.85,75.27,77.23,73.84,80747174,1311999526
2020-3-2,74.98,76.82,78.12,74.58,112774900,1338947607
2020-2-2,73.32,75.04,77.84,71.42,120996894,1307725291
2020-1-2,72.08,73.34,73.89,71.46,76400844,1277954139
2020-31-1,74.96,72.09,75.99,69.54,113417706,1256071404
2020-30-1,69.98,74.98,74.98,68.65,96778424,1306324501
2020-29-1,67.78,70.04,70.61,67.50,75659540,1220220166
2020-28-1,65.57,67.72,67.73,65.30,60865269,1179711128
2020-27-1,63.88,65.58,66.21,63.70,65532166,1142390785
2020-26-1,61.51,63.87,64.43,60.96,51959186,1112450844
2020-25-1,61.76,61.52,62.46,60.00,41758021,1071458289
2020-24-1,62.61,61.76,62.94,58.16,65482396,1075604864
2020-23-1,65.05,62.53,65.21,61.30,60781828,1088895965
2020-22-1,65.95,65.03,66.34,64.43,59334379,1132354078
2020-21-1,64.98,65.96,66.77,64.34,57432225,1148429768
2020-20-1,65.16,64.99,66.45,62.46,62026473,1131394984
2020-19-1,67.23,65.13,69.28,63.09,71810753,1133678611
2020-18-1,69.09,67.19,70.83,66.40,83759887,1169497764
2020-17-1,65.69,69.18,71.93,64.11,118624802,1203980723
2020-16-1,68.33,65.68,68.80,62.65,118716552,1143043009
2020-15-1,62.77,68.34,68.83,62.08,166405671,1189205049
2020-14-1,58.01,62.82,63.04,57.83,113675912,1093113235
2020-13-1,59.30,58.01,59.33,56.79,58833704,1009224837
2020-12-1,58.45,59.32,59.87,57.60,52045488,1032093745
2020-11-1,58.52,58.45,63.98,58.07,94891787,1016794773
2020-10-1,59.18,58.57,59.46,57.25,65556437,1018860318
2020-9-1,59.49,59.20,59.79,57.14,64810309,1029615123
2020-8-1,58.77,59.46,59.81,56.11,69698036,1034174394
2020-7-1,58.96,58.82,59.86,55.87,71803694,1022853094
2020-6-1,54.09,58.97,58.99,54.00,72292283,1025427626
2020-5-1,50.54,54.10,54.78,50.54,51316114,940587960
2020-4-1,51.05,50.54,51.55,50.02,61952234,878616620
2020-3-1,45.64,51.09,51.98,45.64,145826653,888197074
2020-2-1,45.76,45.75,46.21,44.40,81645163,795254543
2020-1-1,44.58,45.75,45.96,44.50,75903149,795254586
2019-31-12,46.50,44.57,46.52,44.57,61657735,774583377
2019-30-12,46.84,46.50,47.06,46.01,66565171,808064736
2019-29-12,45.52,46.83,47.78,45.39,90219027,813746411
2019-28-12,45.33,45.55,45.95,45.06,90986577,791427855
2019-27-12,45.30,45.34,46.07,44.86,92836745,787813260
2019-26-12,46.51,45.31,46.63,44.86,89292487,787092855
2019-25-12,46.21,46.50,47.10,45.59,86017236,807752120
2019-24-12,47.34,46.21,48.39,46.07,104538333,802622128
2019-23-12,47.47,47.34,48.77,47.15,112661124,822261384
2019-22-12,45.53,47.46,48.10,45.48,119713580,824143649
2019-21-12,47.05,45.53,47.17,45.31,106102856,790648468
2019-20-12,47.82,47.06,47.91,46.51,102434254,817101658
2019-19-12,47.97,47.87,49.25,46.17,125632136,831035349
2019-18-12,45.06,47.93,48.73,44.39,115846058,832140473
2019-17-12,49.45,44.94,49.68,44.65,101487732,780188465
2019-16-12,50.92,49.45,51.25,48.85,101870933,858311304
2019-15-12,51.63,50.92,52.11,50.12,104854859,883861446
2019-14-12,52.65,51.59,52.76,51.33,98556824,895389948
2019-13-12,53.29,52.62,53.45,52.37,102891717,913112386
