Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,3.43,3.58,3.61,3.42,218391076,846649656
2020-4-2,3.45,3.43,3.47,3.34,134770987,811887504
2020-3-2,3.48,3.45,3.52,3.42,143343968,816474042
2020-2-2,3.47,3.48,3.53,3.36,181480531,821875508
2020-1-2,3.44,3.47,3.49,3.41,159118308,821109858
2020-31-1,3.50,3.44,3.56,3.36,249757025,813878000
2020-30-1,3.39,3.50,3.51,3.34,240909890,827509994
2020-29-1,3.25,3.39,3.46,3.24,236378858,802241053
2020-28-1,3.19,3.25,3.25,3.16,178973598,769309163
2020-27-1,3.15,3.20,3.21,3.14,168209429,755534572
2020-26-1,3.08,3.15,3.15,3.07,105636039,744434931
2020-25-1,3.13,3.09,3.13,3.06,86633958,729512895
2020-24-1,3.13,3.12,3.15,3.05,117533845,738950763
2020-23-1,3.25,3.13,3.25,3.06,126127334,740157818
2020-22-1,3.26,3.25,3.29,3.22,104633876,767847012
2020-21-1,3.17,3.26,3.29,3.16,142830754,771740194
2020-20-1,3.15,3.17,3.21,3.08,125622177,750026853
2020-19-1,3.22,3.15,3.29,3.08,162391777,733956402
2020-18-1,3.27,3.22,3.29,3.19,156139132,750536152
2020-17-1,3.24,3.28,3.31,3.20,185645487,764345882
2020-16-1,3.28,3.24,3.29,3.13,168315633,756365709
2020-15-1,3.23,3.28,3.35,3.13,297998580,764973097
2020-14-1,3.05,3.24,3.30,3.04,359214699,781284137
2020-13-1,3.09,3.05,3.10,3.02,133950019,735016484
2020-12-1,3.15,3.09,3.21,3.08,129949368,746192999
2020-11-1,3.11,3.16,3.23,3.08,152428071,761563889
2020-10-1,3.07,3.11,3.11,2.97,214112126,751243403
2020-9-1,3.07,3.06,3.07,2.96,155031303,739509209
2020-8-1,3.14,3.07,3.20,3.02,218548663,741114574
2020-7-1,3.05,3.14,3.15,3.02,236321944,757536379
2020-6-1,2.94,3.05,3.05,2.93,178096378,736345235
2020-5-1,2.92,2.94,2.98,2.91,119839038,708925311
2020-4-1,2.85,2.92,2.92,2.82,129387617,703841668
2020-3-1,2.76,2.85,2.85,2.70,146742345,686500587
2020-2-1,2.82,2.75,2.85,2.74,127923383,663187016
2020-1-1,2.75,2.82,2.84,2.74,107014240,679442489
2019-31-12,2.79,2.75,2.80,2.73,93318487,662951715
2019-30-12,2.82,2.79,2.86,2.76,107859809,673517976
2019-29-12,2.79,2.81,2.86,2.79,106362520,678721857
2019-28-12,2.78,2.79,2.83,2.78,97390068,673808352
2019-27-12,2.78,2.78,2.83,2.75,99549634,671802328
2019-26-12,2.81,2.78,2.82,2.76,110427485,670310559
2019-25-12,2.86,2.81,2.87,2.76,104122757,678947338
2019-24-12,2.83,2.86,2.91,2.80,111449993,690443347
2019-23-12,2.86,2.83,2.93,2.81,168832758,681976581
2019-22-12,2.81,2.86,2.86,2.77,134255821,689495068
2019-21-12,2.76,2.81,2.83,2.70,109353056,678809067
2019-20-12,2.72,2.76,2.80,2.70,115478618,666395474
2019-19-12,2.69,2.72,2.73,2.62,149562802,655722887
2019-18-12,2.38,2.69,2.72,2.37,216748376,649679438
2019-17-12,2.59,2.40,2.60,2.38,138503382,578158589
2019-16-12,2.73,2.59,2.74,2.59,121938917,625756900
