Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,9183.42,9613.42,9701.30,9163.70,35222060874,174983423933
2020-4-2,9292.84,9180.96,9331.27,9112.81,29893183716,167093636162
2020-3-2,9344.68,9293.52,9540.37,9248.63,30934096509,169126861034
2020-2-2,9389.82,9344.37,9468.80,9217.82,30835736946,170034976662
2020-1-2,9346.36,9392.88,9439.32,9313.24,25922656496,170900662180
2020-31-1,9508.31,9350.53,9521.71,9230.78,29432489719,170112778161
2020-30-1,9316.02,9508.99,9553.13,9230.90,32378792851,172978577931
2020-29-1,9357.47,9316.63,9406.43,9269.47,30682598115,169460984603
2020-28-1,8912.52,9358.59,9358.59,8908.45,34398744403,170205617955
2020-27-1,8597.31,8909.82,8977.73,8597.31,28647338393,162027957435
2020-26-1,8364.41,8596.83,8602.40,8325.50,22177678796,156322174637
2020-25-1,8440.12,8367.85,8458.45,8296.22,19647331549,152143262650
2020-24-1,8405.57,8445.43,8514.67,8266.84,24397913026,153536829768
2020-23-1,8680.65,8406.52,8687.75,8333.64,25770680779,152813329633
2020-22-1,8744.21,8680.88,8792.99,8636.75,22600204051,157783273070
2020-21-1,8658.99,8745.89,8755.71,8544.52,24097418512,158947996834
2020-20-1,8704.63,8657.64,8745.59,8560.47,26422375678,157327553259
2020-19-1,8941.45,8706.25,9164.36,8620.08,34217320471,158194319735
2020-18-1,8927.21,8942.81,9012.20,8827.33,32337772627,162475965880
2020-17-1,8725.21,8929.04,8958.12,8677.32,36372139320,162211148778
2020-16-1,8812.48,8723.79,8846.46,8612.10,31313981931,158465055984
2020-15-1,8825.34,8807.01,8890.12,8657.19,40102834650,159959191212
2020-14-1,8140.93,8827.76,8879.51,8140.93,44841784107,160319484883
2020-13-1,8189.77,8144.19,8197.79,8079.70,22482910688,147890525973
2020-12-1,8033.26,8192.49,8200.06,8009.06,22903438381,148752956966
2020-11-1,8162.19,8037.54,8218.36,8029.64,25521165085,145924199942
2020-10-1,7878.31,8166.55,8166.55,7726.77,28714583844,148249907277
2020-9-1,8082.30,7879.07,8082.30,7842.40,24045990466,143016572819
2020-8-1,8161.94,8079.86,8396.74,7956.77,31672559265,146645162431
2020-7-1,7768.68,8163.69,8178.22,7768.23,28767291327,148152237654
2020-6-1,7410.45,7769.22,7781.87,7409.29,23276261598,140976457304
2020-5-1,7410.45,7411.32,7544.50,7400.54,19725074095,134469548249
2020-4-1,7345.38,7410.66,7427.39,7309.51,18444271275,134442464030
2020-3-1,6984.43,7344.88,7413.72,6915.00,28111481032,133233444755
2020-2-1,7202.55,6985.47,7212.16,6935.27,20802083465,126699395235
2020-1-1,7194.89,7200.17,7254.33,7174.94,18565664997,130580829150
2019-31-12,7294.44,7193.60,7335.29,7169.78,21167946112,130446112598
2019-30-12,7420.27,7293.00,7454.82,7276.31,22874131672,132235128152
2019-29-12,7317.65,7422.65,7513.95,7279.87,22445257702,134570835775
2019-28-12,7289.03,7317.99,7399.04,7286.91,21365673026,132659059740
2019-27-12,7238.14,7290.09,7363.53,7189.93,22777360996,132139502950
2019-26-12,7274.80,7238.97,7388.30,7200.39,22787010034,131200030100
2019-25-12,7325.76,7275.16,7357.02,7220.99,21559505149,131840641292
2019-24-12,7354.39,7322.53,7535.72,7269.53,22991622105,132687583295
