Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.055890,0.058236,0.058795,0.055675,23670042,785363042
2020-4-2,0.053643,0.055911,0.056219,0.053399,15316509,752775701
2020-3-2,0.054187,0.053552,0.055279,0.053040,10608955,719847411
2020-2-2,0.052677,0.054187,0.055201,0.051497,14742142,727200101
2020-1-2,0.053205,0.052642,0.054129,0.052448,3654613,705302710
2020-31-1,0.052881,0.053284,0.053601,0.051996,5277591,712735457
2020-30-1,0.052050,0.052898,0.053105,0.051392,4999482,706420686
2020-29-1,0.052345,0.052038,0.053544,0.051186,6290559,693791250
2020-28-1,0.049066,0.052324,0.052369,0.048711,10067208,696455552
2020-27-1,0.047444,0.049085,0.049438,0.047344,10449071,652267960
2020-26-1,0.046274,0.047408,0.047497,0.045837,10759313,628947190
2020-25-1,0.046739,0.046223,0.046741,0.045555,18470753,610187095
2020-24-1,0.046516,0.046690,0.047128,0.045620,19098843,616352520
2020-23-1,0.048088,0.046485,0.048214,0.045704,12561724,613645368
2020-22-1,0.047529,0.048093,0.048276,0.047268,16110724,633817774
2020-21-1,0.047140,0.047638,0.047695,0.046305,18718214,622597062
2020-20-1,0.046458,0.047157,0.047605,0.046085,16776457,616320012
2020-19-1,0.047318,0.046373,0.048445,0.046213,8578536,606065743
2020-18-1,0.047103,0.047318,0.055453,0.046721,9781479,618421584
2020-17-1,0.046084,0.047138,0.047208,0.045704,19425075,616071500
2020-16-1,0.045575,0.046119,0.046154,0.044557,16061792,601738282
2020-15-1,0.043625,0.045578,0.045826,0.042903,11692086,593685587
2020-14-1,0.041202,0.043701,0.043893,0.041144,6228652,568272781
2020-13-1,0.041090,0.041209,0.041495,0.040287,7392188,534965140
2020-12-1,0.040253,0.041116,0.041327,0.040016,15933827,532860818
2020-11-1,0.040513,0.040249,0.041112,0.039766,15910131,520742850
2020-10-1,0.038687,0.040459,0.040459,0.038121,15037915,522561589
2020-9-1,0.040261,0.038741,0.040310,0.038507,11042954,499522797
2020-8-1,0.038219,0.040192,0.041865,0.038195,6041245,517352135
2020-7-1,0.036624,0.038219,0.038378,0.036590,5271187,491118609
2020-6-1,0.034715,0.036529,0.036543,0.034606,10044475,468610086
2020-5-1,0.034798,0.034618,0.035337,0.034598,7626233,443334281
2020-4-1,0.034598,0.034689,0.034891,0.034195,9840614,443474510
2020-3-1,0.032965,0.034666,0.034930,0.032717,13517006,442431385
2020-2-1,0.033973,0.032858,0.033973,0.032578,10238185,418637265
2020-1-1,0.033576,0.033973,0.034196,0.033576,11329574,431344660
2019-31-12,0.033923,0.033576,0.034235,0.033272,10647161,426310875
2019-30-12,0.034791,0.033930,0.036756,0.033792,11412485,430062819
2019-29-12,0.034011,0.034875,0.035344,0.033473,8313355,441270132
2019-28-12,0.035564,0.034017,0.037115,0.033194,26571504,429669110
2019-27-12,0.035538,0.035576,0.036016,0.034999,8576913,443901631
2019-26-12,0.034921,0.035339,0.035548,0.034557,7033278,440950266
2019-25-12,0.034918,0.034920,0.035294,0.034500,6155649,435717337
2019-24-12,0.034993,0.035003,0.037115,0.034698,7171267,436758076
2019-23-12,0.035673,0.034993,0.037341,0.034913,7398718,436626369
2019-22-12,0.034099,0.035659,0.035688,0.034059,7934626,444934775
2019-21-12,0.035397,0.034099,0.035397,0.033758,9484378,425470050
2019-20-12,0.033331,0.035397,0.036396,0.032194,14276612,440889936
2019-19-12,0.033246,0.033331,0.033643,0.032308,5710471,414426648
2019-18-12,0.030572,0.033246,0.033612,0.030005,4378501,412639770
2019-17-12,0.030874,0.030572,0.032423,0.030330,6872781,378785496
2019-16-12,0.030607,0.030874,0.032112,0.030205,8094700,381855924
2019-15-12,0.029833,0.030607,0.030860,0.029561,9832910,377873660
2019-14-12,0.029487,0.029833,0.030437,0.029487,8915845,367668192
2019-13-12,0.029321,0.029495,0.029761,0.029154,2620960,362851195
2019-12-12,0.028997,0.029506,0.029640,0.028871,2702435,362341184
2019-11-12,0.029101,0.028996,0.029436,0.028750,4636531,355447142
2019-10-12,0.029617,0.029124,0.029776,0.028963,3322247,356373106
2019-9-12,0.029670,0.029581,0.029993,0.029220,4753814,361318677
2019-8-12,0.029783,0.029670,0.030107,0.029165,5900045,361108320
2019-7-12,0.029800,0.029783,0.030035,0.029440,6380389,362477372
2019-6-12,0.029608,0.029767,0.029867,0.029052,5876246,361639499
2019-5-12,0.026308,0.029639,0.030668,0.026206,5870202,359430429
2019-4-12,0.025989,0.026243,0.027014,0.025351,1447408,317670028
2019-3-12,0.025869,0.026051,0.026591,0.025609,4625967,314772773
2019-2-12,0.026467,0.025869,0.026852,0.025625,4190033,312015617
2019-1-12,0.027352,0.026469,0.027379,0.026012,5390895,318670292
2019-30-11,0.028358,0.027213,0.028805,0.026951,4755669,327033069
2019-29-11,0.027251,0.028357,0.028792,0.027102,3876163,340158125
2019-28-11,0.028233,0.027409,0.029443,0.027272,4179157,328181515
2019-27-11,0.027463,0.028306,0.028804,0.026594,4811446,338305553
2019-26-11,0.027811,0.027680,0.030783,0.027212,3850479,330217010
2019-25-11,0.030270,0.027750,0.030416,0.027591,3458926,330441821
2019-24-11,0.030879,0.030245,0.031263,0.029667,2496051,358823036
2019-23-11,0.030084,0.030850,0.031002,0.029746,2204751,366002694
2019-22-11,0.032155,0.030096,0.032167,0.029301,5446139,356401858
2019-21-11,0.033721,0.032155,0.034160,0.031590,5231770,380073388
2019-20-11,0.033815,0.033726,0.034506,0.032511,15380059,397906205
2019-19-11,0.035906,0.033815,0.036097,0.033086,15953222,397476558
2019-18-11,0.036247,0.035852,0.036998,0.035014,22644837,421416152
2019-17-11,0.035418,0.036210,0.037563,0.035336,15593484,424830810
2019-16-11,0.035678,0.035418,0.037494,0.034865,13515996,414757172
2019-15-11,0.037192,0.035782,0.039612,0.035570,34487950,418239506
2019-14-11,0.035039,0.037192,0.041267,0.034513,21372422,433904605
2019-13-11,0.035299,0.034973,0.035775,0.034538,17437942,407063871
2019-12-11,0.035181,0.035182,0.035789,0.034814,18448100,408531509
2019-11-11,0.035846,0.035068,0.036241,0.034597,19830492,406243291
2019-10-11,0.035139,0.035847,0.036152,0.034869,23804451,413302205
2019-9-11,0.037304,0.035133,0.037743,0.034901,16305229,405076634
2019-8-11,0.038347,0.037469,0.038775,0.036271,32991342,430983091
2019-7-11,0.036338,0.038295,0.041132,0.036137,30794410,439427708
2019-6-11,0.037037,0.036341,0.037539,0.036259,22637194,416018409
2019-5-11,0.037428,0.036982,0.037581,0.036540,22236607,422332471
2019-4-11,0.038034,0.037428,0.038342,0.036227,23562947,426407789
2019-3-11,0.037461,0.038023,0.038295,0.036920,14471872,432140176
2019-2-11,0.038100,0.037504,0.039382,0.037292,14861172,425216633
2019-1-11,0.037018,0.038100,0.038100,0.035957,18757436,430935712
2019-31-10,0.036088,0.036997,0.037422,0.035799,8513920,417438036
2019-30-10,0.036607,0.036107,0.036714,0.035533,9478274,406404567
2019-29-10,0.035761,0.036559,0.037003,0.035580,6121963,410490544
2019-28-10,0.035702,0.035859,0.037156,0.035437,7849624,401649310
2019-27-10,0.036420,0.035694,0.037068,0.035366,5273912,398833060
2019-26-10,0.034653,0.036420,0.039588,0.034570,9963930,405945548
2019-25-10,0.031635,0.034654,0.035019,0.029494,7375270,385304551
2019-24-10,0.031849,0.031635,0.032515,0.031083,7729146,350871432
2019-23-10,0.033622,0.031741,0.033848,0.031274,13516601,351175955
2019-22-10,0.033567,0.033744,0.034240,0.033189,10739045,372415397
2019-21-10,0.033585,0.033473,0.033930,0.032996,11895091,368512656
2019-20-10,0.033067,0.033541,0.034038,0.033051,11591288,368333296
2019-19-10,0.033261,0.033052,0.033601,0.032827,9917667,362062392
2019-18-10,0.033585,0.033136,0.033797,0.032889,10406840,362075578
2019-17-10,0.033495,0.033651,0.033774,0.032987,10253347,366775918
2019-16-10,0.034295,0.033563,0.034444,0.032748,8761804,364905355
2019-15-10,0.034388,0.034295,0.034859,0.034059,9554640,371921611
2019-14-10,0.034656,0.034432,0.034983,0.034047,9247972,372461050
2019-13-10,0.034597,0.034656,0.035167,0.033930,7249730,373933082
2019-12-10,0.034686,0.034591,0.035223,0.034443,8342162,372285616
2019-11-10,0.036479,0.034694,0.036523,0.034694,11665623,363886576
2019-10-10,0.035844,0.036476,0.036576,0.035315,10847272,382580067
2019-9-10,0.035201,0.035851,0.036246,0.034789,9790570,376029478
2019-8-10,0.035667,0.035201,0.035812,0.034576,7909625,369211207
2019-7-10,0.034468,0.035677,0.036051,0.034091,7485614,374200148
2019-6-10,0.035134,0.034439,0.035835,0.034151,5660668,361219108
2019-5-10,0.036476,0.035152,0.036476,0.035031,4977612,368693257
2019-4-10,0.035823,0.036476,0.036605,0.035480,4791464,382583352
2019-3-10,0.035506,0.035867,0.036055,0.035101,5636750,376189371
2019-2-10,0.034773,0.035505,0.035944,0.033455,6888513,372395566
2019-1-10,0.035723,0.034773,0.037231,0.034204,5619516,363763996
2019-30-9,0.035164,0.035677,0.035875,0.034155,6861000,372246099
2019-29-9,0.034922,0.035164,0.035710,0.034688,4548467,365927233
2019-28-9,0.035200,0.034889,0.035348,0.034563,4418624,362117431
2019-27-9,0.034271,0.035176,0.035301,0.033583,6162918,364126688
2019-26-9,0.034550,0.034364,0.036052,0.034014,7108154,354776071
2019-25-9,0.036001,0.034587,0.036417,0.033253,4861544,356137797
2019-24-9,0.038411,0.036121,0.039173,0.035264,7492762,370939595
2019-23-9,0.039602,0.037602,0.039621,0.037553,8007445,385116326
2019-22-9,0.038562,0.039590,0.039796,0.038120,4517261,404395730
2019-21-9,0.039368,0.038578,0.039470,0.038356,8669072,393006328
2019-20-9,0.039429,0.039397,0.040394,0.039083,10215951,400267786
2019-19-9,0.038979,0.039435,0.039828,0.038360,13750241,392995592
2019-18-9,0.038183,0.038965,0.039676,0.037628,12337385,387250203
2019-17-9,0.039049,0.038442,0.039508,0.037871,9980445,381001861
2019-16-9,0.039050,0.039033,0.039843,0.038210,8837159,385781274
2019-15-9,0.039531,0.039106,0.040136,0.038674,8568184,385436889
2019-14-9,0.039170,0.039744,0.040053,0.038972,8028787,390639131
2019-13-9,0.040318,0.039194,0.040726,0.038806,7714046,384150438
2019-12-9,0.037795,0.040394,0.040836,0.037590,9786379,394811405
2019-11-9,0.038104,0.037795,0.038595,0.037491,6310216,368372476
2019-10-9,0.039225,0.038104,0.039682,0.037866,6945045,370343383
2019-9-9,0.039464,0.039099,0.040040,0.038615,10549835,378940013
2019-8-9,0.041209,0.039464,0.041728,0.039381,9985808,381391990
2019-7-9,0.041946,0.041209,0.042169,0.039889,4152779,385843656
2019-6-9,0.041676,0.041329,0.044019,0.039558,9711220,386965276
2019-5-9,0.037864,0.041676,0.042430,0.036887,9760316,390213944
2019-4-9,0.038380,0.037884,0.039491,0.036642,6180114,354708121
2019-3-9,0.041079,0.038349,0.041593,0.035944,9222248,359062901
2019-2-9,0.039051,0.041009,0.042183,0.038559,8470873,383965852
2019-1-9,0.039028,0.039092,0.040762,0.038533,5838885,366017093
2019-31-8,0.038643,0.039057,0.039666,0.038643,6413635,365692418
2019-30-8,0.040010,0.038672,0.040815,0.038456,8735579,362088820
2019-29-8,0.040880,0.040010,0.041225,0.039073,8025617,374613083
2019-28-8,0.040860,0.041027,0.041842,0.039226,10657082,384140887
2019-27-8,0.042407,0.040772,0.042471,0.040646,6329495,380631464
2019-26-8,0.042203,0.042282,0.043472,0.042012,8159375,393567488
2019-25-8,0.042971,0.042203,0.043262,0.041969,7468923,391682402
2019-24-8,0.043165,0.042971,0.043465,0.042393,9786227,397626560
2019-23-8,0.043667,0.043108,0.043907,0.042798,8379722,397711008
2019-22-8,0.043124,0.043667,0.044200,0.042134,5103137,401680788
2019-21-8,0.044569,0.043204,0.044975,0.042227,10646614,396234585
2019-20-8,0.045755,0.044677,0.046392,0.043491,11499897,408519596
2019-19-8,0.045728,0.045755,0.046410,0.044353,12484700,417118651
2019-18-8,0.044602,0.045806,0.046593,0.043795,12872434,416333294
2019-17-8,0.043771,0.044330,0.048012,0.043456,14165836,401699939
2019-16-8,0.046753,0.043924,0.047511,0.043302,11123853,396822268
2019-15-8,0.046750,0.046755,0.048159,0.043367,12455915,421119322
2019-14-8,0.047132,0.046750,0.048244,0.045807,23392073,419793136
2019-13-8,0.047307,0.047043,0.048667,0.046817,11363082,421129152
2019-12-8,0.049412,0.047210,0.049671,0.047176,10840298,421333777
2019-11-8,0.051373,0.049260,0.052163,0.049142,14742349,430072828
2019-10-8,0.051381,0.051322,0.055638,0.050352,18436648,446669220
2019-9-8,0.047173,0.051381,0.056348,0.046921,18628301,445767522
2019-8-8,0.046493,0.047401,0.048727,0.044772,11934499,409939080
2019-7-8,0.051866,0.046493,0.052829,0.046493,12544926,400815382
2019-6-8,0.055257,0.051774,0.056396,0.050829,7152752,444923256
2019-5-8,0.056525,0.055367,0.060102,0.053580,6763461,474286615
2019-4-8,0.056213,0.056515,0.056901,0.054820,4208621,482568146
2019-3-8,0.055628,0.056164,0.056708,0.055268,3259490,473414946
2019-2-8,0.057144,0.055683,0.057886,0.054901,3666066,469363003
2019-1-8,0.058667,0.057259,0.060260,0.055307,4366239,482649943
2019-31-7,0.059150,0.058630,0.060287,0.057507,3753737,494201349
2019-30-7,0.054632,0.059328,0.067657,0.054395,7927824,498466135
2019-29-7,0.056229,0.054537,0.057441,0.054015,3370431,456714650
2019-28-7,0.056746,0.056184,0.058163,0.054688,5042148,468969507
2019-27-7,0.061141,0.056746,0.063120,0.056341,5958571,472103533
2019-26-7,0.061098,0.061141,0.061958,0.057308,5435371,506991930
2019-25-7,0.062464,0.061186,0.067785,0.059821,5272506,505693251
2019-24-7,0.070734,0.062407,0.076869,0.062377,15822292,514072127
2019-23-7,0.065542,0.070734,0.077326,0.065542,13005600,580728276
2019-22-7,0.054571,0.065191,0.065692,0.054252,8237280,533430991
2019-21-7,0.056030,0.054599,0.056777,0.053268,3423091,445268528
2019-20-7,0.056404,0.056030,0.058020,0.054773,3217588,455407296
2019-19-7,0.061501,0.056112,0.061957,0.054283,4232820,454536751
2019-18-7,0.051126,0.061501,0.062624,0.049656,4096194,496501629
2019-17-7,0.054187,0.051121,0.054983,0.047829,4707664,411299078
2019-16-7,0.069217,0.054313,0.070135,0.054313,6044724,435494761
2019-15-7,0.072769,0.069222,0.074764,0.067893,8560194,553139895
2019-14-7,0.081201,0.072466,0.081428,0.068866,11071922,577081649
2019-13-7,0.090115,0.081229,0.096116,0.078339,10485046,644641972
2019-12-7,0.103567,0.089846,0.155013,0.083884,73817729,710561811
2019-11-7,0.092923,0.103369,0.107323,0.091957,13253540,814676613
2019-10-7,0.080883,0.092642,0.103045,0.080705,5683191,727601989
2019-9-7,0.080778,0.080899,0.082425,0.076939,2551923,633156522
2019-8-7,0.073261,0.080646,0.085309,0.073088,3486576,628962098
2019-7-7,0.072277,0.073114,0.075561,0.071596,3570565,568221081
2019-6-7,0.071436,0.072270,0.075501,0.071431,3073959,559677571
2019-5-7,0.071770,0.071218,0.074185,0.069344,2966099,549578980
2019-4-7,0.067710,0.071698,0.074430,0.062899,3615473,539370954
2019-3-7,0.055727,0.067856,0.068474,0.055727,6178373,508609549
2019-2-7,0.056157,0.055500,0.059115,0.048205,4888326,414477438
2019-1-7,0.061162,0.056784,0.065025,0.051503,5771235,422508635
2019-30-6,0.063360,0.061162,0.069947,0.057197,6550538,453405981
2019-29-6,0.061549,0.064165,0.067586,0.059179,7933668,472154482
2019-28-6,0.059950,0.061343,0.066887,0.059548,8081627,451389810
2019-27-6,0.068897,0.059895,0.069965,0.057100,4711717,439096810
2019-26-6,0.074917,0.068897,0.077212,0.064450,5437087,503199704
2019-25-6,0.057695,0.074917,0.077554,0.056991,4889648,545116193
2019-24-6,0.060186,0.057885,0.060527,0.056334,4698906,419601456
2019-23-6,0.056844,0.060186,0.062757,0.055465,2713418,434632808
2019-22-6,0.059684,0.056993,0.063500,0.055897,2946239,410008487
2019-21-6,0.063645,0.059409,0.064683,0.056954,7245531,425764682
2019-20-6,0.064695,0.063906,0.067770,0.060534,3534691,456244025
2019-19-6,0.067363,0.064872,0.068843,0.062206,5796704,461363183
2019-18-6,0.067502,0.067642,0.067679,0.065055,11647001,479205066
2019-17-6,0.067776,0.067424,0.069383,0.063605,9149684,475817765
2019-16-6,0.067211,0.067719,0.072569,0.063887,9722115,476041339
2019-15-6,0.068133,0.067211,0.071316,0.064838,8064657,470628952
2019-14-6,0.068733,0.068109,0.068919,0.065442,17648288,475055386
