Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,2.51,2.65,2.66,2.44,1319085,762348443
2020-4-2,2.52,2.51,2.58,2.37,1537307,722635349
2020-3-2,2.51,2.52,2.59,2.42,968644,724937775
2020-2-2,2.59,2.51,2.59,2.41,1114346,723470266
2020-1-2,2.59,2.58,2.63,2.39,1314536,743883141
2020-31-1,2.63,2.59,2.64,2.50,894469,746121519
2020-30-1,2.59,2.63,2.64,2.49,965794,758185307
2020-29-1,2.73,2.59,2.74,2.43,943663,747047080
2020-28-1,2.62,2.73,2.74,2.41,726901,786803634
2020-27-1,2.56,2.62,2.70,2.53,744430,753975862
2020-26-1,2.53,2.56,2.56,2.48,785000,737446696
2020-25-1,2.52,2.53,2.56,2.44,830283,728889081
2020-24-1,2.47,2.51,2.89,2.40,796823,724447373
2020-23-1,2.52,2.47,2.52,2.39,781615,711169152
2020-22-1,2.50,2.54,2.55,2.44,932691,730685360
2020-21-1,2.33,2.49,2.54,2.25,862306,718330683
2020-20-1,2.34,2.33,2.43,2.10,781425,670958487
2020-19-1,2.32,2.35,2.38,2.14,691380,676216767
2020-18-1,2.27,2.32,2.47,2.22,894029,668291165
2020-17-1,2.42,2.27,2.50,2.16,745199,653647021
2020-16-1,2.28,2.42,2.42,2.22,731737,696758979
2020-15-1,2.27,2.28,2.36,2.09,730047,657060761
2020-14-1,2.03,2.27,2.43,2.02,784184,653680969
2020-13-1,2.03,2.03,2.05,1.98,735734,584387955
2020-12-1,1.99,2.03,2.06,1.97,858057,585153259
2020-11-1,2.01,1.98,2.03,1.97,656401,571605664
2020-10-1,1.95,2.01,2.01,1.89,634907,579863889
2020-9-1,1.98,1.95,1.98,1.90,622519,561793664
2020-8-1,1.99,1.98,2.06,1.92,668406,571094197
2020-7-1,1.91,1.99,1.99,1.88,684619,573459931
2020-6-1,1.80,1.91,1.91,1.80,611512,548944077
2020-5-1,1.78,1.81,1.84,1.77,638478,521505971
2020-4-1,1.76,1.78,1.79,1.71,707308,513271737
2020-3-1,1.68,1.77,1.77,1.66,482558,508566173
2020-2-1,1.73,1.68,1.73,1.61,683980,482608965
2020-1-1,1.73,1.73,1.74,1.72,1044481,498656699
2019-31-12,1.75,1.73,1.76,1.72,990660,498357770
2019-30-12,1.80,1.75,1.80,1.75,910522,505342106
2019-29-12,1.76,1.79,1.82,1.76,972143,516827657
2019-28-12,1.73,1.76,1.77,1.71,1110272,506905808
2019-27-12,1.67,1.74,1.74,1.65,843815,502442619
2019-26-12,1.70,1.67,1.74,1.51,215187,482073540
2019-25-12,1.71,1.70,1.75,1.57,301048,490520420
2019-24-12,1.65,1.71,1.75,1.58,941396,492085497
2019-23-12,1.71,1.65,1.74,1.63,811998,476168952
2019-22-12,1.70,1.71,1.75,1.53,1066819,492125623
2019-21-12,1.46,1.67,1.69,1.33,926494,480706385
2019-20-12,1.37,1.46,1.68,1.29,738359,420624350
2019-19-12,1.35,1.37,1.39,1.27,961606,395996895
2019-18-12,1.19,1.35,1.69,1.17,929524,387704306
2019-17-12,1.22,1.19,1.22,1.12,695924,343906697
2019-16-12,1.23,1.22,1.34,1.15,822464,350580218
2019-15-12,1.24,1.23,1.24,1.21,874067,355128443
