Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,4.22,4.33,4.35,4.15,219629627,824888932
2020-4-2,4.26,4.22,4.26,4.02,199182438,804128109
2020-3-2,4.41,4.26,4.46,4.25,169613306,812471299
2020-2-2,4.37,4.41,4.47,4.25,166048379,840319053
2020-1-2,4.39,4.38,4.43,4.30,153198031,834520686
2020-31-1,4.42,4.39,4.60,4.30,199363105,837029351
2020-30-1,4.41,4.41,4.47,4.30,193799097,841882518
2020-29-1,4.59,4.41,4.59,4.36,195873920,841480724
2020-28-1,4.52,4.59,4.59,4.48,201500979,874619277
2020-27-1,4.48,4.52,4.67,4.43,166514161,861473073
2020-26-1,4.41,4.48,4.50,4.37,131819511,854395418
2020-25-1,4.49,4.42,4.49,4.37,132055630,841901879
2020-24-1,4.45,4.48,4.52,4.35,161825964,855148282
2020-23-1,4.65,4.44,4.68,4.38,157800493,847521481
2020-22-1,4.64,4.65,4.69,4.57,131623772,887094362
2020-21-1,4.50,4.65,4.73,4.46,138311353,886592072
2020-20-1,4.51,4.51,4.66,4.42,142814531,859109294
2020-19-1,4.64,4.52,4.76,4.39,195479921,861648060
2020-18-1,5.00,4.63,5.00,4.62,218755859,883526141
2020-17-1,5.10,5.00,5.29,4.77,314099418,953671093
2020-16-1,4.57,5.08,5.20,4.20,292509993,967992098
2020-15-1,4.54,4.57,4.93,4.40,256937834,871045052
2020-14-1,4.25,4.54,4.67,4.24,218081722,865707914
2020-13-1,4.26,4.26,4.33,4.13,112376034,811564036
2020-12-1,4.27,4.26,4.35,4.23,114480179,812887020
2020-11-1,4.26,4.28,4.43,4.26,134305838,815227389
2020-10-1,4.26,4.26,4.45,4.21,180537539,813022082
2020-9-1,4.01,4.26,4.26,3.96,137133708,812941170
2020-8-1,4.09,4.01,4.18,4.00,128484380,764782468
2020-7-1,4.11,4.10,4.25,4.07,136691939,781067565
2020-6-1,4.23,4.10,4.25,4.05,139523351,782765024
2020-5-1,4.28,4.23,4.40,4.22,115399788,806970072
2020-4-1,4.25,4.29,4.39,4.23,90718305,817358521
2020-3-1,4.11,4.25,4.36,4.02,138617691,810024888
2020-2-1,4.38,4.09,4.38,4.08,111325337,780262140
2020-1-1,4.22,4.38,4.47,4.20,107994513,835245527
2019-31-12,4.19,4.22,4.33,4.13,109928104,804079143
2019-30-12,4.27,4.19,4.42,4.15,126896246,799024500
2019-29-12,4.41,4.27,4.54,4.25,125572029,813804081
2019-28-12,4.52,4.41,4.72,4.41,117069172,840180977
2019-27-12,4.57,4.52,4.76,4.49,132653447,861978946
2019-26-12,4.30,4.58,4.62,4.30,139848139,873061135
2019-25-12,4.42,4.30,4.42,4.21,104967612,820436002
2019-24-12,4.31,4.42,4.48,4.26,127112410,843489942
2019-23-12,4.27,4.30,4.35,4.17,133651317,820276987
2019-22-12,4.09,4.27,4.28,4.08,119057895,814002309
2019-21-12,4.32,4.09,4.35,4.07,111080887,779582076
2019-20-12,4.29,4.31,4.38,4.19,142056809,822749311
2019-19-12,4.30,4.29,4.37,4.08,149541020,817804301
2019-18-12,3.61,4.30,4.46,3.60,260235131,820891581
2019-17-12,4.08,3.63,4.15,3.57,216347353,691687130
2019-16-12,4.49,4.08,4.50,4.06,207850289,777998924
2019-15-12,4.25,4.49,4.61,4.20,230817887,857024370
2019-14-12,3.98,4.24,4.28,3.98,191269095,809375555
2019-13-12,4.12,3.99,4.23,3.98,205959990,760233969
2019-12-12,3.83,4.12,4.17,3.79,230614356,786418456
2019-11-12,3.60,3.81,3.84,3.59,199495756,727362979
2019-10-12,3.70,3.60,3.73,3.55,207259326,686204619
2019-9-12,3.95,3.71,3.97,3.68,216632529,706522307
2019-8-12,3.81,3.95,4.00,3.74,201085483,752311274
2019-7-12,3.67,3.81,3.88,3.66,197409951,725664435
2019-6-12,3.52,3.67,3.69,3.51,182348856,699673035
2019-5-12,3.59,3.53,3.72,3.49,181266106,673233028
2019-4-12,3.69,3.60,3.74,3.46,188222589,686314900
2019-3-12,3.68,3.70,3.80,3.65,144705352,705977051
2019-2-12,3.79,3.68,3.93,3.62,151160801,702017417
2019-1-12,3.92,3.81,3.93,3.66,175883739,726017955
2019-30-11,4.02,3.93,4.10,3.83,160886605,748553792
2019-29-11,3.69,4.01,4.06,3.68,183110184,765177996
2019-28-11,3.58,3.69,3.79,3.53,145107303,703065720
2019-27-11,3.50,3.58,3.76,3.31,179601320,683546815
2019-26-11,3.41,3.51,3.66,3.39,166612606,669041544
2019-25-11,3.06,3.41,3.53,3.00,184025705,650377013
2019-24-11,3.26,3.06,3.27,3.03,267084994,582795477
2019-23-11,2.94,3.25,3.26,2.87,235663023,620624399
2019-22-11,3.20,2.94,3.30,2.68,165875702,561156547
2019-21-11,3.35,3.20,3.43,3.13,150359200,609810312
2019-20-11,3.53,3.35,3.62,3.34,136161478,638110659
2019-19-11,3.63,3.53,3.69,3.37,138483758,672655150
2019-18-11,3.92,3.63,3.93,3.58,148746229,692125580
2019-17-11,3.99,3.92,4.00,3.85,119429121,748307219
2019-16-11,3.93,3.99,4.00,3.88,120766065,760419950
2019-15-11,4.02,3.93,4.14,3.86,159604699,748906249
2019-14-11,3.99,4.02,4.02,3.82,145523380,765966045
2019-13-11,4.21,4.00,4.23,3.98,174490242,761863902
2019-12-11,4.36,4.22,4.36,4.05,190695133,804250701
2019-11-11,4.21,4.36,4.38,4.07,187973925,831135433
2019-10-11,3.97,4.21,4.29,3.91,175582529,802408393
2019-9-11,3.81,3.96,3.98,3.81,138378897,755704287
2019-8-11,3.89,3.81,4.03,3.68,162184081,726952590
2019-7-11,3.76,3.89,3.90,3.66,138168547,741610195
2019-6-11,3.76,3.76,3.87,3.69,119134299,717109050
2019-5-11,3.62,3.75,3.81,3.54,198537684,715727237
2019-4-11,3.39,3.62,3.66,3.35,167015305,691042409
2019-3-11,3.43,3.40,3.46,3.31,134586294,647561219
2019-2-11,3.27,3.43,3.47,3.26,146612238,654660477
2019-1-11,3.22,3.27,3.31,3.14,141989599,623512129
2019-31-10,3.03,3.21,3.30,3.03,123316945,611175820
2019-30-10,3.15,3.04,3.20,2.97,159635853,578792666
2019-29-10,3.11,3.16,3.20,3.08,174949603,601809776
2019-28-10,3.20,3.11,3.33,3.08,201010232,593950561
2019-27-10,3.09,3.20,3.29,2.98,202467915,610752427
2019-26-10,3.02,3.09,3.27,3.01,247034524,588786104
2019-25-10,2.85,3.02,3.11,2.79,202151948,575105054
2019-24-10,2.69,2.85,2.87,2.66,121047890,543146436
2019-23-10,2.88,2.69,2.91,2.60,154724341,512752506
2019-22-10,2.99,2.88,3.02,2.87,139307790,548912904
2019-21-10,2.91,2.99,3.01,2.85,138325074,570027385
2019-20-10,2.76,2.90,2.94,2.71,123509827,553775159
2019-19-10,2.75,2.76,2.81,2.71,123206076,526511272
2019-18-10,2.92,2.75,2.93,2.72,139559230,525121084
2019-17-10,2.85,2.92,2.96,2.76,130110997,556695074
2019-16-10,2.95,2.85,2.96,2.72,145829662,543831446
2019-15-10,3.10,2.95,3.15,2.91,159637351,562462768
2019-14-10,2.88,3.10,3.12,2.88,160775420,591511951
2019-13-10,2.84,2.88,2.92,2.80,138183164,549067250
2019-12-10,2.84,2.84,2.87,2.80,130032625,541481340
2019-11-10,2.91,2.84,2.92,2.75,147536935,540687492
2019-10-10,2.91,2.90,3.00,2.74,170166340,553772569
2019-9-10,2.91,2.91,3.02,2.84,133198475,555297981
2019-8-10,2.91,2.91,3.06,2.84,143729013,555690359
2019-7-10,2.67,2.91,2.95,2.59,116735139,554766043
2019-6-10,2.75,2.67,2.77,2.61,99964727,508541850
2019-5-10,2.59,2.75,2.77,2.56,105799482,523752708
2019-4-10,2.58,2.59,2.62,2.50,93827667,493133634
2019-3-10,2.61,2.58,2.66,2.52,112791728,492272917
2019-2-10,2.55,2.60,2.62,2.44,116200106,496552363
