Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.331050,0.325960,0.340568,0.322905,33013629,906015177
2020-4-2,0.333863,0.331050,0.342607,0.316049,36298174,920163747
2020-3-2,0.308493,0.333813,0.368646,0.307385,55125225,927844292
2020-2-2,0.304773,0.308493,0.317931,0.294044,18289539,857466760
2020-1-2,0.294037,0.305092,0.305175,0.289756,11189601,848011089
2020-31-1,0.293581,0.293789,0.294920,0.281905,13380056,816595054
2020-30-1,0.302631,0.293486,0.302631,0.280513,25879085,815752021
2020-29-1,0.285761,0.303037,0.309012,0.281714,29874958,842299719
2020-28-1,0.251262,0.285681,0.287526,0.248988,21035859,794060378
2020-27-1,0.244551,0.251298,0.252819,0.244367,9055223,698491574
2020-26-1,0.234112,0.244944,0.244977,0.231744,7492007,680829915
2020-25-1,0.237254,0.234252,0.237256,0.229612,6757499,651111893
2020-24-1,0.235863,0.237077,0.239813,0.226851,7993607,658962316
2020-23-1,0.249478,0.235406,0.249675,0.231304,10908245,654318670
2020-22-1,0.250163,0.249577,0.253311,0.244704,8834498,693707307
2020-21-1,0.251700,0.250408,0.254135,0.241400,11064499,696016146
2020-20-1,0.246260,0.252161,0.256368,0.237141,12515268,700889928
2020-19-1,0.246548,0.246609,0.248307,0.227933,17651095,685457699
2020-18-1,0.238949,0.247223,0.254323,0.231790,19224851,687163086
2020-17-1,0.227761,0.239021,0.256099,0.223640,22593603,664366665
2020-16-1,0.232269,0.227779,0.233435,0.217546,11991427,633117787
2020-15-1,0.210307,0.232145,0.232289,0.207146,17181226,645255195
2020-14-1,0.189047,0.210312,0.216309,0.188802,13990556,584569640
2020-13-1,0.191327,0.188860,0.192020,0.186886,3739364,524941923
2020-12-1,0.191790,0.191167,0.193092,0.189307,4124155,531353411
2020-11-1,0.189740,0.191826,0.194375,0.184793,8003701,533184837
2020-10-1,0.178181,0.189612,0.189612,0.171467,7247988,527032168
2020-9-1,0.181139,0.178258,0.182257,0.176155,5403819,495474461
2020-8-1,0.186130,0.181100,0.190445,0.178838,8308095,503373468
2020-7-1,0.183048,0.185702,0.197619,0.183048,10842185,516165138
2020-6-1,0.173108,0.182896,0.185326,0.172767,9109465,508365996
2020-5-1,0.174444,0.173044,0.175379,0.169002,5642017,480979948
2020-4-1,0.167035,0.174213,0.174714,0.164910,5312939,484229599
2020-3-1,0.158446,0.166859,0.167603,0.156091,4989336,463789806
2020-2-1,0.161114,0.158436,0.161500,0.157615,3753023,440377785
2020-1-1,0.160043,0.161058,0.164204,0.159054,3981429,447666002
2019-31-12,0.160693,0.160135,0.163213,0.158343,4447022,445100954
2019-30-12,0.168580,0.160764,0.168580,0.158365,5928460,446849686
2019-29-12,0.163713,0.168519,0.170952,0.161718,5062912,468403923
2019-28-12,0.162949,0.163544,0.164642,0.161533,4433209,454576148
