Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,552.87,583.07,588.84,549.83,4686378,576130988
2020-4-2,557.02,553.62,562.14,541.36,3979687,547050404
2020-3-2,556.84,556.30,573.26,546.70,4452208,549707432
2020-2-2,552.86,558.67,571.73,542.80,4134079,552154452
2020-1-2,546.78,552.01,559.03,539.96,3991779,545594281
2020-31-1,544.69,545.33,555.71,532.09,4093150,538992045
2020-30-1,523.96,551.77,554.09,509.17,4232265,545359251
2020-29-1,528.67,522.53,537.56,514.44,3932224,516500218
2020-28-1,485.57,531.92,534.37,484.93,4612793,525782477
2020-27-1,482.63,487.37,494.37,473.94,3793281,481835342
2020-26-1,462.94,484.92,486.42,457.52,3519127,479407733
2020-25-1,467.46,465.29,471.12,454.09,3312795,460012001
2020-24-1,470.65,467.68,476.44,452.50,3689358,462382739
2020-23-1,474.46,473.78,477.06,451.26,3578834,468407704
2020-22-1,483.67,474.53,491.43,467.72,3522250,469212311
2020-21-1,484.17,484.07,485.83,466.09,4363397,478700118
2020-20-1,503.99,483.52,508.61,457.40,4937380,478157887
2020-19-1,517.62,507.21,528.90,488.74,3871380,501653038
2020-18-1,514.36,523.14,530.38,490.29,4925581,517419957
2020-17-1,527.55,515.97,534.75,499.29,5097150,510348669
2020-16-1,528.46,529.68,536.00,488.25,4168861,523914090
2020-15-1,532.88,533.83,554.70,515.81,4651343,528054686
2020-14-1,483.75,533.87,537.99,481.31,5079338,528093777
2020-13-1,494.77,482.22,499.57,476.66,3543697,477020940
2020-12-1,481.49,496.23,497.48,476.89,3691033,496225779
2020-11-1,478.07,479.06,494.06,472.20,4896444,479059454
2020-10-1,464.23,476.68,481.32,454.17,3941850,476680118
2020-9-1,485.20,462.12,486.86,452.77,4065236,462117194
2020-8-1,474.63,484.58,496.01,469.59,4211004,484582104
2020-7-1,467.52,469.89,477.03,459.02,3795790,469886013
2020-6-1,442.02,464.47,468.35,438.71,3950543,464474369
2020-5-1,441.71,442.09,452.67,436.08,3750842,442089035
2020-4-1,434.83,440.25,448.80,424.63,3709471,440247004
2020-3-1,422.10,433.53,439.63,413.56,3648148,433531552
2020-2-1,437.62,425.44,437.62,416.71,3608801,425435460
2020-1-1,433.24,437.33,441.56,428.48,3531182,437331443
2019-31-12,445.17,430.96,447.36,427.29,3512760,430964639
2019-30-12,449.54,442.89,457.33,437.94,3878828,442889578
2019-29-12,431.18,448.31,457.86,428.56,3785106,448314261
2019-28-12,427.42,430.74,438.84,425.82,3563307,430736438
2019-27-12,430.09,427.56,438.66,421.94,4557354,427556221
2019-26-12,435.71,432.48,452.28,424.89,4563748,432476083
2019-25-12,461.67,434.84,464.98,429.07,6026951,434836630
2019-24-12,460.82,457.34,466.34,436.89,5354515,457339067
2019-23-12,504.53,460.93,509.94,441.54,4633187,460932971
2019-22-12,487.65,505.51,505.87,472.25,4638315,505508199
2019-21-12,490.35,490.67,500.53,471.91,4738670,490670899
2019-20-12,481.31,490.35,497.01,453.83,4636633,490348372
2019-19-12,465.42,481.31,481.31,448.58,4761181,481305322
2019-18-12,411.79,467.95,468.81,394.00,5050557,467953801
2019-17-12,461.63,415.16,471.64,409.62,4026492,415164245
2019-16-12,490.52,461.63,497.42,451.07,4724877,461630244
2019-15-12,512.60,493.96,513.71,483.55,4356116,493956809
2019-14-12,509.41,508.61,516.15,501.57,4041034,508611804
2019-13-12,493.91,510.73,515.80,490.37,4130286,510729428
2019-12-12,489.00,493.53,502.58,483.23,3823711,493525148
2019-11-12,502.39,489.76,508.59,481.91,4460711,489758490
2019-10-12,501.76,506.80,510.67,492.55,4280554,506803670
2019-9-12,505.82,499.82,515.58,491.91,3927002,499816341
2019-8-12,499.81,504.44,522.47,493.81,4052523,504440903
2019-7-12,505.55,501.17,529.76,495.71,4295216,501167415
2019-6-12,508.85,505.82,526.19,496.85,4642910,505817474
2019-5-12,492.24,509.81,531.61,465.35,5175476,509809168
2019-4-12,542.07,495.40,571.27,483.88,5053047,495404924
2019-3-12,564.05,545.93,571.31,528.45,4876703,545925393
2019-2-12,516.94,564.05,570.23,506.79,4745961,564047424
2019-1-12,542.28,512.56,544.10,501.86,4896695,512562204
2019-30-11,549.58,544.45,562.91,523.98,4662481,544452259
2019-29-11,542.11,549.65,565.53,529.23,4784047,549651561
2019-28-11,552.87,541.32,574.62,534.51,4507001,541324455
2019-27-11,526.37,549.74,565.68,518.10,4793026,549742433
2019-26-11,529.91,527.04,545.28,511.07,5182243,527036950
2019-25-11,480.71,528.88,535.21,431.27,6497521,528879055
2019-24-11,549.93,480.06,557.75,478.11,4311479,480055525
2019-23-11,520.38,551.96,560.74,507.35,5249182,551962108
2019-22-11,528.96,519.71,539.28,445.11,5702366,519709257
2019-21-11,582.72,528.96,587.14,524.35,4572658,528956842
2019-20-11,601.65,586.16,609.86,575.67,5746626,586155554
2019-19-11,661.11,605.81,683.59,592.95,5493450,605808880
2019-18-11,672.59,654.03,674.72,647.25,5201375,654033586
2019-17-11,627.79,672.67,679.52,621.61,6084081,672669073
2019-16-11,609.38,626.50,634.03,600.28,5652238,626503192
2019-15-11,651.89,605.67,654.65,581.33,7938949,605671011
2019-14-11,656.79,647.95,662.15,642.23,5571038,647945052
2019-13-11,658.13,654.52,664.20,649.64,5171580,654515169
2019-12-11,652.47,657.08,664.99,642.10,5858480,657075453
2019-11-11,671.58,649.76,691.90,638.21,5721818,649759376
2019-10-11,647.40,668.40,680.71,642.57,6183956,668400573
2019-9-11,664.97,646.19,677.38,644.34,5315946,646186720
2019-8-11,662.40,661.10,684.73,634.90,5743195,661103403
2019-7-11,586.34,659.82,665.50,576.14,6984364,659815383
2019-6-11,552.84,585.61,588.10,547.04,5218515,585609963
2019-5-11,543.63,555.17,565.96,533.43,6404055,555170162
2019-4-11,526.06,542.62,554.30,521.23,4858824,542620759
2019-3-11,524.90,525.54,538.19,519.78,4250307,525539498
2019-2-11,532.09,524.52,534.67,518.97,4102314,524515428
2019-1-11,540.28,530.34,547.88,525.10,5194608,530341338
2019-31-10,524.47,543.61,551.28,507.93,7829984,543607332
2019-30-10,529.66,526.28,538.55,514.31,6290986,526283811
2019-29-10,516.80,527.15,535.12,513.95,6353265,527154475
2019-28-10,519.97,516.85,529.24,506.85,5535182,516845203
2019-27-10,503.45,517.60,525.18,495.76,5690092,517599686
2019-26-10,513.76,503.34,563.26,490.97,7319372,503344381
2019-25-10,465.95,515.85,521.85,463.12,5322499,515850975
2019-24-10,460.32,467.13,472.72,453.52,4665362,467127407
2019-23-10,492.53,460.32,493.99,452.71,5128328,460320162
2019-22-10,497.80,493.16,502.68,489.92,5015403,493164783
2019-21-10,501.65,497.72,519.78,489.24,8057849,497722224
2019-20-10,491.68,499.49,512.37,481.59,10334479,499485070
2019-19-10,478.29,494.08,506.27,477.03,12077640,494075264
2019-18-10,488.27,487.65,500.84,474.26,15885206,487647149
2019-17-10,488.88,488.27,493.11,475.51,13540683,488274944
2019-16-10,497.94,484.50,503.78,483.16,15462284,484495113
2019-15-10,511.35,495.81,513.00,491.16,11560592,495810041
2019-14-10,501.76,511.24,520.04,498.30,14246216,511239723
2019-13-10,503.96,501.76,518.16,497.39,16830548,501763336
2019-12-10,513.51,507.39,526.99,495.88,16557071,507394516
2019-11-10,535.18,507.65,565.44,505.48,13260531,507654726
2019-10-10,533.74,534.05,558.81,516.43,11051441,534050886
2019-9-10,453.49,538.31,544.31,453.02,11665114,538306606
2019-8-10,455.91,453.48,469.88,447.29,10098044,453481782
2019-7-10,436.28,455.44,464.17,427.92,11539883,455443301
2019-6-10,443.20,435.64,453.32,429.33,11868192,435640432
2019-5-10,446.22,442.89,456.29,434.46,13866477,442893719
2019-4-10,441.21,445.15,462.44,435.08,11034174,445146130
2019-3-10,452.55,437.76,457.73,431.97,8256985,437756123
2019-2-10,455.42,450.71,461.71,440.09,10294652,450706283
2019-1-10,449.80,454.45,461.81,442.40,11457079,454451452
2019-30-9,429.84,453.36,454.49,418.23,8805015,453359666
2019-29-9,445.23,430.22,455.39,421.97,8370084,430221630
2019-28-9,456.13,443.65,463.47,435.01,10618275,443653158
2019-27-9,452.70,451.10,461.68,431.56,13406794,451097174
2019-26-9,447.61,448.22,465.67,416.03,9414506,448217440
2019-25-9,441.72,444.84,465.01,435.95,11743543,444843854
2019-24-9,506.54,439.27,516.92,422.70,11912259,439268266
2019-23-9,527.84,506.00,539.38,505.18,15063652,505997620
2019-22-9,550.60,528.60,554.75,522.09,10665537,528596953
2019-21-9,558.36,547.99,564.39,525.64,13794780,547994046
2019-20-9,540.30,556.23,574.41,535.50,13421343,556226966
2019-19-9,525.29,547.95,552.76,508.57,13692214,547953758
2019-18-9,504.76,525.27,542.33,498.83,14129904,525266161
2019-17-9,463.39,504.85,513.26,452.11,12536278,504853781
2019-16-9,475.02,463.75,485.63,459.12,11938595,463753745
2019-15-9,458.29,474.48,487.49,455.24,10248673,474484180
2019-14-9,457.35,462.87,480.38,448.91,13679413,462873546
2019-13-9,461.80,454.10,469.64,447.91,9414430,454096202
2019-12-9,466.10,458.14,477.89,444.87,11969143,458139283
2019-11-9,478.86,469.91,497.83,459.91,10828175,469910194
2019-10-9,478.08,478.09,495.59,470.49,11168539,478085943
2019-9-9,447.42,480.44,489.38,443.10,13057870,480436729
2019-8-9,445.16,449.19,460.04,433.24,12872900,449193485
2019-7-9,422.06,442.29,447.15,418.26,14033338,442288041
2019-6-9,461.52,420.48,475.09,406.19,17949497,420481947
2019-5-9,463.24,461.52,474.92,452.81,14230896,461520395
2019-4-9,475.48,468.37,488.55,460.60,14450718,468372200
2019-3-9,474.40,478.10,492.88,463.32,14473054,478104392
2019-2-9,474.49,479.71,486.53,456.40,14872172,479710355
2019-1-9,472.53,467.56,489.43,457.96,14496351,467561614
2019-31-8,475.28,474.91,485.69,464.82,14747752,474911544
2019-30-8,466.41,477.21,479.43,460.57,14718268,477212591
2019-29-8,478.79,466.41,490.32,457.95,13566617,466411551
2019-28-8,523.98,478.81,526.57,470.40,13240560,478809865
2019-27-8,517.55,523.91,524.69,506.33,9525757,523909852
2019-26-8,500.57,517.56,517.95,500.51,1984247,517559368
2019-25-8,504.67,501.20,506.23,494.09,1795672,501196720
2019-24-8,509.02,504.46,510.86,491.74,2012884,504456054
2019-23-8,497.95,509.05,509.09,496.60,1917705,509045538
2019-22-8,494.31,497.95,504.23,484.02,1951484,497948429
2019-21-8,511.57,494.31,511.76,482.35,2086405,494314129
2019-20-8,517.48,511.51,517.52,502.89,2128985,511514120
2019-19-8,516.56,517.48,519.79,509.41,2112281,517482708
2019-18-8,518.79,516.56,521.36,513.49,2607749,516562437
2019-17-8,504.37,518.86,520.41,503.32,2133883,518863554
2019-16-8,477.41,504.40,505.59,460.62,2476006,504401522
2019-15-8,450.29,477.33,478.33,441.29,2459470,477325967
2019-14-8,472.90,449.86,480.65,441.85,2643834,449856664
2019-13-8,486.01,472.89,486.42,471.50,2158767,472889117
2019-12-8,509.75,485.92,510.12,484.87,1886901,485919361
2019-11-8,495.35,509.71,511.88,494.26,1459438,509706631
2019-10-8,504.46,495.46,522.74,494.30,1612976,495455891
2019-9-8,538.96,504.46,603.88,496.55,7830305,504456035
2019-8-8,548.44,539.06,552.84,533.14,2030230,539059853
2019-7-8,558.35,548.36,575.87,547.35,1401969,548356231
2019-6-8,593.08,558.45,610.51,557.44,2379143,558454861
2019-5-8,588.99,593.03,611.42,588.80,1544082,593031574
2019-4-8,598.14,589.09,601.82,586.43,1322800,589088254
2019-3-8,601.48,598.09,612.77,595.20,1515498,598089659
2019-2-8,599.82,601.60,603.45,592.07,1337621,601598756
2019-1-8,589.74,599.78,601.17,580.01,1283289,599777232
2019-31-7,573.45,589.63,589.63,573.21,1713914,589629493
2019-30-7,568.28,573.53,583.47,554.50,1396805,573525030
2019-29-7,576.06,567.85,596.69,561.21,1881185,567852810
2019-28-7,578.90,576.58,592.10,562.61,1305613,576580356
2019-27-7,594.91,578.57,608.55,574.34,1918790,578573196
2019-26-7,582.11,595.06,595.85,575.02,1764334,595060946
2019-25-7,584.99,582.37,594.06,579.91,1685138,582368347
2019-24-7,566.30,584.99,590.13,556.83,1951806,584986964
2019-23-7,554.74,566.30,581.47,547.77,1780303,566300240
2019-22-7,572.29,554.86,576.14,545.42,1981505,554860610
2019-21-7,570.81,572.49,573.72,554.70,1864077,572493598
2019-20-7,558.04,570.92,579.90,553.66,1868768,570921101
2019-19-7,560.11,554.70,560.80,532.43,1923264,554703333
2019-18-7,522.78,560.11,563.68,513.77,1980002,560109962
2019-17-7,505.25,522.68,536.34,489.12,5949870,522681255
2019-16-7,588.26,505.93,594.33,503.86,2531442,505925680
2019-15-7,590.49,587.84,597.49,561.76,2325975,587837670
2019-14-7,658.80,592.28,668.88,588.90,1757844,592277609
2019-13-7,663.94,658.59,670.68,650.38,1385917,658593377
2019-12-7,661.12,664.12,673.95,650.26,1415209,664117639
2019-11-7,695.91,660.50,698.91,654.30,1583957,660502836
2019-10-7,736.61,695.98,744.78,684.10,1736016,695983148
2019-9-7,708.95,736.43,754.17,705.91,2528387,736434549
2019-8-7,700.27,708.71,710.42,688.16,1272685,708714122
2019-7-7,661.32,700.24,708.15,657.99,1335301,700235192
2019-6-7,658.77,661.21,690.43,657.83,1576343,661207551
2019-5-7,630.77,658.79,684.15,625.09,1214369,658785909
2019-4-7,660.53,630.98,662.20,627.32,1134217,630975134
2019-3-7,605.31,660.62,664.44,605.31,1268286,660620939
2019-2-7,619.88,605.19,623.57,569.83,1666394,605193813
2019-1-7,644.01,620.09,660.07,602.74,1667421,620086766
2019-30-6,698.89,653.82,703.96,649.06,1535007,653822267
2019-29-6,702.27,699.38,703.67,669.20,1714502,699377807
2019-28-6,653.25,702.10,714.77,647.36,1356915,702096116
2019-27-6,742.29,652.28,753.72,591.45,1513714,652277791
2019-26-6,758.50,742.08,802.51,725.74,2322685,742082684
2019-25-6,736.22,758.58,764.19,708.99,930061,758581572
2019-24-6,734.85,735.12,752.38,711.54,419882,735117573
2019-23-6,762.16,734.85,770.23,729.07,628911,734851489
2019-22-6,745.11,762.22,786.55,741.42,674081,762220354
2019-21-6,718.49,746.89,750.25,713.44,605648,746888523
2019-20-6,723.01,717.53,729.28,701.21,287334,717531237
2019-19-6,714.62,724.19,736.37,709.77,314097,724192825
2019-18-6,748.33,714.42,748.70,711.49,868466,714421284
2019-17-6,736.60,748.55,759.06,730.68,424837,748552970
2019-16-6,737.73,737.28,744.63,719.64,7042985,737275174
