Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,1.02,1.03,1.04,1.02,468527693,435925186
2020-4-2,1.03,1.02,1.03,1.02,382499609,441022144
2020-3-2,1.03,1.03,1.03,1.02,387993602,443211063
2020-2-2,1.03,1.03,1.04,1.02,384098792,445776906
2020-1-2,1.03,1.03,1.04,1.02,313660538,446957875
2020-31-1,1.04,1.03,1.05,1.02,361818896,449187881
2020-30-1,1.02,1.04,1.05,1.02,316332808,453218427
2020-29-1,1.02,1.03,1.03,1.01,381758732,452003908
2020-28-1,1.02,1.02,1.03,1.00,502474594,452031883
2020-27-1,1.01,1.02,1.02,1.01,393996733,449464491
2020-26-1,1.00,1.01,1.01,0.997740,292385181,448606932
2020-25-1,1.00,1.00,1.00,0.998438,265326087,444663109
2020-24-1,1.00,1.00,1.00,0.994215,315274054,444875789
2020-23-1,1.00,1.00,1.00,0.995977,320079261,444027176
2020-22-1,1.00,1.00,1.01,0.998714,309750921,452956644
2020-21-1,1.00,1.00,1.00,0.997227,311559856,441024990
2020-20-1,0.997347,1.00,1.01,0.996485,343768616,438632395
2020-19-1,1.01,0.997290,1.03,0.993860,423373607,436777175
2020-18-1,1.00,1.01,1.01,0.999839,413666367,440548199
2020-17-1,1.00,1.00,1.01,0.998318,479116540,438515037
2020-16-1,1.00,1.00,1.01,0.998993,430662074,445192682
2020-15-1,1.00,1.00,1.03,0.992192,493412531,446693203
2020-14-1,1.01,1.00,1.02,0.994486,469120389,428644821
2020-13-1,1.00,1.00,1.01,1.00,343177235,444665325
2020-12-1,1.00,1.00,1.01,0.997059,330297498,447479872
2020-11-1,1.00,1.00,1.01,0.995334,287180029,447244754
2020-10-1,1.01,1.00,1.02,0.994234,350097573,444501900
2020-9-1,1.00,1.01,1.01,0.997040,307584171,460038834
2020-8-1,0.999983,1.00,1.01,0.992388,410892668,463207216
2020-7-1,1.00,0.999500,1.01,0.997817,400308774,478340351
2020-6-1,1.01,1.00,1.02,0.999635,383494516,511424007
2020-5-1,1.01,1.01,1.02,1.00,334597544,518272577
2020-4-1,1.00,1.01,1.02,1.00,334494308,518956313
2020-3-1,1.01,1.01,1.01,0.988455,374792167,517055937
2020-2-1,1.00,1.01,1.01,1.00,318268134,517456713
2020-1-1,1.00,1.00,1.01,1.00,242586528,516992415
2019-31-12,1.01,1.00,1.01,1.00,267041315,518524366
2019-30-12,1.01,1.01,1.01,1.00,391410188,521352612
2019-29-12,1.00,1.01,1.03,0.999790,277058217,520939799
2019-28-12,1.01,1.00,1.01,1.00,264015986,518666293
2019-27-12,1.01,1.01,1.02,0.997283,273234537,522362993
2019-26-12,1.01,1.01,1.02,0.996978,220889371,518286276
2019-25-12,1.01,1.01,1.02,1.00,275322378,522637012
2019-24-12,1.00,1.01,1.03,0.999744,228681222,521854515
2019-23-12,1.00,1.00,1.01,0.995127,318337304,520339586
2019-22-12,1.01,1.00,1.01,0.998062,304211343,522378469
2019-21-12,1.01,1.01,1.01,1.00,318647354,524904660
2019-20-12,1.01,1.01,1.01,1.00,286324794,523978794
2019-19-12,1.01,1.01,1.02,0.996854,328027662,513281417
2019-18-12,0.997872,1.01,1.03,0.993737,502511827,476511547
2019-17-12,1.00,0.998726,1.02,0.994054,343419650,459604776
2019-16-12,1.01,1.00,1.02,1.00,267804554,467012937
2019-15-12,1.01,1.01,1.01,0.997125,245259537,476226732
2019-14-12,1.00,1.01,1.01,1.00,219599263,475565226
2019-13-12,1.01,1.00,1.01,1.00,234842837,473685132
2019-12-12,1.00,1.01,1.01,0.995326,254328990,477440913
