Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,64.32,71.12,72.61,63.56,574372016,629289694
2020-4-2,65.71,64.32,66.22,62.86,376233504,568235451
2020-3-2,66.46,65.63,68.26,64.95,399151849,578893748
2020-2-2,65.89,66.55,68.13,63.86,501422482,586050416
2020-1-2,66.61,66.02,68.98,64.86,379849513,580407459
2020-31-1,66.91,66.53,69.27,62.47,511822741,583965288
2020-30-1,61.92,66.60,70.16,59.92,628351159,583558392
2020-29-1,57.12,62.02,64.16,56.48,457723478,542579083
2020-28-1,55.34,56.81,57.08,53.85,415795137,496214701
2020-27-1,53.87,55.24,58.03,53.58,361876390,481663612
2020-26-1,49.09,53.65,54.45,48.43,294192757,467008065
2020-25-1,49.06,49.07,49.60,47.92,214070612,426500467
2020-24-1,49.47,49.02,50.82,46.42,315848834,425349834
2020-23-1,52.15,49.22,52.32,48.22,293241636,426334798
2020-22-1,53.25,52.19,53.89,51.64,254609928,451320143
2020-21-1,53.67,53.39,53.99,51.28,289545481,460920665
2020-20-1,51.79,53.77,55.54,49.17,354369528,463477475
2020-19-1,51.48,51.49,54.58,48.62,449218325,443092850
2020-18-1,61.73,51.31,62.01,51.31,538492799,440784873
2020-17-1,50.86,61.66,65.53,49.18,707027969,528828484
2020-16-1,54.81,50.93,55.88,48.22,453996707,436053587
2020-15-1,43.93,54.82,58.09,43.33,740886171,468554470
2020-14-1,38.41,43.98,45.39,38.12,609735603,375309144
2020-13-1,35.64,38.37,38.43,34.72,263135594,326842522
2020-12-1,34.96,35.71,36.27,34.70,203779998,303689792
2020-11-1,33.69,34.97,36.41,33.33,247632127,296888383
2020-10-1,31.05,33.65,34.23,30.07,214184771,285237275
2020-9-1,31.12,31.10,32.23,30.18,159352054,263180429
2020-8-1,32.31,30.98,33.01,30.24,203134823,261662631
2020-7-1,32.94,32.49,33.07,31.04,204009747,273952855
2020-6-1,30.95,32.89,33.33,30.71,197134595,276914115
2020-5-1,30.24,31.02,32.23,29.96,151498329,260715783
2020-4-1,28.55,30.24,30.67,28.13,114198262,253702335
2020-3-1,27.13,28.62,28.84,26.84,155103806,239704888
2020-2-1,28.02,27.12,28.13,26.69,100451732,226745213
2020-1-1,27.63,28.05,28.44,27.32,90796167,234134910
2019-31-12,28.56,27.63,28.58,27.47,106072185,230201115
2019-30-12,29.30,28.55,29.36,28.38,129714672,237465389
2019-29-12,28.19,29.25,29.77,28.06,133941089,242906674
2019-28-12,27.78,28.20,28.62,27.75,107531382,233771221
2019-27-12,27.72,27.80,28.09,27.40,106945867,230091980
2019-26-12,27.73,27.74,28.36,27.30,117325374,229190604
2019-25-12,28.30,27.70,28.33,27.47,100934889,228471381
2019-24-12,28.34,28.26,29.08,28.04,101144066,232603261
2019-23-12,29.20,28.40,29.94,28.26,152011522,233358762
2019-22-12,28.48,29.22,29.41,28.37,127744241,239740856
2019-21-12,28.56,28.51,28.78,27.96,97117376,233450199
2019-20-12,28.79,28.51,28.83,28.14,111597901,233027908
2019-19-12,29.34,28.77,29.75,28.09,167854817,234762748
2019-18-12,27.74,29.33,29.73,27.04,275387539,238969717
2019-17-12,29.67,27.75,29.73,26.64,207968372,225676017
2019-16-12,33.06,29.71,33.14,29.39,200280913,241194314
2019-15-12,32.33,33.07,33.64,31.52,147549975,267996021
2019-14-12,33.41,32.32,33.41,31.21,135000935,261428865
2019-13-12,31.99,33.42,33.60,30.97,167283005,269877551
2019-12-12,31.41,31.99,32.06,30.51,160118295,257838050
2019-11-12,30.22,31.40,32.19,30.19,142285798,252621849
2019-10-12,31.14,30.22,31.15,29.69,131370089,242930847
2019-9-12,29.49,31.19,32.10,29.07,171713136,250510156
2019-8-12,29.75,29.48,30.03,29.22,97224008,236563463
2019-7-12,29.24,29.75,30.25,29.22,94214716,238536538
2019-6-12,30.48,29.28,30.61,28.61,127582080,234506293
2019-5-12,26.91,30.43,30.87,26.83,152175049,243537538
2019-4-12,27.41,26.95,28.02,26.69,132620590,215439044
2019-3-12,27.80,27.46,27.95,26.96,83826460,219327974
2019-2-12,28.03,27.79,28.36,27.43,109683583,221783758
2019-1-12,29.05,28.03,29.08,27.50,164940527,223505482
2019-30-11,29.48,29.06,29.78,28.58,144417980,231480730
2019-29-11,28.70,29.46,29.72,28.60,155403315,234497449
2019-28-11,28.57,28.68,29.61,28.36,141558443,228071086
2019-27-11,28.38,28.55,29.25,27.29,198036983,226855662
2019-26-11,27.32,28.50,28.52,27.31,131920569,226246993
2019-25-11,27.71,27.35,28.27,25.45,212184123,216945492
2019-24-11,29.96,27.68,30.10,27.68,134036795,219360877
2019-23-11,29.18,29.92,30.21,28.75,153809024,236901344
2019-22-11,31.36,29.19,31.85,28.27,256123891,230869738
2019-21-11,33.97,31.36,34.03,31.01,170605774,247794348
2019-20-11,34.30,33.91,34.85,33.77,132504069,267750993
2019-19-11,35.19,34.31,35.66,33.44,138673501,270672791
2019-18-11,36.06,35.13,36.43,34.58,156582391,276877280
2019-17-11,36.14,36.12,36.86,35.78,123108414,284419931
2019-16-11,36.23,36.16,36.51,35.94,98670928,284427019
2019-15-11,36.62,36.21,36.68,35.46,166508831,284596876
2019-14-11,36.93,36.65,37.13,36.39,126154914,287753094
2019-13-11,36.89,36.98,37.30,36.49,133887356,290140187
2019-12-11,36.73,36.88,37.56,36.64,134613061,289033631
2019-11-11,37.67,36.75,37.92,36.50,126188199,287746775
2019-10-11,36.82,37.69,38.10,36.49,149144534,294871842
