Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,189.30,204.23,206.80,188.75,14865434435,22379510312
2020-4-2,189.86,189.25,191.11,185.40,11714191695,20735478720
2020-3-2,188.61,189.87,193.44,188.01,12392875241,20800183238
2020-2-2,183.53,188.62,193.08,180.17,14054425389,20660936267
2020-1-2,180.11,183.67,183.85,179.75,11569697182,20116913728
2020-31-1,184.74,180.16,185.41,176.30,11728616394,19729633078
2020-30-1,174.92,184.69,186.26,172.37,12604789338,20223232964
2020-29-1,176.35,175.05,178.84,175.05,10725267311,19165292202
2020-28-1,170.88,176.37,176.37,170.74,11772875064,19307396128
2020-27-1,168.01,170.93,172.92,166.90,11004476145,18709615891
2020-26-1,161.18,168.08,168.22,160.28,9261861590,18394952135
2020-25-1,163.07,161.28,163.23,158.63,8256956802,17649296256
2020-24-1,162.90,163.05,164.31,156.75,10657671162,17840465424
2020-23-1,168.30,162.93,168.31,160.30,10396868698,17824835899
2020-22-1,169.61,168.29,171.01,166.77,9209827928,18409534609
2020-21-1,167.06,169.70,169.91,165.82,9789369362,18560711557
2020-20-1,166.90,167.12,169.11,162.33,11144529787,18276600992
2020-19-1,175.47,166.97,177.25,163.68,13713374132,18257853532
2020-18-1,170.75,175.37,178.53,166.79,14929342256,19173512823
2020-17-1,164.49,170.78,173.07,162.78,14997091826,18669811576
2020-16-1,166.33,164.39,167.06,159.71,13735193018,17969103321
2020-15-1,165.73,166.23,170.43,161.11,15173694057,18167930411
2020-14-1,144.25,165.96,167.68,144.06,16712318373,18135588271
2020-13-1,146.22,144.23,146.79,142.91,8378529470,15759102081
2020-12-1,143.03,145.87,146.15,142.71,8528167453,15937115426
2020-11-1,143.41,142.93,146.48,142.21,9332208590,15613213640
2020-10-1,138.97,143.96,144.17,135.52,9084816203,15724494553
2020-9-1,141.16,138.98,141.39,136.24,7697325348,15178151517
2020-8-1,143.49,141.26,146.83,138.27,9387194957,15425115411
2020-7-1,144.31,143.54,145.00,140.49,9257954672,15672773110
2020-6-1,136.31,144.30,144.33,136.08,9093747121,15753803340
2020-5-1,135.07,136.28,139.41,135.05,7526675353,14875569430
2020-4-1,134.17,135.07,136.05,133.04,7430904515,14741946278
2020-3-1,127.41,134.17,134.55,126.49,10476845358,14642130120
2020-2-1,130.82,127.41,130.82,126.95,8032709256,13902505466
2020-1-1,129.63,130.80,132.84,129.20,7935230330,14271059633
2019-31-12,132.61,129.61,133.73,128.80,8936866397,14139765786
2019-30-12,134.80,132.63,136.76,131.55,9796951716,14468140712
2019-29-12,128.27,134.76,136.81,128.00,9708776786,14698483422
2019-28-12,127.21,128.32,130.26,126.90,8069298610,13995233088
2019-27-12,126.37,127.21,128.10,124.82,8299390176,13873046817
2019-26-12,126.49,126.36,130.90,125.41,8600871980,13778664460
2019-25-12,129.07,126.45,129.07,124.89,8418019054,13787538200
2019-24-12,128.63,129.06,131.67,127.31,7961819689,14070696528
2019-23-12,132.31,128.61,134.73,127.42,9622497693,14020312860
2019-22-12,128.10,132.37,133.16,127.93,9121058481,14428651183
2019-21-12,129.10,128.13,129.15,127.61,7449064703,13964992761
2019-20-12,129.38,129.07,129.76,126.99,8173594150,14065549620
2019-19-12,133.05,129.32,134.19,125.97,9564699140,14092012421
2019-18-12,122.66,133.09,133.39,119.78,11864518321,14501554620
2019-17-12,133.65,122.60,134.01,121.40,9057166141,13357486656
2019-16-12,143.14,133.61,143.22,132.46,8992282119,14555616655
2019-15-12,142.86,143.11,143.93,139.43,7235153411,15589117504
2019-14-12,144.95,142.87,145.53,142.43,7048066973,15560820323
2019-13-12,145.66,144.94,145.86,143.75,7264810247,15785338920
2019-12-12,143.62,145.60,145.75,141.44,7890383413,15855473988
2019-11-12,146.32,143.61,147.14,143.05,7037180049,15636405555
2019-10-12,148.18,146.27,148.56,144.91,6859512025,15924221614
2019-9-12,151.22,148.23,151.91,147.62,6744206747,16135631420
2019-8-12,148.74,151.26,152.39,148.31,6441727252,16464729150
2019-7-12,149.20,148.77,149.80,148.37,5911233284,16191247024
2019-6-12,149.40,149.19,149.67,147.61,6458766441,16235876301
2019-5-12,146.69,149.25,153.16,145.46,6745910228,16240052430
2019-4-12,147.92,146.75,150.68,145.00,7865937094,15966157442
2019-3-12,149.06,147.96,150.31,146.00,6204379850,16095928402
2019-2-12,151.18,149.06,152.12,147.61,6670561362,16214125032
2019-1-12,152.49,151.19,152.49,147.07,7102780298,16443650814
2019-30-11,155.29,152.54,156.69,151.23,6565950868,16589132426
2019-29-11,151.77,155.30,156.85,151.46,7503898278,16887922522
2019-28-11,153.07,151.72,156.61,151.09,7346531960,16496129470
2019-27-11,148.40,153.01,154.89,143.53,8778095308,16634910472
2019-26-11,146.40,148.97,150.00,145.22,7648516297,16193326033
2019-25-11,142.70,146.48,150.21,133.80,10962753356,15921080564
2019-24-11,153.43,142.83,153.97,142.83,7782769098,15523459920
2019-23-11,150.21,153.42,154.10,147.60,8289198330,16671705910
2019-22-11,161.51,150.27,163.03,142.34,12020749863,16327536038
2019-21-11,175.67,161.46,176.21,159.37,8546371325,17541867626
2019-20-11,177.42,175.70,178.99,175.29,7205785149,19086228092
2019-19-11,180.50,177.46,182.53,175.20,7536699743,19274876583
2019-18-11,185.04,180.56,186.93,179.18,7787662111,19609782345
2019-17-11,183.35,185.12,188.19,182.34,7364325471,20102654601
2019-16-11,180.50,183.35,184.16,179.99,6789888120,19908020821
2019-15-11,186.06,180.52,186.25,179.38,8815678477,19598770324
2019-14-11,188.27,186.00,188.63,184.99,7872664470,20191206220
2019-13-11,186.94,188.26,189.33,185.94,7343173596,20434064781
2019-12-11,185.56,186.84,187.95,184.19,7792186666,20278071676
2019-11-11,189.50,185.49,190.34,185.09,7877424106,20128792760
2019-10-11,184.94,189.48,190.92,184.69,8752784211,20559121065
2019-9-11,184.31,185.03,185.84,183.90,7277418704,20074095541
2019-8-11,187.92,184.21,188.82,182.54,9176780911,19983058356
2019-7-11,191.50,187.98,191.86,186.57,9081247799,20389037934
2019-6-11,189.11,191.59,193.55,188.67,10156458684,20778894603
2019-5-11,186.31,189.30,191.26,184.33,10024177342,20528094420
2019-4-11,182.32,186.36,188.02,181.82,10551917945,20205859402
2019-3-11,183.99,182.43,185.02,179.82,8760247744,19777347724
2019-2-11,184.02,183.93,185.71,182.80,8087991830,19937622287
2019-1-11,183.80,183.97,185.06,181.09,9145611130,19940014311
2019-31-10,184.80,183.97,188.75,180.07,9607939606,19937256794
2019-30-10,190.34,184.69,191.11,181.55,10484902804,20013431227
2019-29-10,182.67,190.34,191.85,182.36,10622761958,20623205054
2019-28-10,184.40,182.66,187.88,180.25,10406734124,19788729316
2019-27-10,179.93,184.24,188.16,177.68,10815941952,19957408085
2019-26-10,181.67,179.84,195.94,176.13,13831784986,19477741705
2019-25-10,162.19,181.52,183.00,161.97,10358594018,19658140299
2019-24-10,162.51,162.17,164.15,160.89,7300917537,17560021218
2019-23-10,172.26,162.40,172.42,157.46,9624925919,17583244177
2019-22-10,174.91,172.30,175.65,172.27,6990951966,18652588580
2019-21-10,175.52,174.92,177.74,173.29,6815820627,18933882640
2019-20-10,172.97,175.53,176.72,171.21,6801091120,18997957789
2019-19-10,173.65,172.91,175.61,172.22,6551453871,18711940303
2019-18-10,177.99,173.62,178.18,171.01,7566257807,18786275035
2019-17-10,175.91,178.03,178.90,174.57,6737237423,19260755682
2019-16-10,181.34,176.01,181.67,174.06,7691244590,19040429002
2019-15-10,186.98,181.41,187.76,179.46,7731456579,19621350993
2019-14-10,182.03,186.96,187.30,181.66,7276520699,20219637357
2019-13-10,180.86,182.08,185.08,180.32,6733182273,19688808994
2019-12-10,182.53,180.83,186.30,179.98,7494328840,19551368532
2019-11-10,191.80,182.57,195.32,181.66,9128522970,19737401838
2019-10-10,193.19,191.66,193.90,188.31,8375913276,20717535747
2019-9-10,182.04,193.29,194.30,180.67,9088122101,20891536595
2019-8-10,181.11,182.02,184.36,179.13,7466282780,19670825764
2019-7-10,172.94,181.19,182.36,171.53,7844316834,19578142143
2019-6-10,176.36,173.06,177.36,171.30,5852890674,18697637484
2019-5-10,176.95,176.35,177.71,173.07,5837211771,19050956367
2019-4-10,175.24,176.99,178.55,173.56,6248928449,19116991692
2019-3-10,180.70,175.20,180.80,172.60,6381403725,18921747814
2019-2-10,177.22,180.71,180.83,175.33,6335595250,19514521236
2019-1-10,180.21,177.34,185.05,175.81,7676276225,19148222892
2019-30-9,170.46,179.87,179.87,167.04,7552915148,19419149343
2019-29-9,174.61,170.50,175.21,167.00,6497088199,18405401315
2019-28-9,174.68,174.57,175.78,170.77,6895423445,18842313324
2019-27-9,166.65,174.71,175.61,163.21,7909313625,18854855889
2019-26-9,170.76,166.73,171.69,157.13,7848286154,17991000062
2019-25-9,168.13,170.89,174.72,164.91,9766632018,18438188568
2019-24-9,201.84,168.11,203.50,162.73,11757739233,18135747380
2019-23-9,211.71,201.92,211.84,201.89,7494673136,21780534855
2019-22-9,215.49,211.55,216.09,207.64,7812854576,22815755536
2019-21-9,217.90,215.52,220.96,215.00,7743309778,23241121351
2019-20-9,221.07,218.05,221.60,215.16,8027974273,23511410671
2019-19-9,211.25,221.28,222.87,204.69,10620070913,23856751722
2019-18-9,208.05,211.39,216.71,208.05,9194634557,22787891774
2019-17-9,197.11,208.61,213.73,196.72,10232590812,22484889435
2019-16-9,189.69,197.11,198.20,189.69,8242029488,21243167877
2019-15-9,188.07,189.79,190.40,186.45,6222874780,20451239362
2019-14-9,181.32,188.11,188.45,180.37,6500686511,20267272633
2019-13-9,180.98,181.11,181.50,178.58,5955041237,19511050764
2019-12-9,178.80,181.02,182.00,177.85,5838605477,19498542852
2019-11-9,179.84,178.73,181.76,176.50,7157139035,19249367782
2019-10-9,181.21,179.79,184.06,178.12,6291476772,19361276593
2019-9-9,181.36,181.15,184.15,177.42,7232938985,19505534124
2019-8-9,178.28,181.36,182.98,178.14,6472677266,19525276831
2019-7-9,169.96,178.26,180.85,169.44,6791531342,19189873689
2019-6-9,174.17,169.96,177.72,168.34,6797611878,18293376881
2019-5-9,175.97,174.22,176.16,171.75,5589476516,18749645579
2019-4-9,179.49,175.99,180.14,175.33,5938120494,18938360723
2019-3-9,178.36,179.50,182.35,175.97,6962728938,19313265198
2019-2-9,171.70,178.35,180.15,170.45,6503447137,19186913439
2019-1-9,172.46,171.63,173.70,169.53,5554799576,18461846968
2019-31-8,168.89,172.47,174.32,167.80,5830212249,18549906272
2019-30-8,169.49,168.83,170.77,167.07,5776520220,18156660601
2019-29-8,173.96,169.52,174.00,167.17,7129569083,18227677831
2019-28-8,187.50,173.89,187.93,172.19,6696604087,18695530287
2019-27-8,188.95,187.52,188.96,185.47,6042327402,20158029984
2019-26-8,186.74,188.93,193.44,186.74,7207986636,20307338403
2019-25-8,191.23,186.84,192.16,184.96,5826017143,20080495261
2019-24-8,194.67,191.29,194.78,187.63,6249737982,20555802874
2019-23-8,191.11,194.71,195.91,189.56,6658162377,20920364879
2019-22-8,186.94,191.33,194.42,183.38,7569043874,20555295233
2019-21-8,196.62,186.89,197.03,182.69,7775772700,20075644245
2019-20-8,202.81,196.57,203.02,195.62,6408417610,21112106339
2019-19-8,194.56,203.09,203.56,193.11,6145148692,21810324618
2019-18-8,185.84,194.49,197.52,183.69,5969012024,20884307088
2019-17-8,185.53,185.69,186.70,182.59,5512696513,19936235953
2019-16-8,188.64,185.44,188.91,180.38,7133915837,19907120204
2019-15-8,186.68,188.50,189.46,178.14,8197244441,20233249251
2019-14-8,208.60,186.61,209.07,186.33,7444456154,20027397541
2019-13-8,211.34,208.71,211.38,205.42,5946313205,22396531009
2019-12-8,216.06,211.29,216.14,210.95,5674315559,22670420643
2019-11-8,206.73,216.09,216.60,206.51,6440605605,23183002869
2019-10-8,210.53,206.73,213.73,203.79,6584748527,22176113561
2019-9-8,220.91,210.49,221.36,208.25,6964818795,22576055651
2019-8-8,226.52,220.94,226.77,216.52,6713525644,23694202562
2019-7-8,225.93,226.39,229.66,222.78,7020342210,24275514217
