Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.002503,0.002582,0.002630,0.002492,105741619,318098840
2020-4-2,0.002438,0.002503,0.002503,0.002402,89790002,308369226
2020-3-2,0.002466,0.002440,0.002517,0.002427,78856631,300519839
2020-2-2,0.002421,0.002468,0.002506,0.002395,91552515,304011347
2020-1-2,0.002391,0.002422,0.002431,0.002382,78730830,298258839
2020-31-1,0.002440,0.002394,0.002458,0.002369,76519295,294719511
2020-30-1,0.002391,0.002440,0.002446,0.002371,83967914,300452707
2020-29-1,0.002451,0.002390,0.002471,0.002390,80676219,294177532
2020-28-1,0.002365,0.002450,0.002450,0.002363,91528771,301513933
2020-27-1,0.002304,0.002368,0.002413,0.002283,89023414,291399495
2020-26-1,0.002258,0.002305,0.002307,0.002240,73458474,283609273
2020-25-1,0.002276,0.002257,0.002276,0.002235,82421399,277757847
2020-24-1,0.002268,0.002276,0.002293,0.002211,86865882,280006237
2020-23-1,0.002323,0.002268,0.002358,0.002238,91866620,278962448
2020-22-1,0.002376,0.002323,0.002399,0.002320,82852580,285795825
2020-21-1,0.002374,0.002376,0.002403,0.002335,84321565,292280593
2020-20-1,0.002405,0.002374,0.002423,0.002359,92022277,291955767
2020-19-1,0.002514,0.002405,0.002570,0.002359,108085147,295732371
2020-18-1,0.002490,0.002507,0.002538,0.002452,108133943,308242055
2020-17-1,0.002346,0.002490,0.002516,0.002310,117752841,306098384
2020-16-1,0.002372,0.002345,0.002424,0.002293,98124199,288233513
2020-15-1,0.002468,0.002369,0.002541,0.002363,128940321,291129905
2020-14-1,0.002358,0.002470,0.002514,0.002340,128635383,303552342
2020-13-1,0.002381,0.002358,0.002407,0.002327,83849846,289722805
2020-12-1,0.002313,0.002381,0.002413,0.002313,79426215,292507504
2020-11-1,0.002351,0.002314,0.002373,0.002296,94203409,284228141
2020-10-1,0.002255,0.002356,0.002361,0.002199,87683356,289375371
2020-9-1,0.002291,0.002256,0.002314,0.002145,70690571,277106183
2020-8-1,0.002433,0.002293,0.002465,0.002265,77251526,281594191
2020-7-1,0.002485,0.002433,0.002497,0.002354,52767343,298738083
2020-6-1,0.002418,0.002463,0.002564,0.002379,54562409,302412673
2020-5-1,0.002240,0.002419,0.002491,0.002117,52631740,296989930
2020-4-1,0.002144,0.002241,0.002490,0.002050,94227582,275114093
2020-3-1,0.002008,0.002145,0.002177,0.001991,62619988,263328862
