Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,3.29,3.51,3.55,3.28,125481834,140252213
2020-4-2,3.28,3.29,3.31,3.23,85498320,131458949
2020-3-2,3.25,3.28,3.33,3.24,87857996,131193043
2020-2-2,3.25,3.25,3.31,3.20,93843209,129971981
2020-1-2,3.18,3.26,3.30,3.18,93372485,130279446
2020-31-1,3.21,3.18,3.27,3.13,92970171,127261774
2020-30-1,3.13,3.21,3.22,3.07,106275034,128549694
2020-29-1,3.05,3.13,3.18,3.04,104235601,125246167
2020-28-1,2.95,3.04,3.06,2.95,113058716,121784891
2020-27-1,2.86,2.95,2.99,2.86,100903126,117958851
2020-26-1,2.81,2.86,2.88,2.79,83146773,114450953
2020-25-1,2.88,2.81,2.88,2.79,79901861,112489128
2020-24-1,2.77,2.88,2.89,2.77,93923954,115344499
2020-23-1,2.93,2.77,2.93,2.71,90852574,110802166
2020-22-1,2.96,2.93,2.98,2.91,79562420,117009844
2020-21-1,2.93,2.96,2.98,2.90,84463277,118204416
2020-20-1,2.96,2.93,2.98,2.91,85059617,117337906
2020-19-1,2.93,2.96,3.17,2.89,124115850,118354628
2020-18-1,3.08,2.93,3.17,2.92,134944257,117335880
2020-17-1,3.08,3.09,3.19,3.05,131827260,123523658
2020-16-1,3.16,3.08,3.18,2.96,113162561,123275258
2020-15-1,3.06,3.16,3.41,3.03,150726009,126385954
2020-14-1,2.89,3.06,3.13,2.89,114295242,122252593
2020-13-1,2.91,2.90,2.93,2.86,76161685,115809813
2020-12-1,2.90,2.90,2.93,2.88,72846303,116185648
2020-11-1,2.89,2.90,2.94,2.83,82413533,116062129
2020-10-1,2.85,2.89,2.89,2.78,82270829,115609653
2020-9-1,2.81,2.85,2.88,2.76,83425799,114071508
2020-8-1,2.89,2.81,2.96,2.79,92723546,112418777
2020-7-1,2.80,2.89,2.93,2.80,93381436,115607271
2020-6-1,2.68,2.80,2.81,2.68,78076040,112119658
2020-5-1,2.67,2.68,2.72,2.67,62760189,107211336
2020-4-1,2.65,2.66,2.67,2.61,62868631,106513592
2020-3-1,2.56,2.65,2.66,2.53,70789968,105834379
2020-2-1,2.62,2.55,2.63,2.55,64119546,101944698
2020-1-1,2.62,2.62,2.64,2.61,64067312,104866183
2019-31-12,2.69,2.62,2.70,2.61,65594414,104654779
2019-30-12,2.64,2.69,2.73,2.64,76957312,107644239
2019-29-12,2.62,2.64,2.68,2.61,60463229,105762790
2019-28-12,2.62,2.62,2.66,2.62,55362704,104627714
2019-27-12,2.59,2.62,2.66,2.58,73578928,104926974
2019-26-12,2.62,2.60,2.65,2.59,74877335,51915808
2019-25-12,2.63,2.62,2.64,2.56,72518452,52368926
2019-24-12,2.57,2.63,2.64,2.54,72192442,52578566
2019-23-12,2.57,2.57,2.65,2.55,82327772,51428524
2019-22-12,2.54,2.56,2.58,2.51,73073980,51291020
2019-21-12,2.53,2.54,2.56,2.50,70830660,50776198
2019-20-12,2.49,2.53,2.58,2.46,87712466,50686170
2019-19-12,2.54,2.49,2.57,2.43,86380402,49877471
2019-18-12,2.31,2.54,2.57,2.29,115428062,50879324
2019-17-12,2.53,2.31,2.55,2.30,87818017,46154578
2019-16-12,2.59,2.53,2.62,2.52,98733043,50623289
2019-15-12,2.54,2.59,2.64,2.52,94348370,51821759
2019-14-12,2.63,2.54,2.63,2.53,85229288,50831723
2019-13-12,2.65,2.63,2.68,2.59,86469900,52572611
