Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.006512,0.006507,0.006642,0.006329,156243121,360863243
2020-4-2,0.006272,0.006509,0.006601,0.006233,141368939,360934409
2020-3-2,0.006259,0.006309,0.006344,0.006141,132983998,349845023
2020-2-2,0.006005,0.006259,0.006401,0.005842,148855762,347074078
2020-1-2,0.005779,0.006005,0.006164,0.005741,147597569,333032158
2020-31-1,0.005661,0.005779,0.005839,0.005504,125555435,320467753
2020-30-1,0.005758,0.005658,0.005823,0.005654,124423470,313758445
2020-29-1,0.005824,0.005723,0.005895,0.005687,114816850,317363281
2020-28-1,0.005768,0.005824,0.005910,0.005722,114334307,322941641
2020-27-1,0.005739,0.005771,0.005903,0.005650,103413512,320009065
2020-26-1,0.005622,0.005709,0.005738,0.005544,87851202,316608940
2020-25-1,0.005623,0.005622,0.005676,0.005494,83094813,311755852
2020-24-1,0.005584,0.005621,0.005670,0.005485,99091804,311727731
2020-23-1,0.005881,0.005579,0.005884,0.005458,104354296,309369866
2020-22-1,0.005995,0.005878,0.006013,0.005859,90656447,325953110
2020-21-1,0.005843,0.005964,0.006009,0.005789,104464919,330759501
2020-20-1,0.005884,0.005844,0.005961,0.005774,104468826,324097163
2020-19-1,0.006253,0.005883,0.006269,0.005828,127129952,326262717
2020-18-1,0.006358,0.006256,0.006399,0.006120,138845322,346948367
2020-17-1,0.005906,0.006357,0.006592,0.005826,138571075,352511114
2020-16-1,0.006004,0.005905,0.006071,0.005705,101044054,327480990
2020-15-1,0.005998,0.006003,0.006181,0.005763,127790121,332911758
2020-14-1,0.005443,0.006006,0.006070,0.005392,135435700,333048997
2020-13-1,0.005541,0.005440,0.005549,0.005358,76878705,301692150
2020-12-1,0.005531,0.005541,0.005612,0.005425,99761625,307289415
2020-11-1,0.005458,0.005535,0.005541,0.005359,186894921,306915543
2020-10-1,0.005361,0.005452,0.005550,0.005340,140759599,302332825
2020-9-1,0.005512,0.005367,0.005512,0.005341,93401748,297643593
2020-8-1,0.005595,0.005521,0.005598,0.005305,79053437,306181695
2020-7-1,0.005736,0.005590,0.005767,0.005506,67461953,309991968
2020-6-1,0.005508,0.005735,0.005766,0.005487,73540805,318032626
2020-5-1,0.005667,0.005504,0.005718,0.005492,60517803,305240316
2020-4-1,0.005335,0.005673,0.005695,0.005307,60583439,314586656
2020-3-1,0.005108,0.005336,0.005431,0.005046,66999698,295890911
2020-2-1,0.005367,0.005097,0.005401,0.005073,59081069,282669992
2020-1-1,0.005241,0.005367,0.005490,0.005228,64586744,297602286
2019-31-12,0.005461,0.005241,0.005468,0.005177,70344112,290637430
2019-30-12,0.005600,0.005458,0.005662,0.005456,75402048,302692021
2019-29-12,0.005684,0.005600,0.005962,0.005595,83346544,310542538
2019-28-12,0.005701,0.005688,0.005771,0.005594,82594152,315437379
2019-27-12,0.005513,0.005703,0.005866,0.005369,88935184,316268077
2019-26-12,0.005913,0.005510,0.005919,0.005469,90192792,305543007
2019-25-12,0.006036,0.005913,0.006088,0.005832,79282433,327898133
2019-24-12,0.005922,0.006031,0.006296,0.005813,92408694,334462118
2019-23-12,0.005533,0.005903,0.006179,0.005480,86999523,327337108
2019-22-12,0.005350,0.005539,0.005626,0.005337,51226559,307171049
2019-21-12,0.005429,0.005352,0.005569,0.005322,48727947,296778182
2019-20-12,0.005097,0.005428,0.005568,0.005045,69121348,301030451
2019-19-12,0.005351,0.005097,0.005400,0.004899,54773462,282663252
2019-18-12,0.004634,0.005368,0.005393,0.004532,81406474,297702396
2019-17-12,0.005080,0.004642,0.005121,0.004561,58644901,257439649
2019-16-12,0.005604,0.005080,0.005628,0.005031,51731167,281735595
2019-15-12,0.005483,0.005607,0.005709,0.005287,67376046,310933054
2019-14-12,0.005872,0.005483,0.005943,0.005398,69463070,304071976
2019-13-12,0.006253,0.005871,0.006658,0.005760,108878386,325562346
2019-12-12,0.006065,0.006254,0.006298,0.005859,78378180,346787488
2019-11-12,0.006264,0.006059,0.006412,0.006045,72536165,335992671
2019-10-12,0.006885,0.006256,0.006885,0.006031,107334781,346909845
2019-9-12,0.007191,0.006889,0.007398,0.006841,94789461,382053069
2019-8-12,0.006869,0.007189,0.007310,0.006720,91917267,398663900
2019-7-12,0.006972,0.006887,0.007282,0.006887,79874027,381929661
2019-6-12,0.006929,0.006964,0.006984,0.006574,95555147,386167420
2019-5-12,0.006936,0.006913,0.007155,0.006700,107971529,383333414
2019-4-12,0.006998,0.006946,0.007603,0.006827,139890284,385192242
2019-3-12,0.007442,0.006997,0.007618,0.006849,147303738,388039457
2019-2-12,0.007119,0.007442,0.007911,0.007106,214430709,412699950
2019-1-12,0.006097,0.007129,0.007198,0.005823,150317585,395337687
2019-30-11,0.006490,0.006093,0.006495,0.005992,67627060,337882442
2019-29-11,0.006378,0.006493,0.006526,0.006235,73607548,360041869
2019-28-11,0.006542,0.006379,0.006699,0.006349,78630082,353728682
2019-27-11,0.006365,0.006541,0.006673,0.005998,122326424,362707661
2019-26-11,0.005878,0.006381,0.006381,0.005760,110273490,353848583
2019-25-11,0.005282,0.005895,0.005971,0.005068,109767767,326922276
2019-24-11,0.005817,0.005274,0.006091,0.005274,121005441,292495035
2019-23-11,0.005196,0.005817,0.005839,0.004960,111285225,322578480
2019-22-11,0.005743,0.005199,0.005855,0.004731,124162950,288317788
2019-21-11,0.006158,0.005743,0.006227,0.005660,97871594,318490635
2019-20-11,0.006951,0.006156,0.006951,0.006106,123029654,341367709
2019-19-11,0.007503,0.006951,0.007537,0.006682,116167889,385445182
2019-18-11,0.007717,0.007511,0.007721,0.007210,131532265,416542616
2019-17-11,0.007293,0.007719,0.007719,0.007193,105893247,428033844
2019-16-11,0.007817,0.007293,0.007822,0.007278,138772820,404412126
2019-15-11,0.007348,0.007823,0.008038,0.006926,213244466,433815453
2019-14-11,0.006314,0.007349,0.007563,0.006235,145041005,407518537
2019-13-11,0.006538,0.006308,0.006559,0.006158,84395894,349812791
2019-12-11,0.006055,0.006543,0.006713,0.005998,106316600,362842664
2019-11-11,0.005741,0.006043,0.006130,0.005481,92987929,335104828
2019-10-11,0.005119,0.005741,0.005797,0.005110,68982096,318365024
2019-9-11,0.005323,0.005123,0.005323,0.005079,55676071,284110037
2019-8-11,0.005622,0.005330,0.005957,0.005254,73823304,295595278
2019-7-11,0.005252,0.005658,0.005847,0.005069,94686063,313750946
2019-6-11,0.004915,0.005256,0.005321,0.004902,76553533,291482330
2019-5-11,0.004396,0.004914,0.005020,0.004356,66827379,272514309
2019-4-11,0.004270,0.004396,0.004429,0.004184,50126307,243752036
2019-3-11,0.004211,0.004272,0.004380,0.004170,106785588,236881016
2019-2-11,0.003994,0.004225,0.004304,0.003989,41596906,234299999
2019-1-11,0.004122,0.003993,0.004152,0.003954,38382554,221407588
2019-31-10,0.004154,0.004122,0.004216,0.003938,42823124,228564315
2019-30-10,0.004214,0.004162,0.004382,0.003888,55591847,230787839
2019-29-10,0.003824,0.004208,0.004292,0.003819,64203243,233369561
2019-28-10,0.004143,0.003831,0.004727,0.003831,78180092,212429523
2019-27-10,0.003367,0.004141,0.004264,0.003320,60861952,229647615
2019-26-10,0.003379,0.003367,0.003665,0.003279,39845528,186732077
2019-25-10,0.003021,0.003375,0.003393,0.003001,46635913,187161692
2019-24-10,0.003004,0.003021,0.003023,0.002934,31904211,167518983
2019-23-10,0.003288,0.003002,0.003315,0.002960,35671646,166492540
2019-22-10,0.003345,0.003288,0.003366,0.003288,93813017,182342189
2019-21-10,0.003366,0.003345,0.003407,0.003337,89728170,185523347
2019-20-10,0.003348,0.003366,0.003396,0.003318,93561204,186663437
2019-19-10,0.003381,0.003348,0.003396,0.003344,27369295,185644429
2019-18-10,0.003453,0.003383,0.003469,0.003324,28156978,187586181
2019-17-10,0.003364,0.003453,0.003575,0.003344,43197711,191510866
2019-16-10,0.003460,0.003353,0.003472,0.003329,89576849,185954841
2019-15-10,0.003632,0.003457,0.003653,0.003444,29598717,191702801
2019-14-10,0.003598,0.003644,0.003644,0.003520,64829201,202084827
2019-13-10,0.003697,0.003598,0.003710,0.003585,26345526,199523926
2019-12-10,0.003655,0.003693,0.003783,0.003653,27869933,204793235
2019-11-10,0.003751,0.003654,0.003791,0.003609,53284978,202625847
2019-10-10,0.003808,0.003751,0.003883,0.003720,37826328,208011319
2019-9-10,0.003603,0.003816,0.003816,0.003554,46154864,211607365
2019-8-10,0.003480,0.003603,0.003603,0.003470,45744776,199814495
2019-7-10,0.003387,0.003479,0.003497,0.003323,48262886,192929735
2019-6-10,0.003415,0.003385,0.003460,0.003340,32768021,187736345
2019-5-10,0.003450,0.003418,0.003467,0.003378,33364411,189537585
2019-4-10,0.003432,0.003450,0.003494,0.003399,27364881,191292413
2019-3-10,0.003496,0.003432,0.003502,0.003394,26227694,190347160
2019-2-10,0.003454,0.003498,0.003499,0.003411,21550356,193958091
2019-1-10,0.003472,0.003454,0.003571,0.003445,20839481,191533500
2019-30-9,0.003353,0.003470,0.003488,0.003242,23010448,192421170
2019-29-9,0.003443,0.003354,0.003452,0.003296,20714247,185979573
2019-28-9,0.003426,0.003440,0.003481,0.003401,24940512,190782965
2019-27-9,0.003315,0.003425,0.003436,0.003248,37934467,189917736
2019-26-9,0.003417,0.003315,0.003417,0.003134,40752899,183826062
2019-25-9,0.003391,0.003417,0.003481,0.003298,29098703,189487184
2019-24-9,0.003927,0.003401,0.004032,0.003245,27062892,188579867
2019-23-9,0.004062,0.003927,0.004076,0.003927,35277395,217786330
2019-22-9,0.004152,0.004061,0.004158,0.004018,30861368,225199797
2019-21-9,0.004192,0.004150,0.004265,0.004134,36507048,230142442
2019-20-9,0.004219,0.004193,0.004273,0.004147,27520285,232496321
2019-19-9,0.004302,0.004217,0.004302,0.004046,29730165,233859918
2019-18-9,0.004219,0.004302,0.004420,0.004214,32662403,238555713
2019-17-9,0.004040,0.004216,0.004268,0.004024,34770812,233807049
2019-16-9,0.003739,0.004030,0.004281,0.003738,42575522,223469651
2019-15-9,0.003671,0.003738,0.003744,0.003665,25829440,207314971
2019-14-9,0.003732,0.003671,0.003744,0.003586,30303241,203597264
2019-13-9,0.003742,0.003732,0.003760,0.003643,30138910,206952669
2019-12-9,0.003737,0.003742,0.003763,0.003636,31408290,207484471
2019-11-9,0.003899,0.003738,0.003938,0.003728,28627887,207304659
2019-10-9,0.003982,0.003899,0.004011,0.003881,33622411,216242056
2019-9-9,0.003999,0.003982,0.004009,0.003865,30196557,220847446
2019-8-9,0.003860,0.003999,0.004021,0.003856,28513248,221751130
2019-7-9,0.003764,0.003862,0.003909,0.003726,32298380,214177083
2019-6-9,0.003926,0.003763,0.003962,0.003729,31067451,208690912
2019-5-9,0.004143,0.003926,0.004158,0.003875,31905423,217689676
2019-4-9,0.004284,0.004143,0.004312,0.004109,29685560,229741397
2019-3-9,0.004365,0.004283,0.004377,0.004259,37272100,237516962
2019-2-9,0.004119,0.004360,0.004452,0.004108,29264839,241767842
2019-1-9,0.004116,0.004114,0.004131,0.004048,23788979,228159076
2019-31-8,0.004099,0.004116,0.004195,0.004015,24662808,228264735
2019-30-8,0.004081,0.004099,0.004152,0.004000,24953472,227302972
2019-29-8,0.004241,0.004081,0.004241,0.004045,26991293,226302468
2019-28-8,0.004535,0.004239,0.004645,0.004224,28101634,235046383
2019-27-8,0.004582,0.004536,0.004582,0.004491,29571737,251554006
2019-26-8,0.004490,0.004582,0.004597,0.004480,28347953,254107433
2019-25-8,0.004900,0.004490,0.004984,0.004408,32444547,249014197
2019-24-8,0.004620,0.004900,0.004976,0.004533,33031220,271754946
2019-23-8,0.004484,0.004622,0.004664,0.004448,25290666,256291075
2019-22-8,0.004333,0.004484,0.004607,0.004187,27848422,248663144
2019-21-8,0.004565,0.004329,0.004575,0.004172,27990210,240072480
2019-20-8,0.004677,0.004566,0.004681,0.004524,26068607,253224377
2019-19-8,0.004518,0.004677,0.004690,0.004508,26894650,259337205
2019-18-8,0.004475,0.004518,0.004547,0.004395,26526995,250537055
2019-17-8,0.004490,0.004474,0.004534,0.004422,25721539,248105441
2019-16-8,0.004560,0.004487,0.004610,0.004428,23477533,248804430
2019-15-8,0.004715,0.004561,0.004765,0.004461,20918902,252948989
2019-14-8,0.004888,0.004715,0.004915,0.004563,30957848,261451993
2019-13-8,0.005095,0.004880,0.005103,0.004847,30732585,270619634
2019-12-8,0.005124,0.005094,0.005250,0.005083,31247775,282480589
2019-11-8,0.004904,0.005133,0.005346,0.004890,27523738,284659026
2019-10-8,0.004938,0.004903,0.005062,0.004806,25400963,271916812
2019-9-8,0.004979,0.004938,0.005034,0.004863,27370378,273862399
2019-8-8,0.004958,0.004978,0.005057,0.004833,28029174,276039358
2019-7-8,0.004856,0.004958,0.005461,0.004828,39100296,274942815
2019-6-8,0.005254,0.004857,0.005258,0.004790,25974720,269355257
2019-5-8,0.005333,0.005253,0.005414,0.005247,25306136,291329771
2019-4-8,0.005483,0.005330,0.005518,0.005324,22596305,295563672
2019-3-8,0.005498,0.005486,0.005577,0.005477,22744036,304251148
2019-2-8,0.005408,0.005497,0.005547,0.005400,25363948,304858714
2019-1-8,0.005606,0.005408,0.005631,0.005322,26201750,299888787
2019-31-7,0.005537,0.005614,0.005682,0.005512,26028676,311326014
2019-30-7,0.005601,0.005544,0.005632,0.005458,24414389,307430785
2019-29-7,0.005663,0.005600,0.005725,0.005518,26403058,310519883
2019-28-7,0.005669,0.005661,0.005721,0.005474,27054116,313912926
2019-27-7,0.005960,0.005669,0.006097,0.005617,27845565,314384817
2019-26-7,0.005869,0.005960,0.006014,0.005747,28631762,330523016
