Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,2.25,2.34,2.38,2.24,9342766,226989214
2020-4-2,2.30,2.25,2.32,2.21,5334975,217657170
2020-3-2,2.32,2.30,2.37,2.27,10793195,222961596
2020-2-2,2.35,2.32,2.38,2.30,5998617,225002314
2020-1-2,2.37,2.35,2.39,2.33,5230025,227820877
2020-31-1,2.41,2.37,2.41,2.32,9411944,229769109
2020-30-1,2.36,2.41,2.42,2.32,10180765,233451790
2020-29-1,2.44,2.36,2.45,2.35,10064881,228274412
2020-28-1,2.38,2.44,2.44,2.34,8340562,236870687
2020-27-1,2.29,2.38,2.41,2.29,6384886,230254613
2020-26-1,2.22,2.29,2.29,2.20,4249864,221629149
2020-25-1,2.27,2.22,2.27,2.21,2658322,215408210
2020-24-1,2.23,2.27,2.29,2.20,4532178,219868721
2020-23-1,2.32,2.23,2.32,2.18,7813966,216234774
2020-22-1,2.35,2.32,2.36,2.29,4750574,224849280
2020-21-1,2.27,2.35,2.35,2.26,4975268,227979430
2020-20-1,2.28,2.27,2.29,2.21,5575165,220004724
2020-19-1,2.38,2.28,2.43,2.26,9409883,221491789
2020-18-1,2.39,2.38,2.41,2.34,4476352,231208494
2020-17-1,2.40,2.39,2.47,2.38,9870926,231906603
2020-16-1,2.37,2.40,2.40,2.29,11841059,232729106
2020-15-1,2.18,2.37,2.37,2.17,16714813,229447987
2020-14-1,2.16,2.18,2.22,2.15,13893373,211443521
2020-13-1,2.19,2.16,2.19,2.14,2940804,209807884
2020-12-1,2.15,2.19,2.21,2.13,3630212,212531101
2020-11-1,2.23,2.15,2.23,2.13,5803289,208610674
2020-10-1,2.18,2.23,2.23,2.13,14675801,216480081
2020-9-1,2.19,2.18,2.19,2.14,9430311,211346430
2020-8-1,2.17,2.19,2.20,2.13,19029044,212227431
2020-7-1,2.19,2.17,2.24,2.13,15062625,210489664
2020-6-1,2.15,2.19,2.19,2.14,5286374,212660638
2020-5-1,2.18,2.15,2.21,2.15,3934363,209298273
2020-4-1,2.21,2.18,2.22,2.17,2715704,212196995
2020-3-1,2.14,2.21,2.24,2.14,5532734,214620935
2020-2-1,2.14,2.14,2.16,2.13,3721555,208034010
2020-1-1,2.14,2.14,2.16,2.14,1589200,208187333
