Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,1.00,1.00,1.01,0.995267,402236019,220900684
2020-4-2,1.00,1.00,1.01,0.998366,371173942,222661505
2020-3-2,1.00,1.00,1.01,0.993844,373258600,224058418
2020-2-2,1.00,1.00,1.01,0.997897,408243389,226736102
2020-1-2,1.00,1.00,1.00,0.998174,350298611,226795702
2020-31-1,1.00,1.00,1.01,0.999483,337206869,226980958
2020-30-1,1.00,1.00,1.01,0.998450,463304331,228164863
2020-29-1,1.00,1.00,1.01,0.997044,372800470,219422345
2020-28-1,1.00,1.00,1.01,0.993895,472031867,215039502
2020-27-1,1.00,1.00,1.01,0.995880,373966332,209074843
2020-26-1,1.01,1.00,1.01,0.998725,337616100,209711397
2020-25-1,1.01,1.01,1.01,1.00,304660823,210710361
2020-24-1,1.00,1.01,1.01,0.998537,348088598,210922916
2020-23-1,1.00,1.00,1.01,1.00,319610949,210878877
2020-22-1,1.01,1.00,1.01,1.00,368199723,211279594
2020-21-1,1.01,1.01,1.01,0.997777,401926947,215403322
2020-20-1,0.998993,1.00,1.01,0.997990,423879964,219528976
2020-19-1,1.00,0.999528,1.02,0.996615,395854350,222614983
2020-18-1,1.01,1.00,1.01,0.997690,415739833,223584218
2020-17-1,1.00,1.01,1.02,0.998323,468549030,224059584
2020-16-1,1.00,1.00,1.01,0.997135,559774780,232185119
2020-15-1,1.00,1.00,1.02,0.992584,537268203,224129344
2020-14-1,1.01,1.00,1.02,0.994815,618607879,232713796
2020-13-1,1.00,1.01,1.01,1.00,460670543,232795671
2020-12-1,1.00,1.00,1.01,0.995660,309423700,244068671
2020-11-1,1.00,1.00,1.01,0.994667,507362588,243908025
2020-10-1,1.01,0.999601,1.01,0.994657,487988744,243350268
2020-9-1,1.00,1.01,1.01,0.994595,312415356,260528679
2020-8-1,1.00,1.01,1.01,0.991014,460991346,266679636
2020-7-1,1.00,1.00,1.01,0.994704,450257790,264129676
2020-6-1,1.01,1.00,1.01,0.997301,330295016,258864102
2020-5-1,1.01,1.01,1.02,1.00,365280775,254554713
2020-4-1,1.01,1.01,1.01,1.00,344889395,255305595
2020-3-1,1.00,1.01,1.01,0.986559,422681821,254198531
2020-2-1,1.00,1.00,1.01,1.00,367295585,221132554
2020-1-1,1.00,1.00,1.01,1.00,312579031,224310992
2019-31-12,1.01,1.00,1.01,1.00,310935177,224240260
2019-30-12,1.00,1.01,1.01,1.00,217500735,226511717
2019-29-12,1.00,1.01,1.03,1.00,203141148,223733250
2019-28-12,1.01,1.00,1.01,1.00,183232493,223152371
2019-27-12,1.00,1.01,1.02,0.998037,216899095,224057500
2019-26-12,1.01,1.00,1.02,0.996599,223771242,226394284
2019-25-12,1.01,1.01,1.02,1.00,287499844,234253802
2019-24-12,1.00,1.01,1.03,0.998647,379467120,233684580
2019-23-12,1.00,1.00,1.01,1.00,366613359,237180053
2019-22-12,1.01,1.00,1.01,1.00,251815983,237681281
2019-21-12,1.01,1.01,1.01,1.00,197701301,238865936
2019-20-12,1.01,1.01,1.01,0.994309,219235228,238220290
2019-19-12,1.00,1.01,1.02,0.992007,355815089,239064294
2019-18-12,1.00,1.00,1.03,0.990582,638148551,241649208
2019-17-12,1.01,1.00,1.02,0.994296,413248615,240097423
2019-16-12,1.01,1.01,1.01,0.997105,281359006,238839288
2019-15-12,1.01,1.01,1.01,0.986881,247100000,230123465
2019-14-12,1.00,1.01,1.01,1.00,236206282,230679119
2019-13-12,1.01,1.00,1.01,1.00,213751232,229590737
2019-12-12,1.00,1.01,1.01,0.997153,231967433,235059360
2019-11-12,1.01,1.00,1.01,1.00,185431058,234421881
2019-10-12,1.01,1.01,1.01,1.00,283526515,239246078
2019-9-12,1.01,1.01,1.01,0.997526,159510749,238015462
2019-8-12,1.01,1.01,1.01,1.00,220668379,237146006
2019-7-12,1.00,1.01,1.01,1.00,333638276,237142883
2019-6-12,1.01,1.00,1.01,1.00,337309903,236101387
2019-5-12,1.01,1.01,1.04,0.998356,220202387,236300708
2019-4-12,1.00,1.01,1.01,0.985878,205277126,242249276
2019-3-12,1.00,1.00,1.01,0.989630,134336378,242239166
2019-2-12,1.00,1.00,1.02,0.993089,155207046,236925378
2019-1-12,1.00,1.00,1.03,0.997306,166125717,219431190
2019-30-11,1.00,1.00,1.01,0.999185,142246884,219242344
2019-29-11,1.00,1.00,1.01,0.992501,179631670,219763216
2019-28-11,1.00,1.01,1.04,0.999768,215223112,209221478
2019-27-11,1.01,1.00,1.03,0.981071,274912256,211183088
2019-26-11,1.00,1.01,1.02,0.997148,191910143,208323886
2019-25-11,1.01,1.00,1.03,0.990751,291754667,207079088
2019-24-11,1.01,1.02,1.02,1.00,254493892,212545676
2019-23-11,1.00,1.01,1.02,0.997657,272092510,211261063
2019-22-11,1.00,1.00,1.02,0.997885,369087317,209474163
2019-21-11,1.01,1.00,1.03,1.00,282887947,219913380
2019-20-11,1.01,1.01,1.02,1.00,372848962,222332762
2019-19-11,1.02,1.01,1.03,1.00,357432172,221786491
2019-18-11,1.01,1.01,1.03,1.01,437275093,221393985
2019-17-11,1.01,1.01,1.02,1.00,214537612,228844024
2019-16-11,1.00,1.01,1.01,1.00,155211581,228829066
2019-15-11,1.01,1.00,1.02,0.997624,324216644,227179000
2019-14-11,1.01,1.01,1.02,1.00,228305060,233767958
2019-13-11,1.00,1.00,1.01,0.998351,182420550,230965578
2019-12-11,1.00,1.00,1.01,0.998488,234444684,228035914
2019-11-11,1.00,1.00,1.02,1.00,199391039,233384522
2019-10-11,1.00,1.00,1.01,0.985137,166215625,232530191
2019-9-11,1.00,1.00,1.01,0.999679,158877402,231683483
2019-8-11,1.01,1.00,1.01,0.999082,325186782,232458502
2019-7-11,1.00,1.01,1.01,0.998337,296560199,243111527
2019-6-11,1.00,1.00,1.02,0.999125,353132224,244574313
2019-5-11,1.00,1.00,1.01,0.993863,328936494,244039888
