Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,2.29,2.44,2.46,2.29,424953449,235267771
2020-4-2,2.28,2.29,2.31,2.18,377078987,220852878
2020-3-2,2.27,2.28,2.36,2.25,392795430,219797373
2020-2-2,2.19,2.27,2.36,2.15,475711160,218647061
2020-1-2,2.12,2.19,2.20,2.12,372762755,211360139
2020-31-1,2.18,2.12,2.19,2.07,370677080,204106672
2020-30-1,2.07,2.18,2.19,2.03,416493429,209741990
2020-29-1,2.06,2.07,2.12,2.04,382406117,199729388
2020-28-1,2.00,2.05,2.06,2.00,408989338,197982753
2020-27-1,1.94,2.00,2.03,1.93,396709920,192746798
2020-26-1,1.87,1.93,1.94,1.86,312112955,186359955
2020-25-1,1.89,1.87,1.90,1.85,299433051,180622932
2020-24-1,1.88,1.89,1.91,1.81,350540044,182421634
2020-23-1,1.99,1.88,1.99,1.84,343924405,181517876
2020-22-1,1.95,1.99,2.02,1.95,326087555,191767656
2020-21-1,1.92,1.95,1.96,1.90,325258138,188000688
2020-20-1,1.93,1.92,1.94,1.87,347242130,185175913
2020-19-1,2.04,1.94,2.07,1.89,395756120,186430234
2020-18-1,2.10,2.04,2.12,1.99,443107237,196639083
2020-17-1,1.93,2.10,2.20,1.90,499534880,202692327
2020-16-1,1.97,1.93,1.99,1.87,339585218,185636809
2020-15-1,1.91,1.97,2.09,1.90,422661306,189873381
2020-14-1,1.71,1.92,1.93,1.71,433858075,184622577
2020-13-1,1.75,1.71,1.76,1.69,264226785,164369748
2020-12-1,1.74,1.75,1.80,1.73,299974748,168711720
2020-11-1,1.73,1.74,1.79,1.72,274068634,167533806
2020-10-1,1.65,1.73,1.73,1.62,288763336,166403865
2020-9-1,1.69,1.65,1.69,1.63,221195529,158628566
2020-8-1,1.74,1.69,1.76,1.67,274989802,162891900
2020-7-1,1.74,1.74,1.76,1.68,280147247,167222793
2020-6-1,1.64,1.74,1.74,1.64,288148909,167226438
