Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.281555,0.275982,0.282240,0.265963,65491076,152515911
2020-4-2,0.262845,0.281464,0.286840,0.259705,76448848,155292997
2020-3-2,0.253411,0.262931,0.264845,0.249108,54451797,144831655
2020-2-2,0.249263,0.253411,0.258777,0.243016,45355590,138348586
2020-1-2,0.247561,0.249199,0.251413,0.244503,48277465,135826670
2020-31-1,0.242286,0.248146,0.260661,0.241351,58427020,135031579
2020-30-1,0.241281,0.242196,0.245192,0.238202,41454623,131578815
2020-29-1,0.244394,0.241399,0.244803,0.239696,45625560,130930676
2020-28-1,0.240563,0.244278,0.245376,0.239482,44353446,132274330
2020-27-1,0.237724,0.240414,0.242756,0.237520,40625478,129968444
2020-26-1,0.234852,0.237780,0.238253,0.233975,39915930,128332186
2020-25-1,0.232778,0.234989,0.237098,0.230150,38944441,126603450
2020-24-1,0.234917,0.232219,0.240301,0.231119,43114097,124830393
2020-23-1,0.246716,0.234689,0.247167,0.233417,40494979,125875173
2020-22-1,0.249620,0.246741,0.249920,0.244126,43873414,130067146
2020-21-1,0.237717,0.249354,0.254658,0.236774,47042882,131144495
2020-20-1,0.240021,0.237859,0.242212,0.233791,40446803,124811868
2020-19-1,0.260081,0.240021,0.260229,0.235072,45351952,125693404
2020-18-1,0.262491,0.260282,0.266768,0.247495,51155200,135886403
2020-17-1,0.240624,0.262484,0.266734,0.240161,52840838,136770747
2020-16-1,0.246787,0.240509,0.250586,0.232635,44406329,125030873
2020-15-1,0.230676,0.246617,0.257137,0.226724,55493957,127909747
2020-14-1,0.228345,0.230721,0.236011,0.224778,39964726,119336027
2020-13-1,0.227120,0.228445,0.232504,0.225434,36991866,117883251
2020-12-1,0.226798,0.227306,0.232916,0.225767,38982886,117020724
2020-11-1,0.226151,0.227080,0.230364,0.224307,39678246,116630447
2020-10-1,0.223933,0.226330,0.229474,0.220353,37994493,115971158
2020-9-1,0.229824,0.224520,0.230194,0.222618,38074471,114771290
2020-8-1,0.230930,0.229909,0.236171,0.226756,37068981,117246287
2020-7-1,0.242145,0.230930,0.243708,0.229322,42565095,117024159
2020-6-1,0.231256,0.242145,0.244297,0.230826,43263431,122411838
2020-5-1,0.235912,0.231657,0.239903,0.230910,40157155,116782884
2020-4-1,0.228589,0.236382,0.236382,0.225690,40304265,118921595
2020-3-1,0.214287,0.228098,0.230026,0.214044,44675624,114465155
2020-2-1,0.220416,0.213518,0.220779,0.211894,37545058,106891818
2020-1-1,0.217530,0.219938,0.223514,0.216264,37144510,109842617
2019-31-12,0.226809,0.217530,0.229011,0.215458,38809044,108286418
2019-30-12,0.233605,0.226746,0.235820,0.226566,39453426,112614407
2019-29-12,0.233677,0.233668,0.237507,0.232009,40574922,115767666
2019-28-12,0.230195,0.233757,0.237510,0.229467,35448160,115528390
2019-27-12,0.239022,0.230055,0.239022,0.225250,41088332,113419172
2019-26-12,0.229873,0.238972,0.241014,0.229713,41835472,117046765
2019-25-12,0.234056,0.229873,0.234367,0.228212,40346130,112311604
2019-24-12,0.240837,0.234056,0.241490,0.233601,49696272,114071383
2019-23-12,0.249307,0.240793,0.251571,0.238783,65563690,117062136
2019-22-12,0.240992,0.249273,0.253725,0.239775,72054881,120882927
2019-21-12,0.240803,0.240987,0.241609,0.232535,64725918,116572121
2019-20-12,0.231194,0.240631,0.244646,0.225215,80216197,116108372
2019-19-12,0.246732,0.231194,0.247482,0.228970,61037260,111274700
2019-18-12,0.219730,0.245779,0.246790,0.218934,64867877,117994795
2019-17-12,0.245329,0.220191,0.246931,0.218860,59909525,104558820
2019-16-12,0.266729,0.245329,0.267951,0.245107,70448705,115212063
2019-15-12,0.255994,0.266729,0.267084,0.252761,62080771,124937765
2019-14-12,0.273057,0.255372,0.275036,0.252826,66643290,119307621
2019-13-12,0.277072,0.273655,0.277560,0.270583,66629627,127516815
2019-12-12,0.285938,0.276600,0.287863,0.271285,79427507,128553503
2019-11-12,0.275025,0.284876,0.293969,0.274411,95317194,132053494
2019-10-12,0.297172,0.275121,0.297595,0.268345,135244323,127196432
2019-9-12,0.293999,0.298059,0.333493,0.292495,153444332,137439027
2019-8-12,0.274426,0.293999,0.302797,0.274426,132699876,135208489
2019-7-12,0.267906,0.274426,0.278122,0.262750,110285523,125872611
2019-6-12,0.267178,0.265688,0.273762,0.258857,104939728,121540904
2019-5-12,0.270644,0.266315,0.274067,0.256357,105942315,121509511
2019-4-12,0.283204,0.271370,0.291232,0.267514,123356733,123516680
2019-3-12,0.274679,0.284073,0.290513,0.272574,123437259,128985520
2019-2-12,0.266027,0.274679,0.282018,0.260239,125518892,124417564
2019-1-12,0.268366,0.263036,0.272196,0.247693,103782001,118854705
2019-30-11,0.280964,0.268963,0.288636,0.264717,124152762,121238013
2019-29-11,0.287223,0.276539,0.299351,0.273095,135836394,124349166
2019-28-11,0.225885,0.287681,0.313464,0.221459,80117874,129043168
2019-27-11,0.216762,0.225623,0.233926,0.214362,105633208,100957596
2019-26-11,0.207817,0.221621,0.222868,0.204651,97895155,98923061
2019-25-11,0.211774,0.207887,0.213754,0.190732,94920511,92563713
2019-24-11,0.226732,0.211774,0.229110,0.207602,94349402,94062756
2019-23-11,0.220292,0.227139,0.229108,0.211014,102274919,100639939
2019-22-11,0.241305,0.220356,0.249257,0.206647,108075233,97393302
2019-21-11,0.249792,0.241305,0.255470,0.233403,103547880,106385377
2019-20-11,0.246842,0.249792,0.253365,0.239866,104577457,109853317
2019-19-11,0.257744,0.246842,0.262107,0.237505,105684882,108283961
2019-18-11,0.271681,0.255987,0.277689,0.252242,109620690,112012678
2019-17-11,0.270113,0.271641,0.279112,0.268740,107838849,118562587
2019-16-11,0.271411,0.270113,0.277557,0.265762,110695338,117597226
2019-15-11,0.281491,0.270874,0.285721,0.265559,117140025,117629256
2019-14-11,0.290351,0.281491,0.293389,0.279751,119857507,121929294
2019-13-11,0.272670,0.286881,0.297326,0.271267,110070634,123947162
2019-12-11,0.280697,0.273554,0.284634,0.263550,118822818,117887401
2019-11-11,0.269813,0.279880,0.286194,0.258892,125805632,120304112
2019-10-11,0.259532,0.269813,0.272734,0.257369,114838063,115679691
2019-9-11,0.256504,0.259089,0.262135,0.252695,109359112,110820386
2019-8-11,0.272633,0.256504,0.277983,0.248796,119448562,109463807
2019-7-11,0.287733,0.272504,0.288311,0.267046,122412579,116028669
2019-6-11,0.288418,0.287842,0.303100,0.282980,135433269,122279590
2019-5-11,0.258805,0.288673,0.294419,0.248322,135073487,125238929
2019-4-11,0.266603,0.258805,0.270259,0.256116,122831728,112029027
2019-3-11,0.261057,0.266931,0.269613,0.245705,123088158,115286750
2019-2-11,0.259822,0.260560,0.279429,0.255277,139835316,112281492
2019-1-11,0.222511,0.262008,0.265565,0.218394,129875635,112650787
2019-31-10,0.216155,0.222128,0.222996,0.209960,103217930,95287595
2019-30-10,0.232446,0.215561,0.233021,0.207546,48416058,92260854
2019-29-10,0.232733,0.231964,0.236435,0.224734,110758098,99055823
2019-28-10,0.218626,0.232733,0.239487,0.217401,111314851,99156916
2019-27-10,0.216062,0.218714,0.232348,0.208902,108681817,92970036
2019-26-10,0.213627,0.216062,0.236137,0.211159,106291033,91630191
2019-25-10,0.203908,0.213100,0.217965,0.201327,94789175,90165573
2019-24-10,0.203483,0.203908,0.209218,0.201286,79044876,86076334
2019-23-10,0.223381,0.202086,0.226647,0.200084,42468690,85110286
2019-22-10,0.228135,0.224373,0.230201,0.221224,100693564,94278898
2019-21-10,0.225331,0.229572,0.231187,0.223619,101976201,96238983
2019-20-10,0.224824,0.223964,0.226954,0.213956,103428939,93669524
2019-19-10,0.226149,0.224819,0.230036,0.223668,101559487,93807974
2019-18-10,0.239405,0.227178,0.240976,0.220254,103673526,94570954
2019-17-10,0.230632,0.239405,0.240424,0.228691,102887739,99428569
2019-16-10,0.248558,0.228662,0.249378,0.226678,101398604,94743597
2019-15-10,0.267582,0.248558,0.273767,0.246956,93405592,102746234
2019-14-10,0.251536,0.267856,0.268627,0.247798,58972242,110492601
2019-13-10,0.258416,0.251536,0.268964,0.247692,63666806,103541714
2019-12-10,0.255221,0.258006,0.262062,0.246354,63681446,105980992
2019-11-10,0.254223,0.255221,0.276968,0.253901,72716614,104615305
2019-10-10,0.240356,0.255471,0.267663,0.232544,71847676,104495602
2019-9-10,0.233563,0.240245,0.243647,0.228436,59881851,98058994
2019-8-10,0.219657,0.233692,0.233692,0.216036,52663244,95184136
2019-7-10,0.214801,0.219839,0.225182,0.208761,49251945,89352487
2019-6-10,0.223567,0.215211,0.226966,0.213161,41375227,87285774
2019-5-10,0.230510,0.224540,0.234840,0.220335,36662393,90875277
2019-4-10,0.230691,0.230510,0.236480,0.224927,39072129,93092509
2019-3-10,0.232616,0.230503,0.240979,0.223617,39746753,92890499
2019-2-10,0.234435,0.233527,0.242426,0.222295,46753237,93906947
2019-1-10,0.251065,0.234435,0.266498,0.229573,54047913,94069519
2019-30-9,0.226822,0.249653,0.257704,0.215853,57957634,99961018
2019-29-9,0.204368,0.226822,0.242681,0.198582,63293757,89893956
2019-28-9,0.191141,0.204118,0.208818,0.188969,35505764,80062987
2019-27-9,0.190503,0.191485,0.198134,0.178849,41059414,74327594
2019-26-9,0.203901,0.190370,0.205003,0.171572,49563434,73731009
2019-25-9,0.194537,0.204924,0.215381,0.193776,38941160,78533112
2019-24-9,0.269535,0.193541,0.283312,0.188956,50165388,72758987
2019-23-9,0.301814,0.267563,0.301949,0.267563,45784300,99497007
2019-22-9,0.317718,0.301100,0.323292,0.297161,49507356,110742894
2019-21-9,0.321046,0.317157,0.327033,0.314169,48926758,115357930
2019-20-9,0.323075,0.321350,0.330448,0.315432,40369809,115575260
2019-19-9,0.336617,0.322373,0.339221,0.312964,43456013,114651256
2019-18-9,0.321342,0.339055,0.354454,0.316738,63274107,119244328
2019-17-9,0.321293,0.322029,0.333451,0.311821,51995583,111982459
2019-16-9,0.330147,0.321943,0.339404,0.315485,45960043,110671026
2019-15-9,0.322154,0.330102,0.341432,0.319057,52252159,112162618
2019-14-9,0.319171,0.321826,0.326386,0.311088,45639521,109113411
2019-13-9,0.318911,0.318429,0.345278,0.312647,48225662,106695099
2019-12-9,0.348973,0.319616,0.351578,0.308471,51789980,105820939
2019-11-9,0.365526,0.350227,0.372687,0.344622,50886261,114559241
2019-10-9,0.368797,0.366218,0.395946,0.362773,54766675,117141749
2019-9-9,0.385056,0.368633,0.392008,0.353564,54595091,117639687
2019-8-9,0.371275,0.385056,0.385741,0.356761,51110858,120097668
2019-7-9,0.346940,0.371275,0.388888,0.341268,60388970,114319563
2019-6-9,0.389644,0.347292,0.420184,0.343507,67226621,105550644
2019-5-9,0.350304,0.389644,0.395385,0.339245,60530608,116868767
2019-4-9,0.369440,0.349776,0.371379,0.345893,45132597,104650637
2019-3-9,0.393391,0.370481,0.404678,0.366880,57922334,109365530
2019-2-9,0.393293,0.392023,0.393901,0.374181,56533885,114158375
2019-1-9,0.414155,0.392044,0.420697,0.381679,52338685,112597172
2019-31-8,0.419403,0.412378,0.433303,0.399742,32449740,115451636
2019-30-8,0.401465,0.423520,0.430791,0.399151,60601525,118252980
2019-29-8,0.438736,0.401465,0.444655,0.394794,39371673,110493169
2019-28-8,0.521104,0.432766,0.537598,0.432670,58911636,117378022
2019-27-8,0.520856,0.520805,0.549076,0.510801,47432939,139171936
2019-26-8,0.544866,0.521189,0.558404,0.520748,47745079,137187143
2019-25-8,0.577248,0.544182,0.587672,0.534690,42184816,141062999
2019-24-8,0.560401,0.577248,0.577298,0.549151,59964968,145519920
2019-23-8,0.573076,0.561043,0.581882,0.551332,52556814,141076400
2019-22-8,0.567649,0.573076,0.587442,0.530718,57806938,141878476
2019-21-8,0.627732,0.567144,0.630396,0.558899,65334103,138208268
2019-20-8,0.660283,0.625582,0.660283,0.607995,64980440,150020445
2019-19-8,0.676068,0.660958,0.682403,0.655590,61643720,153794908
2019-18-8,0.683677,0.677905,0.697735,0.666764,55153057,155112633
2019-17-8,0.682878,0.684244,0.712379,0.674980,57380881,153913123
2019-16-8,0.707859,0.682015,0.732154,0.679868,62691881,150771749
2019-15-8,0.715041,0.709333,0.773726,0.663839,75226005,156363436
2019-14-8,0.802637,0.715041,0.847316,0.715041,74788787,0
2019-13-8,0.802458,0.802807,0.836239,0.784095,66235494,0
2019-12-8,0.822097,0.802670,0.822713,0.773858,68002927,0
2019-11-8,0.816275,0.822988,0.877914,0.815612,84979681,0
2019-10-8,0.804282,0.816905,0.858527,0.764563,98322273,0
2019-9-8,0.727369,0.804282,0.813974,0.700488,109884210,0
2019-8-8,0.692338,0.726802,0.771192,0.660569,87885109,0
2019-7-8,0.700724,0.692338,0.722134,0.684477,69558222,0
2019-6-8,0.793169,0.703362,0.801030,0.693062,83242834,0
2019-5-8,0.707270,0.794087,0.803464,0.680481,100663102,0
2019-4-8,0.745753,0.706384,0.763879,0.697292,73139185,0
2019-3-8,0.802512,0.745467,0.857626,0.744121,107927951,0
2019-2-8,0.558125,0.801607,0.882909,0.557930,284046277,0
2019-1-8,0.568060,0.557738,0.568943,0.514144,50093763,0
2019-31-7,0.569139,0.567098,0.577136,0.563500,60419029,0
2019-30-7,0.572961,0.568552,0.586240,0.560771,62095437,0
2019-29-7,0.575520,0.572797,0.589789,0.559473,61012725,0
2019-28-7,0.580435,0.574872,0.595831,0.560176,54003797,0
2019-27-7,0.655416,0.580435,0.666554,0.578964,64830897,0
2019-26-7,0.609957,0.656126,0.708415,0.595688,89508445,0
2019-25-7,0.604850,0.609737,0.611931,0.587000,55944618,0
2019-24-7,0.581043,0.604915,0.610777,0.557196,77190533,0
2019-23-7,0.641137,0.581043,0.642977,0.572217,78080034,0
2019-22-7,0.695558,0.641348,0.701007,0.635236,77239612,0
2019-21-7,0.710694,0.695447,0.713256,0.661993,104231794,0
2019-20-7,0.672460,0.710694,0.749210,0.664749,112340171,0
2019-19-7,0.695855,0.672026,0.695855,0.652915,91624752,0
2019-18-7,0.674591,0.695855,0.702635,0.647316,99086040,0
2019-17-7,0.642938,0.673160,0.735383,0.612629,109865275,0
2019-16-7,0.808025,0.644633,0.816774,0.632021,90581456,0
2019-15-7,0.823801,0.808505,0.841695,0.745224,117943656,0
2019-14-7,0.934619,0.823950,1.02,0.823950,119707605,0
2019-13-7,0.891661,0.936202,1.02,0.875539,132744655,0
2019-12-7,0.855558,0.890458,0.940588,0.803384,140797532,0
2019-11-7,1.03,0.861834,1.04,0.841159,153148499,0
2019-10-7,1.04,1.03,1.08,0.951053,146338478,0
2019-9-7,1.05,1.05,1.08,1.02,94263135,0
2019-8-7,1.07,1.05,1.07,1.03,43616506,0
2019-7-7,1.03,1.07,1.10,1.03,51623447,0
2019-6-7,1.13,1.03,1.13,1.02,64939220,0
2019-5-7,1.01,1.13,1.17,0.986285,103703180,0
2019-4-7,1.11,1.01,1.14,0.988405,96454283,0
2019-3-7,1.14,1.12,1.19,1.08,112712391,0
2019-2-7,1.34,1.14,1.35,1.04,128459505,0
2019-1-7,1.43,1.35,1.46,1.25,114335020,0
2019-30-6,1.50,1.43,1.58,1.38,119391276,0
2019-29-6,1.45,1.50,1.51,1.40,109982117,0
2019-28-6,1.39,1.45,1.56,1.36,121576369,0
2019-27-6,1.58,1.39,1.59,1.34,117242289,0
2019-26-6,1.54,1.58,1.84,1.49,169915841,0
2019-25-6,1.37,1.54,1.83,1.31,277665414,0
2019-24-6,1.89,1.38,1.98,1.30,184117575,0
2019-23-6,2.16,1.89,2.20,1.78,177290665,0
2019-22-6,3.15,2.16,3.16,1.88,223603358,0
2019-21-6,3.28,3.20,3.28,2.39,133488812,0
