Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,19.52,20.44,20.62,19.25,125867567,220470699
2020-4-2,19.54,19.55,19.71,19.32,101149137,210929983
2020-3-2,19.33,19.53,19.61,19.04,111148756,210682724
2020-2-2,18.95,19.33,19.58,18.83,108845243,208553487
2020-1-2,18.73,18.96,19.18,18.73,88687090,204572015
2020-31-1,19.50,18.73,19.71,18.48,97448923,202029594
2020-30-1,19.03,19.51,19.54,18.48,105984192,210479243
2020-29-1,19.12,19.05,19.72,18.86,106965638,205446999
2020-28-1,18.61,19.09,19.14,18.28,100197821,205871857
2020-27-1,18.10,18.61,18.76,17.97,96983798,200690063
2020-26-1,17.51,18.08,18.08,17.42,89611201,194978274
2020-25-1,17.60,17.51,17.60,17.10,74066602,188922440
2020-24-1,17.49,17.61,18.10,17.16,84913228,189962928
2020-23-1,18.83,17.47,18.87,17.17,91999445,188441800
2020-22-1,19.25,18.82,19.30,18.67,88984141,203043585
2020-21-1,19.03,19.27,19.70,19.00,95541969,207866094
2020-20-1,19.06,19.04,19.17,18.28,92097197,205336420
2020-19-1,19.94,19.07,20.10,18.34,100124445,205658368
2020-18-1,20.53,19.96,20.77,19.91,102802784,215280431
2020-17-1,20.47,20.56,21.23,19.85,113610583,221776842
2020-16-1,18.78,20.55,23.23,17.71,127076576,221621235
2020-15-1,17.72,18.78,18.78,17.41,113001462,202524073
2020-14-1,16.23,17.75,17.87,16.16,84227532,191472073
2020-13-1,17.01,16.22,17.12,16.02,70307180,174916815
2020-12-1,16.79,17.01,17.39,16.67,89837602,183503042
2020-11-1,16.55,16.79,16.97,16.05,95108860,181083127
2020-10-1,16.47,16.53,16.90,16.18,30899899,178318862
2020-9-1,16.92,16.47,16.93,16.22,6168702,177680914
2020-8-1,17.22,16.92,17.56,16.75,7410832,182540208
2020-7-1,18.70,17.30,18.96,17.07,6366099,186637488
2020-6-1,17.78,18.71,18.71,17.78,5103992,201773489
2020-5-1,17.49,17.78,18.07,17.49,4925028,191803866
2020-4-1,17.28,17.49,17.56,17.21,4561616,188672421
2020-3-1,16.37,17.28,17.44,16.30,5865678,186403978
2020-2-1,16.93,16.37,16.95,16.17,4163466,176583113
2020-1-1,16.81,16.92,16.99,16.72,4752930,182544019
2019-31-12,16.51,16.80,17.10,16.38,5283327,181233824
2019-30-12,16.58,16.50,16.95,16.31,5275816,178018480
2019-29-12,16.60,16.58,16.96,16.39,5096496,178824679
2019-28-12,16.93,16.60,17.25,16.56,4748604,179096394
2019-27-12,16.94,16.93,17.36,16.85,4857346,182634425
2019-26-12,16.53,16.93,17.08,16.51,4993966,182614884
2019-25-12,17.23,16.53,17.47,16.34,4765907,178325962
2019-24-12,16.90,17.23,17.41,16.78,5983501,185888781
2019-23-12,17.78,16.89,17.79,16.88,6016307,182214840
2019-22-12,17.74,17.80,18.20,17.27,5804399,191976213
2019-21-12,18.03,17.74,18.03,17.57,4074938,191394663
2019-20-12,17.41,18.02,18.26,16.98,6928721,194357159
2019-19-12,16.98,17.41,17.77,16.54,7264807,187842851
2019-18-12,16.68,16.98,17.36,15.40,9106122,183195205
2019-17-12,18.26,16.68,18.37,16.44,6586129,179914812
2019-16-12,20.71,18.26,20.78,18.21,8541113,197019955
2019-15-12,19.57,20.71,20.83,19.23,6928748,223430902
2019-14-12,19.58,19.56,19.99,19.53,6353915,211028223
2019-13-12,19.59,19.58,19.75,19.27,5476736,211213236
2019-12-12,20.02,19.59,20.22,19.23,6170972,211308759
2019-11-12,19.88,20.02,20.23,19.52,7116070,215976396
2019-10-12,19.80,19.88,19.90,19.17,6852000,214454916
2019-9-12,20.74,19.81,20.79,19.60,6872085,213634016
2019-8-12,21.00,20.74,21.18,20.58,7214698,223713243
2019-7-12,20.56,21.00,21.12,20.45,7159506,226463252
2019-6-12,19.97,20.54,20.77,19.79,7062768,221404997
2019-5-12,19.01,19.97,19.99,19.00,7457121,215077618
2019-4-12,18.47,19.02,19.79,18.28,7194868,204837585
2019-3-12,19.39,18.47,19.63,18.06,7196883,198817176
2019-2-12,19.37,19.39,20.06,18.87,8481943,208566711
2019-1-12,19.69,19.37,19.69,18.45,11070845,208349323
2019-30-11,19.74,19.69,20.53,19.57,10591462,211672630
2019-29-11,18.20,19.74,19.82,18.14,11450703,212132658
2019-28-11,18.34,18.19,19.08,18.09,9924781,195337936
2019-27-11,17.99,18.34,18.88,16.89,12202657,196914902
2019-26-11,17.51,18.01,18.02,16.58,12927437,193288983
2019-25-11,17.37,17.51,17.80,15.55,13710297,187823503
2019-24-11,19.08,17.40,19.10,17.12,10053244,186527986
2019-23-11,17.72,19.07,19.07,17.01,14088001,204419771
2019-22-11,18.58,17.71,18.72,15.88,14552344,189760652
2019-21-11,20.02,18.57,20.68,18.46,12138804,198866022
2019-20-11,20.68,20.01,21.71,19.66,12782009,214141965
2019-19-11,22.56,20.67,22.89,19.63,12686998,221112015
2019-18-11,23.26,22.56,23.87,22.48,12751153,241285483
2019-17-11,23.36,23.26,23.97,22.36,14879369,248622429
2019-16-11,24.26,23.37,25.37,23.17,18827925,249671945
2019-15-11,22.02,24.27,24.80,22.01,28525309,259237095
2019-14-11,22.02,22.02,22.06,20.98,12898817,235040922
2019-13-11,22.81,22.03,22.81,21.61,13263717,235030603
2019-12-11,21.53,22.82,23.87,21.52,23129349,243390337
2019-11-11,20.91,21.52,22.65,20.57,14913793,229440010
2019-10-11,20.03,20.90,20.90,19.93,12285634,222738731
2019-9-11,20.17,20.04,20.91,19.51,13355468,213404636
2019-8-11,20.72,20.17,21.34,19.25,14681266,214780558
2019-7-11,18.83,20.71,22.96,18.82,21311285,220418526
2019-6-11,19.85,18.82,19.88,18.66,12471556,200204974
2019-5-11,21.07,19.89,21.08,18.58,14284266,211528027
2019-4-11,22.10,21.07,23.07,20.86,17673278,223964177
2019-3-11,19.37,22.11,22.25,18.86,17309995,234837339
2019-2-11,17.90,19.36,19.36,17.44,11112706,205542822
2019-1-11,15.82,17.91,18.51,15.77,15715539,190118879
2019-31-10,15.87,15.83,16.30,15.55,10263870,167908703
2019-30-10,15.69,15.86,15.90,15.21,10162251,168216264
2019-29-10,15.28,15.68,15.72,15.06,10733165,166218927
2019-28-10,15.35,15.29,15.87,15.10,12013681,161957329
2019-27-10,14.73,15.36,15.76,14.61,12314540,162672057
2019-26-10,14.48,14.73,15.50,14.30,12835900,155925129
2019-25-10,13.04,14.47,14.47,12.93,9334222,153100122
2019-24-10,13.09,13.04,13.10,12.81,7658731,137878989
2019-23-10,13.96,13.09,14.14,12.83,7942604,138324802
2019-22-10,14.53,13.95,14.65,13.91,7089993,147389146
2019-21-10,14.68,14.57,14.94,14.35,7034652,153844714
2019-20-10,14.26,14.65,14.77,14.15,6364079,154634554
2019-19-10,14.44,14.26,14.48,13.88,6689399,150463150
2019-18-10,14.50,14.46,14.66,14.01,7617288,152503908
2019-17-10,14.93,14.50,14.94,14.21,7630144,152827012
2019-16-10,15.73,14.92,15.75,14.24,10171029,157240363
2019-15-10,16.15,15.74,16.17,15.58,8584608,165817946
2019-14-10,16.13,16.15,16.37,15.82,7087739,170005918
2019-13-10,16.18,16.13,16.47,16.06,6634289,169757523
2019-12-10,16.32,16.19,16.47,16.04,6797570,170330330
2019-11-10,16.83,16.32,16.97,16.23,6539170,171609381
2019-10-10,17.25,16.81,17.29,16.71,7851849,176724461
2019-9-10,17.10,17.25,17.61,16.83,7626849,181256557
2019-8-10,17.29,17.10,17.39,16.90,7152669,179572384
2019-7-10,16.92,17.30,17.59,16.73,6861638,181586533
2019-6-10,17.23,16.94,17.30,16.81,6512875,177747292
2019-5-10,16.90,17.22,17.30,16.59,6933526,180595197
2019-4-10,16.83,16.90,17.02,16.67,6476728,177145039
2019-3-10,17.26,16.82,17.37,16.59,6698594,176270008
2019-2-10,17.46,17.26,17.65,17.04,7517874,180781776
2019-1-10,17.46,17.46,17.92,17.25,7240253,182788420
2019-30-9,17.67,17.45,17.72,16.36,8593531,182607653
2019-29-9,18.01,17.67,18.43,17.31,7439542,184785280
2019-28-9,17.57,18.02,18.09,17.48,7732269,188332327
2019-27-9,16.84,17.55,17.57,16.75,8383120,183375628
2019-26-9,17.36,16.85,17.58,16.31,7379205,175994832
2019-25-9,17.83,17.36,18.08,16.79,12123410,181177331
2019-24-9,20.69,17.84,21.03,17.84,9799629,186177323
2019-23-9,22.25,20.67,22.26,20.67,7697893,215619619
2019-22-9,22.44,22.24,22.47,22.05,8028444,231818976
2019-21-9,23.12,22.44,23.28,22.37,10852706,233842696
2019-20-9,23.46,23.13,23.53,22.68,11553897,240906648
2019-19-9,23.03,23.47,23.48,22.12,8432380,244350119
2019-18-9,22.34,23.05,23.19,22.02,7078253,239854738
2019-17-9,21.98,22.29,22.58,21.75,6428743,231860060
2019-16-9,22.78,21.98,22.91,21.81,6578344,228515928
2019-15-9,23.20,22.85,23.33,22.70,9347088,237408664
2019-14-9,23.19,23.19,23.35,22.96,7226516,240897019
2019-13-9,23.38,23.19,23.54,22.89,8181188,240784020
2019-12-9,22.62,23.40,23.41,22.10,9377752,242850039
2019-11-9,22.97,22.62,23.15,22.14,9806255,234593487
2019-10-9,24.21,22.92,24.27,22.76,7732068,237634118
2019-9-9,24.91,24.19,25.09,24.10,9068005,250679201
2019-8-9,24.33,24.93,25.32,24.33,9155130,258167234
2019-7-9,23.99,24.37,24.68,23.80,9225990,252305013
2019-6-9,24.70,23.99,25.23,23.81,8334077,248216978
2019-5-9,24.85,24.70,24.96,24.46,7850224,255432609
2019-4-9,25.60,24.85,25.62,24.74,7408790,256937619
2019-3-9,24.88,25.59,25.91,24.58,11141581,264407032
2019-2-9,23.99,24.89,25.04,23.55,7542612,257032709
2019-1-9,22.88,23.99,24.19,22.86,6486628,247639229
2019-31-8,22.96,22.87,23.19,22.62,5528262,236024182
2019-30-8,22.66,22.94,23.10,22.43,5354690,236586150
2019-29-8,23.14,22.66,23.19,22.15,7284926,233566254
