Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,11.13,11.74,12.06,11.03,58191931,205595627
2020-4-2,11.86,11.13,12.14,10.91,36340199,195001166
2020-3-2,11.04,11.86,11.94,10.81,40898961,207737973
2020-2-2,11.17,11.04,11.41,10.90,35070435,193419390
2020-1-2,11.16,11.16,11.46,11.11,41322344,195462952
2020-31-1,11.70,11.15,11.74,10.93,37545495,195324109
2020-30-1,11.55,11.70,11.88,11.32,35532576,204910589
2020-29-1,11.71,11.55,12.08,11.45,43319169,202330580
2020-28-1,12.05,11.72,12.52,11.28,60239959,205189257
2020-27-1,11.25,12.04,12.78,11.22,90397399,210914642
2020-26-1,10.09,11.25,12.02,9.89,65288711,197040947
2020-25-1,9.94,10.10,10.28,9.65,38451489,176820379
2020-24-1,9.76,9.95,10.17,9.24,38284099,174254784
2020-23-1,10.78,9.75,10.79,9.65,27900591,170831820
2020-22-1,11.18,10.77,11.48,10.63,37007565,188656087
2020-21-1,11.62,11.18,11.62,10.69,51076689,195790159
2020-20-1,10.65,11.65,11.99,10.10,54141178,203963150
2020-19-1,11.19,10.83,12.03,10.12,50425821,189728374
2020-18-1,12.56,11.18,13.27,10.90,63789108,195882603
2020-17-1,13.00,12.57,13.45,12.02,73172103,220119733
2020-16-1,14.70,13.05,14.90,11.90,124151985,228642669
2020-15-1,13.82,15.04,22.96,13.01,220899442,263368550
2020-14-1,6.97,14.25,14.47,6.96,97207992,249553681
2020-13-1,6.73,6.96,6.97,6.64,20132749,121918021
2020-12-1,6.46,6.72,6.75,6.28,19955605,117726247
2020-11-1,6.28,6.46,6.80,6.25,28690852,113052767
2020-10-1,5.83,6.29,6.29,5.63,16772379,110224700
2020-9-1,6.22,5.84,6.24,5.76,18230735,102309941
2020-8-1,5.92,6.22,6.88,5.90,21256996,108948806
2020-7-1,5.77,5.92,5.95,5.75,15214188,103699249
2020-6-1,5.43,5.78,5.78,5.42,14514895,101148056
2020-5-1,5.41,5.43,5.54,5.40,10765339,95132080
2020-4-1,5.40,5.41,5.44,5.30,10708146,94711846
2020-3-1,5.10,5.39,5.50,5.02,13674581,94412437
2020-2-1,5.30,5.11,5.31,5.06,12219981,89489373
2020-1-1,5.30,5.30,5.37,5.29,15100342,92804492
2019-31-12,5.54,5.30,5.55,5.29,17035839,92766005
2019-30-12,5.47,5.55,5.61,5.42,16927776,97129482
2019-29-12,5.32,5.47,5.55,5.31,19454187,95760000
2019-28-12,5.28,5.32,5.47,5.28,14384323,93116328
2019-27-12,5.16,5.28,5.38,5.12,16799236,92454601
2019-26-12,5.14,5.16,5.25,5.05,15771786,90370030
2019-25-12,5.25,5.14,5.26,5.11,12583921,89986763
2019-24-12,5.25,5.25,5.34,5.19,15878193,91893972
2019-23-12,5.41,5.25,5.49,5.24,14088409,91895649
2019-22-12,5.32,5.40,5.41,5.27,11137443,94543751
2019-21-12,5.42,5.32,5.43,5.29,11505432,93193061
2019-20-12,5.32,5.42,5.44,5.28,13139235,94922578
2019-19-12,5.40,5.32,5.46,5.14,13836709,93193724
2019-18-12,4.93,5.39,5.44,4.91,14182932,94425471
2019-17-12,5.26,4.93,5.28,4.84,10466768,86301444
2019-16-12,5.56,5.26,5.57,5.26,11144002,92138207
2019-15-12,5.61,5.55,5.61,5.40,10249549,97228045
2019-14-12,5.67,5.61,5.74,5.59,10733822,98196023
2019-13-12,5.77,5.68,5.79,5.63,10571800,99448074
2019-12-12,5.72,5.76,5.77,5.62,11183048,100856483
2019-11-12,5.74,5.72,5.82,5.67,13543891,100153824
2019-10-12,5.87,5.75,5.87,5.70,12903934,100668983
2019-9-12,6.01,5.87,6.03,5.85,13300412,102755357
2019-8-12,6.06,6.01,6.12,5.98,9370466,105276455
2019-7-12,6.11,6.05,6.11,6.00,10692468,105988929
2019-6-12,6.01,6.10,6.10,5.97,11232641,106918356
2019-5-12,5.83,6.01,6.08,5.81,12001721,105211139
2019-4-12,6.02,5.85,6.10,5.84,11985396,102417119
2019-3-12,6.22,6.03,6.26,5.90,13879938,105547723
2019-2-12,6.40,6.22,6.48,6.09,11284868,108944401
2019-1-12,6.43,6.39,6.47,6.25,11295797,111956631
2019-30-11,6.76,6.43,6.79,6.34,10595140,112622560
2019-29-11,6.58,6.76,6.85,6.57,12420388,118444017
2019-28-11,6.52,6.58,6.73,6.49,10867324,115223969
2019-27-11,6.22,6.52,6.70,6.01,11315778,114144113
2019-26-11,6.20,6.27,6.33,6.10,10189116,109884021
2019-25-11,6.36,6.20,6.38,5.84,12271208,108629162
2019-24-11,6.55,6.35,6.76,6.33,12360510,111219141
2019-23-11,6.63,6.55,6.80,6.35,11535469,114651305
2019-22-11,6.94,6.62,7.05,6.09,11671938,116024142
2019-21-11,7.43,6.99,7.47,6.52,12092339,122365451
2019-20-11,7.49,7.43,7.63,7.18,11935787,130212547
2019-19-11,7.63,7.49,7.72,7.31,17005876,131133287
2019-18-11,8.00,7.64,8.06,7.59,13290834,133870498
2019-17-11,7.99,8.00,8.13,7.94,14696585,140082394
2019-16-11,7.90,7.99,8.09,7.84,13422804,139915035
2019-15-11,8.24,7.90,8.25,7.89,13385592,138388870
2019-14-11,8.51,8.23,8.54,8.08,13878882,144190075
2019-13-11,8.50,8.51,8.58,8.31,13062585,149005595
2019-12-11,8.58,8.48,8.67,8.38,13845677,148479914
2019-11-11,8.86,8.58,8.90,8.47,15332496,150352808
2019-10-11,8.44,8.86,8.92,8.44,15247801,155097943
2019-9-11,8.45,8.44,8.49,8.40,11682738,147806581
2019-8-11,8.86,8.45,8.94,8.27,12287834,147939961
2019-7-11,8.55,8.86,9.64,8.54,19054098,155112620
2019-6-11,8.26,8.55,8.66,8.25,27858732,149657290
2019-5-11,8.38,8.26,8.51,8.17,11981968,144659254
2019-4-11,8.27,8.38,8.57,8.08,14030665,146687911
2019-3-11,8.24,8.28,8.33,8.09,11471415,145045202
2019-2-11,8.10,8.23,8.43,8.10,18258468,144226849
2019-1-11,8.14,8.11,8.55,8.02,14304591,141952469
2019-31-10,8.09,8.14,8.39,7.92,12226067,142617230
2019-30-10,8.24,8.09,8.29,7.95,12285425,141705984
2019-29-10,8.02,8.27,8.33,7.89,13461905,144810082
2019-28-10,8.01,8.03,8.34,7.89,12208929,140553499
2019-27-10,7.73,8.01,8.15,7.60,12122410,140331701
2019-26-10,7.78,7.73,8.37,7.60,12916387,135376489
2019-25-10,7.09,7.79,7.81,6.58,12612326,136370904
2019-24-10,6.97,7.09,7.17,6.85,10174739,124238808
2019-23-10,7.52,6.97,7.58,6.88,11369187,122098828
2019-22-10,7.62,7.52,7.68,7.50,11428671,131629684
2019-21-10,7.56,7.62,7.68,7.50,11776146,133472719
2019-20-10,7.53,7.56,7.61,7.38,11049550,132454140
2019-19-10,7.69,7.53,7.70,7.43,12250693,131811500
2019-18-10,8.41,7.69,8.49,7.67,13771766,134613935
2019-17-10,8.16,8.41,8.42,8.04,16074443,147276524
2019-16-10,8.15,8.17,8.53,7.94,13325357,143063391
2019-15-10,7.93,8.15,8.36,7.93,13189075,142725467
2019-14-10,7.84,7.94,7.96,7.75,12214160,139127472
2019-13-10,7.55,7.84,7.91,7.54,11891572,137310220
2019-12-10,7.58,7.55,7.60,7.31,14355048,132260000
2019-11-10,8.27,7.58,8.29,7.19,16114045,132797819
2019-10-10,8.48,8.27,8.51,8.08,12878561,144830316
2019-9-10,8.07,8.49,8.70,8.05,14710360,148740300
2019-8-10,8.21,8.07,8.27,7.99,12211873,141287362
2019-7-10,7.81,8.22,8.25,7.72,12298413,143883359
2019-6-10,7.97,7.82,8.31,7.79,11240691,136888983
2019-5-10,7.72,7.97,8.16,7.71,12280306,139587379
2019-4-10,7.63,7.72,7.97,7.52,9733971,135183485
2019-3-10,7.76,7.63,7.81,7.47,9150476,133588964
2019-2-10,7.79,7.76,7.97,7.68,8232795,135941830
2019-1-10,7.76,7.79,8.08,7.67,13197256,136471077
2019-30-9,7.49,7.75,7.86,7.24,15754916,135799019
2019-29-9,7.73,7.49,7.75,7.34,15858625,131254405
2019-28-9,7.70,7.73,7.80,7.61,14550574,135318428
2019-27-9,7.65,7.70,7.72,7.39,17041640,134877239
2019-26-9,7.85,7.64,7.85,7.45,14454063,133872373
2019-25-9,7.84,7.85,8.11,7.56,41050135,137507527
2019-24-9,9.70,7.85,9.79,7.64,16249172,137565374
2019-23-9,10.15,9.70,10.17,9.67,17374685,169816189
2019-22-9,10.33,10.15,10.35,10.03,17905566,177779430
2019-21-9,10.99,10.31,11.00,10.31,20042279,180556360
2019-20-9,10.97,10.99,11.04,10.54,54066194,192516537
2019-19-9,10.77,10.97,11.02,10.02,17140326,192092601
2019-18-9,10.20,10.78,10.90,10.19,13911372,188878942
2019-17-9,10.09,10.22,10.92,9.91,15812483,179035644
2019-16-9,10.25,10.09,10.45,10.08,13581483,176750389
2019-15-9,10.24,10.25,11.35,10.19,12674880,179542487
2019-14-9,10.10,10.23,10.78,9.86,12809572,179217960
2019-13-9,10.32,10.10,10.33,9.88,13698300,176828020
2019-12-9,10.28,10.31,10.45,10.11,13780635,180625987
