Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.266692,0.277468,0.281039,0.266692,3332447611,12124855856
2020-4-2,0.254557,0.266808,0.269576,0.248820,2900951896,11659047307
2020-3-2,0.250570,0.254627,0.256370,0.248154,2156814065,11126754979
2020-2-2,0.241321,0.250734,0.259259,0.237002,2477130012,10953472898
2020-1-2,0.239191,0.241455,0.242612,0.237781,1592451417,10548109281
2020-31-1,0.243618,0.239233,0.244273,0.234905,1892170752,10451015954
2020-30-1,0.235607,0.243642,0.245961,0.231997,2125017678,10643624488
2020-29-1,0.238691,0.235730,0.241267,0.235322,1883265674,10297986176
2020-28-1,0.231206,0.238488,0.239931,0.230945,2052700894,10418484690
2020-27-1,0.230532,0.231222,0.234634,0.226982,1722593699,10098829103
2020-26-1,0.220345,0.230686,0.231344,0.219327,1583964764,10075423155
2020-25-1,0.223049,0.220427,0.223150,0.217737,1373179560,9627353633
2020-24-1,0.226201,0.223041,0.226314,0.215389,1706347379,9741530849
2020-23-1,0.236173,0.226104,0.236284,0.223069,1600294983,9875297162
2020-22-1,0.237263,0.236056,0.238689,0.234236,1517150861,10309942100
2020-21-1,0.233340,0.237166,0.240264,0.231539,1701652845,10358425747
2020-20-1,0.235384,0.233296,0.235748,0.225986,1723535818,10184268786
2020-19-1,0.243367,0.235585,0.249569,0.229278,2211717302,10284187005
2020-18-1,0.238880,0.243286,0.251187,0.233148,2391157804,10620350242
2020-17-1,0.228725,0.238776,0.243156,0.226576,2418043081,10423473280
2020-16-1,0.232881,0.228574,0.233568,0.224055,2066952513,9978103123
2020-15-1,0.234504,0.232895,0.240997,0.227920,2590278224,10166738989
2020-14-1,0.212528,0.234687,0.241832,0.212379,2639844916,10244977875
2020-13-1,0.215624,0.212617,0.215687,0.210601,1321442559,9220403706
2020-12-1,0.212151,0.215633,0.216371,0.211533,1496128430,9351208273
2020-11-1,0.212097,0.211851,0.218971,0.210054,1655817070,9187177375
2020-10-1,0.204908,0.212306,0.212403,0.201820,1693646276,9206907569
2020-9-1,0.209110,0.204899,0.209142,0.202589,1341130889,8885696511
2020-8-1,0.213834,0.209026,0.216704,0.205214,1782128652,9064684943
2020-7-1,0.221576,0.213917,0.223386,0.209047,2237698314,9276786517
2020-6-1,0.195536,0.221510,0.223832,0.195068,2301679290,9606054235
2020-5-1,0.194367,0.195537,0.199223,0.193884,1168067557,8474172240
2020-4-1,0.193521,0.194355,0.194653,0.191835,999331594,8422952089
2020-3-1,0.187948,0.193521,0.194070,0.185846,1270017043,8386800449
2020-2-1,0.192708,0.188043,0.192896,0.186947,1085351426,8149376228
2020-1-1,0.192912,0.192667,0.194362,0.192107,1041134003,8349802256
2019-31-12,0.194518,0.192894,0.194878,0.189969,1116761075,8359619491
2019-30-12,0.197063,0.194474,0.198716,0.193685,1247499610,8428101982
2019-29-12,0.193116,0.197051,0.198972,0.192524,1176573822,8536136120
2019-28-12,0.191063,0.193222,0.195286,0.190974,1168758140,8370284759
2019-27-12,0.190403,0.191102,0.192708,0.188502,1151157499,8278444958
2019-26-12,0.190555,0.190394,0.192518,0.188141,1177534639,8247774697
2019-25-12,0.192288,0.190719,0.192622,0.188474,1140140919,8261843273
2019-24-12,0.190992,0.192198,0.196885,0.189908,1255576963,8325926772
2019-23-12,0.196958,0.190943,0.198134,0.189891,1402992086,8271536883
2019-22-12,0.193999,0.196978,0.197370,0.192513,1261599021,8532972546
2019-21-12,0.195340,0.194082,0.196173,0.190614,1208597753,8407526855
2019-20-12,0.190900,0.195316,0.197967,0.186777,1765470385,8460970904
2019-19-12,0.196289,0.190819,0.197257,0.185322,1588179338,8264443017
2019-18-12,0.184613,0.196176,0.197512,0.178485,2136022808,8496449615
2019-17-12,0.207189,0.183699,0.207659,0.180494,2059426123,7956063481
2019-16-12,0.218647,0.207225,0.218908,0.206862,1486338425,8974974229
2019-15-12,0.217573,0.218601,0.220074,0.211347,1171149673,9467680410
2019-14-12,0.220748,0.217356,0.221742,0.216795,1078990952,9413737187
2019-13-12,0.219827,0.220755,0.221007,0.216930,1252707498,9560937204
2019-12-12,0.222013,0.219859,0.222692,0.218963,1287697362,9522171540
2019-11-12,0.224241,0.222053,0.224742,0.221290,1072062152,9611705134
2019-10-12,0.225439,0.224302,0.226251,0.221276,1191690782,9709071953
2019-9-12,0.230433,0.225452,0.231324,0.223183,1241659373,9758847242
2019-8-12,0.228453,0.230435,0.233737,0.226260,1117646358,9974529031
2019-7-12,0.225492,0.228445,0.228891,0.225390,1073561928,9888381919
2019-6-12,0.222959,0.225505,0.225858,0.220785,1253702621,9761133164
2019-5-12,0.216249,0.222928,0.226575,0.213965,1424294121,9649602827
2019-4-12,0.219824,0.216348,0.221770,0.212603,1427312577,9364745688
2019-3-12,0.219516,0.219870,0.223179,0.216675,1017648495,9517202026
2019-2-12,0.225386,0.219581,0.227203,0.217283,1187513777,9507818760
2019-1-12,0.226466,0.225333,0.226525,0.220253,1176237060,9756884341
2019-30-11,0.230232,0.226474,0.233615,0.224546,1160032624,9806315573
2019-29-11,0.224623,0.230217,0.231636,0.224129,1325761774,9968382707
2019-28-11,0.225221,0.224570,0.231131,0.224198,1244175231,9723838882
2019-27-11,0.221845,0.225081,0.228498,0.216199,1608881984,9745970911
2019-26-11,0.218464,0.222145,0.223212,0.214957,1322723640,9618843673
2019-25-11,0.222832,0.218622,0.225923,0.207013,9415068271,9466286656
2019-24-11,0.236227,0.223184,0.236373,0.223184,2932397174,9663857831
2019-23-11,0.231574,0.236188,0.236188,0.227707,1480512363,10226933084
2019-22-11,0.243775,0.231600,0.246417,0.225687,2012230945,10028238451
2019-21-11,0.251316,0.243766,0.253512,0.240784,1586333624,10555043277
2019-20-11,0.256545,0.251364,0.259139,0.250331,1319069498,10884017518
2019-19-11,0.255646,0.256500,0.258563,0.246971,1420685334,11106437807
2019-18-11,0.265137,0.255653,0.265514,0.249842,1452996115,11069403326
2019-17-11,0.264009,0.265253,0.269385,0.262832,1273573229,11485052604
2019-16-11,0.261694,0.263886,0.265443,0.260609,1195333401,11425884645
2019-15-11,0.270463,0.261654,0.271049,0.259878,1548251349,11329241896
2019-14-11,0.272903,0.270391,0.273868,0.268069,1264478184,11707513880
2019-13-11,0.272379,0.273036,0.275665,0.271303,1278922350,11822051383
2019-12-11,0.275179,0.272418,0.277042,0.270781,1404766289,11795294866
2019-11-11,0.280164,0.275086,0.281727,0.272008,1437677669,11910794571
2019-10-11,0.280273,0.280204,0.283117,0.276669,1557437413,12132388502
2019-9-11,0.276863,0.280196,0.282471,0.276328,1449652131,12117941815
2019-8-11,0.292438,0.276953,0.292612,0.274005,2026687432,11977697598
2019-7-11,0.310175,0.292431,0.313278,0.283395,2430065390,12647080586
2019-6-11,0.301103,0.310086,0.311605,0.298735,1790567871,13410631514
2019-5-11,0.299906,0.301255,0.304524,0.297917,1964177330,13028715563
2019-4-11,0.291236,0.299937,0.299949,0.290893,1647597869,12971721432
2019-3-11,0.296272,0.291261,0.297173,0.288818,1381510371,12596463117
2019-2-11,0.292688,0.296263,0.299039,0.292539,1460243469,12812796808
2019-1-11,0.296389,0.292642,0.296487,0.288932,1572251058,12656190134
2019-31-10,0.296527,0.296358,0.302379,0.290938,1666132252,12816900825
2019-30-10,0.301913,0.296555,0.305180,0.292403,1883224296,12825432798
2019-29-10,0.295991,0.301956,0.307984,0.295357,2125813360,13058999924
2019-28-10,0.298143,0.296007,0.302837,0.293587,2061536473,12801729616
2019-27-10,0.293886,0.298100,0.301481,0.289935,2237941946,12892254871
2019-26-10,0.298039,0.293699,0.310290,0.286818,3122465894,12701942701
2019-25-10,0.278607,0.298165,0.299947,0.277240,2486979029,12895056501
2019-24-10,0.274101,0.278491,0.281281,0.269274,1638078551,12042668475
2019-23-10,0.291556,0.274143,0.292737,0.260083,2172985938,11854650118
2019-22-10,0.293019,0.291607,0.301484,0.291104,1632212674,12609856226
2019-21-10,0.294265,0.292979,0.294720,0.289768,1609355490,12669199713
2019-20-10,0.293042,0.294179,0.297051,0.285773,1804228003,12721101190
2019-19-10,0.294852,0.293022,0.299229,0.289901,1768492071,12671070331
2019-18-10,0.302340,0.295005,0.302340,0.286964,1809664285,12756788002
2019-17-10,0.284556,0.302315,0.302481,0.282608,1807694164,13049972343
2019-16-10,0.288895,0.284640,0.292086,0.280962,1626378642,12286985753
2019-15-10,0.296438,0.288702,0.298265,0.284174,1686563830,12462323338
2019-14-10,0.277626,0.296523,0.296590,0.276666,1685629956,12799942425
2019-13-10,0.273129,0.277765,0.281705,0.272383,1176911158,11990204703
2019-12-10,0.271115,0.273191,0.278960,0.271074,1100066310,11792798089
2019-11-10,0.272109,0.271099,0.275936,0.268589,1265760690,11702493149
2019-10-10,0.281551,0.272073,0.281551,0.268893,1383555182,11744507007
2019-9-10,0.278392,0.281627,0.283725,0.274915,1579225264,12156932944
2019-8-10,0.275829,0.278459,0.283569,0.271744,1518125769,12020170580
2019-7-10,0.257570,0.275685,0.279092,0.255627,1938984643,11900420320
2019-6-10,0.253434,0.257705,0.257705,0.252341,965338466,11112666133
2019-5-10,0.253608,0.253457,0.256505,0.249384,944304199,10929504865
2019-4-10,0.247924,0.253935,0.256247,0.247425,1078860456,10950104521
2019-3-10,0.253457,0.247860,0.253503,0.244366,1043933395,10688160807
2019-2-10,0.249618,0.253539,0.254884,0.246791,1093145013,10933024350
2019-1-10,0.256213,0.249565,0.260526,0.247843,1319433697,10761681803
2019-30-9,0.241383,0.255933,0.260146,0.238320,1662002377,11036254662
2019-29-9,0.242592,0.241388,0.243348,0.237544,931369885,10399003153
2019-28-9,0.244023,0.242571,0.245047,0.240754,978211509,10449975028
2019-27-9,0.243712,0.244021,0.246306,0.236745,1277746422,10512410924
2019-26-9,0.246448,0.243784,0.250457,0.234037,1387714462,10502200054
2019-25-9,0.235483,0.246441,0.248962,0.234906,1800796894,10616698451
2019-24-9,0.268686,0.235226,0.272868,0.227052,2114210733,10133548682
2019-23-9,0.278602,0.268675,0.286114,0.268575,1484938724,11574524621
2019-22-9,0.289460,0.278931,0.289673,0.274316,1242282758,12009356968
2019-21-9,0.294456,0.289443,0.297573,0.287775,1266771269,12461952068
2019-20-9,0.302455,0.294470,0.302455,0.288729,1558069366,12678417604
2019-19-9,0.313740,0.302441,0.313814,0.287051,2314376584,13021616393
2019-18-9,0.284163,0.313776,0.322034,0.283921,2548478917,13509644789
2019-17-9,0.260862,0.285013,0.294556,0.260308,1981364786,12262515974
2019-16-9,0.261574,0.260952,0.263923,0.259181,878264190,11227300186
2019-15-9,0.261170,0.261628,0.264858,0.259714,859761210,11256389684
2019-14-9,0.255485,0.261167,0.264492,0.254848,1005057194,11236551220
2019-13-9,0.254795,0.255551,0.256326,0.253137,869481607,10994948160
2019-12-9,0.255973,0.254811,0.257015,0.252555,974717877,10963094269
2019-11-9,0.258692,0.255956,0.259832,0.253401,992565704,11012382024
2019-10-9,0.259690,0.258671,0.263649,0.256105,975503111,11129180970
2019-9-9,0.263247,0.259562,0.263694,0.257643,1157441363,11157198091
2019-8-9,0.260777,0.263084,0.264973,0.259270,1043077809,11308589245
2019-7-9,0.252411,0.260687,0.262488,0.251273,962765309,11205531353
2019-6-9,0.256269,0.252340,0.259332,0.250805,1063044201,10846757543
2019-5-9,0.259912,0.256346,0.260707,0.254960,1050490375,11018940997
2019-4-9,0.263185,0.259905,0.263185,0.258212,1068332805,11171918974
2019-3-9,0.260838,0.263139,0.265279,0.258163,1162545093,11310944375
2019-2-9,0.258064,0.260820,0.262465,0.254383,1044772829,11211279067
2019-1-9,0.259171,0.258054,0.259659,0.254306,825579908,11092364972
2019-31-8,0.256195,0.259204,0.260507,0.255454,845142390,11141812866
2019-30-8,0.256951,0.256218,0.257325,0.252734,997071647,11013445816
2019-29-8,0.257461,0.257045,0.261091,0.249951,1279995807,11035685652
2019-28-8,0.269583,0.257450,0.270293,0.252948,1275267910,11053053032
2019-27-8,0.270899,0.269618,0.271042,0.266216,1028940804,11575485111
2019-26-8,0.269946,0.270788,0.277432,0.268575,1332395984,11625706519
2019-25-8,0.272612,0.270088,0.274924,0.267954,964693737,11589356109
2019-24-8,0.276543,0.272553,0.276543,0.267527,934380519,11695124196
2019-23-8,0.270575,0.276545,0.277568,0.268560,999419343,11866405277
2019-22-8,0.265802,0.270944,0.273342,0.261967,1065712731,11620983953
2019-21-8,0.275765,0.266261,0.275765,0.260688,1164536124,11420125836
2019-20-8,0.283159,0.275806,0.283241,0.273442,1056822925,11829516782
2019-19-8,0.282290,0.283328,0.289091,0.278425,1241578947,12152144825
2019-18-8,0.265714,0.282646,0.288718,0.263579,1216547019,12122901988
2019-17-8,0.261885,0.265721,0.268046,0.259252,1004931822,11396948393
2019-16-8,0.265075,0.261971,0.265452,0.256977,1133224404,11236137963
2019-15-8,0.263707,0.264882,0.268241,0.256112,1342788578,11360984400
2019-14-8,0.296719,0.263343,0.297220,0.252390,1794754610,11294964982
2019-13-8,0.300661,0.296639,0.301178,0.293562,853175560,12723035972
2019-12-8,0.302169,0.300322,0.303528,0.298506,762308356,12881006909
2019-11-8,0.298566,0.301915,0.306181,0.296911,838671654,12943909474
2019-10-8,0.297245,0.298721,0.304747,0.293443,1077459339,12806941381
2019-9-8,0.307567,0.297343,0.308218,0.293271,1021136188,12747895720
2019-8-8,0.311785,0.307661,0.312618,0.305112,907305889,13190251227
2019-7-8,0.311492,0.311969,0.315573,0.308720,967534123,13374954845
2019-6-8,0.324018,0.311326,0.324946,0.308895,1069603911,13347360882
2019-5-8,0.319723,0.323564,0.331414,0.319410,1203381139,13872050658
2019-4-8,0.316862,0.319842,0.322925,0.312325,926896287,13712472285
2019-3-8,0.312506,0.316757,0.319651,0.311696,789419360,13580218029
2019-2-8,0.317809,0.312394,0.318876,0.310844,816728848,13393149204
2019-1-8,0.320734,0.317906,0.320851,0.313134,882867288,13629460730
2019-31-7,0.317887,0.320909,0.322465,0.317244,996700948,13758215467
2019-30-7,0.311090,0.318470,0.320407,0.307865,928714010,13653644725
2019-29-7,0.311996,0.310658,0.313812,0.308020,807093679,13318731525
2019-28-7,0.310631,0.312288,0.312774,0.304110,846655034,13376153627
2019-27-7,0.323512,0.310528,0.326285,0.307301,1163969614,13300742951
2019-26-7,0.314740,0.323530,0.324508,0.309720,1039753781,13857657307
2019-25-7,0.315859,0.314810,0.321363,0.313881,1086214216,13484184546
2019-24-7,0.309885,0.315947,0.316471,0.305276,1222619064,13532870285
2019-23-7,0.322267,0.309926,0.322349,0.307652,1015322888,13274967598
2019-22-7,0.331368,0.322106,0.331670,0.318133,1079720970,13796653786
2019-21-7,0.333682,0.331309,0.335870,0.323308,1045044900,14190843704
2019-20-7,0.320490,0.333209,0.340477,0.320079,1288327249,14272232666
2019-19-7,0.322964,0.320605,0.324509,0.314147,1181194676,13732383140
2019-18-7,0.310748,0.323176,0.326506,0.306624,1460358426,13842515320
2019-17-7,0.296762,0.310613,0.322181,0.294550,2478342585,13304378913
2019-16-7,0.315186,0.296726,0.320242,0.291294,1527503243,12630613062
2019-15-7,0.306575,0.315310,0.321783,0.298669,1638295919,13421671800
2019-14-7,0.332685,0.306426,0.334864,0.305326,1365358144,13043521742
2019-13-7,0.344704,0.332179,0.345083,0.325289,1076509239,14139724265
2019-12-7,0.330343,0.344118,0.349789,0.323298,1641965115,14647922420
