Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.519191,0.438837,0.530779,0.413668,211285478,228138645
2020-4-2,0.366437,0.520192,0.603132,0.366437,439693266,270332275
2020-3-2,0.315999,0.366289,0.374920,0.311516,103797745,190281593
2020-2-2,0.272089,0.316903,0.345929,0.257684,97876434,164563914
2020-1-2,0.255582,0.270856,0.273343,0.245269,39816077,140600109
2020-31-1,0.237738,0.255146,0.275057,0.235322,62733044,132396179
2020-30-1,0.211466,0.238028,0.247553,0.201879,32599622,123466835
2020-29-1,0.185824,0.211323,0.215321,0.185824,23795341,109573438
2020-28-1,0.176877,0.186600,0.190418,0.176527,18377729,96717876
2020-27-1,0.173821,0.176891,0.194610,0.173803,26860758,91650603
2020-26-1,0.154604,0.173623,0.175871,0.154512,20557979,89923024
2020-25-1,0.150823,0.154523,0.155214,0.147672,7018355,80000265
2020-24-1,0.149603,0.150745,0.151527,0.143988,8086134,78014374
2020-23-1,0.156224,0.149558,0.157618,0.148409,8763949,77370444
2020-22-1,0.156662,0.156104,0.156662,0.151341,7751791,80726304
2020-21-1,0.151013,0.156698,0.158540,0.149702,8726230,81002667
2020-20-1,0.145643,0.151104,0.151418,0.142283,8284223,78081198
2020-19-1,0.153254,0.145520,0.156151,0.141147,4768977,75167200
2020-18-1,0.152732,0.153098,0.156476,0.148788,5239014,79051278
2020-17-1,0.145238,0.152929,0.159565,0.142511,10015622,78934089
2020-16-1,0.142232,0.144887,0.145669,0.132996,6156579,74761894
2020-15-1,0.138782,0.142549,0.150108,0.136647,10293744,73528188
2020-14-1,0.123197,0.139022,0.141803,0.123034,9806594,71681503
2020-13-1,0.121684,0.123123,0.123736,0.119481,4515390,63459648
2020-12-1,0.120313,0.121746,0.122471,0.119546,4836190,62725316
2020-11-1,0.119024,0.120451,0.122188,0.118430,4086828,62034756
2020-10-1,0.117272,0.118956,0.119475,0.115439,4074594,61241503
2020-9-1,0.117250,0.117367,0.118686,0.116095,4678274,60400755
2020-8-1,0.120104,0.117315,0.120412,0.115111,5147114,60351404
2020-7-1,0.124391,0.120176,0.126127,0.119151,8102059,61800258
2020-6-1,0.114346,0.124737,0.125423,0.113996,6548097,64121693
2020-5-1,0.114206,0.114429,0.117602,0.114206,3937240,58800547
2020-4-1,0.113283,0.114251,0.114750,0.111684,3508621,58687296
2020-3-1,0.109804,0.113172,0.113481,0.106937,5050474,58110998
2020-2-1,0.114147,0.109870,0.114762,0.108984,4435151,56410873
2020-1-1,0.113345,0.114053,0.115844,0.113058,4449224,58536355
2019-31-12,0.115983,0.113418,0.116444,0.112454,4430045,58188532
2019-30-12,0.118527,0.115841,0.118940,0.115400,2915835,59408945
2019-29-12,0.117892,0.118456,0.121465,0.117321,4001148,60727105
2019-28-12,0.119782,0.117779,0.121180,0.117428,5340479,60357515
2019-27-12,0.119722,0.119610,0.120359,0.115346,5180119,61273326
2019-26-12,0.121892,0.119619,0.124180,0.118921,5649394,61254404
2019-25-12,0.119183,0.121892,0.122256,0.116099,6584476,62394880
2019-24-12,0.118945,0.119183,0.122196,0.117670,5095934,60984875
2019-23-12,0.124966,0.118893,0.125526,0.117991,4589463,60813828
2019-22-12,0.120762,0.125437,0.125437,0.119842,4017094,64136451
2019-21-12,0.119193,0.120911,0.124920,0.118919,4912307,61799114
2019-20-12,0.118001,0.119149,0.119815,0.116448,4338362,60875328
2019-19-12,0.120021,0.118001,0.121447,0.114956,4712072,60266372
2019-18-12,0.109741,0.120358,0.120661,0.108927,6373574,61446846
2019-17-12,0.120085,0.109741,0.120434,0.107926,6035906,56005190
2019-16-12,0.125380,0.120085,0.126278,0.119200,5649264,61261473
2019-15-12,0.127589,0.125364,0.127597,0.121425,5179304,63930345
2019-14-12,0.131418,0.127557,0.132907,0.126572,4748254,65024335
2019-13-12,0.132416,0.131484,0.134315,0.131135,5280693,67000536
2019-12-12,0.126635,0.132427,0.134801,0.125547,7204663,67455705
2019-11-12,0.124944,0.126635,0.128830,0.124605,4662009,64481109
2019-10-12,0.132829,0.124957,0.133074,0.124353,7425579,63602388
2019-9-12,0.136341,0.132857,0.137104,0.131892,5158168,67598763
2019-8-12,0.136895,0.136356,0.137409,0.132711,3020996,69355157
