Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.018262,0.022790,0.023778,0.017359,11911749,72110118
2020-4-2,0.015948,0.018202,0.019255,0.015202,11594548,57592470
2020-3-2,0.013144,0.015731,0.015929,0.012770,4042772,49774690
2020-2-2,0.013418,0.013144,0.015022,0.013036,860062,37351103
2020-1-2,0.013161,0.013359,0.014828,0.012947,1168701,29848586
2020-31-1,0.011986,0.013177,0.013397,0.011956,1319754,27496959
2020-30-1,0.011612,0.011953,0.012246,0.011442,659433,24865674
2020-29-1,0.011539,0.011618,0.011769,0.011267,752773,24167957
2020-28-1,0.011408,0.011541,0.011942,0.011203,1187229,24007406
2020-27-1,0.011680,0.011410,0.012407,0.011314,1349616,23735607
2020-26-1,0.012091,0.011672,0.012438,0.011643,1528900,24279700
2020-25-1,0.011182,0.012091,0.012552,0.010673,2762500,25152350
2020-24-1,0.010185,0.011100,0.011148,0.010183,960056,23091181
2020-23-1,0.010777,0.010185,0.010844,0.010169,681767,21187114
2020-22-1,0.010428,0.010779,0.010926,0.010406,970784,21649474
2020-21-1,0.010561,0.010433,0.010667,0.010183,585472,20953498
2020-20-1,0.010842,0.010573,0.011014,0.010557,401932,21235599
2020-19-1,0.011902,0.010846,0.012003,0.010552,1126616,21784123
2020-18-1,0.011697,0.011912,0.012155,0.011364,1117063,23924434
2020-17-1,0.011550,0.011686,0.011903,0.010961,1887919,23470194
2020-16-1,0.010421,0.011488,0.011758,0.010388,1576593,22306306
2020-15-1,0.010266,0.010417,0.010745,0.010090,1287441,20227927
2020-14-1,0.010572,0.010293,0.010845,0.010163,1407667,19986658
2020-13-1,0.010988,0.010567,0.011062,0.010447,620240,20518006
2020-12-1,0.011412,0.010985,0.011432,0.010863,753126,21330577
2020-11-1,0.010616,0.011411,0.011554,0.010436,1207051,22158175
2020-10-1,0.010166,0.010616,0.011095,0.010110,1755040,20613316
2020-9-1,0.010263,0.010173,0.010695,0.010094,1092002,19753002
2020-8-1,0.010952,0.010276,0.010952,0.010157,1159426,19953996
2020-7-1,0.011342,0.011037,0.011412,0.010869,1685750,21431211
2020-6-1,0.011772,0.011342,0.011869,0.011164,1837289,22024133
2020-5-1,0.011190,0.011760,0.012718,0.011136,3472337,22835351
2020-4-1,0.010378,0.011203,0.012123,0.010134,2659372,21754447
2020-3-1,0.010054,0.010383,0.010736,0.010051,970022,20162135
2020-2-1,0.010439,0.010080,0.011050,0.010012,1676703,19573035
2020-1-1,0.010217,0.010439,0.010971,0.010123,1936716,20270590
2019-31-12,0.011458,0.010219,0.012125,0.010149,2252336,19844057
2019-30-12,0.013144,0.011466,0.013341,0.011309,2703762,17346700
2019-29-12,0.014269,0.013135,0.014308,0.012923,2387983,19870992
2019-28-12,0.014297,0.014255,0.014807,0.014241,861231,21565236
2019-27-12,0.014747,0.014297,0.014754,0.014046,1321305,21628524
2019-26-12,0.014855,0.014752,0.015278,0.014671,995518,22317656
2019-25-12,0.015223,0.014855,0.015832,0.014766,1553523,22473004
2019-24-12,0.015594,0.015223,0.015974,0.015122,1229424,23030025
2019-23-12,0.018646,0.015638,0.018714,0.015071,6095890,22407161
2019-22-12,0.018505,0.018640,0.020091,0.018364,1893878,19256101
2019-21-12,0.018944,0.018521,0.019307,0.018155,1181121,19132589
2019-20-12,0.018295,0.018944,0.019477,0.018230,1324993,19569616
2019-19-12,0.019589,0.018295,0.019673,0.018120,1111246,18899119
2019-18-12,0.018532,0.019582,0.020276,0.018289,1637684,20229501
2019-17-12,0.021066,0.018593,0.021455,0.018513,1478721,19207582
2019-16-12,0.022882,0.021066,0.023212,0.021066,2954861,20356685
2019-15-12,0.023411,0.022882,0.023411,0.022378,2330691,22112051
2019-14-12,0.023585,0.023411,0.024924,0.023252,1939084,22623101
2019-13-12,0.023389,0.023446,0.025153,0.023268,2083550,22656790
2019-12-12,0.024928,0.023438,0.025112,0.023274,2442938,22649307
2019-11-12,0.023452,0.024717,0.025429,0.023253,2930070,23885631
2019-10-12,0.025374,0.023482,0.025477,0.022175,4190617,22667225
2019-9-12,0.027448,0.025427,0.028368,0.024916,4359300,24545184
2019-8-12,0.024962,0.027448,0.027481,0.023998,4424099,26495635
2019-7-12,0.024065,0.024962,0.026315,0.023598,2647116,24096052
2019-6-12,0.022778,0.024121,0.024483,0.022423,3336203,23283938
2019-5-12,0.023123,0.022766,0.023767,0.022023,3362743,21976271
2019-4-12,0.024403,0.023123,0.024427,0.022437,3614457,22320602
2019-3-12,0.024585,0.024309,0.024932,0.024279,2056880,23465209
2019-2-12,0.026138,0.024585,0.027052,0.024428,1570044,23731812
2019-1-12,0.026252,0.025456,0.027225,0.024091,1791913,17261657
2019-30-11,0.026047,0.024913,0.027716,0.024260,1643155,16893249
2019-29-11,0.025259,0.026047,0.027966,0.024969,1800486,17662612
2019-28-11,0.024343,0.025187,0.029078,0.024198,1280190,17079277
2019-27-11,0.024389,0.024320,0.024747,0.023043,1471633,16490905
2019-26-11,0.024136,0.024528,0.025017,0.023993,1365881,16632033
2019-25-11,0.024431,0.024146,0.025373,0.022606,1893576,16372898
2019-24-11,0.025855,0.024539,0.026253,0.024367,1361580,16639708
2019-23-11,0.026383,0.025816,0.027249,0.024545,4092773,17505340
2019-22-11,0.027417,0.026378,0.028620,0.025504,1852150,17886711
2019-21-11,0.029499,0.027417,0.029812,0.026543,1310836,18591223
2019-20-11,0.030538,0.029501,0.031121,0.028935,1570142,20004569
2019-19-11,0.031073,0.030538,0.031412,0.028702,1724167,20707885
2019-18-11,0.032858,0.031089,0.033419,0.030364,1568646,21081302
2019-17-11,0.033018,0.032866,0.034759,0.032801,2146531,22286115
2019-16-11,0.032508,0.033018,0.033429,0.031993,1158702,22389310
2019-15-11,0.034136,0.032503,0.034331,0.031793,2166920,22039779
2019-14-11,0.035208,0.034136,0.035631,0.033486,1729182,23147332
2019-13-11,0.035205,0.035140,0.035408,0.033444,2923369,23827967
2019-12-11,0.034614,0.035205,0.035574,0.034335,1351782,23872321
2019-11-11,0.035468,0.034571,0.035807,0.033602,1501343,23442242
2019-10-11,0.036938,0.035468,0.036938,0.034764,2730208,24050575
2019-9-11,0.032935,0.036934,0.039337,0.032917,6615639,25044505
2019-8-11,0.032892,0.032929,0.035656,0.032889,2694297,22328603
2019-7-11,0.034190,0.032896,0.034339,0.031964,1872305,22306353
2019-6-11,0.036385,0.034289,0.036385,0.033882,2856084,23251283
2019-5-11,0.036526,0.036344,0.037164,0.035222,2591129,24644565
2019-4-11,0.036826,0.036526,0.038995,0.035456,6682646,24767786
2019-3-11,0.034491,0.036861,0.036991,0.033266,4251345,24995397
2019-2-11,0.034728,0.034512,0.034820,0.033106,1933072,23402068
2019-1-11,0.033194,0.034728,0.034891,0.032813,3060335,23548608
2019-31-10,0.032850,0.033367,0.033724,0.031636,2922878,22625796
2019-30-10,0.033933,0.032780,0.033971,0.031959,3039732,20864946
2019-29-10,0.031702,0.033962,0.034348,0.031578,4655707,21617086
2019-28-10,0.031690,0.031716,0.032876,0.030195,3899067,20187737
2019-27-10,0.030738,0.031685,0.031874,0.029115,2871327,20168196
2019-26-10,0.030724,0.030738,0.032731,0.029155,4380610,19565014
2019-25-10,0.028932,0.030687,0.030998,0.028377,5065332,19532919
2019-24-10,0.028064,0.028932,0.029595,0.026927,3089111,18415387
2019-23-10,0.031548,0.028082,0.031685,0.027170,4196944,17874540
2019-22-10,0.033191,0.031553,0.033366,0.031553,3346363,20083726
2019-21-10,0.032921,0.033216,0.034410,0.032771,2536833,21142334
2019-20-10,0.033519,0.032826,0.033952,0.032532,2175117,20893997
2019-19-10,0.033835,0.033564,0.034531,0.032917,2228299,21364152
2019-18-10,0.035053,0.033873,0.036061,0.033457,3286417,21560826
2019-17-10,0.037595,0.035072,0.037595,0.034178,3692976,22323900
2019-16-10,0.037829,0.037631,0.038632,0.035194,5250770,23952684
2019-15-10,0.037063,0.037829,0.040378,0.035685,5756021,24078603
2019-14-10,0.033109,0.037348,0.037750,0.032373,5504883,23772372
2019-13-10,0.035014,0.033109,0.035359,0.033002,2458017,21074638
2019-12-10,0.036091,0.034988,0.036262,0.034779,2184305,22270481
2019-11-10,0.038224,0.036064,0.038311,0.035473,3022574,22955363
2019-10-10,0.038997,0.038340,0.039014,0.036855,3263875,24403813
2019-9-10,0.038765,0.039021,0.039741,0.038298,4648692,24837313
2019-8-10,0.038180,0.038802,0.039060,0.037128,3923517,24697778
2019-7-10,0.038340,0.038178,0.038870,0.036291,4898706,24300772
