Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,380.72,442.01,442.10,379.16,5289083000,8072301019
2020-4-2,383.76,380.60,387.16,374.66,3143637424,6950078912
2020-3-2,377.94,383.88,389.45,375.86,3410323023,7009236233
2020-2-2,380.25,378.27,388.39,370.81,3246254490,6906342984
2020-1-2,375.07,381.01,387.39,374.60,3218496040,6955699068
2020-31-1,392.83,375.39,393.80,366.60,3667538280,6852328297
2020-30-1,380.86,392.97,395.56,373.53,4055518921,7172561949
2020-29-1,379.10,381.52,393.78,378.30,3987047015,6962894993
2020-28-1,362.65,378.86,382.78,360.50,3916343793,6913563554
2020-27-1,346.89,362.65,374.86,346.53,4123924761,6617085453
2020-26-1,311.00,347.00,347.74,308.55,3192088890,6330863260
2020-25-1,319.38,311.36,319.40,305.49,2169791084,5680063566
2020-24-1,325.17,319.52,327.38,299.96,3346887042,5828372705
2020-23-1,347.50,324.87,348.39,319.29,2722405196,5925291827
2020-22-1,343.37,347.23,352.01,339.62,2468426687,6332561910
2020-21-1,343.51,343.42,346.54,334.70,2658918440,6262472148
2020-20-1,338.12,343.81,351.84,325.28,3361586387,6268932728
2020-19-1,338.40,338.31,362.15,323.11,4458226713,6167961887
2020-18-1,367.41,339.12,398.89,334.84,6041778648,6182276116
2020-17-1,326.38,366.98,379.68,320.62,5128628377,6689508806
2020-16-1,339.68,325.98,341.24,311.56,3652947113,5941556881
2020-15-1,348.72,339.40,358.82,319.01,5240635087,6185484056
2020-14-1,267.64,350.26,364.16,267.53,6618289058,6382913206
2020-13-1,268.41,267.52,270.77,261.87,1884541173,4874569980
2020-12-1,261.10,268.24,269.07,259.28,2168514332,4887148233
2020-11-1,270.20,260.68,276.63,259.81,2487051623,4748986487
2020-10-1,239.55,270.73,271.77,232.64,2986773814,4931494248
2020-9-1,241.00,239.22,243.05,232.35,1908677851,4357194742
2020-8-1,243.08,241.06,251.30,234.39,2424659797,4390124757
2020-7-1,244.71,243.26,245.84,234.18,2234914578,4429804165
2020-6-1,224.35,244.56,245.11,223.69,2328224536,4453007524
2020-5-1,225.78,224.10,228.22,222.35,1681830248,4080035773
2020-4-1,222.54,226.02,227.46,220.28,1861485049,4114630710
2020-3-1,196.01,222.41,224.95,192.98,2644279656,4048583336
2020-2-1,204.35,195.70,205.14,194.07,1432801807,3561934035
2020-1-1,204.67,204.40,208.08,203.21,1456113692,3719917644
2019-31-12,209.30,204.62,214.24,202.04,1713535483,3723637897
2019-30-12,212.88,209.40,215.99,207.41,1804979491,3810326526
2019-29-12,206.25,212.96,215.50,205.04,1856273467,3874556156
2019-28-12,203.29,206.41,209.94,203.11,1909698747,3755092935
2019-27-12,188.32,203.33,204.71,187.18,2017127633,3698638472
2019-26-12,187.27,188.56,193.00,185.53,1309782083,3429665196
2019-25-12,189.72,187.18,190.30,185.49,1671819392,3404158932
2019-24-12,190.74,189.50,194.13,187.34,1514958689,3446007698
2019-23-12,196.29,190.52,197.61,189.91,1744349961,3464242250
2019-22-12,187.44,196.66,197.68,187.07,1549039085,3575561679
2019-21-12,188.22,187.74,189.26,186.35,1267951911,3413070441
2019-20-12,187.68,188.17,190.81,185.91,1409786653,3420569948
