Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,2.74,2.85,2.87,2.73,157306879,995970095
2020-4-2,2.77,2.74,2.80,2.69,134721884,959392205
2020-3-2,2.83,2.77,2.86,2.76,128902317,971130674
2020-2-2,2.84,2.83,2.89,2.74,135278751,991403500
2020-1-2,2.82,2.84,2.87,2.76,121185567,993633620
2020-31-1,2.92,2.82,2.92,2.78,132881059,988326980
2020-30-1,2.78,2.91,2.94,2.72,189044589,1019545843
2020-29-1,2.66,2.79,2.81,2.65,166469457,974863479
2020-28-1,2.61,2.66,2.67,2.60,130829516,929368527
2020-27-1,2.57,2.61,2.68,2.57,125100879,913378198
2020-26-1,2.46,2.57,2.57,2.44,101906615,900053582
2020-25-1,2.50,2.46,2.51,2.43,96793337,859784045
2020-24-1,2.47,2.50,2.53,2.37,121390827,876536363
2020-23-1,2.65,2.46,2.65,2.44,128284126,861738068
2020-22-1,2.68,2.65,2.69,2.63,97214236,925953608
2020-21-1,2.70,2.67,2.74,2.58,118493954,935742614
2020-20-1,2.62,2.70,2.74,2.55,149645626,944054524
2020-19-1,2.78,2.62,2.84,2.56,175287789,916632784
2020-18-1,2.72,2.77,2.79,2.60,167529444,970936771
2020-17-1,2.48,2.72,2.84,2.47,257924221,953438176
2020-16-1,2.41,2.48,2.50,2.30,143515776,869567505
2020-15-1,2.38,2.40,2.57,2.36,149371800,841742041
2020-14-1,2.19,2.39,2.45,2.18,135612258,836474276
2020-13-1,2.24,2.19,2.24,2.16,78803227,767358644
2020-12-1,2.28,2.25,2.31,2.23,87342008,785817532
2020-11-1,2.22,2.28,2.33,2.22,107902217,799136443
2020-10-1,2.19,2.22,2.26,2.16,109888554,778385770
2020-9-1,2.18,2.19,2.23,2.11,109938413,765117095
2020-8-1,2.11,2.18,2.33,2.11,192821111,764262022
2020-7-1,1.93,2.11,2.13,1.91,140921324,739934210
2020-6-1,1.81,1.94,1.94,1.81,80941179,678112936
2020-5-1,1.84,1.81,1.86,1.80,55235942,632725379
2020-4-1,1.81,1.84,1.85,1.79,49108150,644046686
2020-3-1,1.74,1.81,1.83,1.71,61298048,633397911
2020-2-1,1.81,1.74,1.82,1.72,52729126,609400278
2020-1-1,1.77,1.81,1.85,1.76,69723037,632324086
2019-31-12,1.84,1.77,1.84,1.76,58903187,619314954
2019-30-12,1.90,1.84,1.91,1.83,57136151,643640851
2019-29-12,1.87,1.90,1.92,1.86,53574998,665841559
2019-28-12,1.89,1.87,1.91,1.87,53567273,656018147
2019-27-12,1.86,1.89,1.95,1.85,74031488,660276978
2019-26-12,1.81,1.86,1.94,1.79,79180350,651630010
2019-25-12,1.86,1.80,1.86,1.79,86020952,631665436
2019-24-12,1.88,1.86,1.89,1.84,131772813,652092016
2019-23-12,1.94,1.88,1.96,1.86,130569408,656897477
2019-22-12,1.87,1.94,1.95,1.87,120076955,677398756
2019-21-12,1.92,1.87,1.93,1.87,88336767,655789073
2019-20-12,1.82,1.92,1.92,1.80,124354682,673201642
2019-19-12,1.88,1.82,1.89,1.75,150914459,637172404
2019-18-12,1.76,1.88,1.88,1.66,209932252,658252398
2019-17-12,1.98,1.76,2.01,1.72,172213180,614723071
2019-16-12,2.09,1.98,2.09,1.98,97454140,693554053
2019-15-12,2.01,2.09,2.12,1.98,114518248,730394059
2019-14-12,2.08,2.01,2.09,1.99,105295566,703740129
2019-13-12,2.12,2.08,2.13,2.07,117843001,727058616
2019-12-12,2.18,2.12,2.20,2.05,142758973,741674953
2019-11-12,2.27,2.18,2.30,2.15,138162558,762317077
2019-10-12,2.09,2.27,2.28,2.07,218763851,794729934
2019-9-12,2.06,2.09,2.09,2.02,147696805,731861045
2019-8-12,2.06,2.06,2.09,2.03,103114465,720652032
2019-7-12,2.09,2.06,2.11,2.05,88418201,721417209
2019-6-12,2.03,2.09,2.10,1.99,113399318,732354664
2019-5-12,2.05,2.03,2.11,1.97,126219927,709032623
2019-4-12,2.13,2.05,2.14,2.02,145162286,717028178
2019-3-12,2.09,2.13,2.20,2.05,109854018,745494808
2019-2-12,2.17,2.09,2.18,2.07,116492201,733241502
