Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.066319,0.068733,0.069117,0.065880,520288061,1378865162
2020-4-2,0.064050,0.066291,0.066703,0.062135,435813336,1329865439
2020-3-2,0.063385,0.064061,0.065443,0.063098,386201629,1285126689
2020-2-2,0.060542,0.063367,0.065759,0.060093,459980666,1271202563
2020-1-2,0.061546,0.060470,0.062644,0.059360,351749271,1213096236
2020-31-1,0.061269,0.061554,0.063646,0.059865,365221348,1234837874
2020-30-1,0.061682,0.061207,0.062990,0.060058,382600193,1227871266
2020-29-1,0.060327,0.061739,0.062595,0.059045,408058902,1238546132
2020-28-1,0.059606,0.060303,0.061764,0.059159,435796280,1209732372
2020-27-1,0.058660,0.059645,0.061461,0.057598,354309858,1196397983
2020-26-1,0.056111,0.058572,0.059546,0.055742,325709373,1174877296
2020-25-1,0.057257,0.056039,0.057879,0.055841,319119540,1124060743
2020-24-1,0.059401,0.057303,0.059455,0.054127,382153105,1149419047
2020-23-1,0.059995,0.059238,0.061171,0.056832,383108495,1188095063
2020-22-1,0.062395,0.059889,0.063779,0.059796,334827929,1201010415
2020-21-1,0.062025,0.062420,0.063943,0.061601,404072680,1251502830
2020-20-1,0.059991,0.062044,0.064640,0.059431,570944249,1243262125
2020-19-1,0.061144,0.060044,0.065619,0.058865,557236013,1203196279
2020-18-1,0.059970,0.061155,0.064649,0.057045,619953488,1225443376
2020-17-1,0.053828,0.060052,0.062763,0.052715,519487809,1200675457
2020-16-1,0.054817,0.053748,0.054993,0.051784,316566307,1074496622
2020-15-1,0.052040,0.054789,0.055470,0.051042,334258693,1095162183
2020-14-1,0.048085,0.052115,0.053480,0.048066,325107091,1041718996
2020-13-1,0.048229,0.048122,0.048458,0.046383,224390629,961732457
2020-12-1,0.047580,0.048319,0.048951,0.046762,207151685,965205442
2020-11-1,0.046378,0.047547,0.049198,0.046117,216830961,949740468
2020-10-1,0.046268,0.046402,0.048292,0.045766,211752195,926865627
2020-9-1,0.047616,0.046458,0.049246,0.045678,171728899,927922896
2020-8-1,0.049916,0.048717,0.050093,0.046706,213522156,972927111
2020-7-1,0.049025,0.049838,0.050261,0.047908,239407286,995321994
2020-6-1,0.045432,0.049124,0.049292,0.045244,248276598,981165304
2020-5-1,0.046165,0.045359,0.046692,0.044772,165956087,909657060
2020-4-1,0.045227,0.046272,0.046276,0.044332,152253766,927967117
2020-3-1,0.044001,0.045234,0.045907,0.043544,168931018,907150288
2020-2-1,0.045398,0.044112,0.045604,0.043582,151848963,884665838
2020-1-1,0.045118,0.045451,0.045768,0.043438,168402204,911500592
2019-31-12,0.046053,0.045224,0.046115,0.043332,157108041,906956531
2019-30-12,0.046203,0.045954,0.046902,0.044252,167585185,921597413
2019-29-12,0.045138,0.046216,0.047112,0.044077,148653161,926843557
2019-28-12,0.046015,0.045151,0.046536,0.044167,158028356,905501294
2019-27-12,0.045092,0.046086,0.046747,0.044685,186418572,924237333
2019-26-12,0.043572,0.045101,0.045710,0.043512,159865552,904483723
2019-25-12,0.045029,0.043441,0.045591,0.043191,160886227,871192763
2019-24-12,0.044807,0.045083,0.046288,0.044400,190571245,904138193
2019-23-12,0.047340,0.044849,0.047670,0.044641,188544968,899434823
2019-22-12,0.046322,0.047296,0.047520,0.044277,192185818,948508444
2019-21-12,0.046204,0.046277,0.048313,0.044703,178466491,928068807
2019-20-12,0.044985,0.046269,0.047144,0.044239,196248519,927921648
2019-19-12,0.046033,0.044964,0.046427,0.044022,210750075,901740472
2019-18-12,0.044246,0.046013,0.046733,0.043048,253895323,922788952
2019-17-12,0.048558,0.044053,0.048895,0.042986,223440074,883474247
2019-16-12,0.051402,0.048549,0.052006,0.048421,188173197,973646579
2019-15-12,0.051709,0.051398,0.052399,0.049650,184576351,1030780417
2019-14-12,0.053072,0.051673,0.053336,0.051145,178719118,1036297918
2019-13-12,0.052724,0.052990,0.053720,0.052176,166277796,1062704050
2019-12-12,0.052710,0.052721,0.053804,0.052177,207030753,1057309861
2019-11-12,0.053621,0.052692,0.054757,0.052692,200779620,1056722331
2019-10-12,0.054476,0.053607,0.054952,0.053064,187877398,1075080469
2019-9-12,0.056092,0.054450,0.056386,0.054213,184029266,1091975773
2019-8-12,0.055041,0.056132,0.056544,0.054598,159244878,1125717482
2019-7-12,0.055045,0.055068,0.056187,0.054795,161472546,1104373638
2019-6-12,0.055612,0.055028,0.055823,0.054540,177492285,1103572231
2019-5-12,0.055347,0.055518,0.057624,0.054440,190568914,1113392541
2019-4-12,0.055917,0.055419,0.056422,0.054416,207789246,1111416307
2019-3-12,0.056042,0.055980,0.056821,0.055417,150835452,1122669946
2019-2-12,0.058098,0.056078,0.058214,0.055986,204095722,1124621901
2019-1-12,0.059751,0.058082,0.059877,0.056540,214999370,1164817487
2019-30-11,0.059306,0.059641,0.060415,0.057283,228259886,1196086467
2019-29-11,0.058212,0.059152,0.060932,0.058165,241666196,1186271902
2019-28-11,0.059208,0.058225,0.060486,0.058179,224143848,1167681753
2019-27-11,0.058393,0.059057,0.059952,0.056166,260781107,1184377699
2019-26-11,0.057542,0.058553,0.059103,0.056520,218983844,1174266799
2019-25-11,0.056791,0.057595,0.059389,0.053750,548798088,1155059103
2019-24-11,0.060602,0.056881,0.061783,0.056881,795594528,1140743320
2019-23-11,0.059405,0.060364,0.061716,0.057753,262945614,1210579252
2019-22-11,0.061737,0.059502,0.061868,0.056237,304545334,1193303118
2019-21-11,0.065522,0.061683,0.065701,0.061047,251644441,1237034117
2019-20-11,0.065691,0.065502,0.066320,0.064540,219882275,1313627943
2019-19-11,0.068291,0.065751,0.068679,0.064810,287651893,1318630467
2019-18-11,0.072133,0.068304,0.072261,0.066962,245433022,1369817366
2019-17-11,0.071848,0.072137,0.073095,0.071784,197097974,1446685558
2019-16-11,0.072347,0.071906,0.072805,0.071748,173395847,1442049711
2019-15-11,0.074816,0.072335,0.074972,0.071935,222062024,1450653587
2019-14-11,0.076506,0.074740,0.076611,0.074027,217039030,1498902353
2019-13-11,0.077092,0.076576,0.077628,0.076180,240329082,1535722377
2019-12-11,0.079813,0.077072,0.082018,0.075886,359731187,1545652295
2019-11-11,0.078234,0.079809,0.080633,0.076396,290695867,1600544208
2019-10-11,0.072877,0.078228,0.079768,0.072733,343258930,1568851587
2019-9-11,0.071845,0.072812,0.073439,0.071620,187035481,1460226718
2019-8-11,0.075006,0.071888,0.076303,0.070550,271749982,1441694136
2019-7-11,0.078343,0.075014,0.078494,0.074204,332631177,1504398663
2019-6-11,0.082237,0.078435,0.083190,0.077835,352059614,1573003648
2019-5-11,0.076817,0.082164,0.085214,0.076808,762923850,1647781065
2019-4-11,0.069165,0.076390,0.076390,0.067937,347400349,1531981226
2019-3-11,0.071283,0.069091,0.071871,0.068081,310422869,1385608526
2019-2-11,0.069217,0.071264,0.071289,0.069216,287438284,1429192254
2019-1-11,0.065189,0.069231,0.071221,0.064798,412594573,1388418168
2019-31-10,0.064612,0.065215,0.065444,0.062958,279328071,1307869766
2019-30-10,0.066276,0.064568,0.066611,0.063378,271281036,1294901834
2019-29-10,0.064768,0.066185,0.068255,0.064701,279077969,1327327934
2019-28-10,0.064549,0.064778,0.067163,0.064312,325857618,1298131301
2019-27-10,0.062585,0.064513,0.064588,0.061923,287822040,1292824227
2019-26-10,0.063740,0.062557,0.066609,0.062198,347428869,1253637953
2019-25-10,0.060642,0.063761,0.064598,0.060078,302338874,1277752865
2019-24-10,0.060058,0.060612,0.061739,0.059206,235695883,1214643198
2019-23-10,0.062935,0.059984,0.063606,0.058735,257731071,1201815663
2019-22-10,0.064045,0.062811,0.064512,0.062745,191351126,1258466973
2019-21-10,0.063260,0.063975,0.064159,0.063026,189287650,1281740024
