Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,11.43,12.34,12.57,11.37,2630503881,1435093288
2020-4-2,11.79,11.43,11.87,11.21,2163865570,1329760411
2020-3-2,11.38,11.79,12.16,11.34,2572871754,1371619968
2020-2-2,11.52,11.39,11.73,11.20,2230362843,1324661545
2020-1-2,11.32,11.54,11.75,11.13,2507607885,1342452894
2020-31-1,12.27,11.30,12.27,10.83,2910829193,1314450265
2020-30-1,12.29,12.27,12.61,11.73,3429768630,1427664926
2020-29-1,11.49,12.32,12.74,11.39,4198264074,1432957978
2020-28-1,10.42,11.53,11.62,10.35,3491046321,1341132567
2020-27-1,9.14,10.42,11.00,9.14,3089196032,1212558560
2020-26-1,8.43,9.14,9.28,8.27,1685344365,1063542379
2020-25-1,8.62,8.43,8.62,8.21,1429389665,980923326
2020-24-1,8.47,8.62,8.81,7.96,1962297204,1002989145
2020-23-1,9.34,8.46,9.36,8.27,1878541112,984412223
2020-22-1,8.95,9.34,9.47,8.94,1893350417,1086129263
2020-21-1,8.67,8.95,9.10,8.56,1792016776,1040492638
2020-20-1,8.51,8.67,9.08,8.13,2181334260,1008869825
2020-19-1,8.32,8.51,9.36,7.90,3071743046,989704405
2020-18-1,9.58,8.33,9.72,8.19,3191984633,968791719
2020-17-1,8.37,9.52,11.91,8.13,4699240278,1107259104
2020-16-1,7.98,8.38,8.51,7.34,2591162120,974440774
2020-15-1,6.80,7.98,8.07,6.67,3050686528,927726082
2020-14-1,5.50,6.81,6.93,5.49,2077666220,792063090
2020-13-1,5.56,5.50,5.59,5.36,817167779,639356726
2020-12-1,5.58,5.56,5.64,5.40,1012635723,647179998
2020-11-1,5.33,5.58,5.77,5.32,1355984730,649040790
2020-10-1,5.22,5.34,5.38,4.94,1230740496,620618601
2020-9-1,4.97,5.21,5.21,4.93,1014858991,606291870
2020-8-1,4.84,4.97,5.06,4.80,998712344,578472051
2020-7-1,5.05,4.83,5.06,4.76,1006600642,562327947
2020-6-1,4.91,5.05,5.12,4.89,935281051,586930738
2020-5-1,4.77,4.91,5.01,4.77,929077856,570853943
2020-4-1,4.57,4.73,4.73,4.54,771746505,549794618
2020-3-1,4.25,4.58,4.63,4.20,853611122,532277192
2020-2-1,4.50,4.26,4.51,4.20,692082812,495016399
2020-1-1,4.50,4.50,4.56,4.48,578070570,523734647
2019-31-12,4.64,4.50,4.74,4.44,855008050,523055624
2019-30-12,4.66,4.64,4.79,4.58,889697901,539743657
2019-29-12,4.42,4.66,4.75,4.41,864464994,541875099
2019-28-12,4.52,4.42,4.56,4.41,702721446,513827574
2019-27-12,4.51,4.52,4.63,4.43,1051285597,525868931
2019-26-12,4.08,4.51,4.62,4.08,1038713351,523599745
2019-25-12,3.97,4.08,4.11,3.95,651227271,473875245
2019-24-12,4.01,3.96,4.07,3.93,650962000,460349728
2019-23-12,4.20,4.01,4.24,3.98,716022188,465487882
2019-22-12,4.10,4.20,4.24,4.07,738381970,487997539
2019-21-12,4.06,4.10,4.16,4.02,751856618,476147355
2019-20-12,3.77,4.06,4.12,3.74,699804591,471440326
2019-19-12,3.78,3.77,3.81,3.66,545993350,436769052
2019-18-12,3.48,3.78,3.79,3.43,741670263,438001127
2019-17-12,3.70,3.47,3.72,3.43,560517229,402637425
2019-16-12,3.82,3.70,3.86,3.66,555505101,428910253
2019-15-12,3.82,3.82,3.86,3.74,460833864,443056206
2019-14-12,3.86,3.82,3.88,3.78,452726314,442700190
2019-13-12,3.84,3.86,3.89,3.82,511254438,447311461
2019-12-12,3.78,3.84,3.85,3.76,566866698,444807008
2019-11-12,3.80,3.78,3.84,3.77,740021397,437462350
2019-10-12,3.82,3.80,3.82,3.74,437552956,440290052
2019-9-12,3.92,3.82,3.94,3.81,437567031,441882220
2019-8-12,3.89,3.92,3.97,3.87,432413867,454012573
2019-7-12,3.90,3.89,3.94,3.88,443951607,450160871
2019-6-12,3.82,3.89,3.91,3.80,480712620,450488299
2019-5-12,3.78,3.81,3.94,3.76,518444076,441107178
2019-4-12,3.85,3.78,3.88,3.74,499945124,437208469
2019-3-12,3.86,3.85,3.93,3.81,439965460,444691169
2019-2-12,3.94,3.87,3.98,3.83,476342423,446985545
2019-1-12,3.95,3.94,4.02,3.85,510987606,455447008
2019-30-11,4.10,3.96,4.14,3.91,485334729,457318209
2019-29-11,3.96,4.10,4.11,3.95,535165008,473035113
2019-28-11,3.96,3.95,4.04,3.92,517442386,456569601
2019-27-11,3.89,3.96,4.03,3.74,598461972,457110849
2019-26-11,3.80,3.90,3.92,3.78,480595473,449861590
2019-25-11,3.76,3.79,3.95,3.58,681165688,437363049
2019-24-11,4.05,3.76,4.05,3.76,573155295,433974267
2019-23-11,3.89,4.05,4.07,3.84,664470921,466738503
2019-22-11,4.18,3.89,4.23,3.61,834882911,448941757
2019-21-11,4.37,4.18,4.42,4.11,653833319,481972740
2019-20-11,4.42,4.37,4.49,4.35,664823714,503568843
2019-19-11,4.44,4.42,4.57,4.32,778985434,509770187
2019-18-11,4.65,4.44,4.69,4.34,655761973,511395580
2019-17-11,4.67,4.65,4.72,4.64,578014319,535563657
2019-16-11,4.57,4.67,4.68,4.55,558701705,537301698
2019-15-11,4.79,4.57,4.79,4.55,643961644,525570508
2019-14-11,4.86,4.78,4.87,4.73,640805147,550418230
2019-13-11,4.90,4.86,4.93,4.85,618297626,559526187
2019-12-11,4.90,4.91,4.95,4.85,646259068,564268124
2019-11-11,5.05,4.90,5.08,4.88,621011038,563626229
2019-10-11,4.96,5.05,5.09,4.95,746139797,580950062
2019-9-11,4.99,4.96,5.05,4.95,699334676,570090438
2019-8-11,5.26,4.99,5.29,4.85,857629851,573875652
2019-7-11,5.08,5.26,5.30,5.07,911678619,604397269
2019-6-11,5.04,5.09,5.17,5.02,704728094,584210580
2019-5-11,4.97,5.03,5.09,4.90,625522699,578172285
2019-4-11,4.90,4.97,4.99,4.88,572024807,571167928
2019-3-11,4.94,4.90,5.01,4.85,526681932,562605015
2019-2-11,4.88,4.94,5.02,4.85,531399924,567231070
2019-1-11,4.84,4.89,4.96,4.82,593824584,560549679
2019-31-10,4.82,4.84,4.99,4.72,674303500,555211434
2019-30-10,4.93,4.82,4.97,4.76,619239698,552553402
2019-29-10,4.76,4.93,5.14,4.76,711859815,565858366
2019-28-10,4.80,4.77,5.00,4.72,645944532,546312841
2019-27-10,4.58,4.80,4.87,4.55,752486783,549877788
2019-26-10,4.75,4.58,5.02,4.52,904622915,524626567
2019-25-10,4.30,4.75,4.90,4.26,712500670,544301218
2019-24-10,4.26,4.30,4.38,4.23,519242450,493006439
2019-23-10,4.48,4.26,4.50,4.12,581417199,487616262
2019-22-10,4.60,4.48,4.66,4.45,477586597,512503717
2019-21-10,4.51,4.60,4.66,4.46,505011469,526682774
2019-20-10,4.45,4.52,4.55,4.41,391423115,516902514
2019-19-10,4.44,4.45,4.48,4.41,414370283,508514467
2019-18-10,4.51,4.44,4.54,4.38,451869519,507296757
2019-17-10,4.45,4.51,4.58,4.42,500500275,516110569
2019-16-10,4.56,4.45,4.72,4.29,625342215,509246665
2019-15-10,4.80,4.57,4.82,4.53,564318896,522232045
2019-14-10,4.76,4.80,4.84,4.74,454214757,549043866
2019-13-10,4.73,4.76,4.82,4.71,454486029,543917129
2019-12-10,4.68,4.73,4.77,4.68,446424414,539857694
2019-11-10,4.84,4.68,4.94,4.68,534869638,534708891
2019-10-10,5.07,4.85,5.10,4.84,632364947,553608256
2019-9-10,4.65,5.07,5.18,4.61,642659911,579088738
2019-8-10,4.69,4.65,4.73,4.61,408171738,530474951
2019-7-10,4.54,4.69,4.73,4.51,469114687,535518888
2019-6-10,4.62,4.55,4.67,4.49,375661291,518461859
2019-5-10,4.61,4.62,4.68,4.56,409673132,526316873
2019-4-10,4.62,4.62,4.68,4.54,405656119,526203586
2019-3-10,4.70,4.62,4.70,4.54,391705827,526773724
2019-2-10,4.64,4.70,4.70,4.59,374779559,535137398
2019-1-10,4.71,4.64,4.82,4.60,490706755,528528478
2019-30-9,4.58,4.71,4.77,4.45,536326456,536437840
2019-29-9,4.68,4.58,4.71,4.49,439473026,521298769
2019-28-9,4.70,4.69,4.78,4.66,474231715,533397127
2019-27-9,4.71,4.70,4.73,4.53,540705633,535234280
2019-26-9,4.84,4.71,4.86,4.51,607503520,535742703
2019-25-9,4.65,4.84,4.95,4.53,900076390,550215924
2019-24-9,5.84,4.64,5.88,4.35,831306956,527996332
2019-23-9,6.02,5.84,6.07,5.84,501788923,664126592
2019-22-9,6.14,6.03,6.14,5.98,467907075,685271741
2019-21-9,6.17,6.14,6.20,6.07,462204520,697932690
2019-20-9,6.23,6.17,6.28,6.06,590628441,700744892
2019-19-9,6.40,6.23,6.40,5.94,655804393,707772792
2019-18-9,6.31,6.40,6.53,6.30,538218941,726351706
2019-17-9,6.22,6.32,6.43,6.17,455827350,717614514
2019-16-9,6.27,6.22,6.34,6.17,401888918,706544807
2019-15-9,6.25,6.27,6.36,6.22,445611168,711078642
2019-14-9,6.16,6.25,6.30,6.10,430056608,709157340
2019-13-9,6.21,6.16,6.26,6.13,451985629,698734077
2019-12-9,6.34,6.22,6.37,6.21,474472676,705067326
2019-11-9,6.53,6.34,6.57,6.16,516192334,719115247
2019-10-9,6.61,6.53,6.76,6.45,528197076,740111053
2019-9-9,6.67,6.62,6.78,6.43,575646640,749829590
