Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,111.14,122.27,123.01,110.58,1040214025,1138445784
2020-4-2,116.20,111.14,117.19,109.69,767274423,1034623862
2020-3-2,115.60,116.20,117.72,115.14,805030077,1081551173
2020-2-2,117.44,115.62,118.40,114.59,795391925,1075967933
2020-1-2,116.52,117.47,119.65,115.93,809915887,1092986551
2020-31-1,122.55,116.43,124.34,114.62,995498642,1083076228
2020-30-1,121.81,122.47,124.86,118.67,1175856865,1139115564
2020-29-1,116.18,122.04,126.94,115.55,1310968165,1134218623
2020-28-1,113.27,116.20,117.11,111.78,1056404598,1079764827
2020-27-1,111.01,113.27,119.25,111.01,1185315336,1052290358
2020-26-1,102.14,111.00,112.47,100.80,1048666266,1031071645
2020-25-1,100.77,102.16,103.49,98.02,684814780,948701916
2020-24-1,102.58,100.83,103.80,94.29,829271731,936185841
2020-23-1,107.64,102.41,108.15,98.66,837448530,950709016
2020-22-1,110.83,107.65,112.54,107.27,824540369,999145359
2020-21-1,109.61,110.86,113.66,106.24,964611063,1028793258
2020-20-1,104.80,109.57,114.63,100.88,1208948881,1016591626
2020-19-1,101.63,104.79,108.44,93.42,1186646796,972138555
2020-18-1,114.13,101.56,115.25,97.52,1315737751,941967758
2020-17-1,127.63,114.38,127.69,110.55,1536993729,1060686346
2020-16-1,132.40,128.16,134.05,113.62,1925351036,1188236312
2020-15-1,88.62,132.27,140.70,88.62,2736888861,1226142431
2020-14-1,69.61,88.70,88.70,69.58,1090046613,822067637
2020-13-1,66.25,69.58,71.11,64.15,476814382,644783979
2020-12-1,63.53,66.30,67.81,62.53,535827585,614252950
2020-11-1,56.60,63.40,66.84,55.81,581950368,587294276
2020-10-1,50.89,56.59,56.59,50.26,360608270,524062302
2020-9-1,52.88,50.89,53.28,50.50,247077074,471257294
2020-8-1,54.80,52.92,56.53,51.72,314320136,489899216
2020-7-1,56.70,54.82,57.31,54.05,395124565,507414232
2020-6-1,51.54,56.70,57.58,51.22,496237320,524728177
2020-5-1,46.43,51.48,53.52,46.43,439864007,476326526
2020-4-1,43.98,46.45,46.95,43.17,429327843,429730575
2020-3-1,40.19,44.02,44.03,40.18,244420570,407174982
2020-2-1,41.91,40.22,42.04,40.18,200098184,371971196
2020-1-1,41.19,41.87,42.61,40.97,209558954,387089111
2019-31-12,42.57,41.20,42.84,41.15,228348982,380819459
2019-30-12,44.75,42.57,45.00,42.52,236575767,393500251
2019-29-12,41.90,44.75,45.42,41.66,291554835,413310786
2019-28-12,39.87,41.89,43.01,39.83,258317069,386836063
2019-27-12,40.13,39.87,40.53,38.97,228790249,368137394
2019-26-12,41.23,40.16,41.34,38.96,297344626,370729978
2019-25-12,42.02,41.25,42.08,41.16,231213797,380677900
2019-24-12,43.07,42.02,43.39,41.87,234610156,387771587
2019-23-12,44.32,43.05,44.91,42.84,221437668,397172828
2019-22-12,43.04,44.34,44.36,42.70,207633884,409023239
2019-21-12,43.52,43.05,43.66,42.77,202625006,397001323
2019-20-12,43.54,43.52,44.11,43.06,236620822,401322904
2019-19-12,44.55,43.54,44.94,42.29,246793993,401355359
2019-18-12,41.49,44.52,45.23,40.83,274331819,410325000
2019-17-12,46.42,41.37,46.46,41.01,262627863,381266341
2019-16-12,51.03,46.42,51.08,46.07,255386554,427712733
2019-15-12,49.95,51.03,51.42,49.14,274840843,470140384
2019-14-12,50.74,49.94,51.23,49.59,251838983,460001543
2019-13-12,50.17,50.71,50.92,50.01,263841028,466985550
2019-12-12,49.82,50.19,50.54,49.07,269911451,462055963
2019-11-12,50.25,49.76,51.17,49.49,254820772,458025959
2019-10-12,51.50,50.24,51.91,49.90,263294458,462399634
2019-9-12,52.22,51.51,53.13,51.19,279494268,474025810
2019-8-12,52.80,52.20,52.92,51.87,250165556,480207234
2019-7-12,52.59,52.81,53.33,52.04,254685506,485736262
2019-6-12,50.49,52.57,52.94,50.42,261395845,483511302
2019-5-12,50.75,50.49,52.78,49.57,246865711,464235340
2019-4-12,51.57,50.81,52.10,50.19,241426048,467081593
2019-3-12,51.80,51.58,52.32,50.80,228015501,474091039
2019-2-12,53.27,51.80,54.14,51.69,277709857,476074330
2019-1-12,55.23,53.28,55.23,52.63,328909553,489531887
2019-30-11,57.15,55.23,58.36,54.87,320421131,507371437
2019-29-11,52.47,57.12,58.62,52.45,368092447,524354054
2019-28-11,50.86,52.45,54.56,50.01,376437951,481350806
2019-27-11,50.64,50.83,52.70,48.89,370160658,466425677
2019-26-11,50.18,50.71,51.41,49.87,286122207,465265002
2019-25-11,51.95,50.23,53.10,48.49,365912975,460743260
2019-24-11,55.38,51.96,55.49,51.96,352239563,476490493
2019-23-11,55.54,55.38,56.91,54.54,404485563,507815255
2019-22-11,60.55,55.54,61.09,54.57,401613025,509133947
2019-21-11,63.92,60.54,64.61,60.20,374750653,554890020
2019-20-11,65.82,63.97,66.24,63.85,372158855,586247668
2019-19-11,65.30,65.81,66.42,63.60,345463406,603021841
2019-18-11,68.30,65.32,68.83,65.08,328968065,598376266
2019-17-11,68.42,68.30,69.17,67.95,297447134,625601663
2019-16-11,68.23,68.41,68.57,67.86,292160865,626422073
2019-15-11,69.20,68.21,69.50,67.42,301568783,624491375
2019-14-11,69.98,69.16,70.10,69.08,350588076,633039775
2019-13-11,70.35,70.00,71.04,69.85,376668496,640618726
2019-12-11,70.36,70.38,70.82,69.52,401213177,643975116
